TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
7688.6065,-460.55,-131.699,877.241,-481.25,-1811.25,840.0,366.32,51.68,-126.16
7688.6565,-464.82,-127.734,875.716,-1592.5,-2380.0,1198.75,369.36,63.84,-123.12
7688.7065,-454.328,-129.076,871.446,-2957.5,-1907.5,735.0,355.68,54.72,-126.16
7688.7565,-457.195,-135.115,871.385,-2765.0,-1172.5,183.75,366.32,68.4,-124.64
7688.8065,-470.676,-136.03,870.287,-3080.0,-1828.75,-595.0,357.2,60.8,-132.24
7688.8565,-478.545,-144.387,869.677,-2283.75,-3928.75,-936.25,370.88,60.8,-121.6
7688.9065,-473.299,-137.677,860.954,-1365.0,-4733.75,-350.0,370.88,66.88,-112.48
7688.9565,-475.678,-139.141,865.773,-2152.5,-4830.0,-472.5,376.96,63.84,-123.12
7689.0065,-479.765,-141.642,863.638,-2852.5,-5923.75,43.75,363.28,76.0,-123.12
7689.0565,-475.861,-147.559,865.59,-2537.5,-6728.75,402.5,386.08,63.84,-121.6
7689.1065,-471.652,-149.023,867.969,-1443.75,-7516.25,1566.25,361.76,68.4,-115.52
7689.1565,-470.737,-139.324,870.653,-2152.5,-9038.75,1041.25,360.24,56.24,-123.12
7689.2065,-462.624,-154.208,873.52,-1058.75,-10062.5,805.0,351.12,66.88,-115.52
7689.2565,-450.729,-138.836,872.178,105.0,-8303.75,1365.0,361.76,79.04,-104.88
7689.3065,-451.339,-131.821,877.607,-341.25,-7437.5,1233.75,358.72,65.36,-129.2
7689.3565,-445.91,-134.932,877.607,-1268.75,-6055.0,1015.0,367.84,53.2,-130.72
7689.4065,-446.581,-140.361,882.792,-1837.5,-5293.75,367.5,361.76,66.88,-145.92
7689.4565,-446.764,-136.457,879.132,-1373.75,-5145.0,341.25,361.76,60.8,-121.6
7689.5065,-448.35,-137.982,876.814,-1837.5,-5836.25,17.5,375.44,63.84,-123.12
7689.5565,-442.921,-140.3,879.62,-1487.5,-5328.75,105.0,360.24,57.76,-127.68
7689.6065,-445.91,-140.056,882.609,-428.75,-4165.0,1338.75,367.84,62.32,-114.0
7689.6565,-448.472,-126.697,877.241,-1382.5,-2896.25,2021.25,355.68,56.24,-132.24
7689.7065,-457.134,-133.834,876.143,-2397.5,-2616.25,1540.0,369.36,68.4,-120.08
7689.7565,-460.55,-141.825,876.509,-3815.0,-3395.0,-350.0,345.04,62.32,-127.68
7689.8065,-468.114,-149.267,877.363,-962.5,-4226.25,-2143.75,372.4,41.04,-114.0
7689.8565,-464.149,-142.984,875.96,-1872.5,-7603.75,-1093.75,361.76,57.76,-118.56
7689.9065,-445.117,-139.446,870.47,-1041.25,-7271.25,-140.0,375.44,63.84,-123.12
7689.9565,-452.071,-136.091,875.106,-1172.5,-5495.0,1015.0,370.88,51.68,-124.64
7690.0065,-460.916,-136.457,881.084,-2660.0,-7236.25,1925.0,381.52,54.72,-120.08
7690.0565,-445.239,-141.337,877.912,-3412.5,-8015.0,953.75,363.28,50.16,-117.04
7690.1065,-437.675,-139.263,877.241,-2353.75,-7157.5,1898.75,352.64,65.36,-129.2
7690.1565,-440.847,-140.849,880.047,-2782.5,-6956.25,1295.0,352.64,79.04,-121.6
7690.2065,-440.054,-138.287,884.683,-2353.75,-6335.0,857.5,360.24,59.28,-136.8
7690.2565,-439.261,-139.629,884.256,-2730.0,-6090.0,1347.5,351.12,56.24,-117.04
7690.3065,-437.004,-146.888,882.914,-2590.0,-5241.25,770.0,349.6,57.76,-127.68
7690.3567,-441.213,-148.657,881.755,-1601.25,-5110.0,367.5,367.84,71.44,-117.04
7690.4065,-444.324,-152.134,887.794,-1093.75,-6571.25,-533.75,366.32,62.32,-117.04
7690.4566,-448.533,-141.764,889.807,-1417.5,-7997.5,-1163.75,375.44,56.24,-141.36
7690.5065,-423.096,-159.149,885.964,-945.0,-7708.75,-1706.25,360.24,59.28,-124.64
7690.5565,-425.17,-146.217,883.829,157.5,-5311.25,463.75,354.16,69.92,-114.0
7690.6065,-438.651,-140.483,890.966,87.5,-5075.0,2423.75,361.76,71.44,-132.24
7690.6565,-434.747,-135.115,891.515,-498.75,-7253.75,3141.25,370.88,60.8,-130.72
7690.7065,-419.619,-138.592,888.953,-1295.0,-6466.25,1890.0,357.2,65.36,-135.28
7690.7565,-419.985,-137.494,888.404,-1277.5,-5328.75,1531.25,346.56,59.28,-124.64
7690.8065,-424.377,-133.59,892.308,-2047.5,-5127.5,1618.75,349.6,59.28,-127.68
7690.8565,-424.987,-142.008,894.138,-2003.75,-4480.0,2362.5,360.24,71.44,-130.72
7690.9065,-422.547,-136.396,889.563,-1268.75,-4480.0,2520.0,354.16,57.76,-126.16
7690.9565,-429.074,-131.76,886.513,-1557.5,-3552.5,1365.0,366.32,51.68,-114.0
7691.0065,-434.991,-129.381,887.001,-3185.0,-3631.25,612.5,343.52,56.24,-120.08
7691.0565,-448.533,-133.712,894.382,-2651.25,-5232.5,446.25,349.6,69.92,-126.16
7691.1065,-434.503,-143.167,889.868,-2695.0,-7717.5,-726.25,364.8,62.32,-129.2
7691.1565,-419.07,-140.727,885.842,-752.5,-6816.25,-682.5,346.56,60.8,-123.12
7691.2065,-426.817,-133.285,891.698,-1137.5,-4838.75,910.0,364.8,63.84,-142.88
7691.2565,-430.233,-135.542,894.138,-2275.0,-4865.0,1627.5,361.76,63.84,-120.08
7691.3065,-426.39,-142.252,892.918,-2362.5,-5355.0,1968.75,355.68,59.28,-130.72
7691.3565,-426.451,-134.017,890.6,-2957.5,-4751.25,3841.25,363.28,69.92,-110.96
7691.4065,-431.087,-141.398,888.465,-3185.0,-5022.5,4847.5,360.24,56.24,-126.16
7691.4565,-428.342,-134.871,891.454,-4217.5,-5530.0,7341.25,360.24,54.72,-139.84
7691.5065,-429.074,-142.13,894.138,-4235.0,-5687.5,8995.0,366.32,42.56,-120.08
7691.5565,-424.682,-136.823,892.552,-3482.5,-5608.75,10106.25,376.96,57.76,-127.68
7691.6065,-425.963,-133.956,889.929,-3631.25,-5355.0,9100.0,373.92,47.12,-130.72
7691.6565,-428.22,-141.154,891.393,-2957.5,-5477.5,8688.75,380.0,57.76,-133.76
7691.7065,-421.998,-130.113,894.199,-2817.5,-5967.5,6947.5,367.84,68.4,-124.64
7691.7565,-414.434,-136.518,892.979,-2240.0,-4891.25,5845.0,352.64,56.24,-123.12
7691.8065,-411.079,-130.418,887.733,-463.75,-1391.25,3202.5,363.28,59.28,-135.28
7691.8565,-420.534,-115.534,889.868,-1347.5,1942.5,3675.0,364.8,41.04,-139.84
7691.9065,-434.564,-122.122,890.112,-2765.0,1128.75,5661.25,373.92,50.16,-130.72
7691.9565,-423.096,-123.464,886.513,-411.25,5897.5,8881.25,358.72,42.56,-121.6
7692.0065,-433.954,-110.593,878.644,647.5,10115.0,13641.25,364.8,34.96,-100.32
7692.0565,-473.482,-74.176,874.923,-2143.75,8198.75,15522.5,380.0,48.64,-120.08
7692.1065,-488.549,-86.498,869.799,-5958.75,5617.5,10412.5,384.56,39.52,-121.6
7692.1565,-499.163,-105.347,870.714,-6335.0,1741.25,4156.25,396.72,28.88,-104.88
7692.2065,-489.22,-124.501,863.394,-3263.75,-1767.5,-5337.5,372.4,39.52,-117.04
7692.2565,-491.782,-125.111,860.161,-533.75,-2537.5,-10998.75,375.44,34.96,-118.56
