TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
7153.7271,23669.39,7079.46,18180.99,27873.04,11955.79,13753.08,6320.81,31503.16
7153.7311,23652.32,7055.28,18103.03,27857.02,11923.6,13732.58,6276.99,31483.32
7153.7351,23656.28,7066.78,18125.92,27857.83,11937.48,13739.54,6302.26,31480.6
7153.7391,23672.15,7091.33,18203.64,27872.99,11975.77,13759.76,6350.09,31488.61
7153.7431,23676.45,7096.86,18230.68,27878.67,11983.16,13762.95,6357.24,31494.67
7153.7471,23660.0,7068.59,18159.34,27861.22,11942.34,13740.21,6300.74,31481.17
7153.7511,23639.97,7043.89,18082.53,27840.38,11907.53,13721.18,6259.73,31463.25
7153.7551,23640.21,7054.57,18107.65,27836.95,11918.5,13724.09,6283.67,31458.91
7153.7591,23656.51,7083.27,18193.2,27854.68,11958.31,13745.26,6338.22,31474.31
7153.7631,23662.38,7090.0,18224.67,27864.84,11970.9,13753.37,6347.42,31479.31
7153.7671,23647.17,7062.34,18151.62,27850.58,11932.37,13732.34,6291.82,31466.2
7153.7711,23642.35,7048.85,18087.44,27843.91,11911.82,13723.99,6263.54,31464.01
7153.7751,23655.75,7068.16,18124.06,27854.11,11939.24,13740.78,6301.64,31471.16
7153.7791,23676.59,7096.91,18208.32,27874.57,11979.49,13762.48,6353.33,31483.51
7153.7831,23685.27,7104.3,18239.79,27884.2,11990.64,13770.01,6363.34,31493.38
7153.7871,23671.11,7077.84,18172.46,27870.37,11954.79,13753.32,6311.61,31484.23
7153.791,23658.23,7057.0,18104.46,27854.26,11923.22,13736.87,6276.04,31475.6
7153.795,23669.15,7076.03,18139.75,27864.75,11948.59,13752.84,6315.38,31487.71
7153.799,23689.03,7105.78,18225.2,27885.15,11989.5,13775.64,6374.03,31505.21
7153.803,23695.57,7112.27,18256.86,27895.41,12001.47,13784.31,6385.42,31518.61
7153.807,23682.55,7086.28,18188.67,27881.96,11967.23,13765.53,6332.06,31510.74
7153.811,23667.72,7061.77,18113.9,27866.08,11938.53,13747.41,6287.24,31493.48
7153.815,23672.44,7072.64,18142.51,27869.61,11956.03,13757.76,6318.24,31497.05
7153.819,23684.7,7097.01,18216.33,27881.39,11987.59,13772.73,6366.3,31505.68
7153.823,23687.41,7102.39,18245.89,27885.2,11993.12,13773.97,6373.07,31504.97
7153.827,23672.77,7076.79,18175.46,27873.9,11956.36,13753.18,6315.85,31489.9
7153.831,23653.18,7052.52,18096.4,27854.45,11916.35,13729.19,6267.07,31468.82
7153.835,23657.23,7068.11,18125.35,27860.55,11936.81,13738.68,6296.49,31475.02
7153.839,23666.1,7088.23,18198.44,27874.04,11969.9,13753.13,6341.89,31480.32
7153.843,23663.86,7086.8,18223.91,27874.04,11975.34,13754.89,6348.99,31483.61
7153.847,23647.26,7059.48,18155.96,27864.6,11939.81,13735.96,6294.59,31475.17
7153.851,23638.97,7042.74,18086.91,27857.93,11913.87,13723.42,6255.01,31465.15
7153.855,23653.56,7063.82,18116.29,27871.09,11937.76,13739.4,6290.72,31472.16
7153.859,23672.2,7093.24,18201.5,27888.83,11977.01,13760.38,6348.75,31490.38
7153.863,23679.78,7102.54,18241.31,27895.69,11989.17,13769.53,6362.58,31499.29
7153.867,23674.35,7083.61,18182.61,27889.02,11964.94,13759.19,6316.19,31493.57
7153.871,23667.86,7068.78,18117.1,27880.0,11941.86,13749.93,6283.71,31491.19
7153.875,23672.73,7080.46,18143.94,27880.24,11955.07,13754.99,6311.94,31496.72
7153.879,23687.65,7107.78,18225.62,27893.26,11990.83,13773.73,6368.78,31512.17
7153.883,23696.57,7119.23,18264.82,27904.9,12006.71,13786.84,6387.9,31526.0
7153.887,23684.31,7093.86,18201.73,27896.22,11975.53,13772.06,6338.74,31518.42
7153.891,23663.62,7063.34,18118.1,27875.62,11938.1,13747.36,6285.29,31497.58
7153.895,23665.48,7072.64,18135.6,27871.71,11949.54,13752.7,6308.99,31498.25
7153.899,23678.59,7100.54,18216.99,27884.2,11984.35,13772.78,6365.2,31513.74
7153.903,23677.59,7103.11,18247.99,27884.68,11988.78,13774.83,6375.22,31519.7
7153.907,23654.03,7073.45,18179.51,27865.08,11946.63,13749.41,6315.09,31500.77
7153.911,23634.91,7048.99,18100.17,27845.15,11909.68,13726.19,6266.31,31478.22
7153.915,23642.02,7061.53,18116.05,27848.2,11925.36,13733.01,6289.1,31472.45
7153.9189,23658.42,7086.95,18192.15,27859.55,11962.22,13753.75,6339.36,31478.6
7153.9229,23666.43,7095.48,18226.72,27868.23,11976.67,13762.24,6351.57,31484.51
7153.9269,23657.71,7075.84,18164.64,27861.88,11946.06,13746.22,6301.59,31480.13
7153.9309,23647.98,7059.53,18096.59,27850.44,11919.69,13733.2,6267.26,31473.21
7153.9349,23656.04,7071.4,18124.63,27854.21,11939.62,13743.45,6299.93,31476.93
7153.9389,23679.31,7105.54,18214.99,27877.86,11987.07,13773.11,6364.2,31498.91
7153.9429,23694.18,7119.13,18255.38,27898.36,12009.96,13788.13,6381.23,31514.84
7153.9469,23684.17,7095.0,18192.01,27889.26,11976.53,13770.72,6332.3,31512.36
7153.9509,23666.24,7066.97,18114.62,27868.8,11935.38,13745.83,6286.34,31497.15
7153.9549,23676.11,7084.9,18147.85,27875.71,11957.84,13762.05,6319.52,31501.25
7153.9589,23695.85,7115.89,18235.11,27895.12,12001.23,13790.23,6381.32,31522.28
7153.9629,23701.43,7123.85,18274.07,27904.47,12015.53,13799.72,6398.44,31534.44
7153.9669,23682.26,7094.77,18208.7,27888.25,11975.58,13774.83,6341.74,31518.13
7153.9709,23663.0,7065.92,18127.49,27866.27,11938.05,13751.79,6293.73,31501.73
7153.9749,23659.95,7068.59,18138.79,27860.12,11944.01,13751.84,6311.8,31495.77
7153.9789,23667.67,7088.52,18211.27,27867.18,11972.95,13765.0,6359.91,31503.25
7153.9829,23669.58,7092.52,18244.98,27870.47,11983.01,13771.87,6372.12,31507.02
7153.9869,23657.13,7068.54,18179.23,27859.6,11950.11,13753.46,6317.95,31494.72
7153.9909,23640.4,7047.42,18099.64,27835.75,11914.25,13730.58,6271.79,31475.83
7153.9949,23640.16,7057.33,18118.19,27830.65,11922.03,13733.39,6294.25,31472.07
7153.9989,23641.49,7073.26,18182.85,27832.7,11945.77,13742.11,6335.64,31470.54
7154.0029,23633.72,7071.02,18206.5,27831.75,11947.54,13738.92,6337.07,31465.01
7154.0069,23617.65,7043.55,18142.7,27819.78,11909.92,13716.46,6278.85,31447.94
7154.0109,23603.25,7019.9,18062.45,27800.85,11877.35,13696.82,6228.4,31425.29
7154.0149,23607.4,7029.72,18079.76,27799.9,11890.89,13704.25,6254.01,31429.01
7154.0189,23627.9,7062.15,18166.93,27821.59,11932.04,13727.33,6311.37,31445.55
7154.0229,23641.78,7078.98,18214.61,27832.75,11953.59,13744.02,6336.4,31464.72
7154.0269,23636.25,7061.15,18166.73,27826.22,11930.04,13736.49,6298.35,31471.35
7154.0309,23632.91,7046.7,18105.46,27822.88,11908.82,13729.91,6268.65,31475.4
7154.0349,23654.03,7070.59,18138.6,27844.1,11941.48,13752.99,6309.89,31494.19
7154.0389,23680.79,7102.68,18227.67,27869.94,11986.45,13779.02,6370.83,31514.36
7154.0429,23699.86,7118.89,18272.78,27893.88,12013.39,13798.67,6394.29,31531.43
7154.0468,23689.89,7096.82,18215.66,27889.16,11986.07,13783.12,6347.51,31527.86
7154.0508,23675.73,7072.16,18135.74,27872.52,11951.97,13763.38,6301.07,31514.65
7154.0548,23678.83,7081.41,18151.0,27874.14,11962.46,13769.68,6322.05,31514.46
7154.0588,23691.18,7105.54,18230.92,27892.26,11999.51,13787.89,6376.12,31523.95
7154.0628,23694.47,7109.31,18262.48,27902.51,12011.82,13791.61,6385.23,31526.09
7154.0668,23674.97,7079.03,18193.68,27882.87,11971.52,13769.68,6329.25,31510.93
7154.0708,23653.75,7053.85,18111.52,27863.41,11935.24,13746.93,6279.04,31493.72
7154.0748,23651.75,7059.91,18124.53,27856.02,11940.67,13745.93,6298.35,31491.33
7154.0788,23662.09,7082.08,18199.73,27864.6,11971.09,13760.14,6345.56,31498.63
7154.0828,23663.57,7086.23,18230.58,27870.94,11981.82,13765.72,6354.29,31500.49
7154.0868,23646.5,7060.1,18163.64,27855.59,11945.63,13745.64,6302.74,31489.57
7154.0908,23627.19,7031.58,18076.95,27836.23,11904.67,13719.18,6248.14,31466.39
7154.0948,23628.38,7037.97,18092.78,27836.23,11918.02,13721.75,6267.02,31460.43
7154.0988,23642.16,7061.77,18172.22,27846.24,11949.68,13736.2,6317.09,31473.4
7154.1028,23650.74,7071.97,18214.23,27853.64,11960.79,13743.93,6332.92,31481.32
7154.1068,23644.55,7055.95,18163.35,27847.58,11934.0,13734.25,6292.53,31482.7
7154.1107,23634.58,7039.64,18094.26,27837.71,11904.43,13721.99,6255.1,31478.98
7154.1147,23643.88,7055.0,18113.28,27846.29,11921.65,13733.77,6280.61,31482.18
7154.1187,23670.44,7092.19,18205.84,27876.62,11973.91,13767.86,6348.42,31506.64
7154.1227,23685.03,7107.54,18253.47,27893.4,11997.84,13785.03,6375.65,31528.52
7154.1267,23679.64,7091.67,18204.17,27889.73,11976.2,13777.45,6339.31,31534.39
7154.1307,23669.77,7074.02,18132.21,27874.76,11947.01,13763.24,6300.59,31525.04
7154.1347,23676.73,7087.28,18150.57,27878.81,11963.56,13771.68,6329.49,31527.24
7154.1387,23696.09,7116.13,18234.16,27894.5,12002.66,13796.05,6385.71,31542.69
7154.1427,23706.63,7126.14,18275.02,27906.66,12019.11,13807.58,6401.06,31552.46
7154.1467,23694.52,7102.06,18212.61,27898.89,11989.79,13792.8,6351.28,31543.54
7154.1507,23672.54,7071.54,18124.87,27875.71,11949.11,13764.81,6293.44,31521.23
7154.1547,23671.92,7079.75,18140.08,27873.42,11958.65,13768.77,6316.61,31521.04
7154.1587,23683.12,7105.02,18215.23,27888.11,11992.84,13787.13,6367.83,31531.1
7154.1627,23684.41,7111.17,18252.42,27894.69,12002.37,13791.52,6378.08,31529.95
7154.1667,23668.01,7084.13,18190.34,27883.34,11968.9,13771.82,6327.92,31519.75
7154.1707,23647.69,7053.14,18100.88,27862.5,11925.75,13742.88,6269.74,31494.19
7154.1747,23641.97,7053.81,18101.69,27850.77,11921.69,13736.87,6278.8,31483.65
7154.1787,23659.28,7079.79,18180.09,27860.6,11959.27,13756.56,6332.35,31494.62
7154.1827,23668.2,7092.62,18224.29,27867.94,11973.53,13764.48,6349.71,31502.87
7154.1867,23660.23,7074.4,18176.46,27864.98,11947.35,13754.61,6310.37,31505.59
7154.1907,23651.75,7056.43,18106.84,27859.12,11921.93,13744.31,6275.99,31505.73
7154.1947,23659.61,7072.16,18127.25,27864.7,11938.43,13753.27,6304.31,31518.51
7154.1987,23685.41,7106.69,18218.42,27887.63,11984.06,13783.12,6370.64,31547.12
7154.2027,23703.01,7123.14,18270.07,27909.57,12014.01,13803.29,6398.15,31562.28
7154.2067,23694.95,7102.68,18215.13,27905.61,11987.4,13789.08,6351.28,31551.03
7154.2107,23684.31,7080.94,18135.88,27891.59,11953.69,13770.25,6304.36,31538.92
7154.2147,23691.13,7092.86,18153.76,27893.5,11969.14,13778.26,6328.39,31542.54
7154.2187,23705.25,7118.18,18231.01,27907.04,12007.05,13799.1,6380.46,31552.89
7154.2227,23706.15,7120.85,18269.16,27908.33,12016.77,13803.87,6395.01,31555.23
7154.2267,23693.23,7096.91,18212.8,27896.5,11984.97,13785.94,6343.56,31540.11
7154.2307,23680.17,7075.79,18133.4,27884.68,11953.88,13768.63,6299.21,31528.05
7154.2347,23678.35,7080.98,18138.12,27878.96,11957.27,13766.29,6313.23,31525.33
7154.2386,23693.42,7109.88,18216.61,27897.5,11996.13,13788.37,6368.3,31541.26
7154.2426,23700.91,7120.51,18257.95,27909.81,12013.2,13798.57,6384.85,31543.21
7154.2466,23674.06,7084.37,18186.52,27880.67,11964.23,13764.81,6318.52,31513.79
7154.2506,23646.21,7048.27,18089.34,27850.77,11917.78,13731.91,6254.39,31484.13
7154.2546,23635.87,7043.22,18081.38,27841.71,11915.97,13724.71,6257.92,31467.73
7154.2586,23640.97,7059.53,18151.81,27848.63,11944.96,13738.44,6307.32,31470.73
7154.2626,23643.45,7067.2,18195.06,27850.15,11953.88,13743.97,6327.53,31483.32
7154.2666,23633.67,7050.47,18148.09,27842.76,11927.18,13733.67,6288.48,31485.13
7154.2706,23625.76,7033.06,18078.47,27831.75,11899.28,13722.37,6254.15,31486.42
7154.2746,23635.29,7046.8,18099.21,27839.66,11918.31,13733.2,6282.62,31497.43
7154.2786,23659.04,7078.84,18185.67,27862.89,11964.51,13760.81,6343.6,31517.22
7154.2826,23680.98,7099.44,18236.07,27888.02,11993.84,13781.74,6371.21,31537.49
7154.2866,23682.5,7087.42,18190.82,27887.73,11975.91,13777.88,6337.45,31545.12
7154.2906,23676.68,7070.11,18116.76,27879.1,11949.59,13765.38,6292.63,31538.44
7154.2946,23683.84,7080.94,18130.97,27884.25,11963.99,13771.54,6315.61,31542.69
7154.2986,23701.48,7109.55,18213.66,27901.94,12003.33,13795.66,6375.03,31559.14
7154.3026,23708.06,7120.75,18258.81,27908.85,12021.97,13809.92,6396.96,31569.01
7154.3066,23691.85,7096.24,18199.88,27896.93,11988.93,13789.7,6345.89,31553.56
7154.3106,23671.68,7066.82,18112.47,27873.04,11945.77,13760.57,6286.1,31525.38
7154.3146,23669.25,7068.3,18112.71,27867.32,11943.06,13755.85,6296.73,31516.22
7154.3186,23688.99,7096.2,18193.87,27884.63,11984.16,13780.5,6354.71,31527.09
7154.3226,23700.86,7109.74,18239.83,27897.41,12003.71,13790.37,6371.69,31526.66
7154.3266,23690.18,7090.52,18186.86,27889.64,11974.29,13773.63,6325.48,31512.31
7154.3306,23672.39,7064.01,18104.22,27866.03,11933.61,13752.27,6277.94,31497.39
7154.3346,23669.29,7066.68,18108.75,27856.11,11938.53,13751.89,6289.58,31488.33
7154.3386,23679.21,7088.71,18182.57,27867.03,11972.43,13770.39,6339.17,31495.81
7154.3426,23677.73,7094.05,18225.29,27871.76,11981.39,13773.01,6354.71,31498.05
7154.3466,23658.76,7067.3,18169.07,27853.02,11945.87,13750.75,6305.31,31486.09
7154.3506,23637.44,7037.88,18083.05,27828.17,11902.57,13724.28,6251.24,31462.96
7154.3546,23630.19,7035.69,18081.57,27817.44,11899.85,13718.61,6258.97,31454.19
7154.3586,23646.5,7062.15,18159.87,27834.42,11936.67,13740.45,6316.81,31470.73
7154.3626,23656.32,7075.98,18209.17,27845.48,11954.55,13751.79,6341.55,31482.37
7154.3665,23644.4,7057.29,18163.11,27838.38,11931.23,13741.73,6302.93,31477.41
7154.3705,23635.29,7037.93,18089.54,27832.75,11904.53,13729.19,6261.54,31469.3
7154.3745,23646.31,7052.18,18103.27,27844.34,11922.5,13742.78,6288.1,31478.89
7154.3785,23667.34,7082.13,18187.19,27859.74,11965.37,13769.63,6349.14,31496.53
7154.3825,23678.45,7093.67,18232.87,27873.19,11987.4,13782.46,6368.35,31503.82
7154.3865,23664.72,7069.49,18177.56,27863.89,11957.12,13763.24,6320.91,31492.14
7154.3905,23654.89,7047.18,18094.4,27858.69,11929.7,13747.07,6273.56,31476.41
7154.3945,23663.24,7055.71,18098.98,27869.04,11946.63,13756.66,6291.1,31478.79
7154.3985,23678.97,7082.89,18176.56,27880.86,11976.67,13772.11,6340.41,31492.38
7154.4025,23691.61,7097.58,18224.0,27893.64,11995.08,13782.22,6360.96,31499.25
7154.4065,23680.45,7076.36,18169.93,27886.01,11968.23,13763.24,6312.37,31482.37
7154.4105,23663.09,7046.99,18084.91,27867.03,11932.18,13741.59,6257.63,31460.67
7154.4145,23666.15,7053.76,18087.77,27867.61,11939.43,13743.83,6269.55,31458.91
7154.4185,23681.26,7082.13,18165.88,27882.25,11976.29,13764.43,6325.53,31475.02
7154.4225,23691.8,7097.91,18215.42,27894.4,11997.37,13779.55,6353.05,31488.28
7154.4265,23682.17,7078.84,18164.49,27887.01,11967.47,13765.24,6309.41,31478.6
7154.4305,23662.52,7050.23,18080.95,27870.85,11928.85,13743.07,6258.77,31463.15
7154.4345,23659.8,7052.23,18080.52,27866.89,11931.56,13742.97,6270.55,31460.86
7154.4385,23667.53,7072.97,18151.14,27874.9,11962.89,13756.61,6318.67,31468.92
7154.4425,23663.67,7075.26,18190.58,27875.62,11971.76,13758.09,6331.49,31470.78
7154.4465,23641.21,7048.18,18137.74,27857.21,11934.0,13736.01,6286.81,31458.29
7154.4505,23622.9,7019.33,18054.77,27834.08,11893.56,13713.6,6236.65,31442.12
7154.4545,23627.19,7026.86,18059.73,27831.94,11899.33,13715.17,6247.62,31440.45
7154.4585,23651.84,7065.92,18146.04,27854.83,11946.63,13744.79,6310.99,31464.29
