TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4226.9267,16037.99,7372.95,19256.55,28521.4,9024.62,19003.2,6348.42,28507.43
4226.9307,16038.61,7373.1,19242.81,28509.81,9078.46,18996.53,6365.49,28492.93
4226.9347,16071.94,7442.86,19354.77,28522.4,9516.05,19043.11,6517.32,28531.89
4226.9387,16101.65,7490.3,19449.05,28541.0,9753.99,19083.12,6605.53,28571.85
4226.9427,16088.2,7453.35,19399.26,28536.61,9463.93,19061.23,6510.07,28564.27
4226.9467,16058.02,7383.16,19271.19,28517.01,9025.15,19010.5,6354.95,28518.35
4226.9507,16061.5,7385.16,19257.07,28511.96,9082.84,19003.82,6371.55,28505.76
4226.9547,16105.32,7463.12,19384.67,28542.24,9549.52,19063.05,6542.83,28556.59
4226.9587,16133.64,7511.19,19481.71,28570.46,9785.13,19110.06,6634.38,28599.46
4226.9627,16115.76,7472.47,19424.97,28570.7,9480.0,19086.22,6528.43,28592.97
4226.9667,16087.63,7406.86,19298.75,28558.97,9042.88,19041.4,6381.85,28558.31
4226.9707,16100.98,7420.21,19296.17,28564.84,9141.59,19051.98,6419.47,28559.02
4226.9747,16132.93,7487.92,19409.13,28578.57,9582.52,19093.9,6571.25,28592.88
4226.9787,16157.3,7532.12,19494.63,28592.88,9801.87,19133.38,6655.17,28626.25
4226.9827,16132.64,7485.72,19427.49,28586.53,9484.58,19101.53,6543.88,28601.08
4226.9867,16086.68,7405.19,19287.3,28556.06,9023.86,19035.77,6378.22,28546.77
4226.9907,16083.34,7402.99,19271.19,28548.34,9106.45,19028.38,6396.2,28529.79
4226.9947,16112.95,7468.61,19381.76,28566.75,9542.85,19075.54,6546.45,28564.27
4226.9987,16125.2,7505.08,19461.87,28572.23,9769.06,19099.86,6624.03,28578.9
4227.0027,16099.88,7459.02,19400.6,28563.6,9465.17,19072.96,6521.18,28570.66
4227.0067,16054.2,7376.53,19256.78,28532.17,8988.52,19008.69,6350.8,28518.01
4227.0107,16054.82,7377.24,19241.62,28523.59,9074.74,18999.96,6369.83,28497.27
4227.0147,16085.05,7442.19,19348.29,28537.13,9495.97,19044.21,6514.26,28531.36
4227.0187,16105.22,7488.3,19440.46,28556.16,9737.02,19082.64,6604.05,28569.51
4227.0227,16080.91,7449.91,19390.59,28545.1,9444.19,19056.27,6508.4,28561.26
4227.0267,16041.9,7373.48,19255.21,28515.53,8966.02,18997.67,6342.84,28516.3
4227.0307,16044.48,7377.63,19246.96,28508.52,9050.18,18996.1,6370.59,28511.29
4227.0347,16082.67,7448.58,19361.59,28530.74,9482.91,19045.31,6518.75,28542.67
4227.0387,16114.67,7501.51,19459.39,28555.25,9736.49,19089.46,6617.21,28585.15
4227.0427,16103.46,7469.94,19413.9,28556.87,9460.16,19073.77,6527.0,28590.4
4227.0467,16067.08,7393.22,19274.28,28534.94,8996.44,19017.7,6360.87,28535.99
4227.0507,16079.24,7405.57,19270.09,28538.04,9075.69,19024.33,6394.43,28535.61
4227.0546,16116.76,7476.47,19389.2,28557.02,9523.15,19070.2,6550.36,28575.85
4227.0586,16138.22,7517.72,19475.65,28575.19,9750.8,19104.48,6633.47,28608.09
4227.0626,16122.53,7480.48,19423.39,28570.7,9451.82,19081.93,6538.11,28603.13
4227.0666,16081.95,7402.85,19282.1,28545.38,8998.35,19021.23,6370.45,28541.52
4227.0706,16082.77,7403.42,19262.13,28537.09,9067.87,19010.07,6382.08,28519.73
4227.0746,16125.63,7481.53,19385.24,28563.12,9526.21,19069.39,6547.02,28567.7
4227.0786,16147.57,7526.68,19473.7,28583.05,9764.72,19106.68,6633.76,28598.17
4227.0826,16119.2,7477.09,19405.56,28569.42,9453.49,19072.68,6518.89,28559.12
4227.0866,16075.18,7395.84,19260.93,28539.42,8973.89,19005.49,6346.75,28505.61
4227.0906,16078.76,7397.8,19250.3,28535.8,9048.7,19003.97,6373.07,28502.9
4227.0946,16111.85,7466.84,19367.89,28556.02,9484.53,19055.65,6528.81,28543.0
4227.0986,16134.12,7514.05,19461.35,28577.95,9741.45,19097.95,6622.94,28584.67
4227.1026,16102.7,7468.89,19409.85,28561.79,9463.17,19066.53,6530.95,28572.47
4227.1066,16054.58,7389.45,19273.24,28531.08,9002.45,19001.2,6365.49,28519.35
4227.1106,16049.1,7384.3,19252.11,28523.69,9033.87,18993.86,6375.46,28510.72
4227.1146,16090.68,7458.21,19371.94,28550.96,9490.3,19049.55,6538.92,28558.4
4227.1186,16115.86,7504.18,19463.02,28573.18,9739.73,19085.7,6625.84,28591.35
4227.1226,16101.65,7469.32,19417.19,28572.04,9463.07,19067.58,6534.77,28585.96
4227.1266,16066.46,7397.89,19289.16,28550.1,9010.75,19016.89,6379.61,28541.19
4227.1306,16064.79,7394.6,19270.23,28535.23,9063.2,19003.39,6390.86,28516.34
4227.1346,16101.55,7463.89,19385.34,28548.77,9502.79,19047.41,6544.64,28560.12
4227.1386,16133.93,7516.67,19483.52,28574.9,9750.13,19095.8,6640.34,28608.61
4227.1426,16115.14,7478.29,19430.21,28571.04,9464.27,19073.44,6543.45,28596.36
4227.1466,16075.71,7401.99,19294.41,28551.11,9010.22,19018.46,6381.27,28543.09
4227.1506,16073.37,7398.61,19272.76,28537.23,9056.71,19005.11,6392.0,28527.55
4227.1546,16112.76,7467.37,19384.43,28564.17,9490.11,19056.37,6541.63,28562.93
4227.1586,16139.41,7515.24,19476.27,28584.58,9747.12,19096.42,6631.61,28594.26
4227.1626,16120.48,7479.0,19426.21,28579.72,9486.49,19074.73,6538.87,28575.71
4227.1666,16082.15,7405.33,19293.93,28552.06,9028.58,19018.22,6377.75,28528.5
4227.1706,16080.81,7405.38,19272.0,28540.28,9049.94,19012.22,6383.04,28517.77
4227.1746,16113.9,7471.85,19377.62,28560.93,9485.72,19058.9,6531.43,28550.29
4227.1786,16134.31,7514.14,19465.4,28581.91,9750.51,19093.94,6617.02,28565.36
4227.1825,16119.01,7481.1,19420.91,28583.2,9502.79,19079.35,6530.52,28561.4
4227.1865,16076.52,7404.28,19286.92,28555.06,9048.75,19022.51,6372.74,28521.68
4227.1905,16069.13,7399.23,19260.22,28538.52,9063.72,19012.36,6379.37,28510.62
4227.1945,16106.42,7469.61,19376.23,28559.02,9499.22,19062.62,6539.87,28558.64
4227.1985,16131.88,7518.82,19474.37,28583.82,9780.07,19105.68,6640.15,28595.83
4227.2025,16118.96,7487.44,19437.03,28586.77,9533.17,19092.09,6557.47,28592.78
4227.2065,16078.81,7409.43,19304.56,28560.21,9066.63,19038.63,6399.49,28554.49
4227.2105,16073.61,7403.66,19281.2,28553.63,9105.59,19034.53,6414.22,28546.53
4227.2145,16110.33,7467.94,19391.73,28577.0,9534.22,19083.45,6564.47,28588.06
4227.2185,16130.35,7508.9,19477.66,28588.78,9789.85,19114.35,6646.87,28612.71
4227.2225,16106.27,7466.84,19424.49,28570.32,9521.2,19081.31,6551.46,28593.97
4227.2265,16081.53,7402.23,19295.89,28559.02,9072.26,19035.63,6398.34,28547.43
4227.2305,16092.68,7408.1,19273.86,28565.55,9090.81,19035.53,6403.16,28530.12
4227.2345,16136.36,7482.82,19388.63,28586.34,9518.58,19087.27,6551.79,28579.0
4227.2385,16161.73,7530.98,19482.14,28597.84,9782.22,19122.94,6643.34,28609.57
4227.2425,16136.55,7492.26,19434.12,28579.76,9523.77,19093.13,6550.55,28589.3
4227.2464,16101.41,7423.93,19311.14,28555.97,9072.21,19045.78,6397.63,28546.48
4227.2504,16104.51,7424.55,19290.64,28552.54,9081.32,19044.16,6403.92,28534.51
4227.2544,16140.42,7494.26,19402.27,28571.51,9508.42,19091.89,6553.89,28572.04
4227.2584,16160.01,7540.08,19493.44,28586.87,9777.5,19129.18,6648.73,28602.51
4227.2624,16140.56,7503.75,19445.33,28584.34,9524.68,19108.35,6557.32,28587.77
4227.2664,16091.78,7422.5,19303.47,28549.34,9039.07,19041.97,6384.75,28532.84
4227.2704,16087.06,7417.11,19279.39,28540.47,9060.43,19030.05,6391.05,28519.59
4227.2744,16115.0,7480.29,19385.48,28562.02,9490.73,19073.73,6536.68,28555.73
4227.2784,16133.12,7521.06,19472.03,28582.29,9741.98,19105.25,6622.17,28583.63
4227.2824,16107.75,7479.86,19419.77,28569.18,9466.08,19072.73,6526.33,28557.88
4227.2864,16064.36,7404.09,19286.78,28541.85,8991.0,19015.7,6366.97,28511.0
4227.2904,16063.64,7403.28,19267.75,28540.66,9031.54,19013.36,6385.57,28518.87
