TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4227.0065,-443.47,-118.035,883.585,-2380.0,-5915.0,1820.0,343.52,63.84,-124.64
4227.0565,-441.884,-122.427,892.064,-2318.75,-6011.25,2152.5,348.08,51.68,-127.68
4227.1065,-438.651,-123.83,886.391,-1496.25,-6116.25,1155.0,366.32,65.36,-123.12
4227.1565,-437.492,-118.279,887.428,-866.25,-4908.75,131.25,338.96,65.36,-121.6
4227.2066,-443.47,-113.643,884.744,-962.5,-4427.5,481.25,349.6,72.96,-120.08
4227.2565,-446.642,-110.593,886.208,-1470.0,-4716.25,1435.0,349.6,57.76,-130.72
4227.3066,-443.348,-112.911,882.792,-1041.25,-5451.25,2572.5,332.88,57.76,-129.2
4227.3565,-440.725,-110.349,882.914,-1750.0,-4978.75,1916.25,361.76,65.36,-120.08
4227.4065,-448.716,-112.179,888.831,-542.5,-4322.5,1671.25,348.08,59.28,-145.92
4227.4565,-447.496,-115.473,885.232,-1443.75,-6737.5,542.5,329.84,59.28,-130.72
4227.5065,-431.758,-109.556,877.485,-586.25,-6475.0,1260.0,343.52,62.32,-150.48
4227.5565,-443.531,-109.312,892.796,-1373.75,-4943.75,1443.75,352.64,76.0,-126.16
4227.6065,-446.276,-110.898,887.977,-1085.0,-5372.5,726.25,349.6,47.12,-138.32
4227.6565,-439.688,-103.7,888.16,-2143.75,-5573.75,402.5,351.12,68.4,-141.36
4227.7065,-439.383,-112.789,888.709,-1837.5,-4401.25,-35.0,352.64,60.8,-132.24
4227.7565,-441.152,-111.813,889.258,-1557.5,-5241.25,157.5,367.84,65.36,-130.72
4227.8065,-442.372,-110.105,887.55,-1365.0,-5626.25,122.5,332.88,62.32,-139.84
4227.8565,-440.786,-111.02,887.794,-1365.0,-6081.25,157.5,349.6,57.76,-109.44
4227.9065,-435.235,-108.458,888.953,-1566.25,-5530.0,-201.25,348.08,62.32,-121.6
4227.9565,-438.468,-109.617,889.563,-1548.75,-5512.5,-166.25,348.08,59.28,-148.96
4228.0065,-436.028,-110.166,889.258,-1531.25,-5643.75,341.25,355.68,76.0,-130.72
4228.0565,-433.588,-113.704,890.112,-1662.5,-4917.5,288.75,342.0,77.52,-126.16
4228.1065,-439.505,-109.739,891.515,-3167.5,-5713.75,-525.0,361.76,53.2,-120.08
4228.1565,-433.405,-125.172,891.82,-1741.25,-6238.75,-770.0,355.68,62.32,-136.8
4228.2065,-423.279,-115.351,888.587,-796.25,-6431.25,-778.75,363.28,60.8,-129.2
4228.2565,-423.706,-116.083,890.844,-1120.0,-4208.75,-52.5,351.12,71.44,-139.84
4228.3065,-436.333,-117.425,891.271,297.5,-3543.75,2896.25,334.4,69.92,-124.64
4228.3565,-438.041,-104.615,890.539,-1260.0,-4873.75,2747.5,348.08,62.32,-139.84
4228.4065,-432.612,-104.554,884.988,-1041.25,-3832.5,2633.75,345.04,62.32,-124.64
4228.4565,-446.825,-103.883,890.661,-2056.25,-3893.75,2511.25,357.2,66.88,-127.68
4228.5065,-444.446,-102.785,887.733,-1417.5,-5197.5,1942.5,340.48,59.28,-136.8
4228.5565,-437.553,-100.162,890.173,-2117.5,-4926.25,210.0,348.08,59.28,-109.44
4228.6065,-439.993,-104.31,886.635,-2651.25,-4996.25,-306.25,354.16,45.6,-124.64
4228.6565,-439.383,-108.519,885.415,-2913.75,-5031.25,-691.25,364.8,68.4,-145.92
4228.7065,-433.039,-115.9,885.537,-2292.5,-4873.75,-1067.5,332.88,62.32,-133.76
4228.7565,-441.701,-119.011,886.086,-1715.0,-4611.25,-770.0,351.12,62.32,-126.16
4228.8065,-449.509,-108.58,891.637,-1487.5,-5346.25,-350.0,355.68,88.16,-124.64
4228.8565,-430.477,-127.002,889.319,-2423.75,-7105.0,-813.75,361.76,68.4,-133.76
4228.9065,-427.976,-119.194,890.051,-1015.0,-6702.5,472.5,340.48,66.88,-141.36
4228.9565,-430.599,-109.861,893.65,-962.5,-5250.0,1785.0,349.6,66.88,-126.16
4229.0065,-430.294,-112.85,891.576,-1461.25,-5066.25,2038.75,346.56,63.84,-118.56
4229.0565,-431.331,-104.737,890.417,-2012.5,-4690.0,1566.25,354.16,66.88,-126.16
4229.1065,-430.66,-119.865,894.077,-2450.0,-3692.5,717.5,349.6,65.36,-133.76
4229.1565,-434.808,-116.266,888.526,-1400.0,-3797.5,918.75,338.96,68.4,-141.36
4229.2065,-442.86,-112.057,891.515,-1881.25,-3762.5,2091.25,322.24,69.92,-138.32
4229.2565,-436.882,-121.085,889.624,-1268.75,-5547.5,3053.75,351.12,66.88,-133.76
4229.3065,-433.1,-114.619,886.574,-315.0,-4873.75,3027.5,357.2,71.44,-126.16
4229.3565,-438.895,-100.467,885.781,-603.75,-3972.5,2625.0,352.64,57.76,-130.72
4229.4065,-441.152,-101.504,889.197,-1741.25,-4830.0,1995.0,352.64,60.8,-135.28
4229.4567,-439.383,-101.016,886.574,-1863.75,-5136.25,1715.0,352.64,59.28,-126.16
4229.5065,-443.531,-102.541,891.881,-1548.75,-5495.0,726.25,337.44,60.8,-133.76
4229.5566,-441.03,-106.567,890.051,-3045.0,-6037.5,-647.5,357.2,65.36,-136.8
4229.6065,-432.429,-109.434,889.075,-1400.0,-6807.5,26.25,346.56,54.72,-130.72
4229.6565,-432.429,-106.018,892.857,-1627.5,-5083.75,70.0,357.2,57.76,-142.88
4229.7065,-438.102,-103.883,891.271,-2091.25,-5530.0,218.75,345.04,76.0,-123.12
4229.7565,-434.32,-109.922,892.369,-2327.5,-5390.0,227.5,345.04,54.72,-152.0
4229.8065,-433.161,-112.423,892.918,-2091.25,-5267.5,253.75,352.64,71.44,-136.8
4229.8565,-435.113,-107.543,891.515,-1723.75,-5661.25,796.25,331.36,51.68,-129.2
4229.9065,-433.344,-108.946,894.321,-2878.75,-6221.25,393.75,358.72,41.04,-132.24
4229.9565,-429.013,-118.096,893.406,-2467.5,-6195.0,96.25,338.96,56.24,-136.8
4230.0065,-428.525,-114.07,890.417,-595.0,-4821.25,770.0,358.72,59.28,-132.24
4230.0565,-434.198,-104.676,891.088,-2038.75,-4768.75,516.25,354.16,66.88,-136.8
4230.1065,-434.198,-109.19,889.319,-1837.5,-5075.0,253.75,352.64,66.88,-127.68
4230.1565,-429.257,-115.9,891.759,-2310.0,-5923.75,-463.75,335.92,66.88,-130.72
4230.2065,-431.331,-115.29,898.347,-586.25,-5136.25,87.5,352.64,59.28,-136.8
4230.2565,-433.588,-114.375,895.846,-1461.25,-6317.5,-402.5,335.92,54.72,-141.36
4230.3065,-423.34,-106.262,889.685,-1723.75,-6326.25,245.0,348.08,74.48,-133.76
4230.3565,-423.645,-109.129,896.883,-1863.75,-5398.75,113.75,340.48,63.84,-145.92
4230.4065,-428.037,-114.131,897.798,-1548.75,-5477.5,-297.5,352.64,68.4,-135.28
4230.4565,-419.436,-115.107,897.371,-1653.75,-5110.0,-796.25,343.52,66.88,-139.84
4230.5065,-421.327,-117.73,895.785,-1050.0,-4121.25,-761.25,334.4,63.84,-124.64
4230.5565,-426.939,-110.959,894.504,-1373.75,-3990.0,122.5,366.32,59.28,-139.84
4230.6065,-429.135,-114.68,896.944,-1881.25,-4165.0,778.75,335.92,47.12,-132.24
4230.6565,-422.669,-114.802,891.576,-1321.25,-4445.0,1890.0,337.44,82.08,-135.28
4230.7065,-423.706,-113.765,894.016,-1312.5,-3815.0,1793.75,337.44,62.32,-152.0
4230.7565,-431.636,-110.227,891.881,-1671.25,-3333.75,1548.75,361.76,56.24,-127.68
4230.8065,-431.941,-111.691,890.173,-1085.0,-4226.25,761.25,345.04,62.32,-112.48
4230.8565,-432.917,-108.58,887.916,-1583.75,-3815.0,840.0,348.08,71.44,-127.68
4230.9065,-446.459,-100.772,894.077,-682.5,-4628.75,1688.75,342.0,63.84,-126.16
4230.9565,-432.246,-114.009,890.478,-2178.75,-6230.0,831.25,343.52,72.96,-138.32
