TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6637.5065,-371.368,-87.474,923.235,-1303.75,-5031.25,735.0,335.92,60.8,-147.44
6637.5565,-370.941,-86.803,922.686,-2248.75,-4620.0,910.0,342.0,39.52,-144.4
6637.6065,-372.466,-92.171,922.869,-1811.25,-4392.5,1146.25,355.68,60.8,-152.0
6637.6565,-375.333,-92.049,923.967,-1618.75,-5057.5,980.0,343.52,42.56,-155.04
6637.7065,-371.978,-89.487,923.784,-1592.5,-5565.0,175.0,335.92,66.88,-147.44
6637.7565,-372.954,-91.561,923.845,-1452.5,-5810.0,-306.25,326.8,51.68,-141.36
6637.8065,-368.074,-88.755,921.954,-1330.0,-5468.75,-148.75,346.56,51.68,-158.08
6637.8565,-369.233,-89.975,927.261,-936.25,-5337.5,306.25,332.88,54.72,-156.56
6637.9065,-371.063,-88.023,926.468,-2476.25,-6623.75,-157.5,322.24,41.04,-144.4
6637.9565,-356.728,-96.99,923.723,-1093.75,-6090.0,-61.25,332.88,50.16,-152.0
6638.0065,-363.682,-85.278,929.091,-1426.25,-4121.25,323.75,346.56,62.32,-136.8
6638.0565,-363.804,-86.864,926.895,-2248.75,-4646.25,43.75,366.32,47.12,-170.24
6638.1065,-359.839,-91.073,923.784,-2546.25,-3605.0,-70.0,337.44,51.68,-156.56
6638.1565,-372.161,-99.125,925.065,-2143.75,-3657.5,-315.0,343.52,57.76,-153.52
6638.2065,-368.806,-97.112,920.856,-1671.25,-4191.25,-402.5,342.0,57.76,-141.36
6638.2565,-370.819,-96.441,924.882,-1636.25,-3815.0,218.75,340.48,48.64,-150.48
6638.3065,-372.527,-96.075,923.601,-1531.25,-3946.25,1041.25,345.04,56.24,-158.08
6638.3565,-373.747,-96.807,923.723,-1225.0,-4278.75,1408.75,334.4,50.16,-148.96
6638.4065,-373.686,-93.818,924.211,-1058.75,-5048.75,1076.25,346.56,50.16,-155.04
6638.4565,-373.625,-92.964,921.344,-980.0,-5267.5,735.0,348.08,51.68,-150.48
