TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5135.4812,-346.907,-147.864,927.932,-1540.0,-5171.25,516.25,331.36,54.72,-148.96
5135.5312,-347.151,-143.716,927.871,-1566.25,-5083.75,358.75,329.84,63.84,-162.64
5135.5812,-345.565,-144.631,927.993,-1750.0,-4908.75,122.5,342.0,60.8,-152.0
5135.6312,-347.517,-147.803,931.47,-1452.5,-5145.0,498.75,331.36,72.96,-148.96
5135.6812,-345.748,-143.106,927.932,-1592.5,-4917.5,577.5,337.44,54.72,-148.96
5135.7312,-349.713,-144.082,930.433,-735.0,-4532.5,1251.25,328.32,66.88,-165.68
5135.7812,-350.567,-140.849,930.555,-2703.75,-5766.25,-218.75,332.88,47.12,-164.16
5135.8312,-336.598,-149.816,927.993,-533.75,-5311.25,498.75,329.84,60.8,-156.56
5135.8812,-340.197,-141.703,931.104,-953.75,-4497.5,1426.25,334.4,74.48,-159.6
5135.9312,-350.689,-140.056,929.945,-1828.75,-4777.5,962.5,326.8,65.36,-147.44
5135.9812,-341.051,-143.899,928.664,-1295.0,-4996.25,752.5,323.76,80.56,-152.0
5136.0312,-342.881,-143.106,926.773,-2336.25,-4418.75,-43.75,328.32,76.0,-142.88
5136.0812,-345.077,-142.984,927.139,-1618.75,-4865.0,140.0,335.92,69.92,-150.48
5136.1312,-345.077,-143.899,927.932,-1820.0,-5013.75,393.75,348.08,72.96,-158.08
5136.1812,-346.175,-148.169,930.311,-1715.0,-4768.75,778.75,329.84,72.96,-142.88
5136.2312,-345.687,-147.498,929.396,-1435.0,-4760.0,630.0,335.92,82.08,-153.52
5136.2812,-344.528,-145.912,927.444,-1260.0,-4760.0,498.75,334.4,76.0,-155.04
5136.3313,-344.223,-146.156,924.089,-1776.25,-4585.0,560.0,325.28,66.88,-147.44
5136.3812,-348.432,-144.997,928.176,-1697.5,-5171.25,726.25,319.2,74.48,-141.36
5136.4313,-341.295,-145.058,927.139,-1540.0,-4900.0,700.0,323.76,54.72,-144.4
5136.4812,-344.894,-148.413,925.309,-1592.5,-4348.75,621.25,337.44,63.84,-152.0
5136.5312,-354.471,-139.202,928.664,-1365.0,-4882.5,621.25,323.76,62.32,-141.36
5136.5812,-338.855,-154.574,928.054,-1662.5,-5801.25,236.25,335.92,68.4,-145.92
5136.6312,-339.282,-140.971,929.152,-1076.25,-4331.25,953.75,329.84,63.84,-144.4
5136.6812,-346.541,-142.435,933.483,-1837.5,-4357.5,656.25,319.2,63.84,-162.64
5136.7312,-341.478,-149.633,930.006,-1732.5,-5118.75,183.75,342.0,60.8,-148.96
5136.7812,-341.173,-140.971,925.614,-1881.25,-4795.0,411.25,337.44,76.0,-145.92
5136.8312,-348.554,-146.278,927.688,-1592.5,-5145.0,393.75,337.44,54.72,-159.6
5136.8812,-341.905,-147.986,928.603,-1890.0,-4935.0,472.5,328.32,76.0,-159.6
5136.9312,-345.809,-148.352,929.64,-1846.25,-4637.5,262.5,332.88,72.96,-152.0
5136.9812,-343.674,-149.572,927.932,-1636.25,-4952.5,428.75,323.76,68.4,-158.08
5137.0312,-341.722,-145.912,927.749,-1557.5,-4690.0,778.75,329.84,71.44,-147.44
5137.0812,-345.199,-146.766,927.383,-1715.0,-4681.25,813.75,332.88,51.68,-165.68
5137.1312,-348.005,-146.278,929.518,-1478.75,-5101.25,866.25,334.4,60.8,-155.04
5137.1812,-345.748,-147.925,931.043,-1470.0,-5372.5,446.25,331.36,60.8,-150.48
5137.2312,-347.517,-149.206,929.396,-1828.75,-4725.0,446.25,337.44,63.84,-164.16
5137.2812,-350.445,-141.398,930.738,-586.25,-4856.25,971.25,342.0,63.84,-155.04
5137.3312,-351.055,-145.241,932.446,-2301.25,-6326.25,428.75,351.12,77.52,-155.04
5137.3812,-331.291,-141.703,923.723,-901.25,-5503.75,1050.0,316.16,50.16,-158.08
5137.4312,-340.746,-144.631,932.69,-1758.75,-4278.75,420.0,338.96,65.36,-152.0
5137.4812,-344.284,-146.583,929.762,-1443.75,-5197.5,332.5,307.04,72.96,-152.0
5137.5312,-343.796,-141.886,929.274,-1811.25,-4156.25,481.25,323.76,79.04,-161.12
5137.5812,-344.955,-148.413,930.86,-2555.0,-4812.5,551.25,332.88,63.84,-141.36
5137.6312,-343.735,-146.949,929.274,-1557.5,-5092.5,376.25,323.76,76.0,-164.16
5137.6812,-343.552,-143.838,929.823,-1951.25,-4270.0,183.75,328.32,65.36,-144.4
5137.7312,-346.053,-148.352,929.64,-1758.75,-4742.5,358.75,331.36,62.32,-152.0
5137.7812,-343.43,-148.474,928.542,-1277.5,-4838.75,385.0,326.8,63.84,-168.72
5137.8312,-341.905,-144.814,928.786,-1610.0,-4926.25,525.0,331.36,60.8,-138.32
5137.8812,-342.576,-151.097,927.444,-1540.0,-4970.0,201.25,316.16,68.4,-152.0
5137.9312,-340.197,-149.572,927.993,-1023.75,-5022.5,175.0,335.92,56.24,-145.92
5137.9812,-341.966,-143.899,928.847,-1478.75,-4847.5,131.25,334.4,76.0,-147.44
5138.0312,-344.65,-144.448,930.433,-901.25,-4357.5,980.0,319.2,65.36,-152.0
5138.0812,-346.358,-147.437,930.799,-2616.25,-5608.75,455.0,326.8,71.44,-152.0
5138.1312,-339.709,-150.304,929.091,262.5,-5845.0,1688.75,326.8,66.88,-156.56
5138.1812,-338.367,-139.446,930.982,-1286.25,-4007.5,2196.25,304.0,82.08,-150.48
5138.2312,-346.48,-143.411,928.603,-1330.0,-4156.25,1793.75,328.32,68.4,-139.84
5138.2812,-342.21,-140.666,927.139,-280.0,-4830.0,1566.25,337.44,68.4,-156.56
5138.3312,-343.735,-137.738,926.773,-1618.75,-4663.75,883.75,328.32,71.44,-147.44
5138.3812,-346.785,-138.714,929.335,-1688.75,-4742.5,192.5,337.44,79.04,-152.0
5138.4312,-344.955,-140.544,927.017,-2126.25,-4873.75,-280.0,322.24,69.92,-158.08
5138.4813,-344.101,-143.228,927.261,-2135.0,-4760.0,-306.25,326.8,63.84,-145.92
5138.5312,-342.637,-145.973,927.322,-1802.5,-4978.75,-210.0,328.32,66.88,-142.88
5138.5812,-342.393,-147.803,929.335,-1706.25,-4742.5,-175.0,329.84,62.32,-155.04
5138.6312,-342.759,-144.753,926.224,-1960.0,-5180.0,-262.5,342.0,63.84,-150.48
5138.6812,-341.905,-149.084,928.847,-1487.5,-5092.5,315.0,334.4,68.4,-148.96
5138.7312,-338.794,-144.753,927.81,-1268.75,-4847.5,962.5,337.44,68.4,-171.76
5138.7812,-341.966,-150.243,928.969,-1443.75,-4165.0,1575.0,337.44,63.84,-158.08
5138.8312,-348.371,-139.019,929.152,-2196.25,-5530.0,848.75,340.48,65.36,-164.16
5138.8812,-337.635,-152.073,930.25,-1618.75,-5223.75,446.25,338.96,63.84,-158.08
5138.9312,-338.55,-139.141,929.64,-901.25,-4200.0,910.0,328.32,59.28,-142.88
5138.9812,-344.284,-138.043,930.86,-1618.75,-3998.75,1321.25,342.0,63.84,-153.52
5139.0312,-343.918,-143.777,930.433,-2152.5,-4707.5,472.5,314.64,63.84,-162.64
5139.0812,-343.186,-142.374,928.969,-2327.5,-4226.25,17.5,332.88,71.44,-159.6
5139.1312,-344.345,-147.437,930.067,-1785.0,-4217.5,-332.5,337.44,72.96,-158.08
