TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4749.7614,20870.64,13696.48,20106.37,15791.47,17240.72,-6658.41,21676.59,29159.69
4749.7654,20860.91,13660.34,20036.65,15756.75,17219.16,-6780.2,21645.21,29116.2
4749.7694,20871.07,13730.48,20217.61,15813.78,17311.86,-6527.04,21682.07,29183.3
4749.7734,20880.08,13805.49,20394.71,15877.06,17383.63,-6257.73,21729.38,29268.65
4749.7774,20873.5,13782.6,20335.39,15861.18,17337.47,-6321.86,21725.61,29260.07
4749.7814,20857.38,13683.46,20095.68,15782.79,17225.22,-6664.52,21663.14,29150.92
4749.7854,20860.15,13657.86,20035.17,15766.05,17221.07,-6771.9,21648.12,29112.72
4749.7894,20872.55,13729.53,20216.85,15824.42,17312.58,-6524.61,21684.94,29181.91
4749.7934,20875.27,13798.86,20386.41,15878.63,17372.8,-6266.02,21717.84,29258.54
4749.7974,20868.73,13778.5,20328.09,15863.28,17327.98,-6328.06,21713.35,29244.47
4749.8014,20853.33,13679.27,20087.82,15782.12,17218.02,-6676.87,21664.77,29155.21
4749.8054,20845.61,13647.84,20030.55,15753.27,17205.19,-6788.78,21634.15,29113.82
4749.8094,20859.24,13725.47,20219.71,15817.83,17305.28,-6522.51,21673.01,29178.19
4749.8134,20876.17,13805.1,20396.62,15886.36,17381.91,-6252.1,21724.8,29264.07
4749.8174,20876.84,13786.03,20334.2,15872.53,17338.9,-6324.96,21721.99,29256.92
4749.8214,20860.63,13690.19,20102.41,15785.84,17222.31,-6662.32,21670.63,29159.02
4749.8253,20860.87,13661.53,20042.56,15761.14,17214.16,-6769.71,21657.95,29126.08
4749.8293,20875.55,13736.77,20228.34,15824.99,17312.24,-6520.75,21692.66,29195.74
4749.8333,20880.27,13808.59,20399.33,15875.63,17369.32,-6267.88,21723.65,29264.41
4749.8373,20875.98,13789.89,20344.12,15862.99,17327.98,-6323.43,21714.17,29248.77
4749.8413,20865.49,13692.57,20098.64,15786.75,17219.59,-6673.62,21663.86,29151.73
4749.8453,20866.21,13668.54,20048.24,15768.29,17221.12,-6776.43,21650.13,29125.65
