TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4169.8414,21116.45,8606.96,16448.45,13782.88,17207.15,-9980.82,20459.8,27283.43
4169.8454,21119.07,8622.84,16509.39,13792.56,17241.15,-9923.65,20462.56,27293.73
4169.8494,21132.57,8698.46,16702.65,13849.88,17326.88,-9663.63,20505.14,27376.46
4169.8534,21134.28,8729.74,16771.18,13869.95,17342.9,-9553.34,20518.97,27408.89
4169.8574,21124.27,8672.33,16611.82,13828.23,17266.94,-9747.98,20492.6,27354.39
4169.8614,21114.97,8605.72,16444.73,13783.27,17204.14,-9984.69,20456.7,27280.24
4169.8654,21117.17,8622.31,16507.01,13792.71,17236.66,-9928.85,20460.7,27292.02
4169.8694,21128.04,8694.36,16696.98,13842.39,17316.49,-9675.12,20498.95,27366.59
4169.8734,21136.67,8732.99,16775.18,13872.01,17346.29,-9549.19,20528.03,27412.37
4169.8774,21128.13,8677.48,16617.49,13831.76,17271.66,-9739.73,20503.24,27360.01
4169.8814,21115.93,8605.96,16445.88,13779.21,17201.85,-9983.97,20460.37,27282.91
4169.8854,21121.17,8622.46,16506.72,13789.8,17239.33,-9927.56,20461.99,27291.3
4169.8894,21138.0,8698.99,16701.13,13850.69,17328.55,-9668.64,20505.38,27374.89
4169.8934,21136.62,8731.22,16776.28,13870.91,17341.33,-9548.14,20522.93,27415.23
4169.8974,21122.51,8671.09,16609.81,13827.04,17260.55,-9748.27,20492.75,27354.53
4169.9014,21112.3,8601.52,16436.86,13778.12,17196.18,-9992.08,20452.41,27277.76
4169.9053,21117.45,8624.46,16509.39,13794.71,17239.38,-9923.7,20461.47,27297.36
4169.9093,21129.75,8697.99,16696.03,13845.16,17319.25,-9676.79,20501.9,27373.17
4169.9133,21136.57,8735.9,16774.37,13874.44,17346.48,-9550.33,20526.55,27415.23
4169.9173,21120.6,8671.95,16608.43,13828.04,17261.22,-9751.75,20491.55,27353.91
4169.9213,21107.25,8596.42,16434.96,13776.59,17191.98,-9998.66,20450.64,27275.37
4169.9253,21113.16,8615.64,16506.15,13792.75,17235.09,-9934.52,20460.08,27292.64
4169.9293,21127.61,8693.93,16701.84,13850.36,17320.59,-9672.98,20504.19,27376.85
4169.9333,21132.85,8729.46,16772.32,13876.01,17342.24,-9551.48,20527.03,27417.85
4169.9373,21121.46,8670.95,16610.05,13834.62,17264.8,-9745.31,20495.7,27357.96
4169.9413,21107.06,8596.37,16435.34,13778.12,17194.03,-9988.12,20451.98,27273.32
4169.9453,21112.59,8615.69,16502.62,13789.89,17232.56,-9931.37,20458.75,27286.49
4169.9493,21131.66,8698.66,16703.75,13850.64,17325.4,-9670.12,20504.52,27370.98
4169.9533,21138.48,8735.85,16776.71,13877.82,17346.05,-9554.34,20528.13,27418.33
4169.9573,21130.76,8679.58,16612.29,13838.72,17268.76,-9746.74,20497.52,27358.68
4169.9613,21121.46,8606.86,16437.72,13787.18,17200.42,-9992.22,20453.74,27275.23
4169.9653,21126.89,8625.99,16510.87,13799.81,17240.57,-9930.8,20466.57,27300.36
4169.9693,21139.53,8701.13,16702.13,13854.46,17324.31,-9680.75,20506.48,27381.8
4169.9733,21142.77,8736.23,16780.9,13881.88,17346.77,-9552.77,20527.27,27423.67
4169.9773,21129.99,8679.2,16626.98,13841.34,17271.57,-9733.01,20499.85,27368.26
4169.9813,21112.49,8601.95,16444.73,13782.31,17193.99,-9991.6,20452.41,27280.24
4169.9853,21111.2,8610.92,16487.12,13786.6,17219.16,-9958.17,20448.83,27280.0
