TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4521.4127,21835.62,11693.15,18659.5,14755.25,17064.0,-7833.91,20786.67,28218.18
4521.4167,21848.68,11749.89,18774.7,14803.6,17106.58,-7649.57,20823.77,28280.88
4521.4207,21845.44,11700.54,18634.23,14771.84,17040.68,-7824.71,20803.88,28237.06
4521.4247,21831.71,11610.32,18423.13,14702.46,16953.52,-8128.5,20751.24,28138.55
4521.4287,21836.57,11618.81,18463.28,14702.13,16986.18,-8100.13,20751.43,28147.13
4521.4327,21853.88,11706.83,18671.9,14777.81,17083.31,-7813.07,20798.73,28232.53
4521.4367,21862.08,11759.47,18784.19,14820.24,17123.61,-7637.79,20832.45,28289.56
4521.4407,21851.54,11707.93,18644.72,14776.85,17046.6,-7816.22,20807.17,28243.35
4521.4447,21836.28,11619.52,18433.95,14708.9,16958.86,-8114.96,20758.06,28152.14
4521.4487,21838.57,11619.43,18453.31,14710.81,16980.6,-8107.95,20755.87,28146.7
4521.4527,21857.45,11703.06,18659.74,14775.71,17072.16,-7825.57,20803.12,28232.15
4521.4567,21865.75,11763.29,18788.48,14821.86,17127.13,-7618.95,20845.84,28305.96
4521.4607,21853.59,11711.07,18652.01,14786.87,17058.42,-7783.03,20818.43,28253.84
4521.4647,21835.23,11616.85,18435.62,14712.05,16960.38,-8097.98,20761.54,28154.14
4521.4687,21834.47,11615.56,18449.98,14710.05,16977.84,-8105.99,20753.2,28142.41
4521.4727,21849.83,11695.82,18653.73,14774.94,17074.68,-7829.14,20797.92,28224.71
4521.4766,21855.21,11750.37,18779.57,14811.8,17115.64,-7639.74,20830.4,28287.46
4521.4806,21845.3,11702.06,18641.43,14774.85,17043.16,-7815.51,20804.69,28239.78
4521.4846,21833.57,11614.47,18425.42,14710.0,16962.1,-8126.36,20758.92,28150.18
4521.4886,21843.29,11628.77,18469.48,14722.87,16999.58,-8094.12,20768.5,28161.34
4521.4926,21859.6,11710.93,18671.13,14780.09,17089.42,-7814.84,20818.05,28251.6
4521.4966,21862.65,11762.43,18789.82,14819.62,17123.51,-7629.78,20838.98,28296.04
4521.5006,21853.93,11712.74,18653.06,14790.3,17050.98,-7803.49,20810.08,28246.07
4521.5046,21837.38,11618.9,18433.86,14711.67,16957.0,-8116.39,20758.97,28152.28
4521.5086,21840.29,11626.63,18468.53,14717.58,16992.86,-8092.12,20761.44,28156.24
4521.5126,21860.03,11712.98,18677.52,14782.86,17092.18,-7807.49,20809.94,28244.45
4521.5166,21864.08,11763.38,18787.62,14822.25,17129.14,-7635.21,20837.64,28295.0
4521.5206,21855.83,11713.65,18652.39,14786.15,17053.42,-7807.83,20816.04,28249.36
4521.5246,21845.96,11627.15,18442.25,14727.07,16974.12,-8107.0,20770.74,28159.67
4521.5286,21850.78,11631.49,18469.53,14732.98,17002.06,-8091.5,20767.74,28156.81
4521.5326,21857.93,11705.35,18663.36,14783.67,17076.16,-7827.86,20800.26,28230.15
4521.5366,21862.89,11759.38,18786.0,14822.15,17117.45,-7633.93,20831.25,28290.47
4521.5406,21852.45,11709.83,18653.3,14789.73,17051.56,-7796.38,20803.6,28236.06
4521.5446,21835.04,11618.66,18440.53,14710.14,16958.38,-8108.43,20758.06,28153.52
4521.5486,21837.62,11619.0,18455.17,14701.23,16977.36,-8114.91,20757.15,28146.94
4521.5526,21852.21,11699.49,18655.92,14771.03,17068.44,-7836.1,20800.12,28228.76
4521.5566,21860.55,11756.8,18783.62,14816.1,17113.26,-7635.55,20828.3,28284.46
4521.5606,21855.98,11711.41,18653.68,14783.91,17046.6,-7792.9,20804.46,28240.16
4521.5646,21838.76,11618.33,18436.58,14710.38,16958.62,-8109.48,20755.25,28147.7
4521.5686,21838.38,11621.14,18461.9,14710.33,16982.65,-8101.27,20758.68,28150.8
4521.5726,21850.16,11699.68,18657.54,14771.75,17069.87,-7832.24,20796.44,28223.47
4521.5766,21859.74,11763.05,18785.0,14817.43,17119.36,-7633.35,20833.3,28292.47
4521.5806,21855.79,11726.29,18660.02,14792.97,17061.24,-7786.13,20809.65,28241.02
4521.5846,21839.1,11636.54,18443.44,14717.49,16965.92,-8096.41,20757.63,28145.08
4521.5886,21832.47,11625.39,18445.4,14699.37,16962.34,-8122.49,20746.9,28137.4
4521.5926,21847.16,11708.4,18645.57,14768.22,17058.52,-7848.98,20787.72,28212.74
4521.5966,21858.31,11773.02,18782.28,14817.91,17111.35,-7642.46,20828.06,28284.65
4521.6006,21850.21,11728.57,18660.93,14786.87,17051.51,-7788.8,20807.84,28245.98
4521.6045,21834.76,11637.26,18443.78,14714.53,16959.86,-8099.18,20754.72,28150.51
4521.6085,21840.0,11632.92,18448.93,14711.72,16977.36,-8117.72,20750.72,28137.97
4521.6125,21853.16,11714.75,18649.72,14774.66,17069.87,-7841.4,20795.82,28222.99
4521.6165,21861.08,11775.78,18783.62,14821.2,17120.08,-7634.35,20830.4,28289.85
4521.6205,21853.26,11733.49,18663.07,14789.11,17050.7,-7783.65,20807.32,28246.69
4521.6245,21838.81,11644.98,18450.79,14724.45,16969.16,-8088.21,20762.88,28160.86
4521.6285,21839.34,11638.69,18453.36,14714.72,16980.46,-8106.66,20752.81,28149.61
4521.6325,21853.97,11719.47,18654.44,14777.71,17075.21,-7831.19,20799.73,28229.91
4521.6365,21862.6,11778.55,18788.39,14824.3,17120.32,-7626.49,20835.78,28294.14
