TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1109.6106,33157.26,55175.02,50091.94,49122.15,61786.95,28320.17,61496.65,56168.04
1109.6146,28773.22,51265.39,46579.41,44869.19,57498.89,27662.42,57311.88,52149.35
1109.6186,30400.57,51921.56,45532.04,46587.38,59154.71,25701.67,58929.55,53316.79
1109.6226,35891.35,56329.54,48512.32,51986.03,64555.75,25138.29,64205.18,58146.53
1109.6266,37476.64,58261.12,51302.11,53433.62,66064.51,26777.22,65688.05,59818.7
1109.6306,33167.94,55185.94,50093.23,49134.45,61799.1,28290.23,61510.71,56168.71
1109.6346,28789.95,51283.79,46599.68,44884.5,57514.05,27661.76,57321.56,52151.64
1109.6386,30372.19,51889.81,45508.01,46546.75,59114.42,25678.69,58888.97,53279.26
1109.6426,35873.51,56298.36,48484.24,51955.28,64526.33,25110.96,64174.28,58118.87
1109.6466,37496.86,58258.49,51288.75,53439.29,66080.39,26753.14,65690.14,59815.37
1109.6506,33204.46,55209.69,50107.15,49154.57,61832.01,28277.88,61543.19,56197.13
1109.6546,28791.38,51281.65,46607.4,44881.4,57512.1,27657.23,57321.22,52148.78
1109.6586,30345.35,51869.49,45501.0,46525.15,59091.19,25689.27,58865.84,53260.38
1109.6626,35839.8,56270.84,48456.58,51931.34,64498.38,25110.53,64146.34,58097.8
1109.6666,37494.71,58255.77,51281.03,53450.4,66081.34,26756.96,65692.58,59817.61
1109.6706,33197.07,55203.73,50103.62,49159.34,61826.28,28284.7,61541.66,56194.46
1109.6745,28781.75,51279.12,46605.64,44872.43,57503.42,27661.47,57324.89,52156.98
1109.6785,30319.55,51846.37,45486.46,46493.2,59061.34,25686.08,58838.57,53234.25
1109.6825,35836.18,56262.83,48451.05,51921.33,64487.18,25117.07,64132.79,58070.95
1109.6865,37511.11,58263.98,51282.6,53463.8,66095.31,26752.43,65705.35,59820.18
1109.6905,33222.06,55224.85,50126.51,49184.95,61853.61,28284.7,61569.98,56217.15
1109.6945,28770.5,51269.97,46602.78,44865.9,57494.36,27657.32,57306.68,52136.05
1109.6985,30389.79,51905.11,45506.53,46576.79,59140.12,25677.11,58918.15,53300.39
1109.7025,36016.61,56421.86,48571.69,52107.67,64674.53,25120.4,64319.81,58246.71
1109.7065,37500.77,58284.91,51349.69,53453.26,66085.87,26827.82,65698.63,59820.42
1109.7105,33237.89,55243.07,50127.94,49201.69,61868.39,28303.44,61587.58,56229.55
1109.7145,28780.75,51293.38,46640.45,44866.57,57501.28,27696.66,57323.51,52157.89
1109.7185,30314.97,51847.61,45466.62,46495.87,59061.49,25686.89,58846.39,53234.25
1109.7225,35982.99,56392.15,48542.08,52074.25,64639.1,25103.24,64291.91,58220.63
1109.7265,37450.94,58245.81,51318.17,53405.82,66035.99,26802.4,65659.1,59789.14
1109.7305,33183.63,55197.39,50094.66,49149.76,61814.7,28281.64,61538.37,56179.72
1109.7345,28714.14,51234.11,46586.9,44804.96,57438.67,27664.14,57269.72,52102.48
1109.7385,30218.84,51771.55,45417.08,46401.74,58967.93,25665.33,58765.18,53162.01
1109.7425,35812.67,56242.19,48414.38,51908.4,64472.11,25059.66,64125.97,58063.7
1109.7465,37412.41,58191.35,51239.4,53370.91,65996.46,26744.42,65612.51,59736.74
1109.7505,33022.22,55058.53,50002.29,48985.2,61647.09,28267.53,61372.05,56034.91
1109.7545,28619.72,51129.97,46464.26,44712.69,57339.1,27601.72,57171.59,52008.35
1109.7585,30234.96,51759.11,45379.36,46412.52,58977.8,25595.91,58770.95,53159.86
1109.7625,35861.69,56269.03,48428.68,51947.74,64514.12,25031.95,64166.74,58097.66
1109.7665,37464.43,58223.87,51256.62,53416.45,66042.53,26722.82,65653.95,59767.44
1109.7705,33213.67,55205.88,50091.18,49174.98,61831.86,28240.02,61552.82,56203.47
1109.7745,28712.94,51228.24,46578.65,44807.73,57432.61,27642.01,57259.18,52099.76
1109.7785,30181.41,51736.17,45394.71,46368.32,58932.45,25659.9,58723.74,53121.1
1109.7825,35790.54,56213.58,48391.11,51878.12,64447.08,25044.49,64100.03,58031.52
1109.7865,37426.95,58189.3,51232.3,53372.34,66007.81,26717.48,65626.77,59743.94
1109.7905,33063.7,55084.62,50021.99,49021.25,61686.14,28254.85,61409.19,56065.14
1109.7945,28632.07,51139.79,46482.85,44720.8,57348.74,27613.26,57175.79,52010.35
1109.7985,30192.24,51728.92,45368.58,46369.75,58935.46,25621.23,58721.84,53109.32
1109.8024,35795.6,56209.81,48378.43,51878.98,64446.93,25024.37,64102.18,58036.76
1109.8064,37434.15,58189.59,51222.43,53381.21,66011.2,26683.57,65629.54,59750.61
1109.8104,33094.22,55110.84,50042.83,49045.85,61713.08,28242.93,61436.76,56096.7
1109.8144,28637.03,51145.32,46498.07,44715.7,57348.78,27604.39,57178.46,52016.31
