TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2123.4313,-315.919,-103.456,944.768,-1356.25,-5442.5,297.5,320.72,53.2,-205.2
2123.4812,-312.381,-103.822,946.415,-1793.75,-4970.0,315.0,323.76,34.96,-197.6
2123.5312,-310.734,-104.981,945.073,-1907.5,-4690.0,595.0,310.08,42.56,-185.44
2123.5812,-318.481,-106.506,948.062,-1671.25,-4987.5,271.25,322.24,36.48,-206.72
2123.6312,-312.625,-104.432,946.903,-1627.5,-5145.0,306.25,307.04,42.56,-177.84
2123.6812,-314.76,-110.288,945.256,-1251.25,-4427.5,910.0,308.56,45.6,-196.08
2123.7312,-316.834,-93.696,945.073,-1505.0,-5705.0,157.5,326.8,27.36,-190.0
2123.7812,-309.636,-105.53,947.33,-2021.25,-5302.5,315.0,308.56,48.64,-183.92
2123.8312,-312.625,-102.602,945.927,-1093.75,-4261.25,1338.75,319.2,50.16,-196.08
2123.8812,-317.139,-99.186,946.964,-1583.75,-4506.25,1478.75,310.08,42.56,-215.84
2123.9312,-314.943,-104.31,943.975,-2170.0,-4366.25,525.0,310.08,38.0,-203.68
2123.9812,-319.762,-101.077,941.901,-1916.25,-4060.0,-70.0,328.32,44.08,-186.96
2124.0312,-319.03,-102.053,944.463,-1811.25,-4646.25,262.5,311.6,45.6,-182.4
2124.0812,-319.457,-102.053,942.816,-2038.75,-4961.25,385.0,313.12,45.6,-185.44
2124.1312,-319.091,-108.641,945.805,-1933.75,-5416.25,315.0,313.12,31.92,-196.08
2124.1812,-317.566,-109.129,944.28,-1575.0,-5153.75,96.25,319.2,36.48,-185.44
2124.2312,-316.041,-105.042,943.853,-1207.5,-4917.5,682.5,307.04,51.68,-196.08
2124.2812,-317.993,-104.249,943.731,-1557.5,-5223.75,1461.25,311.6,51.68,-196.08
2124.3312,-314.577,-103.7,944.951,-1417.5,-5573.75,910.0,314.64,50.16,-209.76
2124.3812,-315.187,-102.663,944.951,-1496.25,-4891.25,52.5,310.08,51.68,-183.92
2124.4312,-313.235,-102.053,943.487,-1487.5,-4637.5,78.75,331.36,31.92,-185.44
2124.4812,-318.786,-106.018,943.609,-1522.5,-4191.25,1102.5,319.2,41.04,-190.0
2124.5312,-323.117,-95.099,944.646,-1942.5,-6011.25,498.75,319.2,24.32,-208.24
2124.5812,-309.148,-107.543,944.402,-2187.5,-5293.75,-437.5,305.52,31.92,-191.52
2124.6312,-311.649,-103.456,944.524,-1102.5,-4130.0,490.0,322.24,34.96,-197.6
2124.6812,-322.202,-99.735,946.903,-1767.5,-4663.75,1015.0,310.08,38.0,-193.04
2124.7312,-313.967,-106.262,942.938,-1793.75,-5451.25,586.25,313.12,31.92,-194.56
2124.7812,-316.956,-104.859,946.659,-1680.0,-5005.0,105.0,326.8,47.12,-200.64
2124.8312,-317.688,-106.445,945.5,-1443.75,-5328.75,-157.5,314.64,36.48,-193.04
2124.8812,-310.246,-103.151,945.317,-2056.25,-5258.75,122.5,328.32,47.12,-196.08
2124.9312,-313.967,-108.641,946.842,-1925.0,-4961.25,516.25,305.52,42.56,-191.52
2124.9812,-310.063,-107.787,945.256,-1023.75,-5118.75,857.5,334.4,34.96,-193.04
2125.0312,-316.468,-102.358,947.269,-1338.75,-4847.5,1618.75,313.12,38.0,-197.6
