TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5357.9716,21116.4,18174.17,23564.72,17212.01,17445.04,-4521.7,21905.14,30480.05
5357.9756,21123.46,18225.29,23684.93,17253.59,17513.9,-4347.04,21934.23,30535.61
5357.9796,21134.71,18298.82,23853.97,17324.35,17593.58,-4068.71,21975.19,30613.95
5357.9836,21130.76,18298.06,23858.07,17326.83,17578.65,-4043.91,21983.44,30629.92
5357.9876,21120.5,18214.85,23668.67,17256.79,17483.47,-4338.84,21935.37,30542.09
5357.9916,21114.64,18166.4,23559.62,17213.78,17450.48,-4522.04,21900.27,30480.77
5357.9956,21125.56,18219.95,23679.88,17264.56,17529.2,-4334.74,21930.94,30537.66
5357.9996,21126.7,18285.23,23841.53,17325.59,17593.2,-4067.33,21966.56,30611.71
5358.0036,21120.93,18280.22,23841.77,17326.98,17570.69,-4052.21,21967.84,30616.43
5358.0076,21109.01,18200.07,23658.04,17256.79,17476.27,-4342.51,21923.69,30532.84
5358.0116,21099.38,18151.91,23549.85,17206.62,17434.65,-4530.67,21887.97,30471.95
5358.0156,21107.15,18200.97,23663.38,17249.25,17503.45,-4357.67,21908.24,30512.19
5358.0196,21117.4,18273.69,23830.94,17315.34,17578.41,-4080.11,21952.3,30594.02
5358.0236,21113.83,18272.45,23830.61,17315.53,17559.72,-4064.42,21954.11,30600.5
5358.0276,21106.96,18192.01,23636.53,17244.25,17461.59,-4363.44,21904.95,30506.71
5358.0316,21105.58,18153.62,23536.83,17206.38,17432.17,-4532.43,21875.77,30448.77
5358.0355,21108.77,18204.74,23653.89,17250.4,17501.98,-4352.19,21899.94,30493.45
5358.0395,21117.5,18273.98,23815.3,17312.05,17572.79,-4082.3,21939.9,30569.89
5358.0435,21118.98,18276.5,23821.4,17315.34,17557.34,-4053.64,21946.67,30582.34
5358.0475,21109.06,18192.01,23623.42,17240.38,17458.77,-4356.1,21896.84,30487.49
5358.0515,21113.83,18154.77,23531.3,17205.29,17436.08,-4523.8,21874.48,30441.1
5358.0555,21125.75,18215.28,23666.1,17256.41,17511.27,-4335.07,21912.01,30508.81
5358.0595,21135.05,18286.99,23832.47,17319.35,17584.8,-4067.14,21957.59,30594.92
5358.0635,21135.0,18289.57,23841.1,17321.59,17571.98,-4038.05,21962.93,30607.13
5358.0675,21125.03,18207.12,23653.51,17248.82,17473.6,-4338.12,21917.97,30517.53
5358.0715,21126.42,18169.69,23558.33,17213.73,17449.43,-4510.02,21895.41,30468.94
5358.0755,21135.43,18227.15,23687.89,17260.7,17524.15,-4314.57,21928.93,30532.36
5358.0795,21143.58,18300.34,23855.98,17330.22,17599.97,-4035.62,21976.19,30621.2
5358.0835,21133.95,18292.1,23846.44,17326.93,17572.69,-4032.66,21975.71,30625.68
5358.0875,21119.84,18207.93,23655.8,17252.92,17474.99,-4333.31,21928.79,30538.28
5358.0915,21112.4,18161.35,23552.37,17209.34,17442.47,-4511.4,21900.32,30483.39
5358.0955,21113.78,18207.7,23670.58,17249.97,17506.27,-4330.4,21922.45,30534.13
5358.0995,21112.44,18270.11,23827.89,17311.34,17571.45,-4066.99,21949.96,30595.64
5358.1035,21105.1,18262.44,23819.12,17311.58,17548.13,-4061.56,21947.1,30596.07
5358.1075,21093.51,18179.23,23629.33,17239.52,17449.57,-4358.1,21901.09,30508.66
5358.1115,21089.79,18136.07,23525.96,17198.42,17415.91,-4534.15,21869.57,30446.49
5358.1155,21103.15,18192.67,23653.89,17248.82,17494.92,-4347.52,21902.37,30502.9
5358.1195,21114.11,18265.06,23820.21,17319.06,17571.83,-4076.62,21941.57,30582.19
5358.1235,21114.78,18269.02,23825.7,17325.83,17559.2,-4050.97,21945.05,30589.63
5358.1275,21106.91,18189.38,23635.49,17252.26,17460.54,-4346.85,21898.42,30498.79
5358.1315,21110.97,18151.76,23535.3,17212.54,17431.31,-4523.37,21874.05,30445.25
5358.1355,21127.61,18213.32,23664.52,17260.03,17510.65,-4334.74,21908.24,30503.56
5358.1395,21143.68,18294.86,23841.29,17330.93,17591.53,-4046.49,21960.21,30593.92
5358.1435,21149.07,18300.73,23847.2,17333.8,17577.22,-4023.08,21973.37,30611.04
5358.1475,21141.58,18221.33,23663.33,17262.37,17482.86,-4314.76,21930.84,30526.31
5358.1515,21137.57,18177.75,23561.15,17223.26,17452.62,-4496.77,21896.46,30468.71
5358.1555,21146.59,18230.58,23682.17,17269.9,17527.53,-4315.04,21924.98,30527.02
5358.1595,21157.08,18302.97,23854.26,17337.75,17604.5,-4041.62,21975.66,30620.24
5358.1634,21150.97,18302.82,23862.51,17334.37,17583.66,-4010.15,21982.34,30630.16
5358.1674,21132.09,18213.7,23673.44,17254.74,17481.23,-4304.36,21932.75,30540.71
5358.1714,21118.69,18156.63,23554.14,17201.23,17434.98,-4503.63,21895.6,30474.43
5358.1754,21119.98,18203.02,23661.52,17236.85,17500.55,-4340.94,21919.3,30518.01
5358.1794,21124.79,18275.88,23832.51,17300.85,17577.17,-4068.09,21964.03,30607.13
5358.1834,21114.92,18274.88,23840.53,17298.37,17555.1,-4049.97,21961.31,30613.47
5358.1874,21100.24,18191.82,23650.46,17226.22,17459.11,-4338.36,21908.86,30517.15
5358.1914,21093.51,18140.84,23530.39,17178.68,17417.58,-4533.01,21873.24,30451.25
5358.1954,21096.71,18186.05,23636.96,17220.02,17481.57,-4368.59,21892.79,30491.64
5358.1994,21112.11,18263.96,23810.63,17300.37,17565.92,-4079.15,21939.66,30575.95
5358.2034,21112.21,18264.96,23813.39,17306.04,17549.71,-4060.32,21944.81,30586.1
5358.2074,21100.76,18183.57,23624.47,17237.95,17456.01,-4355.96,21895.08,30494.98
5358.2114,21094.18,18133.93,23514.46,17192.51,17415.43,-4542.21,21859.36,30433.04
5358.2154,21107.53,18190.29,23638.44,17240.57,17490.48,-4361.11,21888.74,30482.49
5358.2194,21125.46,18273.31,23820.69,17314.34,17572.31,-4072.0,21940.47,30577.57
5358.2234,21134.76,18284.08,23832.13,17323.88,17563.58,-4043.2,21955.35,30594.54
5358.2273,21135.76,18212.46,23653.46,17259.55,17475.99,-4327.15,21915.34,30511.1
5358.2313,21140.39,18174.17,23553.56,17220.79,17448.0,-4505.44,21892.55,30460.6
5358.2353,21157.98,18235.02,23681.88,17273.0,17527.87,-4322.53,21930.12,30524.02
5358.2393,21170.19,18311.41,23854.69,17345.14,17609.17,-4045.63,21975.0,30610.95
5358.2433,21168.85,18314.89,23867.51,17351.58,17597.58,-4011.15,21985.25,30625.54
5358.2473,21157.7,18234.06,23684.93,17281.01,17503.41,-4294.54,21940.28,30538.94
5358.2513,21148.11,18180.13,23567.77,17225.65,17456.44,-4499.58,21906.33,30476.34
5358.2553,21150.88,18223.96,23674.01,17262.08,17520.67,-4344.8,21927.74,30521.06
5358.2593,21154.55,18295.72,23845.29,17326.02,17595.82,-4065.61,21972.09,30605.42
5358.2633,21143.63,18294.1,23854.69,17323.64,17576.51,-4035.43,21973.28,30615.05
5358.2673,21120.41,18206.98,23667.15,17240.72,17469.6,-4327.2,21922.21,30523.26
5358.2713,21105.44,18151.48,23543.98,17186.21,17420.06,-4530.19,21886.92,30456.83
5358.2753,21105.82,18194.82,23649.41,17223.07,17482.09,-4366.92,21907.52,30500.65
5358.2793,21107.01,18261.39,23814.06,17284.82,17555.05,-4096.08,21946.24,30580.29
5358.2833,21103.72,18265.01,23829.13,17292.5,17546.27,-4053.45,21951.82,30591.92
5358.2873,21092.23,18183.42,23643.07,17221.74,17446.57,-4340.22,21902.13,30502.08
5358.2913,21090.61,18134.5,23520.95,17174.39,17403.56,-4545.02,21865.47,30430.99
5358.2953,21100.95,18184.52,23629.0,17212.54,17469.74,-4388.76,21890.55,30476.57
5358.2993,21115.16,18263.72,23805.67,17279.44,17547.08,-4105.28,21937.75,30564.22
5358.3033,21123.32,18277.46,23828.32,17290.78,17539.46,-4054.79,21950.68,30587.01
5358.3073,21117.69,18205.98,23655.89,17224.03,17451.72,-4331.45,21911.43,30510.48
5358.3113,21120.26,18162.16,23538.83,17188.69,17421.15,-4524.09,21879.39,30442.29
5358.3153,21137.72,18216.56,23649.89,17239.14,17497.54,-4354.43,21911.29,30492.21
5358.3193,21153.26,18296.91,23829.75,17311.15,17581.32,-4064.8,21962.07,30585.72
5358.3233,21157.89,18309.07,23855.12,17324.4,17576.51,-4018.4,21975.66,30606.51
5358.3273,21155.17,18236.83,23681.55,17266.04,17490.39,-4301.74,21933.46,30528.22
5358.3313,21154.98,18186.52,23564.15,17219.59,17451.53,-4506.92,21898.32,30467.18
5358.3353,21163.66,18233.97,23672.06,17258.69,17519.05,-4350.19,21928.79,30519.35
5358.3393,21171.24,18307.4,23844.67,17335.37,17596.1,-4064.23,21973.8,30603.65
5358.3433,21169.38,18311.6,23863.46,17349.1,17590.91,-4012.3,21985.58,30625.78
5358.3473,21152.12,18225.05,23673.87,17275.81,17489.48,-4304.7,21937.37,30540.66
5358.3513,21143.34,18169.83,23553.61,17228.03,17448.24,-4503.92,21898.65,30470.85
5358.3552,21145.58,18215.61,23663.48,17267.09,17513.61,-4339.65,21922.88,30517.15
5358.3592,21144.11,18284.75,23831.37,17326.31,17580.7,-4067.56,21965.65,30602.17
5358.3632,21136.19,18287.09,23847.3,17331.51,17567.21,-4027.18,21973.76,30617.62
5358.3672,21123.08,18204.93,23662.24,17262.13,17473.27,-4311.85,21927.88,30527.02
5358.3712,21112.4,18149.33,23539.26,17208.58,17427.4,-4519.99,21884.35,30453.54
5358.3752,21124.94,18204.17,23658.8,17252.49,17500.21,-4350.09,21919.01,30512.96
5358.3792,21135.33,18279.22,23832.51,17317.2,17575.5,-4070.81,21966.94,30604.37
5358.3832,21135.19,18282.27,23836.71,17323.69,17562.11,-4046.11,21965.12,30608.18
5358.3872,21128.56,18208.27,23657.75,17253.5,17466.31,-4332.5,21922.07,30521.87
5358.3912,21129.56,18163.68,23543.55,17209.53,17429.12,-4531.67,21889.12,30460.08
5358.3952,21139.43,18216.28,23655.37,17250.92,17501.07,-4361.44,21912.48,30501.56
5358.3992,21149.92,18292.57,23826.51,17318.82,17576.84,-4077.77,21955.54,30582.57
5358.4032,21153.21,18300.92,23837.81,17328.55,17568.16,-4042.24,21964.74,30597.64
5358.4072,21141.72,18223.14,23657.52,17258.41,17472.36,-4330.97,21917.97,30512.86
5358.4112,21135.71,18172.84,23544.74,17207.58,17430.83,-4531.48,21887.21,30452.78
5358.4152,21149.16,18224.86,23657.99,17255.36,17504.88,-4367.64,21915.1,30499.27
5358.4192,21159.13,18301.3,23831.94,17322.69,17582.47,-4088.74,21963.74,30590.92
5358.4232,21158.13,18310.64,23858.6,17332.94,17575.93,-4033.66,21976.28,30618.34
5358.4272,21145.73,18229.39,23676.97,17261.79,17480.09,-4313.61,21932.08,30537.04
5358.4312,21141.39,18179.94,23563.1,17216.64,17443.71,-4508.54,21904.33,30482.68
5358.4352,21152.07,18231.3,23676.4,17261.94,17516.33,-4336.45,21932.7,30534.99
5358.4392,21161.46,18304.49,23847.3,17334.61,17595.77,-4054.5,21975.9,30618.0
5358.4432,21157.51,18306.21,23858.98,17340.57,17584.47,-4021.74,21985.49,30634.79
5358.4472,21147.44,18227.67,23680.74,17274.14,17497.35,-4298.97,21945.81,30556.16
5358.4512,21138.96,18175.51,23563.58,17223.03,17453.77,-4502.63,21913.58,30495.12
5358.4552,21145.16,18221.62,23668.05,17260.74,17517.23,-4346.66,21934.13,30534.22
5358.4592,21153.45,18293.34,23832.56,17327.41,17593.05,-4074.29,21974.28,30612.95
5358.4632,21150.5,18300.77,23853.11,17336.18,17583.32,-4024.51,21981.15,30629.3
5358.4672,21135.38,18220.28,23675.64,17266.51,17488.15,-4297.35,21936.09,30543.86
5358.4712,21125.56,18163.73,23545.65,17213.06,17440.46,-4510.12,21900.37,30472.47
5358.4752,21130.95,18201.64,23631.29,17248.11,17497.45,-4377.41,21908.71,30493.93
5358.4792,21141.72,18277.08,23802.9,17317.11,17574.5,-4096.84,21952.11,30579.62
5358.4831,21146.25,18292.1,23835.9,17331.94,17572.79,-4038.29,21968.27,30608.85
5358.4871,21133.95,18217.47,23663.19,17264.56,17479.28,-4316.0,21923.26,30522.92
5358.4911,21128.32,18165.11,23540.21,17216.54,17435.17,-4528.71,21890.26,30455.97
5358.4951,21135.52,18210.79,23638.39,17252.59,17499.64,-4383.23,21908.0,30496.89
5358.4991,21145.49,18288.9,23814.87,17319.16,17577.13,-4101.18,21954.83,30586.01
5358.5031,21146.25,18297.29,23842.0,17328.17,17568.02,-4049.44,21966.22,30606.61
5358.5071,21134.52,18216.04,23658.71,17257.02,17472.79,-4326.87,21915.58,30517.2
5358.5111,21131.18,18164.54,23535.78,17207.34,17428.45,-4533.39,21878.77,30450.25
5358.5151,21139.2,18211.08,23638.87,17247.63,17492.73,-4386.0,21900.61,30492.36
5358.5191,21149.92,18286.04,23808.29,17318.3,17573.12,-4106.47,21951.01,30583.43
5358.5231,21154.17,18297.58,23838.19,17335.46,17574.98,-4042.96,21969.89,30614.09
5358.5271,21144.15,18220.81,23671.34,17268.37,17483.9,-4309.23,21929.55,30540.76
5358.5311,21139.2,18164.3,23545.94,17216.73,17435.93,-4526.81,21892.98,30473.67
5358.5351,21149.73,18208.17,23641.06,17257.22,17501.55,-4388.14,21915.3,30513.81
5358.5391,21159.46,18283.8,23813.11,17328.79,17584.61,-4106.19,21960.64,30598.17
5358.5431,21158.22,18291.52,23838.48,17339.14,17577.65,-4054.12,21967.08,30613.62
5358.547,21147.4,18215.18,23665.14,17271.52,17486.86,-4327.82,21922.02,30529.12
5358.551,21145.16,18165.02,23542.6,17221.5,17445.23,-4532.72,21889.31,30461.98
5358.555,21151.74,18207.93,23640.06,17258.31,17505.93,-4384.8,21911.29,30502.94
5358.559,21158.32,18277.08,23801.85,17322.97,17578.22,-4115.96,21948.86,30578.81
5358.563,21155.03,18286.33,23827.98,17331.55,17569.5,-4063.7,21958.78,30599.31
5358.567,21139.86,18208.94,23653.89,17261.41,17473.46,-4338.46,21915.58,30517.77
5358.571,21133.47,18156.39,23532.92,17210.96,17429.54,-4546.6,21882.73,30454.11
5358.575,21143.15,18201.26,23629.86,17248.25,17495.59,-4396.44,21903.37,30492.5
5358.579,21155.36,18277.84,23796.08,17319.01,17574.84,-4119.73,21946.05,30570.18
5358.583,21152.4,18280.6,23807.15,17324.74,17561.15,-4082.49,21951.15,30581.57
5358.587,21141.53,18202.93,23631.72,17258.17,17470.5,-4358.05,21908.57,30500.8
5358.591,21142.29,18154.29,23513.61,17212.58,17431.74,-4563.24,21881.25,30441.76
