TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5358.0312,-365.878,-119.682,929.152,-1706.25,-3447.5,586.25,351.12,59.28,-139.84
5358.0812,-360.876,-122.244,921.893,-2073.75,-4007.5,288.75,326.8,45.6,-167.2
5358.1312,-363.255,-120.292,920.063,-1820.0,-3955.0,927.5,346.56,62.32,-147.44
5358.1812,-367.647,-122.244,926.834,-1610.0,-4760.0,717.5,326.8,50.16,-158.08
5358.2312,-359.473,-120.78,921.344,-1942.5,-4926.25,280.0,332.88,56.24,-147.44
5358.2812,-360.815,-121.024,922.625,-1925.0,-3832.5,0.0,338.96,59.28,-148.96
5358.3312,-365.939,-123.647,925.126,-1785.0,-4305.0,26.25,351.12,34.96,-141.36
5358.3812,-364.841,-122.122,920.185,-1610.0,-4383.75,341.25,326.8,59.28,-155.04
5358.4313,-367.83,-124.074,920.978,-1688.75,-4856.25,455.0,335.92,50.16,-148.96
5358.4812,-365.573,-127.063,926.041,-1645.0,-5110.0,166.25,346.56,59.28,-156.56
5358.5312,-364.231,-121.329,923.723,-796.25,-4550.0,393.75,349.6,42.56,-152.0
5358.5812,-369.294,-123.464,927.322,-2415.0,-5591.25,-61.25,332.88,44.08,-156.56
5358.6312,-354.288,-121.39,921.222,-332.5,-5127.5,1233.75,337.44,48.64,-159.6
5358.6812,-359.961,-114.009,922.869,-1303.75,-4252.5,1417.5,332.88,59.28,-165.68
5358.7312,-365.207,-123.464,923.845,-1680.0,-4768.75,752.5,335.92,54.72,-145.92
5358.7812,-363.621,-118.828,923.845,-1233.75,-4707.5,857.5,352.64,54.72,-152.0
5358.8312,-361.913,-121.573,922.747,-1741.25,-4418.75,481.25,345.04,39.52,-156.56
5358.8812,-367.586,-120.292,922.015,-1715.0,-5031.25,542.5,357.2,50.16,-148.96
5358.9312,-367.037,-119.865,922.381,-1601.25,-4891.25,568.75,334.4,48.64,-153.52
5358.9812,-363.133,-120.231,920.795,-1933.75,-4655.0,560.0,342.0,48.64,-153.52
5359.0312,-363.194,-122.732,922.869,-1785.0,-4768.75,437.5,354.16,56.24,-155.04
5359.0812,-365.39,-119.743,921.771,-1487.5,-4716.25,420.0,346.56,47.12,-152.0
5359.1312,-364.902,-122.732,922.869,-1627.5,-4515.0,481.25,355.68,47.12,-148.96
5359.1812,-363.682,-124.318,922.076,-1548.75,-4331.25,498.75,349.6,42.56,-152.0
5359.2312,-366.854,-116.571,926.651,-2826.25,-5696.25,-201.25,345.04,39.52,-144.4
5359.2812,-361.303,-128.832,925.126,-1522.5,-5652.5,568.75,343.52,48.64,-142.88
5359.3312,-359.839,-116.144,923.174,-962.5,-4488.75,1216.25,342.0,74.48,-155.04
5359.3812,-367.769,-120.292,928.664,-1540.0,-4410.0,848.75,343.52,45.6,-152.0
5359.4312,-363.865,-120.414,924.76,-1312.5,-5013.75,280.0,331.36,51.68,-147.44
5359.4812,-361.913,-124.074,923.174,-1750.0,-4445.0,87.5,340.48,47.12,-145.92
5359.5312,-363.743,-119.438,925.614,-1715.0,-4838.75,61.25,335.92,63.84,-148.96
5359.5812,-360.937,-120.902,921.832,-1863.75,-4313.75,516.25,334.4,51.68,-159.6
5359.6312,-364.78,-121.817,924.577,-1478.75,-4313.75,1041.25,332.88,62.32,-158.08
5359.6812,-363.316,-122.305,923.784,-1443.75,-4130.0,542.5,348.08,36.48,-158.08
5359.7312,-364.048,-120.902,922.686,-1715.0,-4375.0,420.0,346.56,50.16,-148.96
5359.7812,-363.011,-121.085,921.527,-1575.0,-4217.5,402.5,342.0,45.6,-142.88
5359.8312,-367.464,-122.976,921.771,-1610.0,-4427.5,857.5,363.28,59.28,-152.0
5359.8812,-372.039,-114.985,923.479,-1260.0,-4917.5,953.75,338.96,62.32,-147.44
