TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5135.46,21374.18,16783.76,22393.66,16672.04,17108.06,-5518.77,21527.2,30275.4
5135.464,21370.22,16798.83,22440.1,16680.77,17139.72,-5454.83,21531.92,30289.37
5135.468,21364.5,16856.24,22586.25,16730.26,17203.62,-5207.49,21562.67,30359.8
5135.472,21355.11,16875.32,22638.37,16751.24,17213.06,-5101.44,21575.74,30389.03
5135.476,21345.19,16819.96,22511.58,16705.51,17139.87,-5300.81,21547.22,30334.81
5135.48,21338.85,16758.68,22370.53,16649.63,17080.31,-5539.13,21509.36,30258.95
5135.484,21347.48,16784.0,22426.42,16668.89,17122.89,-5465.84,21522.95,30280.02
5135.488,21364.5,16856.62,22579.72,16729.74,17200.62,-5221.08,21565.15,30354.17
5135.492,21371.51,16893.01,22655.82,16756.82,17221.26,-5089.57,21587.14,30395.32
5135.496,21359.83,16834.93,22524.36,16701.56,17139.96,-5287.7,21549.61,30331.81
5135.5,21350.24,16768.98,22373.49,16640.0,17073.97,-5539.99,21505.5,30250.12
5135.504,21352.06,16791.01,22427.32,16654.92,17110.97,-5475.81,21515.52,30266.24
5135.508,21361.4,16860.68,22580.96,16715.67,17184.74,-5229.43,21557.14,30344.16
5135.512,21361.88,16893.72,22650.67,16741.71,17203.33,-5099.96,21577.93,30390.17
5135.516,21352.1,16837.84,22523.79,16695.55,17132.24,-5295.28,21548.04,30334.19
5135.52,21343.52,16767.79,22373.15,16635.09,17067.58,-5547.14,21502.02,30252.22
5135.5239,21351.96,16788.68,22420.65,16653.44,17110.54,-5479.38,21514.94,30273.63
5135.5279,21365.12,16858.72,22578.77,16714.72,17191.41,-5222.27,21560.1,30352.64
5135.5319,21368.55,16889.19,22646.76,16741.28,17209.29,-5103.54,21583.23,30396.85
5135.5359,21361.74,16837.41,22523.6,16699.36,17140.15,-5293.85,21556.33,30347.35
5135.5399,21350.58,16768.98,22373.73,16639.38,17076.16,-5536.27,21511.03,30264.71
5135.5439,21353.87,16787.24,22423.41,16654.3,17112.07,-5469.61,21521.24,30282.21
5135.5479,21369.75,16862.82,22591.83,16720.63,17196.9,-5210.5,21574.98,30374.44
5135.5519,21372.32,16891.86,22655.39,16751.53,17217.26,-5096.25,21594.43,30411.15
5135.5559,21358.64,16832.35,22523.31,16702.99,17139.96,-5294.61,21558.81,30349.16
5135.5599,21350.67,16768.17,22377.97,16646.53,17074.97,-5537.37,21517.95,30271.2
5135.5639,21358.4,16790.82,22430.28,16666.84,17115.74,-5469.42,21527.44,30290.32
5135.5679,21367.36,16857.58,22581.1,16725.4,17192.89,-5225.47,21565.73,30362.85
5135.5719,21370.56,16892.1,22654.06,16757.92,17217.97,-5091.29,21587.52,30403.43
5135.5759,21366.84,16845.13,22537.85,16720.87,17154.74,-5269.43,21561.58,30352.88
5135.5799,21361.5,16780.19,22387.41,16666.8,17092.9,-5518.96,21520.9,30273.49
5135.5839,21365.5,16792.44,22417.93,16676.81,17121.7,-5484.25,21520.76,30274.68
5135.5879,21377.76,16861.82,22573.76,16734.89,17196.56,-5232.81,21559.05,30347.73
