TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4749.8312,-273.89,-102.785,959.103,-2073.75,-4208.75,227.5,299.44,57.76,-182.4
4749.8812,-275.537,-109.617,955.931,-2126.25,-3771.25,306.25,302.48,56.24,-170.24
4749.9312,-284.321,-101.626,959.408,-2065.0,-4900.0,-262.5,323.76,63.84,-165.68
4749.9814,-269.132,-109.8,955.931,-1277.5,-4585.0,-35.0,323.76,44.08,-170.24
4750.0312,-276.452,-107.848,955.931,-1627.5,-3928.75,236.25,287.28,59.28,-174.8
4750.0813,-289.262,-109.556,959.713,-1601.25,-4550.0,210.0,325.28,51.68,-183.92
4750.1312,-279.319,-109.922,955.443,-1741.25,-4935.0,148.75,323.76,48.64,-173.28
4750.1812,-284.138,-108.885,957.334,-1618.75,-4768.75,490.0,313.12,39.52,-162.64
4750.2312,-277.245,-107.177,957.456,-1277.5,-5145.0,761.25,296.4,72.96,-168.72
4750.2812,-278.465,-107.848,955.748,-1583.75,-4707.5,498.75,319.2,56.24,-174.8
4750.3312,-280.234,-109.19,956.785,-1391.25,-4935.0,437.5,313.12,65.36,-159.6
4750.3812,-277.611,-105.53,957.822,-1277.5,-5127.5,411.25,293.36,66.88,-168.72
4750.4312,-277.367,-103.151,954.955,-1303.75,-5153.75,752.5,310.08,59.28,-185.44
4750.4812,-279.502,-105.835,957.578,-1802.5,-4996.25,752.5,328.32,63.84,-171.76
4750.5312,-277.916,-105.652,956.602,-1960.0,-5092.5,131.25,328.32,63.84,-176.32
4750.5812,-273.097,-107.177,954.65,-1575.0,-5101.25,-105.0,314.64,42.56,-171.76
4750.6312,-275.537,-111.935,955.504,-1312.5,-3876.25,-43.75,317.68,62.32,-176.32
4750.6812,-288.225,-101.016,959.103,-980.0,-5031.25,560.0,311.6,62.32,-177.84
4750.7312,-265.045,-111.63,953.308,-1470.0,-5705.0,813.75,317.68,65.36,-168.72
4750.7812,-269.132,-102.48,953.186,-1828.75,-4156.25,883.75,310.08,56.24,-173.28
4750.8312,-286.09,-113.216,962.275,-1750.0,-4173.75,516.25,305.52,56.24,-152.0
4750.8812,-274.744,-106.872,953.247,-2152.5,-4208.75,122.5,313.12,33.44,-167.2
4750.9312,-282.613,-105.652,958.005,-2030.0,-4060.0,857.5,305.52,47.12,-148.96
4750.9812,-283.589,-111.081,957.273,-1697.5,-5232.5,778.75,310.08,54.72,-180.88
4751.0312,-277.55,-108.153,957.334,-1820.0,-4830.0,595.0,311.6,68.4,-167.2
4751.0812,-283.406,-110.288,958.371,-1968.75,-4305.0,280.0,302.48,63.84,-176.32
4751.1312,-280.905,-110.41,955.565,-1636.25,-4987.5,166.25,299.44,63.84,-176.32
4751.1812,-277.306,-108.519,956.541,-1478.75,-5320.0,656.25,299.44,56.24,-183.92
4751.2312,-277.55,-106.872,956.541,-1758.75,-4830.0,656.25,322.24,56.24,-183.92
4751.2812,-277.306,-109.922,960.628,-1793.75,-4882.5,708.75,307.04,59.28,-179.36
4751.3312,-275.171,-110.227,956.968,-1846.25,-4217.5,315.0,304.0,60.8,-177.84
4751.3812,-283.772,-110.898,954.528,-1881.25,-4252.5,122.5,313.12,65.36,-165.68
4751.4312,-289.445,-104.066,959.774,-1802.5,-5608.75,-271.25,300.96,69.92,-188.48
4751.4812,-274.5,-115.961,955.87,-1452.5,-6273.75,-936.25,319.2,68.4,-162.64
4751.5312,-273.463,-107.238,954.528,-2257.5,-4777.5,-61.25,317.68,57.76,-177.84
4751.5812,-275.354,-111.752,959.591,-2598.75,-4550.0,148.75,311.6,60.8,-177.84
4751.6312,-274.866,-119.011,960.14,-2318.75,-5031.25,227.5,299.44,62.32,-180.88
4751.6812,-274.561,-113.094,957.395,-1951.25,-4891.25,621.25,308.56,56.24,-180.88
4751.7312,-275.415,-117.974,959.835,-1513.75,-4427.5,883.75,316.16,50.16,-174.8
4751.7812,-278.282,-110.044,958.859,-1426.25,-4628.75,1338.75,308.56,56.24,-162.64
4751.8312,-277.794,-116.266,955.992,-1505.0,-4313.75,1680.0,294.88,50.16,-173.28
4751.8812,-273.646,-112.118,957.578,-1050.0,-4060.0,1995.0,319.2,51.68,-173.28
4751.9312,-286.7,-108.092,953.247,-1610.0,-2563.75,1820.0,299.44,48.64,-180.88
4751.9812,-295.484,-106.811,956.48,-1312.5,-4812.5,2021.25,313.12,68.4,-171.76
4752.0312,-286.822,-109.983,953.796,-1618.75,-6326.25,2012.5,311.6,56.24,-176.32
4752.0812,-280.234,-111.081,954.589,-971.25,-6615.0,1330.0,319.2,60.8,-179.36
4752.1312,-274.5,-109.922,957.7,-1671.25,-5075.0,472.5,297.92,59.28,-180.88
4752.1812,-288.53,-100.955,958.676,-726.25,-5635.0,542.5,300.96,60.8,-174.8
4752.2314,-274.317,-106.628,957.273,-2301.25,-6562.5,-253.75,305.52,45.6,-171.76
4752.2812,-270.901,-107.848,955.016,-1303.75,-5285.0,455.0,325.28,66.88,-170.24
4752.3313,-273.585,-107.543,959.957,-1260.0,-4707.5,1006.25,307.04,50.16,-180.88
4752.3812,-272.975,-107.787,959.774,-1688.75,-5092.5,428.75,313.12,53.2,-171.76
4752.4312,-269.803,-106.994,957.09,-1793.75,-4077.5,376.25,305.52,62.32,-176.32
