TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4169.8812,-318.664,-85.644,945.866,-1715.0,-5136.25,402.5,342.0,42.56,-167.2
4169.9312,-311.344,-91.134,944.463,-1890.0,-4550.0,8.75,334.4,54.72,-177.84
4169.9812,-321.714,-88.511,947.269,-875.0,-4208.75,805.0,319.2,41.04,-170.24
4170.0312,-316.468,-88.389,946.293,-2196.25,-6291.25,271.25,328.32,41.04,-167.2
4170.0813,-310.734,-86.01,945.5,-831.25,-4716.25,1155.0,325.28,56.24,-170.24
4170.1312,-319.823,-84.18,949.831,-1443.75,-5013.75,831.25,329.84,51.68,-164.16
4170.1812,-311.344,-88.938,945.378,-1636.25,-5188.75,402.5,325.28,50.16,-170.24
4170.2312,-315.858,-81.74,943.914,-2082.5,-4340.0,140.0,338.96,62.32,-165.68
4170.2812,-319.64,-88.877,947.208,-1443.75,-5040.0,787.5,329.84,45.6,-168.72
4170.3312,-310.734,-85.461,943.67,-1531.25,-5775.0,621.25,334.4,39.52,-171.76
4170.3812,-312.381,-86.071,947.391,-1942.5,-4620.0,245.0,331.36,44.08,-170.24
4170.4312,-317.322,-86.498,946.11,-1382.5,-4611.25,577.5,325.28,45.6,-191.52
4170.4812,-316.956,-85.4,944.463,-1435.0,-4873.75,603.75,342.0,48.64,-155.04
4170.5312,-315.614,-84.973,949.587,-1111.25,-5250.0,1093.75,337.44,48.64,-173.28
4170.5812,-312.503,-83.631,948.123,-1487.5,-4690.0,918.75,323.76,48.64,-153.52
4170.6312,-314.455,-89.121,947.574,-1225.0,-4672.5,481.25,337.44,51.68,-180.88
4170.6812,-320.677,-77.531,946.171,-2065.0,-5705.0,61.25,340.48,65.36,-177.84
4170.7312,-306.22,-92.72,947.513,-971.25,-5066.25,586.25,311.6,30.4,-167.2
4170.7812,-309.636,-81.374,945.378,-621.25,-5013.75,1225.0,343.52,48.64,-177.84
4170.8312,-312.198,-81.74,947.33,-1846.25,-5066.25,1163.75,328.32,50.16,-164.16
4170.8812,-309.88,-82.228,946.72,-1321.25,-4313.75,770.0,329.84,38.0,-171.76
4170.9312,-315.614,-85.522,945.256,-1968.75,-4375.0,8.75,337.44,56.24,-180.88
4170.9812,-316.651,-83.814,946.659,-1426.25,-4637.5,35.0,326.8,56.24,-171.76
4171.0312,-316.407,-82.289,946.598,-1715.0,-5005.0,420.0,328.32,59.28,-185.44
4171.0812,-314.272,-87.413,947.147,-1872.5,-4891.25,875.0,326.8,60.8,-168.72
4171.1312,-315.187,-87.23,944.158,-1452.5,-4742.5,813.75,338.96,36.48,-171.76
4171.1812,-316.285,-87.047,945.866,-1216.25,-4786.25,726.25,335.92,41.04,-159.6
4171.2312,-317.078,-86.315,947.574,-1137.5,-5145.0,875.0,338.96,42.56,-171.76
4171.2812,-312.686,-82.96,944.829,-1181.25,-5171.25,700.0,328.32,63.84,-168.72
4171.3312,-313.052,-84.485,944.646,-1391.25,-4681.25,875.0,331.36,44.08,-173.28
4171.3812,-319.579,-76.616,948.611,-2152.5,-6125.0,446.25,337.44,39.52,-168.72
4171.4312,-301.767,-91.927,946.842,-1715.0,-5486.25,437.5,326.8,42.56,-173.28
4171.4812,-307.379,-77.531,946.476,-831.25,-4340.0,962.5,340.48,56.24,-153.52
4171.5312,-312.442,-77.592,946.964,-1680.0,-4506.25,1015.0,328.32,51.68,-183.92
4171.5812,-310.795,-84.79,947.696,-2056.25,-4436.25,551.25,337.44,47.12,-176.32
4171.6312,-314.821,-84.18,945.866,-2266.25,-4235.0,-306.25,332.88,34.96,-179.36
4171.6812,-315.187,-85.644,944.646,-1487.5,-4480.0,26.25,325.28,65.36,-171.76
4171.7312,-315.309,-81.252,946.842,-1881.25,-4830.0,175.0,322.24,48.64,-162.64
4171.7812,-318.115,-89.182,946.659,-1653.75,-4593.75,848.75,329.84,28.88,-179.36
4171.8312,-317.017,-86.864,945.317,-1461.25,-4838.75,551.25,332.88,45.6,-162.64
4171.8812,-316.529,-83.143,946.964,-1251.25,-5792.5,630.0,310.08,41.04,-156.56
4171.9312,-311.344,-81.069,945.317,-1548.75,-5197.5,708.75,349.6,56.24,-173.28
4171.9812,-311.283,-81.862,947.757,-1627.5,-5118.75,525.0,325.28,41.04,-171.76
4172.0312,-315.797,-84.546,947.269,-1907.5,-5022.5,297.5,335.92,51.68,-165.68
4172.0812,-315.37,-83.387,948.428,-962.5,-4996.25,323.75,338.96,41.04,-179.36
4172.1312,-306.952,-86.498,946.964,-2843.75,-5748.75,-560.0,334.4,56.24,-173.28
4172.1812,-306.464,-88.633,944.768,-1198.75,-4348.75,446.25,340.48,34.96,-164.16
4172.2314,-315.858,-82.228,948.001,-1400.0,-4383.75,1102.5,337.44,47.12,-162.64
4172.2812,-312.198,-84.79,948.855,-2135.0,-5022.5,691.25,343.52,47.12,-176.32
4172.3313,-313.967,-86.315,946.842,-1723.75,-4191.25,140.0,332.88,51.68,-159.6
4172.3812,-318.115,-88.694,945.744,-1128.75,-4515.0,-78.75,331.36,42.56,-162.64
4172.4312,-313.418,-82.35,947.757,-2152.5,-5145.0,201.25,332.88,42.56,-162.64
4172.4812,-310.551,-86.315,947.513,-2100.0,-4777.5,673.75,328.32,50.16,-171.76
4172.5312,-313.723,-89.853,948.001,-1566.25,-5083.75,735.0,334.4,45.6,-158.08
4172.5812,-314.089,-86.864,947.818,-1198.75,-4952.5,341.25,340.48,38.0,-164.16
4172.6312,-314.028,-82.228,945.683,-1198.75,-4838.75,612.5,340.48,48.64,-162.64
4172.6812,-311.1,-84.546,945.805,-2056.25,-5013.75,595.0,328.32,54.72,-179.36
4172.7312,-309.453,-86.559,943.243,-1758.75,-4655.0,481.25,326.8,39.52,-170.24
4172.7812,-315.553,-90.951,946.72,-1111.25,-4655.0,367.5,345.04,47.12,-168.72
4172.8312,-319.884,-78.385,947.879,-1802.5,-5355.0,78.75,335.92,27.36,-168.72
4172.8812,-303.475,-92.537,944.524,-945.0,-5057.5,673.75,334.4,39.52,-158.08
4172.9312,-314.577,-83.143,949.587,-1303.75,-4935.0,1347.5,340.48,47.12,-180.88
4172.9812,-312.259,-84.119,952.698,-1496.25,-5223.75,1128.75,335.92,54.72,-171.76
4173.0312,-308.904,-83.875,945.744,-1111.25,-4173.75,980.0,334.4,45.6,-165.68
4173.0812,-314.638,-89.609,946.72,-1793.75,-4427.5,288.75,335.92,39.52,-164.16
4173.1312,-315.675,-82.96,943.67,-1505.0,-5267.5,647.5,343.52,56.24,-167.2
4173.1812,-312.32,-84.668,945.134,-1732.5,-4847.5,857.5,348.08,38.0,-176.32
4173.2312,-312.869,-86.925,945.073,-1557.5,-4471.25,883.75,337.44,36.48,-173.28
4173.2812,-314.089,-86.132,945.439,-1610.0,-4506.25,568.75,328.32,56.24,-182.4
4173.3312,-316.285,-87.474,947.513,-1303.75,-4987.5,700.0,335.92,54.72,-170.24
4173.3812,-314.76,-82.35,948.123,-1487.5,-5197.5,892.5,317.68,41.04,-186.96
4173.4312,-310.856,-84.668,946.842,-1505.0,-5311.25,752.5,348.08,41.04,-170.24
4173.4812,-311.161,-84.79,948.55,-1680.0,-4646.25,306.25,355.68,45.6,-159.6
4173.5312,-317.993,-85.034,948.977,-953.75,-4751.25,708.75,346.56,31.92,-164.16
4173.5812,-309.575,-89.487,946.537,-2485.0,-6518.75,-183.75,345.04,44.08,-159.6
4173.6312,-302.865,-89.792,947.635,-770.0,-5267.5,752.5,329.84,42.56,-159.6
4173.6812,-310.673,-77.348,946.476,-1146.25,-4558.75,1338.75,340.48,51.68,-165.68
4173.7312,-309.941,-81.13,948.001,-1820.0,-4725.0,875.0,326.8,34.96,-159.6
4173.7812,-306.708,-82.655,946.781,-1618.75,-4208.75,323.75,345.04,65.36,-170.24
4173.8312,-310.856,-87.169,948.977,-1811.25,-4252.5,-210.0,322.24,48.64,-179.36
4173.8812,-316.041,-83.814,947.33,-1566.25,-5066.25,227.5,337.44,51.68,-161.12
4173.9312,-313.479,-85.461,950.502,-2082.5,-4707.5,577.5,334.4,47.12,-173.28
4173.9812,-314.15,-88.572,945.805,-1426.25,-4795.0,1067.5,337.44,48.64,-168.72
4174.0312,-313.54,-87.779,947.513,-1303.75,-4585.0,463.75,345.04,56.24,-168.72
4174.0812,-315.858,-83.814,944.646,-1181.25,-4926.25,586.25,342.0,56.24,-168.72
4174.1312,-314.943,-83.387,947.025,-1312.5,-5267.5,1015.0,343.52,54.72,-155.04
4174.1812,-309.392,-85.644,949.831,-1277.5,-5276.25,883.75,334.4,47.12,-170.24
4174.2312,-311.161,-85.156,948.001,-1540.0,-4795.0,761.25,328.32,53.2,-173.28
4174.2812,-315.98,-80.886,945.378,-743.75,-4690.0,822.5,325.28,44.08,-176.32
4174.3312,-306.342,-87.047,948.428,-2537.5,-5783.75,52.5,335.92,33.44,-174.8
4174.3812,-302.682,-85.461,946.354,-910.0,-4672.5,770.0,334.4,36.48,-182.4
4174.4312,-310.673,-75.335,947.696,-1548.75,-4340.0,936.25,337.44,59.28,-176.32
4174.4814,-311.405,-84.18,948.611,-2065.0,-4830.0,481.25,328.32,45.6,-167.2
4174.5312,-310.673,-84.485,948.916,-1496.25,-4060.0,61.25,329.84,34.96,-171.76
4174.5813,-314.577,-86.803,947.269,-1846.25,-4707.5,-271.25,323.76,39.52,-159.6
