TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3479.1884,13439.23,3425.65,12903.88,11461.35,17866.38,-12174.94,19846.16,21942.33
3479.1924,13427.59,3400.71,12808.75,11443.9,17818.21,-12264.21,19834.66,21921.83
3479.1964,13404.28,3315.02,12559.94,11367.42,17705.25,-12682.3,19780.59,21771.39
3479.2004,13402.23,3301.76,12526.8,11341.81,17691.95,-12824.01,19766.24,21720.7
3479.2044,13425.16,3370.29,12731.6,11398.56,17786.46,-12524.56,19799.09,21818.45
3479.2084,13442.09,3433.04,12904.12,11442.95,17868.76,-12189.72,19845.87,21946.24
3479.2124,13428.26,3405.71,12813.14,11427.79,17827.94,-12264.78,19835.24,21920.68
3479.2164,13406.56,3320.89,12569.52,11367.85,17711.4,-12680.63,19787.5,21781.64
3479.2204,13404.32,3303.53,12533.76,11355.45,17698.62,-12822.11,19772.25,21728.57
3479.2244,13421.63,3367.66,12735.32,11403.32,17795.99,-12523.8,19808.2,21828.27
3479.2284,13437.42,3429.03,12906.89,11452.34,17872.43,-12189.87,19854.74,21953.44
3479.2324,13430.88,3405.48,12820.2,11438.56,17826.13,-12268.12,19851.11,21938.85
3479.2364,13415.29,3325.22,12575.29,11374.28,17707.21,-12679.05,19798.9,21792.27
3479.2404,13410.24,3304.53,12534.67,11340.09,17689.13,-12823.39,19777.49,21736.05
3479.2444,13418.87,3368.19,12734.56,11379.24,17792.89,-12522.6,19808.06,21821.64
3479.2484,13435.79,3429.03,12904.69,11440.9,17867.09,-12189.49,19854.93,21944.38
3479.2523,13426.59,3401.57,12810.66,11431.6,17824.65,-12264.25,19845.39,21924.4
3479.2563,13408.23,3318.74,12566.62,11357.12,17707.35,-12674.52,19795.71,21786.88
3479.2603,13403.08,3297.62,12526.42,11337.33,17691.52,-12818.62,19772.15,21719.98
3479.2643,13414.53,3362.75,12722.3,11384.58,17778.11,-12527.04,19805.48,21815.64
