TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
3479.2812,-518.195,-216.428,811.605,-1330.0,-6212.5,17.5,370.88,88.16,-85.12
3479.3312,-519.537,-213.073,813.923,-2275.0,-4567.5,577.5,381.52,91.2,-82.08
3479.3812,-529.724,-222.955,819.169,-2388.75,-4777.5,236.25,372.4,86.64,-89.68
3479.4312,-522.526,-217.221,817.4,-1776.25,-5801.25,402.5,369.36,88.16,-86.64
3479.4812,-522.892,-219.6,815.082,-1863.75,-4716.25,507.5,357.2,97.28,-83.6
3479.5312,-526.125,-218.685,818.803,-1688.75,-5293.75,717.5,387.6,95.76,-83.6
3479.5812,-523.441,-220.271,819.901,-1933.75,-4900.0,717.5,375.44,83.6,-98.8
3479.6312,-521.733,-217.648,815.631,-1295.0,-3666.25,516.25,387.6,89.68,-91.2
3479.6812,-524.234,-213.561,818.01,-1907.5,-3578.75,122.5,381.52,82.08,-91.2
3479.7312,-526.735,-216.855,813.74,-1776.25,-3316.25,367.5,401.28,88.16,-72.96
3479.7812,-529.175,-213.561,810.08,-1820.0,-3403.75,1470.0,372.4,95.76,-88.16
3479.8312,-533.506,-211.426,813.069,-2450.0,-3526.25,1697.5,370.88,89.68,-91.2
3479.8812,-546.926,-213.683,818.498,-2178.75,-4313.75,385.0,376.96,91.2,-88.16
3479.9312,-533.506,-224.968,806.847,-4322.5,-4243.75,-2485.0,384.56,85.12,-107.92
3479.9812,-532.896,-236.009,804.529,-1855.0,-4200.0,-1662.5,378.48,97.28,-94.24
3480.0312,-531.981,-213.256,814.899,822.5,-6448.75,-8.75,375.44,97.28,-92.72
3480.0812,-524.661,-219.173,815.143,-3342.5,-2441.25,498.75,358.72,103.36,-98.8
3480.1312,-525.332,-220.881,809.47,-2747.5,-2695.0,1050.0,369.36,97.28,-100.32
3480.1812,-533.933,-223.626,812.52,-3062.5,-2406.25,1373.75,369.36,95.76,-83.6
3480.2312,-537.41,-222.162,807.213,-3001.25,-1601.25,1487.5,386.08,77.52,-86.64
3480.2812,-542.473,-217.221,803.675,-3788.75,-428.75,1155.0,366.32,91.2,-71.44
3480.3312,-551.074,-236.619,796.477,-5092.5,402.5,1443.75,381.52,83.6,-85.12
3480.3812,-556.991,-230.824,797.331,-2572.5,-1487.5,1610.0,380.0,86.64,-91.2
3480.4312,-568.093,-231.983,800.442,-1242.5,-6720.0,1172.5,396.72,80.56,-80.56
