TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
900.9812,-204.777,-84.79,979.172,-2301.25,-5276.25,236.25,291.84,48.64,-220.4
901.0312,-212.28,-77.47,979.416,-1120.0,-3946.25,787.5,279.68,50.16,-220.4
901.0812,-219.417,-76.616,978.806,-1680.0,-5083.75,1155.0,293.36,36.48,-220.4
901.1312,-212.341,-79.178,979.66,-1951.25,-5468.75,446.25,311.6,39.52,-224.96
901.1812,-212.89,-77.287,978.928,-1688.75,-4165.0,315.0,305.52,31.92,-206.72
901.2312,-220.21,-80.886,981.49,-1645.0,-4453.75,446.25,287.28,51.68,-220.4
901.2812,-212.402,-78.446,979.965,-1653.75,-4838.75,787.5,297.92,34.96,-229.52
901.3312,-217.587,-83.143,977.83,-1960.0,-4637.5,901.25,281.2,38.0,-232.56
901.3812,-212.524,-82.777,978.867,-1373.75,-4812.5,472.5,290.32,31.92,-221.92
901.4312,-217.526,-78.324,977.952,-1443.75,-3911.25,665.0,304.0,38.0,-226.48
901.4812,-214.415,-77.165,976.732,-1408.75,-4270.0,1627.5,293.36,39.52,-220.4
901.5314,-219.722,-78.263,977.037,-1680.0,-4156.25,1478.75,297.92,39.52,-246.24
901.5812,-217.831,-80.642,976.549,-1592.5,-4620.0,813.75,296.4,33.44,-214.32
901.6313,-215.391,-80.886,978.013,-1715.0,-4366.25,385.0,285.76,41.04,-228.0
901.6812,-219.417,-82.167,977.037,-1723.75,-4340.0,577.5,296.4,31.92,-214.32
901.7312,-223.26,-77.531,978.501,-1575.0,-4602.5,962.5,294.88,30.4,-228.0
901.7812,-216.001,-81.74,979.416,-1925.0,-5678.75,787.5,302.48,31.92,-218.88
901.8312,-212.829,-77.653,974.109,-1513.75,-3473.75,1050.0,291.84,48.64,-229.52
901.8812,-227.53,-79.483,977.342,-1653.75,-4217.5,997.5,307.04,42.56,-208.24
901.9312,-215.818,-75.64,975.085,-1968.75,-4331.25,656.25,299.44,24.32,-221.92
901.9812,-222.284,-81.191,975.146,-901.25,-4103.75,1015.0,300.96,44.08,-223.44
902.0312,-226.249,-76.86,975.573,-1750.0,-4558.75,953.75,290.32,19.76,-221.92
902.0812,-218.99,-79.178,975.451,-1750.0,-4917.5,411.25,296.4,34.96,-215.84
902.1312,-219.783,-80.032,974.17,-1846.25,-4182.5,87.5,275.12,47.12,-215.84
902.1812,-224.846,-81.008,977.464,-1627.5,-4821.25,271.25,281.2,22.8,-218.88
902.2312,-221.064,-78.202,976.732,-1618.75,-4908.75,472.5,294.88,42.56,-229.52
902.2812,-223.626,-79.605,977.098,-1601.25,-4655.0,647.5,300.96,45.6,-208.24
902.3312,-223.321,-81.252,974.597,-1653.75,-5013.75,455.0,275.12,24.32,-226.48
