TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2123.3992,-10121.63,-1200.96,-4852.3,-8255.05,10661.03,-11086.42,11928.99,1728.92
2123.4032,-10263.78,-2224.64,-6471.54,-8379.75,10529.19,-11361.31,11766.48,874.71
2123.4072,-10284.62,-2760.36,-7082.18,-8463.29,10491.8,-11507.75,11657.0,355.39
2123.4112,-10155.92,-2080.01,-5879.55,-8384.85,10596.32,-11325.79,11758.19,891.45
2123.4152,-10060.03,-1146.75,-4551.6,-8255.2,10704.47,-11070.35,11921.03,1716.8
2123.4192,-10129.64,-1205.59,-4856.73,-8253.72,10662.8,-11088.85,11921.45,1720.48
2123.4232,-10276.75,-2230.64,-6474.92,-8382.08,10521.08,-11369.85,11755.61,864.7
2123.4272,-10290.1,-2771.19,-7097.34,-8464.29,10480.12,-11515.0,11648.99,344.8
2123.4312,-10161.5,-2083.49,-5884.98,-8385.33,10590.27,-11327.7,11749.56,880.62
2123.4352,-10078.86,-1171.3,-4579.74,-8272.74,10684.54,-11089.56,11903.91,1693.68
2123.4392,-10139.8,-1207.88,-4853.44,-8266.4,10648.78,-11096.53,11921.55,1731.21
2123.4432,-10280.9,-2258.83,-6525.71,-8389.81,10517.5,-11373.95,11759.04,849.53
2123.4472,-10283.52,-2768.42,-7085.8,-8463.05,10484.51,-11512.9,11651.99,350.28
2123.4512,-10151.86,-2060.03,-5855.18,-8388.19,10588.12,-11325.84,11752.8,908.42
2123.4552,-10062.36,-1142.31,-4548.6,-8264.11,10700.42,-11069.54,11925.51,1728.73
2123.4592,-10130.36,-1190.04,-4838.9,-8251.86,10672.0,-11075.59,11941.29,1755.14
2123.4631,-10287.19,-2250.81,-6512.5,-8401.2,10516.69,-11380.82,11741.97,839.61
2123.4671,-10296.92,-2767.8,-7088.57,-8481.79,10477.69,-11519.96,11641.22,340.89
2123.4711,-10152.87,-2046.11,-5830.67,-8373.6,10604.34,-11314.11,11762.0,923.06
2123.4751,-10055.02,-1115.89,-4510.12,-8240.51,10716.63,-11058.33,11929.66,1748.85
2123.4791,-10124.92,-1205.35,-4863.36,-8237.79,10680.63,-11079.98,11927.99,1736.4
2123.4831,-10279.08,-2261.69,-6520.89,-8387.19,10514.93,-11378.67,11744.93,842.67
2123.4871,-10290.24,-2780.39,-7096.82,-8476.45,10463.67,-11523.3,11639.17,340.37
2123.4911,-10162.69,-2067.61,-5851.22,-8400.49,10585.74,-11328.13,11747.6,906.42
2123.4951,-10069.47,-1136.49,-4529.81,-8264.88,10683.87,-11075.45,11910.11,1730.63
2123.4991,-10145.62,-1221.51,-4875.85,-8264.45,10650.68,-11097.81,11914.87,1729.82
2123.5031,-10290.96,-2262.97,-6519.13,-8390.14,10514.93,-11380.77,11748.03,851.3
2123.5071,-10298.16,-2771.52,-7086.13,-8472.11,10480.07,-11518.62,11652.28,360.63
2123.5111,-10161.73,-2062.89,-5853.8,-8389.33,10590.7,-11322.69,11770.73,934.79
2123.5151,-10074.33,-1145.51,-4546.45,-8267.26,10689.98,-11079.6,11919.88,1730.59
2123.5191,-10141.33,-1199.53,-4842.23,-8265.16,10650.83,-11099.53,11909.82,1724.53
2123.5231,-10286.05,-2243.04,-6496.05,-8392.29,10515.6,-11376.67,11748.17,855.45
2123.5271,-10287.29,-2762.17,-7073.64,-8465.82,10483.08,-11508.9,11655.05,367.93
2123.5311,-10151.2,-2059.89,-5849.03,-8386.95,10593.94,-11319.11,11761.71,925.97
2123.5351,-10059.12,-1140.88,-4535.87,-8263.88,10695.08,-11073.78,11920.02,1740.6
2123.5391,-10121.92,-1184.99,-4819.63,-8259.2,10655.31,-11087.47,11927.56,1764.73
2123.5431,-10267.35,-2202.65,-6431.77,-8378.79,10527.28,-11361.7,11762.19,906.75
2123.5471,-10278.7,-2744.82,-7061.67,-8457.85,10492.61,-11502.93,11658.15,386.38
2123.5511,-10143.52,-2074.62,-5873.16,-8383.13,10598.52,-11319.92,11756.8,905.75
2123.5551,-10050.58,-1142.07,-4539.3,-8256.96,10701.09,-11070.59,11920.88,1729.54
2123.5591,-10117.96,-1182.89,-4814.58,-8253.77,10662.8,-11086.32,11929.47,1764.06
2123.5631,-10264.97,-2202.22,-6430.82,-8390.86,10525.94,-11364.03,11764.05,910.9
2123.5671,-10282.37,-2746.25,-7062.72,-8472.25,10488.89,-11505.37,11660.29,390.34
2123.5711,-10148.0,-2073.43,-5872.82,-8386.71,10600.9,-11320.83,11762.72,912.38
2123.5751,-10053.21,-1135.83,-4530.67,-8256.77,10704.42,-11068.39,11928.94,1740.98
2123.5791,-10120.11,-1177.5,-4808.14,-8261.97,10662.84,-11083.94,11937.48,1767.54
2123.5831,-10276.03,-2220.11,-6460.91,-8390.09,10523.51,-11369.52,11760.76,880.91
2123.5871,-10282.09,-2750.25,-7059.34,-8463.72,10479.74,-11509.13,11658.24,368.88
2123.591,-10144.85,-2047.59,-5826.04,-8375.88,10595.7,-11316.16,11765.86,935.89
2123.595,-10058.45,-1111.27,-4493.9,-8253.29,10710.81,-11058.05,11934.28,1769.16
2123.599,-10130.03,-1186.42,-4826.93,-8260.06,10662.37,-11084.13,11930.18,1759.58
2123.603,-10283.57,-2232.41,-6477.07,-8398.96,10517.41,-11373.86,11756.95,882.1
2123.607,-10293.34,-2754.35,-7060.58,-8466.67,10480.74,-11511.8,11660.24,381.52
2123.611,-10159.92,-2049.83,-5831.48,-8383.08,10590.6,-11324.36,11756.56,930.5
2123.615,-10070.33,-1121.57,-4506.06,-8260.58,10691.26,-11076.88,11910.73,1745.99
2123.619,-10138.7,-1192.86,-4830.46,-8257.1,10656.83,-11092.28,11921.22,1754.28
2123.623,-10277.8,-2231.93,-6476.02,-8392.43,10518.22,-11371.57,11756.8,879.67
2123.627,-10282.66,-2756.02,-7061.58,-8468.87,10478.35,-11513.19,11656.62,373.94
2123.631,-10150.72,-2056.5,-5842.78,-8377.65,10599.23,-11320.26,11766.72,932.07
2123.635,-10066.75,-1140.83,-4533.15,-8270.6,10686.54,-11086.85,11914.4,1732.59
2123.639,-10129.17,-1169.78,-4789.45,-8268.31,10654.12,-11093.86,11926.37,1766.16
2123.643,-10272.6,-2176.71,-6384.56,-8386.66,10526.47,-11360.36,11767.1,928.4
2123.647,-10293.77,-2723.88,-7019.95,-8476.93,10483.7,-11506.61,11661.53,411.94
2123.651,-10167.46,-2083.02,-5886.13,-8407.21,10581.16,-11340.19,11751.08,906.99
2123.655,-10076.86,-1187.23,-4608.01,-8275.8,10680.01,-11102.01,11901.19,1689.34
2123.659,-10144.04,-1219.23,-4858.35,-8260.97,10646.11,-11110.21,11910.34,1719.57
2123.663,-10282.95,-2173.04,-6356.76,-8389.52,10510.59,-11369.13,11758.81,927.59
2123.667,-10298.68,-2687.03,-6950.86,-8467.39,10478.4,-11504.56,11661.77,448.75
2123.671,-10166.03,-2053.07,-5847.12,-8383.7,10586.79,-11327.94,11754.04,941.56
2123.675,-10068.99,-1172.73,-4599.09,-8255.53,10693.41,-11085.56,11909.77,1705.46
2123.679,-10128.31,-1200.06,-4840.33,-8246.23,10666.42,-11091.81,11929.18,1744.41
2123.683,-10266.4,-2150.49,-6334.97,-8368.59,10537.67,-11344.62,11782.7,957.25
2123.687,-10278.8,-2667.9,-6932.12,-8448.17,10488.65,-11484.0,11684.37,470.5
2123.691,-10154.63,-2049.45,-5839.49,-8383.23,10588.74,-11325.84,11762.33,940.47
2123.695,-10069.09,-1167.54,-4586.03,-8263.78,10697.41,-11088.56,11913.49,1713.09
2123.699,-10130.69,-1199.63,-4835.22,-8246.76,10659.79,-11100.39,11924.27,1740.41
2123.703,-10269.26,-2156.93,-6340.08,-8365.58,10529.33,-11357.88,11771.39,947.14
2123.707,-10279.13,-2678.54,-6947.33,-8444.69,10486.65,-11499.98,11669.92,454.14
2123.711,-10156.11,-2048.68,-5842.54,-8365.39,10598.61,-11326.55,11762.76,944.14
2123.715,-10066.32,-1163.05,-4582.64,-8252.91,10700.27,-11088.18,11911.58,1711.56
2123.7189,-10124.26,-1191.52,-4824.69,-8244.94,10667.04,-11093.95,11926.56,1748.71
2123.7229,-10265.07,-2154.45,-6336.17,-8359.53,10539.2,-11353.26,11771.16,948.62
2123.7269,-10281.75,-2680.35,-6947.38,-8442.26,10494.42,-11494.16,11671.64,460.77
2123.7309,-10152.53,-2040.62,-5825.42,-8371.64,10594.42,-11325.41,11763.34,952.63
2123.7349,-10066.22,-1148.65,-4557.85,-8261.68,10690.17,-11092.38,11913.92,1733.21
2123.7389,-10136.41,-1213.12,-4857.3,-8253.05,10649.54,-11112.26,11914.49,1731.11
2123.7429,-10280.18,-2192.45,-6392.38,-8386.9,10516.64,-11373.86,11758.28,916.43
2123.7469,-10294.34,-2700.04,-6968.59,-8458.33,10476.26,-11510.09,11657.53,429.58
2123.7509,-10164.02,-2036.14,-5814.98,-8375.22,10582.54,-11328.98,11754.9,946.62
2123.7549,-10072.57,-1143.74,-4551.6,-8255.67,10680.1,-11089.8,11911.35,1727.49
2123.7589,-10134.32,-1197.48,-4836.94,-8248.66,10645.58,-11105.4,11921.36,1738.74
2123.7629,-10272.46,-2156.21,-6340.55,-8369.92,10518.7,-11358.45,11768.63,944.23
2123.7669,-10288.05,-2689.46,-6962.25,-8452.18,10479.79,-11496.74,11670.07,450.18
2123.7709,-10167.22,-2061.8,-5854.56,-8380.51,10589.27,-11326.89,11763.48,935.27
2123.7749,-10073.57,-1171.64,-4590.61,-8258.96,10689.4,-11089.14,11915.88,1709.51
2123.7789,-10134.84,-1183.37,-4809.52,-8250.19,10661.22,-11094.0,11931.33,1756.33
2123.7828,-10275.41,-2144.1,-6324.63,-8370.97,10529.33,-11354.4,11776.07,955.01
2123.7868,-10290.81,-2681.59,-6957.1,-8446.89,10487.08,-11495.78,11673.64,446.94
2123.7908,-10157.54,-2056.55,-5857.47,-8380.75,10590.17,-11327.32,11765.15,930.17
2123.7948,-10059.93,-1165.82,-4587.75,-8261.25,10684.4,-11093.62,11912.39,1700.78
2123.7988,-10129.12,-1191.81,-4823.69,-8255.01,10660.27,-11103.01,11923.08,1738.69
2123.8028,-10272.55,-2153.44,-6339.79,-8373.36,10530.76,-11362.51,11770.06,938.51
2123.8068,-10283.04,-2690.65,-6968.55,-8463.0,10490.42,-11504.84,11671.45,433.87
2123.8108,-10153.72,-2069.19,-5869.2,-8381.8,10591.13,-11338.76,11764.34,918.82
2123.8148,-10062.74,-1174.02,-4594.28,-8251.38,10694.65,-11099.2,11912.11,1688.48
2123.8188,-10127.4,-1194.29,-4828.22,-8244.56,10663.27,-11105.54,11920.64,1727.15
2123.8228,-10267.93,-2153.02,-6340.36,-8369.83,10532.48,-11365.03,11770.92,932.69
2123.8268,-10284.71,-2698.23,-6982.76,-8456.9,10490.51,-11514.76,11661.58,416.33
2123.8308,-10161.35,-2076.96,-5883.5,-8381.46,10585.26,-11351.68,11751.56,899.55
2123.8348,-10068.99,-1184.08,-4609.59,-8257.68,10687.54,-11112.21,11905.19,1680.18
2123.8388,-10122.3,-1186.56,-4816.91,-8246.85,10657.6,-11108.45,11924.51,1738.64
2123.8428,-10264.73,-2143.0,-6331.44,-8362.01,10535.43,-11360.46,11777.26,943.95
2123.8468,-10283.81,-2684.36,-6967.74,-8443.93,10498.1,-11503.75,11678.22,433.35
2123.8508,-10155.01,-2064.18,-5870.39,-8375.84,10602.43,-11332.99,11774.45,915.77
2123.8548,-10054.73,-1162.1,-4587.32,-8253.81,10698.56,-11091.09,11930.9,1692.49
2123.8588,-10121.06,-1178.74,-4809.43,-8247.23,10672.86,-11097.81,11939.91,1740.65
2123.8628,-10269.55,-2140.57,-6328.44,-8376.31,10539.82,-11358.07,11786.94,951.15
2123.8668,-10290.05,-2689.84,-6977.13,-8448.65,10493.33,-11508.66,11677.7,429.34
2123.8708,-10164.26,-2074.96,-5885.08,-8381.7,10592.65,-11345.34,11765.72,904.04
2123.8748,-10067.27,-1179.98,-4607.15,-8271.5,10685.92,-11108.02,11916.59,1681.28
2123.8788,-10126.93,-1184.75,-4815.72,-8256.77,10664.85,-11105.59,11933.47,1738.02
2123.8828,-10274.7,-2170.04,-6373.98,-8371.69,10535.19,-11370.76,11772.82,911.52
2123.8868,-10288.48,-2699.23,-6979.42,-8456.56,10491.28,-11513.81,11673.64,414.99
2123.8908,-10154.3,-2044.77,-5835.63,-8379.65,10600.14,-11331.04,11776.83,936.94
2123.8948,-10066.18,-1150.8,-4567.91,-8263.78,10695.27,-11098.82,11922.55,1707.7
2123.8988,-10129.69,-1198.39,-4844.48,-8267.02,10659.41,-11113.93,11923.51,1718.43
2123.9028,-10267.21,-2174.76,-6380.13,-8380.6,10532.09,-11372.85,11768.34,902.37
2123.9068,-10279.13,-2704.57,-6986.86,-8453.47,10491.9,-11512.09,11668.11,406.69
2123.9107,-10141.23,-2050.07,-5843.97,-8378.32,10600.85,-11331.75,11770.54,925.68
2123.9147,-10045.39,-1148.08,-4563.62,-8257.01,10700.66,-11090.47,11924.17,1710.32
2123.9187,-10111.71,-1191.23,-4834.94,-8246.33,10666.99,-11104.2,11926.51,1725.86
2123.9227,-10262.01,-2171.71,-6375.7,-8366.35,10541.11,-11365.37,11771.73,910.0
2123.9267,-10276.75,-2700.66,-6984.04,-8443.02,10500.0,-11506.56,11672.69,411.8
2123.9307,-10145.14,-2052.97,-5848.5,-8366.49,10604.19,-11330.51,11767.58,917.96
2123.9347,-10054.35,-1150.23,-4567.72,-8247.42,10706.14,-11088.32,11922.79,1707.79
2123.9387,-10123.25,-1190.85,-4832.22,-8249.0,10668.95,-11104.54,11930.51,1737.5
2123.9427,-10269.21,-2170.85,-6373.45,-8376.46,10532.9,-11370.37,11767.2,916.1
2123.9467,-10285.71,-2701.66,-6986.05,-8461.52,10490.13,-11511.33,11667.44,412.18
2123.9507,-10158.64,-2057.98,-5852.46,-8391.33,10593.32,-11339.95,11763.34,923.35
2123.9547,-10067.32,-1159.48,-4572.73,-8265.78,10693.12,-11103.68,11914.06,1708.22
2123.9587,-10127.64,-1194.24,-4829.12,-8252.72,10660.84,-11111.45,11925.7,1738.6
2123.9627,-10262.59,-2152.4,-6337.55,-8378.36,10526.66,-11366.94,11769.82,934.55
2123.9667,-10288.57,-2710.53,-6999.02,-8481.22,10475.54,-11523.82,11657.19,409.13
2123.9707,-10168.98,-2103.52,-5920.12,-8405.16,10574.82,-11363.65,11743.02,878.19
2123.9746,-10067.8,-1197.96,-4625.75,-8271.17,10680.34,-11114.03,11902.72,1675.03
2123.9786,-10118.58,-1195.81,-4826.21,-8261.59,10651.35,-11110.83,11919.55,1732.78
2123.9826,-10263.78,-2146.24,-6333.4,-8375.12,10537.43,-11360.84,11771.92,941.47
2123.9866,-10281.33,-2703.48,-6992.15,-8446.84,10496.05,-11508.9,11671.35,417.76
2123.9906,-10151.1,-2096.75,-5911.92,-8379.32,10596.56,-11342.91,11757.71,883.63
2123.9946,-10052.87,-1193.91,-4623.89,-8260.82,10702.52,-11099.34,11914.45,1672.51
2123.9986,-10110.67,-1187.09,-4817.25,-8237.7,10676.1,-11096.19,11929.13,1734.54
2124.0026,-10255.15,-2140.86,-6327.87,-8363.39,10544.16,-11353.11,11776.5,938.56
2124.0066,-10277.94,-2705.05,-6999.11,-8455.47,10489.04,-11507.08,11667.68,406.22
2124.0106,-10154.77,-2104.66,-5926.99,-8394.43,10593.32,-11342.72,11756.14,873.52
2124.0146,-10061.31,-1203.35,-4634.81,-8274.03,10700.51,-11101.91,11914.4,1672.08
2124.0186,-10120.15,-1197.39,-4835.61,-8244.28,10671.0,-11103.92,11929.89,1729.39
2124.0226,-10262.44,-2165.6,-6372.4,-8363.2,10539.82,-11365.03,11774.88,918.91
2124.0266,-10279.23,-2711.68,-7008.65,-8446.17,10498.0,-11508.99,11671.93,404.31
2124.0306,-10145.81,-2078.58,-5886.79,-8369.45,10603.48,-11332.47,11770.68,902.22
2124.0346,-10051.11,-1173.88,-4597.86,-8254.1,10703.52,-11089.8,11924.17,1693.01
2124.0386,-10113.77,-1199.05,-4845.91,-8242.23,10673.1,-11099.39,11931.8,1722.05
2124.0426,-10255.77,-2168.13,-6380.56,-8358.67,10543.06,-11360.69,11776.97,906.42
2124.0466,-10271.98,-2711.01,-7006.93,-8443.64,10494.38,-11507.08,11673.64,394.01
2124.0506,-10140.47,-2089.07,-5906.63,-8366.92,10590.22,-11341.95,11764.19,887.11
2124.0546,-10048.68,-1193.29,-4629.95,-8243.85,10702.99,-11100.91,11920.55,1667.64
2124.0586,-10111.86,-1184.32,-4821.35,-8235.88,10678.58,-11097.05,11941.48,1732.25
2124.0626,-10259.34,-2158.74,-6367.16,-8368.21,10545.11,-11355.26,11788.23,923.82
2124.0666,-10272.22,-2705.77,-7004.93,-8457.57,10492.71,-11500.12,11685.28,406.07
2124.0706,-10143.85,-2084.83,-5904.34,-8388.14,10593.99,-11331.85,11772.78,887.06
2124.0746,-10053.16,-1192.33,-4630.04,-8252.67,10708.62,-11091.76,11924.32,1664.78
2124.0786,-10107.76,-1184.75,-4821.83,-8238.17,10677.77,-11095.67,11940.48,1726.72
2124.0826,-10253.72,-2134.7,-6331.4,-8360.58,10542.49,-11354.88,11787.7,935.79
2124.0866,-10277.03,-2703.52,-7009.41,-8446.03,10497.38,-11503.03,11682.32,408.32
2124.0906,-10156.2,-2118.73,-5953.79,-8380.51,10591.75,-11347.63,11762.53,865.46
2124.0946,-10063.98,-1219.84,-4665.71,-8264.3,10688.12,-11113.93,11906.34,1637.94
2124.0986,-10115.0,-1203.73,-4847.81,-8253.96,10657.93,-11109.54,11927.03,1705.17
2124.1025,-10255.62,-2148.58,-6351.85,-8365.11,10540.73,-11357.45,11780.31,918.82
2124.1065,-10281.23,-2723.07,-7038.69,-8453.18,10495.09,-11509.23,11673.17,383.62
2124.1105,-10157.63,-2124.83,-5963.61,-8395.53,10589.98,-11353.45,11756.37,840.19
2124.1145,-10059.02,-1210.36,-4651.88,-8277.08,10693.46,-11104.63,11915.16,1639.51
2124.1185,-10113.91,-1218.89,-4877.9,-8255.1,10671.33,-11101.96,11939.1,1696.21
2124.1225,-10259.92,-2192.69,-6420.14,-8376.55,10536.34,-11369.42,11775.3,872.42
2124.1265,-10279.32,-2746.53,-7064.92,-8465.53,10489.66,-11519.39,11665.49,351.14
2124.1305,-10147.53,-2119.59,-5954.03,-8393.48,10584.93,-11353.88,11754.9,839.04
2124.1345,-10052.25,-1215.32,-4665.42,-8270.46,10688.12,-11111.83,11908.01,1628.49
2124.1385,-10122.25,-1234.39,-4898.31,-8255.58,10660.41,-11117.17,11920.17,1670.17
2124.1425,-10267.31,-2198.12,-6424.0,-8377.22,10530.9,-11379.58,11766.77,863.12
2124.1465,-10282.85,-2750.87,-7072.07,-8461.91,10485.41,-11525.3,11666.2,347.61
2124.1505,-10158.25,-2133.75,-5972.34,-8396.01,10584.31,-11362.89,11749.84,827.17
2124.1545,-10059.64,-1227.57,-4678.01,-8287.48,10679.53,-11121.37,11902.86,1619.39
2124.1585,-10122.4,-1237.44,-4902.03,-8271.31,10657.45,-11121.99,11917.83,1670.07
2124.1625,-10272.65,-2197.84,-6424.24,-8377.08,10531.38,-11379.67,11765.05,866.13
2124.1665,-10289.96,-2751.88,-7071.02,-8454.51,10484.36,-11527.64,11661.01,347.71
2124.1705,-10160.3,-2135.56,-5970.43,-8391.24,10579.4,-11360.22,11743.69,819.73
2124.1745,-10061.22,-1226.0,-4673.2,-8265.54,10688.07,-11116.94,11902.72,1618.29
2124.1785,-10121.63,-1231.72,-4890.2,-8245.99,10667.95,-11116.12,11918.98,1673.51
2124.1825,-10262.78,-2169.94,-6375.89,-8362.34,10539.01,-11367.23,11768.63,891.16
2124.1865,-10289.38,-2746.58,-7067.11,-8452.13,10486.13,-11525.78,11657.14,354.62
2124.1905,-10163.88,-2162.22,-6017.26,-8386.99,10581.92,-11367.75,11737.49,801.71
2124.1945,-10063.79,-1255.32,-4715.06,-8262.97,10687.97,-11117.22,11895.37,1592.83
2124.1985,-10120.11,-1226.52,-4873.32,-8252.96,10663.42,-11110.74,11918.93,1677.8
2124.2025,-10265.69,-2167.65,-6371.21,-8379.41,10531.95,-11368.71,11769.01,897.6
2124.2065,-10289.43,-2744.63,-7064.3,-8464.29,10482.98,-11523.77,11659.91,353.86
2124.2105,-10161.5,-2158.02,-6010.53,-8398.49,10578.44,-11362.7,11747.74,807.33
