TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1306.9068,29895.98,24645.95,34492.59,27759.32,23612.22,22294.91,26417.54,29121.83
1306.9108,29924.49,24669.41,34513.14,27779.53,23632.0,22309.93,26439.86,29124.12
1306.9148,29969.03,24711.66,34556.3,27814.58,23675.59,22344.73,26481.35,29156.02
1306.9188,29961.16,24702.12,34558.01,27803.23,23674.78,22338.68,26474.67,29165.22
1306.9228,29921.34,24663.59,34525.3,27769.47,23640.06,22307.78,26435.95,29147.53
1306.9268,29880.96,24620.49,34485.01,27725.99,23595.43,22265.82,26392.13,29107.14
1306.9308,29896.45,24632.27,34493.55,27737.14,23603.44,22272.73,26403.33,29101.18
1306.9348,29930.6,24660.92,34523.59,27759.7,23630.91,22294.19,26432.71,29115.49
1306.9388,29937.18,24668.27,34533.7,27769.28,23640.06,22302.73,26440.72,29128.7
1306.9428,29905.47,24639.7,34507.9,27745.15,23613.26,22280.03,26412.54,29121.74
1306.9468,29852.44,24583.96,34457.12,27689.98,23564.01,22226.67,26362.37,29081.63
1306.9508,29865.03,24595.55,34460.21,27703.1,23570.49,22234.39,26374.25,29070.76
1306.9548,29914.53,24646.43,34503.61,27749.64,23615.74,22280.08,26422.6,29101.42
1306.9588,29917.67,24652.63,34511.24,27758.55,23624.57,22288.99,26427.89,29115.68
1306.9628,29873.85,24613.29,34473.18,27725.6,23586.9,22258.33,26387.5,29095.94
1306.9668,29825.98,24569.23,34423.78,27688.7,23536.64,22219.04,26341.16,29051.78
1306.9707,29854.92,24596.26,34445.72,27710.58,23560.24,22239.59,26368.53,29061.94
1306.9747,29911.33,24650.24,34500.6,27760.65,23616.32,22288.28,26423.93,29104.76
1306.9787,29914.53,24654.58,34506.56,27761.75,23622.04,22293.62,26427.03,29118.78
1306.9827,29890.92,24637.37,34485.63,27743.06,23599.96,22278.88,26403.95,29107.53
1306.9867,29844.96,24594.36,34441.71,27704.43,23556.14,22239.31,26362.71,29068.76
1306.9907,29877.9,24627.83,34467.51,27739.72,23584.8,22270.59,26394.42,29082.68
1306.9947,29939.99,24690.87,34523.97,27800.9,23641.92,22327.14,26453.88,29123.79
1306.9987,29956.73,24705.51,34546.67,27809.43,23662.47,22342.64,26471.52,29148.96
1307.0027,29912.43,24663.83,34509.95,27770.62,23623.04,22308.16,26428.04,29127.08
1307.0067,29869.51,24619.92,34467.99,27727.75,23582.18,22267.3,26384.74,29095.61
1307.0107,29898.65,24645.76,34491.73,27749.83,23605.73,22285.08,26409.01,29103.47
1307.0147,29945.52,24687.58,34537.18,27791.17,23648.79,22321.08,26452.45,29137.61
1307.0187,29953.05,24694.45,34550.62,27802.18,23660.42,22334.15,26463.65,29154.3
1307.0227,29922.82,24665.74,34529.36,27774.86,23638.06,22309.59,26436.57,29150.92
1307.0267,29865.32,24609.14,34470.66,27718.5,23577.6,22255.23,26378.35,29090.31
1307.0307,29890.59,24630.17,34485.53,27737.76,23594.38,22271.49,26398.33,29091.5
1307.0347,29951.77,24688.63,34543.18,27791.65,23650.12,22325.14,26454.98,29135.47
1307.0387,29952.34,24689.77,34547.0,27794.36,23653.84,22327.62,26457.17,29146.29
1307.0427,29896.45,24635.84,34498.08,27742.29,23605.35,22277.12,26404.34,29117.11
1307.0467,29852.82,24592.97,34452.35,27704.39,23560.48,22238.88,26362.76,29076.44
1307.0507,29888.35,24624.78,34479.29,27731.52,23589.18,22266.06,26394.27,29091.65
1307.0547,29934.55,24670.22,34519.25,27779.96,23631.05,22309.5,26437.09,29118.73
1307.0587,29922.11,24660.83,34515.1,27773.86,23626.95,22304.97,26430.13,29122.21
1307.0627,29871.04,24612.91,34471.23,27731.8,23584.08,22264.05,26382.64,29096.03
1307.0667,29836.61,24583.34,34435.8,27703.19,23550.08,22235.01,26351.12,29068.9
1307.0707,29869.61,24614.58,34460.5,27731.14,23577.88,22260.91,26381.69,29083.16
1307.0747,29924.92,24670.03,34512.09,27785.45,23630.43,22311.69,26436.33,29119.54
1307.0787,29917.86,24665.69,34510.04,27778.2,23629.24,22309.4,26433.71,29124.31
1307.0827,29882.24,24630.79,34482.15,27738.24,23599.91,22278.26,26400.19,29113.25
1307.0867,29864.22,24614.62,34463.12,27722.46,23580.84,22261.67,26381.54,29096.13
1307.0907,29879.76,24628.55,34472.09,27729.47,23588.42,22268.01,26393.94,29089.03
1307.0947,29950.86,24699.17,34537.7,27793.17,23651.22,22330.14,26459.36,29135.9
1307.0986,29986.48,24734.4,34575.85,27824.6,23684.03,22363.81,26491.55,29172.85
1307.1026,29950.57,24702.22,34547.09,27790.6,23654.51,22335.25,26457.79,29160.65
1307.1066,29890.45,24644.81,34488.25,27738.57,23596.72,22283.8,26401.28,29105.24
1307.1106,29908.04,24656.92,34496.93,27745.2,23606.59,22291.42,26413.97,29099.99
1307.1146,29974.61,24717.86,34559.21,27796.61,23666.1,22343.35,26474.96,29147.91
1307.1186,29983.91,24727.16,34571.03,27811.15,23676.35,22353.51,26484.4,29162.22
1307.1226,29947.0,24692.4,34543.09,27779.15,23646.6,22324.85,26452.12,29154.54
1307.1266,29895.98,24642.61,34495.41,27732.71,23599.34,22279.46,26403.57,29117.83
1307.1306,29908.14,24652.15,34500.46,27743.53,23608.02,22285.7,26415.21,29113.39
1307.1346,29951.53,24691.49,34539.27,27778.34,23647.03,22318.84,26455.26,29137.85
1307.1386,29957.68,24698.64,34548.43,27788.64,23658.42,22329.14,26463.42,29154.3
1307.1426,29908.23,24652.96,34503.7,27748.45,23612.98,22290.8,26417.4,29125.41
1307.1466,29849.44,24595.36,34449.63,27694.04,23559.81,22237.88,26363.09,29080.68
1307.1506,29855.02,24598.03,34448.2,27698.95,23557.48,22238.35,26366.67,29065.76
1307.1546,29899.65,24640.85,34488.73,27738.96,23597.77,22276.36,26408.87,29094.94
1307.1586,29909.33,24652.82,34503.94,27754.6,23613.5,22292.57,26421.22,29114.68
1307.1625,29870.23,24619.49,34471.8,27726.8,23582.08,22264.1,26386.93,29101.66
1307.1665,29838.76,24589.54,34439.28,27695.75,23551.51,22233.77,26356.65,29080.82
1307.1705,29857.21,24608.33,34447.15,27706.91,23563.77,22245.03,26372.48,29076.91
1307.1745,29913.38,24662.21,34495.79,27755.88,23615.08,22293.28,26425.84,29110.72
1307.1785,29927.3,24680.09,34513.0,27780.63,23627.38,22314.93,26441.62,29120.26
1307.1825,29889.35,24643.23,34483.82,27740.77,23595.48,22280.17,26405.72,29107.67
1307.1865,29846.19,24595.26,34444.48,27689.13,23556.24,22232.34,26361.28,29074.96
1307.1905,29884.06,24630.5,34476.38,27716.59,23589.38,22258.43,26394.04,29096.42
1307.1945,29957.25,24703.22,34542.85,27787.02,23653.37,22325.42,26463.61,29143.77
1307.1985,29963.88,24711.71,34553.91,27795.99,23662.05,22334.67,26471.71,29153.54
1307.2025,29919.58,24669.36,34515.81,27755.79,23623.37,22297.91,26429.37,29131.56
1307.2065,29865.08,24613.05,34465.03,27698.38,23568.3,22242.5,26371.29,29086.07
1307.2105,29884.39,24630.98,34475.52,27713.97,23579.5,22256.28,26385.69,29082.68
1307.2145,29933.55,24676.28,34520.96,27751.54,23624.42,22293.52,26432.33,29113.44
1307.2185,29952.2,24697.26,34541.18,27777.01,23642.4,22319.03,26452.78,29132.23
1307.2225,29919.53,24665.74,34513.81,27745.39,23613.93,22290.85,26420.55,29121.12
1307.2265,29868.18,24613.57,34466.08,27693.18,23569.16,22239.97,26371.86,29087.69
1307.2305,29880.72,24622.87,34471.66,27700.86,23575.5,22244.65,26380.92,29082.3
1307.2345,29940.37,24680.38,34521.58,27763.42,23626.85,22299.48,26438.14,29116.2
1307.2385,29941.94,24682.57,34529.88,27768.57,23630.96,22305.4,26442.34,29124.64
1307.2425,29881.91,24624.4,34479.38,27717.31,23582.13,22257.9,26387.65,29093.46
1307.2465,29840.14,24583.39,34441.09,27679.07,23545.08,22220.66,26348.5,29062.37
1307.2505,29860.21,24599.7,34456.02,27690.46,23559.81,22229.39,26364.66,29068.81
1307.2545,29893.69,24631.31,34485.77,27720.84,23593.81,22258.24,26399.66,29089.36
1307.2585,29884.15,24623.16,34481.1,27720.88,23589.66,22256.57,26394.18,29090.69
1307.2625,29852.92,24596.07,34460.21,27697.52,23569.49,22238.45,26368.81,29087.64
1307.2665,29823.02,24568.32,34432.84,27673.53,23544.03,22213.51,26343.4,29064.61
1307.2705,29857.83,24602.7,34458.93,27711.82,23570.73,22243.98,26373.1,29076.39
1307.2745,29916.58,24659.54,34512.19,27755.26,23620.89,22289.23,26428.04,29112.53
1307.2785,29931.79,24675.75,34530.69,27770.86,23638.3,22307.78,26445.2,29134.85
1307.2825,29900.13,24648.05,34506.28,27742.34,23611.26,22284.37,26413.59,29124.69
1307.2865,29852.25,24602.65,34459.74,27693.08,23561.43,22238.3,26364.85,29079.01
1307.2904,29868.22,24617.91,34465.65,27703.81,23568.39,22246.08,26375.44,29070.09
1307.2944,29936.56,24683.19,34529.88,27764.66,23631.0,22304.06,26439.91,29120.26
1307.2984,29953.96,24701.88,34547.24,27787.16,23646.64,22324.71,26456.74,29137.81
1307.3024,29920.39,24670.27,34519.72,27757.41,23620.04,22297.62,26425.03,29131.42
1307.3064,29864.12,24614.86,34466.37,27702.05,23563.82,22243.36,26370.1,29079.25
1307.3104,29860.31,24607.71,34455.78,27694.09,23549.18,22231.96,26361.09,29048.49
1307.3144,29914.67,24655.15,34504.18,27738.43,23597.34,22273.78,26411.25,29087.36
1307.3184,29933.65,24674.7,34527.26,27759.98,23618.99,22294.33,26431.04,29118.26
1307.3224,29910.76,24654.92,34513.76,27743.77,23605.11,22282.75,26411.73,29123.69
1307.3264,29856.92,24599.84,34463.55,27689.75,23554.52,22232.11,26358.51,29080.35
1307.3304,29855.21,24595.88,34453.78,27684.98,23549.13,22221.81,26355.41,29057.89
1307.3344,29905.08,24642.71,34496.65,27731.04,23591.33,22264.34,26402.62,29082.83
1307.3384,29923.54,24663.31,34520.3,27760.22,23612.79,22293.76,26424.03,29109.72
1307.3424,29882.15,24621.92,34490.02,27711.68,23583.13,22255.47,26385.93,29100.76
1307.3464,29835.94,24577.43,34447.24,27673.63,23544.98,22214.7,26344.49,29070.43
