TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2015.4063,20168.26,12824.35,25393.25,15526.25,14167.93,5683.85,7895.71,18313.46
2015.4103,20116.71,12773.8,25344.42,15472.22,14117.77,5633.55,7844.74,18281.13
2015.4143,20145.66,12799.5,25362.16,15503.79,14142.42,5654.38,7870.29,18281.41
2015.4183,20213.99,12858.77,25424.29,15554.24,14212.9,5709.93,7934.43,18332.39
2015.4223,20215.13,12870.5,25427.68,15568.12,14217.43,5721.95,7937.34,18340.49
2015.4263,20140.89,12798.69,25366.79,15489.15,14147.09,5648.85,7864.62,18301.44
2015.4303,20085.43,12737.04,25318.82,15435.75,14097.79,5599.64,7814.17,18267.63
2015.4343,20122.58,12769.08,25344.28,15467.31,14127.69,5628.01,7846.12,18263.53
2015.4383,20198.01,12846.19,25413.8,15544.7,14201.6,5696.68,7918.64,18315.99
2015.4423,20197.25,12846.47,25418.19,15549.23,14205.22,5707.31,7923.27,18328.43
2015.4463,20116.52,12768.41,25349.52,15474.51,14130.5,5638.03,7849.27,18294.05
2015.4503,20083.72,12738.32,25316.67,15456.15,14098.69,5612.14,7820.18,18273.83
2015.4543,20124.01,12778.76,25340.99,15487.58,14126.45,5638.7,7853.03,18271.07
2015.4583,20189.19,12839.99,25396.21,15533.88,14183.33,5687.71,7909.16,18289.71
2015.4623,20200.78,12847.9,25417.38,15542.94,14199.45,5703.74,7922.08,18319.56
2015.4663,20131.5,12781.57,25358.16,15474.46,14139.18,5644.04,7859.85,18304.73
2015.4702,20082.05,12733.27,25309.47,15408.61,14085.2,5584.77,7807.54,18249.94
2015.4742,20121.2,12774.23,25334.31,15476.51,14115.14,5627.82,7844.4,18251.28
2015.4782,20206.98,12854.77,25414.85,15566.88,14202.55,5715.18,7930.9,18319.9
2015.4822,20206.98,12860.82,25418.05,15558.86,14202.83,5714.7,7931.71,18328.43
2015.4862,20152.05,12808.9,25373.99,15517.33,14156.49,5673.6,7883.69,18311.88
2015.4902,20095.02,12749.96,25321.49,15454.58,14100.55,5615.95,7827.0,18271.73
2015.4942,20137.5,12787.34,25352.91,15488.15,14135.79,5648.57,7862.14,18282.22
2015.4982,20212.41,12862.59,25418.09,15563.68,14202.17,5714.13,7929.18,18310.55
2015.5022,20212.32,12866.16,25425.29,15569.35,14207.41,5719.09,7930.47,18331.48
2015.5062,20141.84,12795.69,25366.5,15495.78,14143.66,5655.96,7865.62,18296.77
2015.5102,20078.04,12730.17,25303.03,15434.03,14082.86,5597.64,7806.68,18254.19
2015.5142,20109.47,12756.83,25324.87,15445.28,14109.33,5610.28,7830.72,18259.19
2015.5182,20189.96,12837.13,25401.21,15511.66,14187.86,5673.7,7904.72,18313.55
2015.5222,20184.9,12832.4,25403.26,15539.84,14187.77,5693.2,7909.11,18315.99
2015.5262,20114.09,12772.75,25339.08,15477.28,14119.15,5632.12,7844.16,18271.73
2015.5302,20074.04,12732.27,25301.41,15447.09,14083.15,5601.98,7809.54,18253.19
2015.5342,20109.94,12759.93,25329.16,15471.98,14120.25,5629.4,7843.07,18266.01
2015.5382,20178.13,12827.83,25387.0,15531.45,14180.23,5685.04,7904.1,18292.29
2015.5422,20186.0,12841.04,25400.12,15543.22,14188.86,5696.44,7914.73,18308.4
2015.5462,20136.17,12794.4,25360.25,15501.07,14145.09,5658.77,7869.86,18304.64
2015.5502,20092.2,12750.2,25315.43,15460.4,14102.84,5619.48,7827.81,18274.55
2015.5542,20118.53,12772.51,25331.26,15477.56,14124.06,5631.3,7846.5,18267.82
2015.5582,20190.81,12836.08,25397.69,15521.05,14192.87,5686.19,7910.68,18313.84
2015.5622,20214.61,12865.93,25425.82,15559.91,14218.48,5718.76,7936.76,18346.22
2015.5662,20159.29,12819.72,25379.71,15531.83,14170.03,5684.61,7889.84,18325.76
2015.5702,20102.69,12761.17,25325.68,15469.93,14114.52,5627.97,7835.91,18282.61
2015.5742,20133.93,12789.16,25344.99,15487.82,14134.36,5644.66,7857.8,18274.83
2015.5782,20197.2,12852.81,25402.36,15561.34,14193.97,5705.64,7918.12,18312.79
2015.5822,20208.41,12862.16,25421.38,15570.83,14207.03,5717.9,7928.85,18327.29
2015.5862,20165.49,12818.53,25390.44,15523.34,14167.5,5680.47,7888.46,18311.03
2015.5902,20104.7,12760.07,25328.21,15467.69,14114.38,5625.34,7833.34,18287.95
2015.5942,20137.03,12787.87,25351.72,15494.49,14142.47,5646.71,7860.09,18295.24
2015.5981,20206.31,12854.58,25409.46,15559.87,14203.84,5707.74,7923.41,18321.09
2015.6021,20206.88,12857.44,25417.04,15565.3,14211.47,5716.13,7929.52,18334.68
2015.6061,20138.08,12795.83,25359.35,15511.32,14147.9,5664.06,7869.2,18300.25
2015.6101,20096.78,12751.72,25326.64,15457.58,14114.05,5622.77,7831.57,18275.98
2015.6141,20135.64,12787.15,25351.67,15488.48,14144.99,5650.33,7862.28,18293.1
2015.6181,20199.73,12853.67,25405.84,15557.2,14202.07,5705.93,7921.17,18319.08
