TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2276.8904,16924.1,9362.7,21789.12,11361.41,10857.3,-576.31,2937.32,14435.29
2276.8944,16983.27,9426.69,21837.76,11438.13,10905.55,-520.52,2989.67,14451.46
2276.8984,17039.21,9485.15,21893.36,11476.9,10957.0,-476.17,3041.79,14482.21
2276.9024,16972.69,9417.25,21830.8,11424.69,10894.25,-527.1,2982.47,14451.08
2276.9064,16903.35,9350.59,21766.05,11384.11,10832.69,-572.97,2924.68,14413.84
2276.9104,16902.97,9342.39,21766.0,11345.05,10829.5,-595.71,2916.15,14392.04
2276.9144,17002.01,9439.9,21860.17,11438.04,10921.96,-508.21,3008.22,14462.95
2276.9184,17028.95,9467.6,21884.68,11477.52,10949.61,-478.79,3034.74,14494.61
2276.9224,16987.95,9427.74,21850.64,11436.13,10913.47,-512.03,2997.59,14477.54
2276.9264,16888.29,9328.7,21754.03,11323.98,10809.04,-611.78,2897.93,14388.9
2276.9304,16888.14,9333.04,21748.21,11348.44,10808.66,-606.01,2901.22,14389.61
2276.9344,16974.4,9419.59,21828.84,11446.33,10889.82,-523.76,2982.81,14441.92
2276.9384,17041.97,9484.48,21898.7,11497.31,10964.11,-463.72,3048.71,14513.73
2276.9424,17014.36,9454.87,21875.77,11461.31,10943.22,-489.66,3022.86,14511.78
2276.9464,16936.78,9374.33,21805.91,11378.38,10868.12,-561.86,2948.81,14456.56
2276.9504,16924.19,9366.75,21786.69,11394.74,10848.48,-566.77,2938.22,14427.66
2276.9544,16981.65,9426.83,21832.61,11457.11,10898.26,-513.6,2990.68,14451.22
2276.9584,16975.4,9417.34,21821.02,11447.1,10884.57,-521.61,2979.42,14410.69
2276.9624,16971.26,9409.0,21825.75,11427.5,10884.19,-526.38,2976.04,14427.47
2276.9664,16929.34,9370.61,21791.32,11384.15,10852.1,-561.43,2941.13,14434.82
2276.9704,16941.17,9381.92,21802.57,11394.74,10862.49,-554.18,2950.95,14430.43
2276.9744,17019.61,9456.54,21874.91,11447.57,10936.21,-498.68,3018.43,14489.46
2276.9784,17004.92,9438.52,21858.36,11453.49,10923.05,-503.92,3004.12,14472.92
2276.9824,16953.37,9393.69,21809.06,11426.26,10875.89,-535.11,2960.87,14440.87
2276.9864,16928.63,9369.04,21788.5,11386.16,10851.43,-558.95,2938.37,14434.67
2276.9904,16925.62,9363.37,21781.49,11388.26,10844.57,-564.53,2933.88,14419.7
2276.9944,16988.09,9426.4,21843.05,11451.67,10906.27,-512.08,2991.77,14454.65
2276.9984,17020.61,9460.31,21870.28,11487.91,10938.22,-476.65,3025.39,14481.59
2277.0024,16993.48,9437.99,21845.53,11468.13,10908.99,-498.72,3000.02,14470.96
2277.0064,16930.06,9371.85,21789.31,11401.61,10851.38,-555.71,2942.28,14440.11
2277.0104,16928.44,9368.85,21785.4,11398.08,10844.37,-560.38,2938.56,14422.94
2277.0144,16966.39,9408.43,21814.92,11434.7,10876.47,-526.91,2972.65,14421.85
2277.0183,17018.99,9459.12,21868.9,11476.9,10930.4,-479.79,3022.72,14467.91
2277.0223,17000.15,9440.57,21856.12,11422.87,10916.47,-508.17,3003.07,14476.25
2277.0263,16948.46,9392.55,21806.86,11399.7,10865.74,-542.74,2957.92,14447.17
2277.0303,16919.42,9360.6,21777.68,11398.03,10837.99,-557.09,2935.79,14406.83
2277.0343,16987.28,9431.08,21838.48,11468.7,10897.69,-497.01,2997.73,14448.31
2277.0383,16995.0,9430.84,21850.68,11437.75,10910.75,-512.08,3001.4,14458.37
2277.0423,16992.48,9432.08,21851.73,11420.2,10909.89,-516.7,3000.45,14471.25
2277.0463,16918.23,9365.7,21780.64,11385.92,10838.56,-566.01,2935.36,14422.99
2277.0503,16883.23,9326.84,21744.64,11383.73,10805.51,-582.5,2907.9,14370.97
