TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6195.5038,22780.61,33288.15,32727.53,24388.36,29401.78,19900.71,35087.11,42460.07
6195.5078,22734.36,33242.66,32676.84,24338.68,29351.86,19849.26,35032.18,42406.75
6195.5118,22877.27,33390.19,32812.65,24473.86,29490.76,19984.92,35162.98,42545.42
6195.5158,22997.57,33511.12,32938.63,24597.36,29619.08,20110.94,35289.24,42678.55
6195.5198,22960.47,33476.93,32899.24,24553.25,29571.44,20055.39,35240.23,42614.75
6195.5238,22778.8,33281.66,32721.33,24383.83,29399.83,19897.51,35082.82,42459.3
6195.5278,22717.1,33213.19,32656.63,24322.8,29339.27,19839.72,35025.41,42400.75
6195.5318,22854.14,33355.43,32788.47,24453.12,29471.93,19966.89,35149.24,42523.77
6195.5358,22996.57,33504.01,32930.57,24594.64,29613.88,20108.37,35288.34,42668.63
6195.5398,22954.37,33461.15,32890.75,24556.5,29569.96,20068.79,35250.62,42630.15
6195.5438,22793.39,33297.21,32732.2,24397.61,29408.7,19906.86,35092.45,42459.11
6195.5478,22738.41,33245.28,32675.08,24338.25,29351.81,19847.68,35031.7,42396.26
6195.5518,22869.11,33378.32,32802.3,24468.66,29484.7,19979.19,35159.26,42537.03
6195.5558,22998.29,33505.97,32931.81,24596.17,29617.84,20111.28,35292.06,42674.93
6195.5598,22960.67,33467.44,32893.23,24557.5,29574.92,20068.5,35251.62,42627.01
6195.5638,22800.16,33305.6,32735.4,24400.62,29412.37,19912.48,35094.84,42465.88
6195.5677,22740.94,33245.19,32679.47,24347.98,29359.25,19863.04,35042.77,42419.68
6195.5717,22868.21,33375.65,32804.78,24471.1,29489.71,19987.68,35165.46,42548.9
6195.5757,23005.54,33514.69,32939.72,24605.42,29627.52,20120.53,35296.35,42681.41
6195.5797,22970.01,33479.17,32900.29,24565.99,29584.36,20074.27,35253.24,42632.54
6195.5837,22815.04,33318.48,32742.36,24409.2,29420.38,19916.01,35097.94,42470.36
6195.5877,22745.14,33245.23,32676.27,24339.35,29355.39,19849.45,35032.66,42399.36
6195.5917,22882.89,33390.57,32808.74,24471.1,29489.81,19977.29,35156.54,42530.02
6195.5957,23001.15,33504.63,32934.81,24596.69,29623.18,20112.14,35290.05,42676.17
6195.5997,22948.17,33445.36,32888.75,24550.73,29576.83,20068.41,35250.43,42632.92
6195.6037,22798.06,33289.87,32732.44,24395.95,29414.37,19911.48,35094.69,42475.51
6195.6077,22744.56,33236.98,32675.08,24338.2,29355.53,19852.59,35035.57,42413.05
6195.6117,22862.82,33361.58,32792.33,24455.5,29476.79,19968.08,35149.15,42529.3
6195.6157,23005.87,33512.07,32933.0,24595.45,29620.27,20108.23,35287.15,42675.69
6195.6197,22963.77,33467.49,32894.14,24556.16,29577.07,20070.36,35249.14,42636.73
6195.6237,22793.1,33291.96,32728.72,24389.6,29406.98,19903.81,35083.35,42461.69
6195.6277,22731.45,33226.54,32661.82,24322.46,29340.08,19832.71,35014.4,42387.73
