TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6195.549,315.126,30.378,967.643,-1688.75,-2957.5,761.25,-15.2,16.72,-338.96
6195.599,312.991,24.827,967.948,-1776.25,-4908.75,717.5,-19.76,39.52,-310.08
6195.649,319.274,26.596,968.314,-1242.5,-5372.5,997.5,6.08,39.52,-326.8
6195.699,317.688,27.999,965.02,-936.25,-3683.75,953.75,-12.16,41.04,-329.84
6195.749,302.499,45.933,965.996,-1470.0,-4838.75,892.5,-16.72,24.32,-322.24
6195.799,315.675,29.036,970.327,-4296.25,-8032.5,-1242.5,3.04,24.32,-329.84
6195.849,313.357,19.032,967.399,-2222.5,-5311.25,-1618.75,1.52,19.76,-326.8
6195.899,315.98,12.81,970.815,455.0,-5985.0,1645.0,-4.56,21.28,-329.84
6195.949,322.812,30.561,965.874,1216.25,-5617.5,2327.5,4.56,33.44,-329.84
6195.999,325.374,34.526,964.959,-848.75,-3937.5,1338.75,-9.12,30.4,-337.44
6196.049,322.263,30.439,967.094,-1076.25,-4865.0,1076.25,-6.08,30.4,-334.4
6196.0992,320.677,30.683,965.752,-1006.25,-3517.5,892.5,-10.64,28.88,-325.28
6196.149,317.871,36.966,965.203,-2695.0,-5512.5,831.25,1.52,34.96,-331.36
6196.1991,318.359,26.108,965.569,-2047.5,-5293.75,1478.75,-15.2,33.44,-323.76
6196.249,321.653,28.487,968.009,-1531.25,-4856.25,1881.25,-21.28,38.0,-323.76
6196.299,318.237,29.463,969.473,-1548.75,-3657.5,1321.25,3.04,28.88,-326.8
6196.349,319.823,31.72,969.351,-1872.5,-2651.25,568.75,-19.76,28.88,-329.84
6196.399,314.394,34.099,968.131,-2878.75,-2843.75,-656.25,-10.64,36.48,-328.32
6196.449,311.893,22.936,969.656,-3036.25,-4410.0,-376.25,-1.52,45.6,-337.44
6196.499,312.137,20.313,966.911,-2555.0,-3307.5,945.0,1.52,36.48,-322.24
6196.549,305.732,27.023,969.412,-1522.5,-3578.75,1540.0,-1.52,25.84,-326.8
6196.599,303.841,23.607,970.693,-2196.25,-4121.25,1347.5,-3.04,53.2,-320.72
6196.649,303.78,22.814,970.022,-1636.25,-5748.75,1286.25,-6.08,27.36,-332.88
6196.699,310.124,19.703,972.157,-1942.5,-6413.75,1741.25,-28.88,31.92,-322.24
6196.749,315.675,24.095,970.327,-166.25,-5258.75,1811.25,10.64,47.12,-319.2
6196.799,318.786,24.766,969.229,-1977.5,-5127.5,621.25,3.04,30.4,-325.28
6196.849,313.906,26.352,967.948,-1645.0,-4086.25,-8.75,1.52,18.24,-329.84
6196.899,311.222,19.398,970.144,-2082.5,-4786.25,-621.25,3.04,47.12,-323.76
6196.949,313.784,20.679,973.56,-1251.25,-4418.75,78.75,1.52,45.6,-323.76
6196.999,309.026,26.352,965.752,-988.75,-5066.25,735.0,-9.12,25.84,-332.88
6197.049,314.028,25.498,970.51,-1513.75,-4655.0,910.0,3.04,42.56,-334.4
6197.099,311.832,24.278,969.839,-1785.0,-4173.75,621.25,-18.24,27.36,-328.32
6197.149,307.074,22.143,969.595,-1006.25,-4917.5,778.75,-16.72,30.4,-332.88
6197.199,314.821,25.62,971.913,-1303.75,-6212.5,717.5,-9.12,47.12,-332.88
6197.249,317.261,27.45,968.131,-1111.25,-5635.0,726.25,-13.68,30.4,-316.16
6197.299,312.564,25.864,965.691,-1671.25,-4541.25,577.5,-13.68,38.0,-342.0
6197.349,306.83,24.888,969.046,-1601.25,-5565.0,385.0,10.64,57.76,-323.76
6197.399,313.418,21.472,967.948,-1601.25,-5503.75,463.75,3.04,38.0,-319.2
6197.449,323.361,22.936,970.083,-673.75,-5993.75,875.0,-6.08,34.96,-323.76
6197.499,323.727,29.768,968.131,-551.25,-4523.75,778.75,3.04,44.08,-335.92
6197.549,320.982,28.914,969.168,-1793.75,-3893.75,245.0,-10.64,36.48,-325.28
6197.599,320.128,25.925,967.216,-1916.25,-2852.5,315.0,-9.12,31.92,-334.4
6197.6491,313.357,24.583,968.497,-2030.0,-4488.75,708.75,-10.64,38.0,-329.84
6197.699,310.856,26.169,969.839,-1732.5,-3473.75,1067.5,6.08,48.64,-325.28
6197.749,308.233,27.755,969.351,-1977.5,-5057.5,647.5,-13.68,31.92,-326.8
6197.799,317.322,25.071,967.887,-1925.0,-4340.0,393.75,-22.8,30.4,-314.64
6197.849,310.429,22.448,967.948,-2187.5,-4200.0,411.25,-13.68,24.32,-319.2
6197.899,307.745,21.167,969.229,-1610.0,-3631.25,490.0,-13.68,33.44,-335.92
6197.949,305.183,21.167,968.863,-1837.5,-5355.0,901.25,-10.64,47.12,-332.88
6197.999,312.259,22.631,971.486,-1146.25,-5495.0,621.25,-19.76,15.2,-332.88
6198.049,309.148,23.912,966.85,-1356.25,-4812.5,691.25,1.52,27.36,-326.8
6198.099,312.808,26.108,968.985,-1242.5,-5521.25,481.25,-6.08,38.0,-316.16
6198.149,313.357,26.108,972.035,-1592.5,-5258.75,796.25,-6.08,39.52,-331.36
6198.199,314.76,26.352,967.887,-1863.75,-5215.0,805.0,-10.64,36.48,-337.44
6198.249,315.98,23.363,970.144,-1470.0,-5433.75,700.0,12.16,44.08,-322.24
6198.299,319.701,26.108,970.327,-1750.0,-5075.0,717.5,-7.6,27.36,-313.12
6198.349,315.248,22.692,967.521,-2003.75,-3561.25,516.25,-15.2,38.0,-326.8
6198.399,307.013,22.875,971.059,-1907.5,-4121.25,857.5,-13.68,38.0,-322.24
6198.449,313.296,20.862,972.157,-1338.75,-4628.75,700.0,-22.8,25.84,-335.92
6198.499,309.819,23.668,967.582,-1531.25,-4795.0,665.0,-15.2,34.96,-322.24
6198.549,313.723,24.217,969.046,-1540.0,-4751.25,236.25,4.56,39.52,-320.72
6198.599,311.832,24.278,970.327,-1846.25,-3885.0,210.0,-18.24,21.28,-307.04
6198.649,306.342,23.851,969.961,-2065.0,-4322.5,813.75,-12.16,31.92,-345.04
6198.699,304.085,18.727,971.669,-1242.5,-6151.25,1006.25,15.2,42.56,-328.32
6198.749,318.603,23.485,972.95,-743.75,-4243.75,1155.0,-13.68,36.48,-316.16
6198.799,311.588,27.328,969.717,-1128.75,-3071.25,393.75,-9.12,45.6,-316.16
6198.849,308.904,27.938,969.595,-1872.5,-3797.5,-175.0,10.64,50.16,-342.0
6198.899,304.634,25.071,973.133,-2143.75,-4217.5,201.25,1.52,25.84,-331.36
6198.949,306.769,21.289,970.266,-1986.25,-5048.75,953.75,-1.52,27.36,-308.56
6198.999,310.368,25.559,970.876,-840.0,-5171.25,1618.75,-21.28,45.6,-331.36
6199.049,315.187,28.67,969.534,-1706.25,-4401.25,1023.75,-7.6,25.84,-332.88
6199.099,306.952,25.559,968.375,-1260.0,-3517.5,1461.25,-1.52,27.36,-329.84
6199.149,306.708,23.363,972.767,-1496.25,-4488.75,1408.75,4.56,28.88,-325.28
6199.1991,307.196,25.986,972.889,-1207.5,-3990.0,1085.0,-16.72,30.4,-329.84
6199.249,307.501,20.13,967.46,-2301.25,-5048.75,61.25,-18.24,39.52,-319.2
6199.299,310.429,17.751,970.022,-315.0,-4200.0,927.5,7.6,39.52,-334.4
6199.349,308.05,27.755,972.523,-831.25,-3421.25,1531.25,-12.16,31.92,-328.32
6199.399,298.534,25.864,969.534,-2205.0,-4418.75,883.75,-9.12,47.12,-325.28
6199.449,303.17,21.106,971.486,-2345.0,-5057.5,332.5,-7.6,47.12,-329.84
6199.499,304.939,20.069,972.584,-1531.25,-4007.5,507.5,-10.64,25.84,-332.88
6199.549,297.741,19.276,972.462,-743.75,-5512.5,1356.25,1.52,33.44,-329.84
6199.599,303.536,29.28,971.181,-953.75,-4331.25,2021.25,-7.6,27.36,-328.32
6199.649,300.791,27.023,970.998,-1951.25,-5713.75,1478.75,-6.08,31.92,-331.36
6199.699,308.233,20.069,970.998,-2625.0,-5276.25,525.0,4.56,41.04,-317.68
6199.749,308.538,20.008,971.12,-1190.0,-5363.75,227.5,6.08,56.24,-334.4
6199.799,308.294,27.023,970.815,-1513.75,-4742.5,8.75,-15.2,24.32,-329.84
6199.849,311.771,23.607,970.449,-2047.5,-4121.25,-1023.75,4.56,33.44,-325.28
6199.899,310.49,14.396,970.266,-1531.25,-4103.75,323.75,-13.68,41.04,-319.2
6199.949,302.438,22.631,970.449,-507.5,-3806.25,551.25,-6.08,30.4,-331.36
6199.999,300.608,22.997,971.303,-1785.0,-5110.0,166.25,-1.52,24.32,-326.8
6200.049,304.329,25.681,973.438,-1846.25,-4217.5,376.25,6.08,38.0,-317.68
6200.099,300.852,20.496,973.682,-1933.75,-4235.0,927.5,-7.6,25.84,-331.36
6200.149,300.181,18.971,972.462,-1566.25,-4707.5,1137.5,-12.16,38.0,-322.24
6200.199,303.78,19.642,972.95,-1058.75,-5320.0,752.5,6.08,30.4,-331.36
6200.249,301.828,21.045,972.279,-1330.0,-3622.5,70.0,-16.72,44.08,-338.96
6200.299,294.142,22.204,973.316,-122.5,-4418.75,43.75,-4.56,34.96,-328.32
6200.349,297.131,25.62,971.547,-673.75,-6448.75,551.25,9.12,24.32,-325.28
6200.399,305.793,27.206,973.804,-1750.0,-5390.0,367.5,1.52,21.28,-320.72
6200.449,307.623,23.607,969.046,-2222.5,-5040.0,630.0,13.68,41.04,-329.84
6200.499,310.002,23.546,969.351,-1566.25,-4996.25,988.75,3.04,25.84,-332.88
6200.549,310.063,22.753,972.645,-1601.25,-4042.5,892.5,-1.52,39.52,-329.84
6200.599,305.976,22.631,971.852,-1811.25,-4077.5,428.75,4.56,33.44,-329.84
6200.6492,304.512,19.154,971.303,-1312.5,-4191.25,-166.25,-1.52,42.56,-335.92
6200.699,302.194,23.607,970.815,-1382.5,-4751.25,-218.75,-1.52,25.84,-313.12
6200.749,305.549,25.864,972.767,-1452.5,-4471.25,166.25,4.56,44.08,-326.8
6200.799,303.658,23.973,972.645,-1513.75,-3876.25,840.0,3.04,39.52,-331.36
6200.849,294.996,26.047,972.34,-1268.75,-3867.5,953.75,-19.76,38.0,-322.24
6200.899,296.399,25.681,974.17,-1977.5,-5328.75,936.25,-6.08,34.96,-335.92
6200.949,301.584,25.437,973.133,-1557.5,-5153.75,752.5,13.68,25.84,-334.4
6200.999,301.157,22.509,972.218,-1706.25,-4970.0,1015.0,-6.08,24.32,-338.96
6201.049,300.974,23.79,971.12,-1566.25,-5512.5,840.0,-3.04,42.56,-328.32
6201.099,305.915,23.424,973.194,-1898.75,-5722.5,385.0,3.04,33.44,-323.76
6201.149,306.586,20.74,969.961,-1522.5,-5048.75,778.75,-12.16,24.32,-329.84
6201.199,308.904,24.095,973.072,-1356.25,-5311.25,516.25,-4.56,25.84,-326.8
6201.249,311.161,24.766,971.059,-1356.25,-4786.25,988.75,1.52,22.8,-322.24
6201.299,306.586,24.156,968.68,-1820.0,-4051.25,892.5,-18.24,36.48,-345.04
6201.349,306.159,23.546,972.096,-1662.5,-4751.25,1093.75,1.52,42.56,-326.8
6201.399,308.721,23.302,971.364,-1592.5,-4130.0,787.5,3.04,36.48,-328.32
6201.449,300.913,22.997,970.632,-1671.25,-4558.75,621.25,-13.68,28.88,-323.76
6201.499,306.647,24.034,970.327,-1960.0,-4226.25,1111.25,4.56,34.96,-334.4
6201.549,296.399,15.555,972.401,-1058.75,-4340.0,2073.75,-15.2,44.08,-332.88
6201.599,304.268,18.3,973.743,-2441.25,-5302.5,4270.0,9.12,31.92,-334.4
6201.649,306.891,16.287,973.804,8.75,-4077.5,4471.25,1.52,28.88,-319.2
6201.699,296.216,30.744,971.791,-1767.5,-3298.75,2607.5,-7.6,53.2,-325.28
6201.749,294.569,23.241,971.425,-2782.5,-3815.0,183.75,-7.6,22.8,-338.96
6201.799,298.9,14.274,972.218,-2992.5,-5451.25,-1645.0,9.12,44.08,-334.4
6201.849,301.645,16.409,974.109,-1277.5,-5643.75,-953.75,15.2,34.96,-340.48
6201.899,303.414,16.409,971.364,-1041.25,-5232.5,-148.75,-13.68,39.52,-338.96
6201.949,300.181,23.79,972.584,-1408.75,-5101.25,621.25,-3.04,41.04,-319.2
