TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6362.6076,22022.15,33394.63,32342.39,23296.36,29307.04,19389.82,35272.03,42513.28
6362.6116,21938.23,33307.94,32259.75,23216.77,29220.68,19308.19,35193.64,42426.88
6362.6156,21808.82,33174.76,32132.34,23092.42,29089.36,19181.54,35069.99,42298.42
6362.6196,21802.9,33171.47,32128.62,23087.7,29087.02,19179.3,35065.32,42297.42
6362.6236,21928.17,33302.26,32254.89,23210.62,29216.25,19303.85,35185.58,42421.01
6362.6276,22014.24,33387.62,32339.43,23295.93,29304.36,19389.2,35271.03,42507.46
6362.6316,21937.71,33307.46,32263.9,23221.02,29225.54,19309.33,35197.12,42423.68
6362.6356,21804.53,33173.57,32133.58,23090.65,29091.41,19178.92,35069.85,42289.93
6362.6396,21804.19,33176.71,32132.58,23092.22,29092.08,19181.4,35071.57,42293.55
6362.6436,21935.27,33312.09,32264.19,23222.26,29229.84,19313.39,35202.65,42432.55
6362.6476,22019.58,33398.82,32352.4,23308.57,29317.95,19399.93,35291.2,42522.44
6362.6516,21935.04,33310.08,32268.48,23225.12,29229.74,19315.48,35210.09,42432.27
6362.6556,21806.15,33176.66,32139.83,23096.23,29097.47,19187.6,35082.92,42300.04
6362.6596,21802.14,33175.19,32134.97,23091.84,29091.79,19183.49,35077.48,42297.75
6362.6636,21931.79,33311.18,32262.9,23219.06,29221.63,19310.19,35201.27,42426.73
6362.6676,22013.33,33393.91,32343.63,23299.65,29302.89,19390.87,35282.52,42510.04
6362.6715,21932.56,33306.17,32262.71,23221.21,29219.96,19313.29,35206.8,42432.41
6362.6755,21799.52,33168.46,32129.48,23086.6,29082.06,19178.11,35074.38,42291.17
6362.6795,21799.81,33172.66,32131.39,23090.75,29086.78,19182.06,35077.72,42298.51
6362.6835,21926.21,33303.79,32257.13,23214.44,29217.25,19308.52,35200.6,42428.83
6362.6875,22014.86,33390.34,32340.96,23297.41,29302.08,19392.45,35283.57,42516.43
6362.6915,21938.71,33311.7,32261.14,23218.68,29218.39,19310.29,35204.46,42429.02
6362.6955,21798.76,33168.51,32124.19,23083.59,29078.06,19172.24,35070.71,42287.12
6362.6995,21801.9,33174.23,32122.66,23079.83,29073.62,19166.85,35064.32,42281.59
6362.7035,21942.9,33318.19,32261.61,23217.82,29214.1,19307.57,35200.03,42428.4
6362.7075,22011.19,33379.13,32336.38,23296.5,29294.78,19392.11,35282.57,42517.38
6362.7115,21940.52,33312.18,32267.38,23224.02,29219.63,19315.53,35208.85,42434.36
6362.7155,21812.25,33183.34,32140.16,23097.04,29089.88,19190.6,35083.49,42307.81
6362.7195,21807.82,33180.43,32135.78,23096.95,29087.36,19194.22,35084.01,42316.97
6362.7235,21937.95,33314.85,32262.23,23223.93,29213.72,19315.15,35203.13,42436.08
6362.7275,22022.58,33403.16,32348.64,23306.23,29298.69,19396.36,35283.62,42514.52
6362.7315,21936.32,33315.42,32267.15,23223.07,29215.53,19315.63,35204.61,42433.36
6362.7354,21802.86,33176.47,32133.87,23089.46,29078.44,19182.06,35072.33,42295.6
6362.7394,21796.13,33172.56,32126.76,23083.17,29073.81,19175.44,35067.42,42293.7
