TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6491.9862,20911.98,32927.42,31747.54,21386.82,28919.89,19268.56,34655.0,41961.1
6491.9902,20896.53,32905.58,31737.81,21380.57,28912.74,19266.94,34653.14,41962.68
6491.9942,20774.56,32780.32,31616.98,21261.41,28789.67,19148.16,34535.65,41839.27
6491.9982,20703.46,32710.22,31545.07,21192.89,28717.62,19082.69,34466.46,41774.18
6492.0022,20789.2,32801.44,31629.95,21274.43,28803.02,19159.94,34545.09,41850.24
6492.0062,20914.99,32928.04,31755.64,21399.36,28930.43,19282.39,34667.88,41976.5
6492.0102,20922.71,32936.24,31762.7,21406.89,28935.25,19290.88,34677.46,41986.99
6492.0142,20797.88,32807.4,31640.68,21287.16,28811.03,19172.48,34559.73,41863.4
6492.0182,20726.73,32738.93,31568.72,21216.78,28739.31,19100.95,34489.87,41790.06
6492.0222,20798.49,32810.69,31642.58,21289.97,28818.85,19175.67,34563.45,41862.16
6492.0262,20920.9,32937.77,31760.46,21406.99,28936.96,19290.88,34675.6,41979.46
6492.0302,20910.17,32921.94,31750.25,21399.79,28926.76,19284.68,34671.45,41976.74
6492.0342,20788.96,32800.01,31629.61,21278.67,28800.87,19164.14,34553.01,41852.77
6492.0382,20707.32,32714.75,31548.65,21202.47,28721.77,19092.61,34477.91,41784.58
6492.0422,20781.66,32795.15,31622.51,21273.47,28796.29,19161.18,34543.42,41850.43
6492.0462,20898.82,32918.08,31739.24,21388.49,28914.12,19273.71,34655.62,41965.11
6492.0501,20912.6,32933.29,31750.4,21399.21,28923.18,19282.3,34664.83,41972.64
6492.0541,20784.0,32792.81,31627.33,21277.05,28801.64,19167.09,34552.01,41857.39
6492.0581,20723.87,32730.01,31564.05,21214.2,28737.55,19106.1,34489.49,41796.88
6492.0621,20796.35,32806.92,31634.38,21283.53,28810.74,19175.05,34556.63,41869.84
6492.0661,20925.81,32941.39,31763.84,21407.8,28939.78,19297.51,34678.18,41994.15
6492.0701,20939.69,32952.55,31778.24,21422.58,28954.46,19311.72,34693.87,42011.89
6492.0741,20826.96,32838.21,31667.19,21312.24,28838.07,19198.18,34581.43,41889.0
6492.0781,20756.96,32766.58,31595.09,21240.09,28763.92,19123.7,34505.75,41806.56
6492.0821,20838.5,32849.79,31675.53,21319.68,28847.7,19208.34,34586.62,41894.11
6492.0861,20966.72,32979.59,31805.23,21446.33,28978.02,19338.56,34716.37,42031.1
6492.0901,20982.51,32994.32,31819.25,21460.96,28990.8,19355.01,34734.16,42051.18
6492.0941,20875.12,32885.17,31710.29,21352.06,28875.97,19238.14,34622.43,41927.77
6492.0981,20789.05,32794.24,31628.66,21270.85,28794.24,19156.98,34541.66,41843.51
6492.1021,20851.9,32860.43,31691.94,21333.12,28862.05,19224.74,34605.65,41916.18
6492.1061,20969.92,32978.25,31809.24,21449.23,28982.79,19345.24,34722.28,42039.16
6492.1101,20979.69,32988.6,31818.92,21459.92,28991.7,19353.25,34732.44,42047.46
6492.114,20844.41,32847.93,31685.02,21328.36,28856.76,19216.97,34599.93,41903.64
6492.118,20745.18,32748.37,31585.22,21231.84,28755.24,19120.89,34502.7,41810.42
6492.122,20814.28,32821.85,31652.69,21297.22,28820.66,19184.02,34564.93,41875.32
6492.126,20933.68,32946.73,31765.89,21409.8,28932.34,19292.26,34669.16,41978.51
6492.13,20913.13,32918.55,31744.29,21388.87,28914.74,19275.76,34654.72,41962.82
6492.134,20779.42,32775.88,31610.11,21255.88,28777.89,19145.11,34525.11,41829.69
6492.138,20692.21,32688.43,31522.47,21169.81,28688.82,19059.28,34438.9,41745.86
6492.142,20742.56,32743.74,31573.3,21222.45,28742.84,19111.64,34489.68,41800.5
6492.146,20851.19,32855.47,31682.3,21332.36,28856.19,19223.26,34599.5,41914.9
6492.15,20863.2,32872.11,31693.51,21340.42,28863.39,19226.89,34606.03,41913.75
6492.154,20757.63,32765.11,31586.75,21233.75,28751.9,19122.27,34501.6,41808.32
6492.158,20662.02,32660.63,31494.62,21145.44,28663.78,19037.63,34417.82,41724.97
6492.162,20738.37,32739.17,31566.81,21214.06,28734.93,19103.24,34481.43,41787.68
6492.166,20865.87,32868.77,31692.32,21338.94,28863.29,19229.32,34604.55,41919.24
6492.17,20888.86,32888.89,31715.3,21362.02,28884.37,19251.3,34627.58,41939.79
6492.174,20774.32,32770.54,31603.01,21248.15,28769.02,19137.05,34515.19,41820.25
6492.1779,20698.5,32692.15,31526.0,21170.62,28690.96,19061.38,34439.0,41744.57
6492.1819,20770.6,32766.25,31594.8,21239.38,28763.2,19130.9,34507.37,41820.67
6492.1859,20905.4,32901.86,31724.6,21370.46,28894.57,19258.17,34634.02,41948.51
6492.1899,20909.31,32908.01,31732.23,21376.76,28899.86,19263.37,34641.79,41952.85
6492.1939,20785.95,32783.08,31610.87,21256.97,28774.79,19142.92,34522.78,41829.78
6492.1979,20704.46,32695.68,31528.91,21176.82,28693.2,19062.66,34441.62,41747.77
6492.2019,20764.31,32756.67,31589.85,21234.94,28756.48,19119.12,34498.98,41800.93
6492.2059,20874.31,32869.72,31698.23,21344.62,28868.2,19230.27,34606.84,41917.09
6492.2099,20885.61,32881.22,31707.72,21354.06,28875.88,19237.57,34616.05,41925.15
6492.2139,20772.6,32762.25,31598.48,21246.58,28762.87,19132.43,34510.76,41819.15
6492.2179,20698.98,32692.1,31523.52,21172.91,28684.52,19054.8,34432.84,41737.37
6492.2219,20759.39,32757.05,31584.7,21235.47,28750.47,19118.98,34497.22,41807.37
6492.2259,20871.98,32872.97,31700.85,21351.63,28869.39,19236.71,34613.28,41930.11
6492.2299,20873.45,32874.25,31705.05,21352.34,28871.73,19239.24,34616.09,41930.82
6492.2339,20754.29,32751.13,31584.22,21230.6,28747.61,19114.88,34494.64,41802.22
6492.2379,20665.31,32659.92,31493.95,21145.2,28659.63,19032.15,34410.0,41719.58
6492.2419,20729.59,32726.77,31558.66,21209.48,28726.49,19096.76,34472.9,41782.57
6492.2459,20851.9,32855.42,31682.83,21329.26,28850.37,19218.49,34594.73,41912.61
6492.2499,20871.31,32873.11,31702.9,21351.86,28871.02,19243.96,34619.14,41941.74
6492.2539,20750.67,32746.27,31581.02,21231.84,28747.75,19120.7,34498.36,41811.38
6492.2579,20671.32,32665.49,31502.78,21153.17,28667.55,19043.07,34419.49,41729.74
6492.2619,20736.27,32733.83,31568.58,21215.11,28732.4,19104.44,34478.29,41792.78
6492.2659,20865.44,32868.68,31699.09,21343.9,28862.91,19231.46,34603.7,41924.29
6492.2699,20877.84,32883.31,31710.77,21359.73,28876.21,19245.91,34619.38,41942.27
6492.2739,20764.97,32765.92,31599.43,21251.59,28764.78,19139.67,34513.86,41832.21
6492.2779,20676.76,32673.51,31511.26,21163.42,28675.51,19054.03,34428.27,41743.19
6492.2819,20756.01,32755.43,31587.27,21236.61,28750.95,19128.66,34499.03,41820.39
6492.2859,20887.66,32893.9,31717.69,21365.69,28882.98,19254.78,34624.06,41941.27
6492.2899,20892.81,32899.91,31724.84,21371.41,28888.18,19257.74,34630.06,41942.65
6492.2939,20774.94,32780.32,31608.68,21254.21,28767.3,19138.86,34515.38,41825.35
6492.2979,20700.17,32707.65,31531.34,21177.96,28687.05,19059.66,34437.04,41745.1
6492.3019,20773.27,32782.46,31602.24,21249.2,28760.48,19133.9,34507.71,41824.16
6492.3058,20891.57,32900.43,31724.5,21372.03,28887.42,19257.21,34631.02,41946.37
6492.3098,20890.72,32894.76,31729.51,21380.52,28895.72,19268.66,34642.61,41956.95
6492.3138,20797.68,32801.3,31637.86,21287.44,28798.25,19174.77,34550.86,41858.39
6492.3178,20723.73,32724.86,31558.23,21211.82,28717.76,19101.53,34475.62,41787.44
6492.3218,20784.43,32787.76,31613.64,21269.61,28776.51,19160.65,34529.93,41843.13
6492.3258,20913.94,32917.03,31740.24,21395.11,28906.16,19289.45,34655.81,41976.6
6492.3298,20929.01,32933.19,31759.31,21409.23,28921.94,19301.46,34671.69,41990.43
6492.3338,20812.94,32813.31,31644.87,21294.5,28804.45,19186.31,34560.64,41873.89
6492.3378,20718.0,32714.28,31551.17,21200.13,28712.28,19094.37,34471.09,41783.39
6492.3418,20768.69,32770.35,31606.06,21252.63,28770.64,19148.07,34522.73,41841.18
6492.3458,20898.77,32905.06,31738.81,21379.66,28905.49,19274.81,34649.19,41971.16
6492.3498,20907.45,32912.64,31749.3,21387.96,28914.65,19280.72,34659.39,41977.32
6492.3538,20799.78,32800.73,31641.63,21280.29,28804.73,19174.77,34556.06,41869.93
6492.3578,20715.19,32715.71,31556.04,21196.8,28717.28,19091.85,34472.66,41785.01
6492.3618,20780.28,32786.75,31622.46,21261.74,28784.9,19160.03,34536.65,41854.67
6492.3658,20910.69,32923.75,31754.88,21391.73,28917.27,19287.73,34663.49,41982.8
6492.3697,20929.34,32942.73,31773.52,21412.23,28934.29,19304.71,34679.7,41992.76
6492.3737,20806.74,32815.94,31650.12,21289.26,28808.07,19180.78,34557.63,41865.97
6492.3777,20731.64,32738.98,31573.92,21214.63,28729.87,19108.92,34484.06,41793.54
6492.3817,20787.24,32796.1,31629.76,21272.42,28790.95,19165.18,34540.47,41852.77
6492.3857,20906.98,32923.94,31748.06,21390.3,28912.21,19281.72,34654.76,41972.88
6492.3897,20920.47,32939.25,31764.13,21401.5,28923.85,19288.3,34663.3,41973.74
6492.3937,20802.12,32810.36,31651.98,21290.16,28809.98,19179.82,34558.54,41864.3
6492.3977,20730.55,32735.78,31575.06,21214.34,28731.3,19103.82,34481.43,41786.1
6492.4017,20794.58,32800.34,31633.67,21273.66,28792.67,19165.23,34539.13,41852.57
6492.4057,20916.08,32931.57,31756.74,21393.68,28915.79,19282.39,34656.1,41969.83
6492.4097,20937.02,32950.26,31782.06,21421.48,28942.92,19308.95,34684.04,41993.53
6492.4137,20826.44,32834.44,31675.68,21314.77,28835.97,19207.48,34584.96,41892.72
