TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4707.7801,10141.76,10337.21,6713.34,8424.57,4375.12,-3220.42,12800.89,16906.17
4707.7841,10154.63,10350.04,6728.75,8427.33,4368.93,-3221.75,12809.23,16905.02
4707.7881,10157.06,10345.79,6736.61,8412.79,4341.89,-3240.59,12806.27,16883.33
4707.7921,10166.26,10354.0,6741.19,8416.89,4339.27,-3240.16,12805.99,16879.7
4707.7961,10151.96,10338.5,6724.31,8425.76,4358.96,-3220.65,12803.13,16900.78
4707.8001,10139.85,10330.92,6712.82,8426.86,4374.7,-3213.69,12800.36,16907.31
4707.8041,10146.52,10340.45,6723.21,8425.14,4365.35,-3223.13,12805.84,16902.16
4707.8081,10143.04,10329.53,6727.31,8403.68,4332.92,-3252.08,12798.12,16869.26
4707.8121,10145.28,10328.44,6729.13,8403.25,4330.64,-3250.5,12798.6,16868.4
4707.8161,10145.95,10335.16,6722.36,8417.8,4359.67,-3225.61,12803.08,16901.21
4707.8201,10140.52,10332.97,6715.68,8425.38,4380.18,-3211.83,12809.23,16917.33
4707.8241,10147.43,10336.54,6729.51,8422.28,4372.41,-3220.22,12813.05,16902.97
4707.8281,10150.34,10336.21,6737.09,8403.21,4343.08,-3248.26,12806.13,16871.5
4707.8321,10148.24,10331.68,6734.8,8400.58,4335.36,-3251.79,12801.98,16866.69
4707.8361,10141.04,10326.67,6720.4,8410.6,4356.05,-3235.2,12798.93,16886.05
4707.8401,10137.89,10329.15,6715.16,8418.56,4375.79,-3222.37,12800.65,16903.69
4707.844,10141.71,10327.72,6726.41,8413.84,4368.26,-3236.25,12805.84,16882.52
4707.848,10144.19,10327.1,6734.13,8399.2,4340.08,-3257.13,12803.84,16865.4
4707.852,10143.57,10325.48,6731.65,8399.39,4332.07,-3254.13,12797.88,16873.31
4707.856,10133.55,10315.37,6720.5,8409.26,4355.05,-3236.01,12796.12,16894.87
4707.86,10130.6,10313.08,6718.4,8420.18,4379.08,-3221.08,12802.17,16916.23
4707.864,10143.23,10333.06,6725.79,8418.51,4370.55,-3230.86,12804.22,16902.83
4707.868,10156.92,10346.27,6739.38,8409.45,4345.42,-3247.6,12802.27,16874.17
4707.872,10151.58,10328.01,6742.62,8404.26,4340.51,-3252.13,12798.74,16855.53
4707.876,10140.28,10324.43,6723.26,8412.08,4358.48,-3236.29,12795.93,16889.67
4707.88,10140.13,10337.64,6712.96,8424.71,4377.37,-3219.08,12799.74,16920.28
4707.884,10149.72,10342.93,6724.41,8420.71,4370.74,-3228.04,12805.27,16900.35
4707.888,10148.29,10324.67,6736.18,8404.21,4342.6,-3250.55,12804.56,16871.88
4707.892,10138.13,10307.22,6728.13,8395.86,4327.49,-3258.61,12793.21,16872.46
4707.896,10133.89,10316.09,6713.39,8407.02,4347.23,-3240.44,12786.53,16894.1
4707.9,10138.27,10340.6,6703.81,8417.18,4366.64,-3228.24,12791.68,16907.03
4707.904,10135.03,10333.01,6708.05,8408.02,4353.71,-3239.92,12793.59,16897.01
4707.9079,10148.81,10338.69,6727.74,8406.64,4335.21,-3249.07,12800.22,16880.56
4707.9119,10139.7,10322.0,6720.97,8397.39,4322.15,-3257.66,12788.96,16866.92
4707.9159,10127.26,10310.98,6711.2,8404.92,4343.41,-3246.98,12785.53,16867.12
4707.9199,10122.49,10318.9,6701.99,8410.45,4359.91,-3237.82,12785.63,16889.96
4707.9239,10133.22,10334.21,6712.1,8409.64,4352.38,-3242.45,12791.59,16899.73
4707.9279,10146.19,10342.46,6727.6,8405.5,4334.12,-3253.75,12798.45,16885.57
4707.9319,10149.05,10337.12,6728.75,8408.5,4332.02,-3248.88,12800.12,16888.05
4707.9359,10131.36,10321.43,6707.0,8409.31,4342.84,-3240.87,12788.73,16898.06
4707.9399,10127.4,10328.44,6696.03,8413.98,4356.29,-3234.01,12784.15,16905.98
4707.9439,10140.13,10339.79,6712.29,8416.89,4355.05,-3234.72,12794.4,16906.22
4707.9479,10149.19,10341.55,6728.55,8410.22,4334.78,-3251.36,12797.88,16888.43
4707.9519,10140.09,10322.1,6721.21,8403.54,4322.1,-3258.56,12793.59,16884.0
4707.9559,10129.88,10318.57,6703.38,8408.55,4338.74,-3247.69,12785.77,16890.34
4707.9599,10137.75,10338.26,6701.76,8425.9,4367.64,-3224.18,12795.02,16914.85
4707.9639,10148.24,10347.65,6717.92,8427.43,4365.64,-3229.43,12805.42,16914.89
4707.9679,10144.71,10334.78,6721.12,8411.55,4335.31,-3252.55,12800.41,16893.53
4707.9718,10154.68,10340.98,6728.7,8421.09,4336.79,-3241.92,12805.37,16902.02
