TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4707.8862,289.262,-33.123,978.501,-1540.0,-5845.0,402.5,18.24,50.16,-326.8
4707.9362,290.787,-31.171,973.56,-2082.5,-6658.75,1338.75,16.72,36.48,-334.4
4707.9862,299.998,-37.515,978.684,-866.25,-8190.0,1785.0,18.24,53.2,-337.44
4708.0362,301.279,-30.073,979.233,-953.75,-4978.75,1102.5,24.32,59.28,-326.8
4708.0862,295.789,-27.023,976.427,-1487.5,-4130.0,936.25,1.52,41.04,-342.0
4708.1362,287.981,-28.426,976.427,-3447.5,-3088.75,-175.0,24.32,62.32,-332.88
4708.1862,283.894,-32.513,975.939,-3788.75,-6046.25,-752.5,30.4,60.8,-331.36
4708.2362,298.473,-44.53,977.952,-2423.75,-5573.75,-236.25,3.04,66.88,-334.4
4708.2862,293.959,-42.212,975.39,-1312.5,-5136.25,586.25,6.08,54.72,-329.84
4708.3362,296.765,-36.173,974.963,-446.25,-5215.0,901.25,22.8,48.64,-337.44
4708.3862,301.828,-31.171,976.427,-883.75,-5188.75,253.75,10.64,45.6,-320.72
4708.4362,301.096,-30.012,977.464,-1540.0,-4532.5,-490.0,30.4,53.2,-348.08
4708.4862,302.621,-32.513,976.549,-1470.0,-4541.25,-385.0,18.24,48.64,-346.56
4708.5362,300.181,-30.622,976.549,-1671.25,-3692.5,367.5,7.6,63.84,-317.68
4708.5862,297.924,-32.147,976.488,-1618.75,-3701.25,1312.5,12.16,57.76,-334.4
4708.6362,289.567,-34.16,978.013,-1933.75,-3745.0,1321.25,13.68,56.24,-326.8
4708.6862,290.299,-30.683,977.342,-1916.25,-4095.0,953.75,22.8,56.24,-340.48
4708.7362,288.286,-34.343,979.782,-2135.0,-4523.75,586.25,21.28,54.72,-338.96
4708.7862,292.434,-35.99,980.453,-2003.75,-5696.25,437.5,12.16,56.24,-328.32
4708.8362,295.972,-32.147,974.536,-1933.75,-3613.75,910.0,3.04,48.64,-349.6
4708.8862,290.055,-29.89,976.0,-4532.5,-3027.5,2415.0,25.84,50.16,-343.52
4708.9362,280.661,-32.574,978.745,-2913.75,-6930.0,1898.75,24.32,56.24,-328.32
4708.9862,295.911,-48.8,980.758,-4261.25,-5031.25,1365.0,19.76,51.68,-317.68
4709.0362,291.58,-55.388,975.146,-280.0,-5652.5,1583.75,22.8,62.32,-331.36
4709.0862,289.445,-45.567,977.708,271.25,-6107.5,988.75,18.24,60.8,-313.12
4709.1362,291.702,-39.833,976.732,253.75,-7078.75,-1846.25,9.12,53.2,-332.88
