TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5067.1362,311.771,-84.79,968.436,-1583.75,-6011.25,1662.5,31.92,68.4,-316.16
5067.1862,309.697,-83.692,969.595,-1417.5,-4532.5,1076.25,24.32,66.88,-334.4
5067.2362,304.329,-83.143,969.595,-1828.75,-5713.75,358.75,6.08,94.24,-326.8
5067.2862,308.66,-82.777,969.168,-1995.0,-5775.0,-166.25,7.6,82.08,-325.28
5067.3362,310.612,-83.448,970.388,-2205.0,-5827.5,428.75,-1.52,76.0,-331.36
5067.3862,312.137,-84.424,969.229,-2056.25,-5355.0,927.5,25.84,62.32,-335.92
5067.4362,310.978,-84.729,969.168,-2301.25,-5626.25,1312.5,13.68,79.04,-334.4
5067.4862,316.102,-90.341,969.29,-2161.25,-4917.5,1741.25,15.2,74.48,-328.32
5067.5362,311.527,-89.365,970.815,-2178.75,-3753.75,1688.75,4.56,68.4,-332.88
5067.5862,302.804,-87.962,966.301,-2178.75,-3876.25,1251.25,25.84,77.52,-325.28
5067.6362,302.743,-92.049,970.022,-2388.75,-5775.0,1137.5,22.8,65.36,-329.84
5067.6862,306.586,-96.563,969.168,-2380.0,-6142.5,980.0,16.72,76.0,-304.0
5067.7362,310.734,-92.781,969.595,-1330.0,-6868.75,1373.75,28.88,63.84,-328.32
5067.7862,316.102,-90.89,964.837,-1382.5,-6755.0,1120.0,-3.04,59.28,-313.12
5067.8362,317.017,-90.402,967.521,-1697.5,-6247.5,551.25,19.76,77.52,-316.16
5067.8862,319.945,-92.598,964.898,-2248.75,-5888.75,708.75,13.68,80.56,-335.92
5067.9362,321.165,-96.075,966.911,-1837.5,-5346.25,560.0,9.12,69.92,-323.76
5067.9862,323.91,-92.842,966.179,-1400.0,-5670.0,472.5,24.32,74.48,-331.36
5068.0362,320.189,-92.842,965.691,-1557.5,-3342.5,306.25,16.72,72.96,-322.24
5068.0863,312.503,-96.685,963.861,-1697.5,-4383.75,735.0,19.76,74.48,-322.24
5068.1362,320.372,-93.025,968.68,-1006.25,-5328.75,1216.25,-3.04,71.44,-314.64
5068.1862,318.237,-91.622,967.338,-1006.25,-3666.25,831.25,9.12,65.36,-311.6
5068.2362,311.771,-86.742,965.142,-1513.75,-3788.75,-376.25,30.4,74.48,-328.32
5068.2862,307.928,-90.402,965.447,-2327.5,-4725.0,-306.25,-10.64,80.56,-314.64
5068.3362,310.307,-96.441,965.142,-2021.25,-4847.5,577.5,16.72,77.52,-331.36
5068.3862,315.004,-98.393,966.667,-665.0,-5547.5,1575.0,16.72,69.92,-319.2
5068.4362,319.213,-90.89,969.351,-665.0,-5433.75,1058.75,15.2,74.48,-311.6
5068.4862,318.969,-88.023,967.887,-1636.25,-4847.5,-52.5,18.24,69.92,-311.6
5068.5362,316.773,-93.33,964.41,-1898.75,-4182.5,-323.75,16.72,77.52,-326.8
5068.5862,313.906,-95.404,968.863,-1137.5,-4970.0,376.25,9.12,72.96,-316.16
5068.6362,322.141,-87.474,965.569,-1058.75,-4830.0,402.5,4.56,74.48,-325.28
5068.6862,318.237,-87.779,965.691,-1671.25,-3570.0,105.0,22.8,76.0,-332.88
5068.7362,314.028,-92.049,967.521,-2108.75,-4620.0,708.75,1.52,62.32,-314.64
5068.7862,317.749,-91.805,968.07,-997.5,-4182.5,1041.25,4.56,76.0,-311.6
5068.8362,312.564,-88.389,966.484,-883.75,-3351.25,988.75,24.32,71.44,-331.36
5068.8862,310.185,-84.912,969.412,-1968.75,-3027.5,-78.75,30.4,79.04,-331.36
5068.9362,307.257,-90.829,968.009,-2353.75,-4471.25,-210.0,16.72,76.0,-325.28
5068.9862,307.013,-95.099,970.632,-1951.25,-4515.0,437.5,16.72,76.0,-326.8
5069.0362,309.026,-92.842,969.656,-525.0,-5460.0,1548.75,24.32,83.6,-329.84
5069.0862,311.466,-86.254,970.632,-1006.25,-5512.5,1478.75,13.68,69.92,-299.44
5069.1362,317.2,-87.474,971.425,-1697.5,-4812.5,560.0,15.2,80.56,-304.0
5069.1862,311.832,-97.173,969.595,-1478.75,-2922.5,105.0,24.32,66.88,-314.64
5069.2362,306.647,-95.953,969.534,-700.0,-3500.0,490.0,18.24,74.48,-319.2
5069.2862,309.941,-87.352,972.706,-8.75,-2703.75,752.5,12.16,72.96,-322.24
5069.3362,301.035,-87.535,970.022,-848.75,-1820.0,210.0,10.64,68.4,-332.88
5069.3862,292.922,-89.609,968.497,-1968.75,-4917.5,-420.0,34.96,50.16,-326.8
5069.4362,293.532,-93.208,973.865,-533.75,-8776.25,1181.25,13.68,72.96,-316.16
5069.4862,309.27,-86.925,968.009,-297.5,-8373.75,1732.5,28.88,74.48,-325.28
5069.5362,312.808,-77.409,968.07,-595.0,-7446.25,638.75,6.08,69.92,-320.72
5069.5862,317.871,-84.058,968.07,-1933.75,-7087.5,122.5,15.2,65.36,-322.24
5069.6362,321.592,-87.169,966.728,-2240.0,-6256.25,-61.25,15.2,79.04,-329.84
5069.6862,320.799,-90.28,967.46,-1225.0,-6098.75,857.5,-4.56,74.48,-316.16
5069.7363,324.886,-89.426,966.484,-971.25,-5950.0,1435.0,16.72,77.52,-308.56
5069.7862,322.812,-88.694,963.007,-428.75,-4996.25,1706.25,12.16,71.44,-326.8
5069.8362,316.529,-90.463,962.885,-306.25,-5696.25,3062.5,16.72,76.0,-326.8
5069.8862,318.908,-96.197,966.667,595.0,-6020.0,4786.25,3.04,71.44,-317.68
5069.9362,324.093,-88.938,966.057,3202.5,-5775.0,7210.0,31.92,77.52,-328.32
5069.9862,324.703,-80.032,965.325,4060.0,-4978.75,8058.75,13.68,65.36,-319.2
5070.0362,324.154,-63.684,966.545,367.5,-3500.0,5573.75,24.32,68.4,-328.32
5070.0862,317.627,-69.296,962.946,-2975.0,-4383.75,1067.5,31.92,82.08,-322.24
5070.1362,317.749,-83.509,967.948,-4278.75,-5066.25,-1723.75,16.72,66.88,-329.84
5070.1862,316.468,-87.108,964.288,-2922.5,-4252.5,-1820.0,10.64,76.0,-316.16
5070.2362,312.137,-85.217,967.46,-2345.0,-6282.5,-1260.0,6.08,51.68,-325.28
5070.2862,320.311,-90.829,971.181,-2283.75,-6326.25,-376.25,16.72,68.4,-320.72
5070.3362,322.629,-84.729,965.63,-1890.0,-4462.5,770.0,12.16,68.4,-322.24
5070.3862,320.616,-86.681,966.972,-1925.0,-4191.25,568.75,10.64,69.92,-320.72
5070.4362,321.043,-88.267,964.532,-1583.75,-5153.75,393.75,18.24,68.4,-310.08
5070.4862,321.409,-86.803,963.129,-1382.5,-4217.5,-8.75,-9.12,60.8,-322.24
5070.5362,318.054,-85.217,966.85,-1408.75,-4847.5,210.0,12.16,77.52,-323.76
5070.5862,323.117,-83.936,962.031,-1478.75,-5276.25,-367.5,15.2,71.44,-317.68
5070.6362,322.324,-84.241,965.447,-1583.75,-5355.0,-507.5,3.04,59.28,-320.72
5070.6862,326.106,-86.681,963.617,-1933.75,-6055.0,52.5,16.72,82.08,-328.32
5070.7362,327.631,-87.047,964.288,-1251.25,-5250.0,393.75,4.56,60.8,-332.88
