TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5749.8824,8944.56,6660.61,4080.44,7217.79,-544.5,-4270.89,6694.22,21176.82
5749.8864,8950.47,6668.95,4085.68,7221.6,-542.07,-4263.31,6705.05,21188.45
5749.8904,8948.8,6670.19,4083.82,7216.03,-544.41,-4273.51,6704.38,21179.15
5749.8944,8946.09,6667.28,4083.35,7213.78,-541.45,-4276.32,6698.61,21171.57
5749.8984,8943.99,6663.75,4083.3,7215.93,-539.35,-4273.7,6692.6,21175.2
5749.9024,8934.36,6648.16,4075.15,7212.31,-545.22,-4274.37,6692.08,21179.15
5749.9064,8930.59,6645.54,4068.52,7203.77,-556.99,-4286.58,6688.26,21168.0
5749.9104,8941.32,6658.51,4071.95,7207.54,-554.99,-4284.95,6694.79,21173.77
5749.9144,8945.28,6659.89,4075.24,7214.45,-546.26,-4276.8,6698.28,21183.54
5749.9184,8933.69,6645.68,4068.33,7206.73,-548.46,-4282.57,6686.26,21171.0
5749.9224,8925.96,6638.72,4061.51,7197.62,-557.28,-4289.34,6679.63,21164.23
5749.9264,8926.92,6644.68,4059.12,7192.33,-567.29,-4299.12,6677.82,21152.21
5749.9304,8935.6,6654.41,4062.75,7199.43,-562.52,-4294.68,6685.54,21160.18
5749.9344,8937.17,6651.55,4068.18,7207.2,-554.28,-4285.91,6691.5,21170.14
5749.9384,8936.74,6649.92,4073.14,7210.11,-549.03,-4279.09,6689.41,21171.95
5749.9424,8939.55,6652.26,4074.38,7213.64,-547.7,-4271.84,6692.27,21178.53
5749.9463,8945.9,6658.27,4075.81,7217.93,-548.08,-4269.65,6699.75,21183.16
5749.9503,8939.74,6656.7,4067.85,7205.39,-560.47,-4289.1,6689.31,21164.23
5749.9543,8941.84,6658.27,4074.29,7210.78,-552.85,-4282.67,6690.79,21167.95
5749.9583,8929.11,6642.87,4066.04,7203.29,-555.18,-4286.24,6679.15,21158.36
5749.9623,8929.68,6643.68,4066.99,7206.3,-552.03,-4278.76,6684.69,21167.23
5749.9663,8928.06,6644.35,4063.23,7197.24,-562.67,-4289.58,6681.49,21156.12
5749.9703,8930.83,6649.11,4063.27,7198.48,-563.05,-4291.15,6686.59,21160.75
5749.9743,8942.8,6660.32,4074.48,7211.59,-547.31,-4279.76,6696.65,21173.67
5749.9783,8939.98,6656.08,4076.15,7211.54,-542.35,-4277.33,6693.51,21172.1
5749.9823,8940.65,6657.89,4076.91,7212.78,-546.31,-4275.18,6692.7,21173.91
5749.9863,8944.8,6667.81,4079.06,7210.78,-551.89,-4279.61,6694.13,21168.04
5749.9903,8942.8,6666.38,4077.96,7207.44,-555.71,-4282.95,6695.61,21169.24
5749.9943,8927.2,6644.06,4065.99,7197.62,-563.0,-4292.06,6685.45,21161.46
5749.9983,8931.16,6645.73,4071.52,7203.87,-554.04,-4288.91,6684.64,21160.84
5750.0023,8937.79,6653.6,4080.2,7210.16,-547.74,-4283.48,6691.89,21165.42
5750.0063,8942.27,6659.51,4081.49,7211.35,-552.37,-4281.71,6698.32,21168.57
5750.0103,8941.7,6661.46,4078.82,7207.82,-558.61,-4285.53,6697.42,21168.66
5750.0143,8940.75,6661.03,4080.34,7209.59,-554.23,-4284.81,6695.94,21168.28
5750.0183,8939.31,6654.41,4084.16,7214.74,-544.36,-4277.61,6698.56,21174.05
5750.0223,8932.54,6645.25,4076.43,7208.25,-551.51,-4284.67,6694.75,21165.85
5750.0263,8946.23,6663.28,4085.49,7218.03,-548.03,-4279.85,6705.43,21172.72
5750.0303,8945.18,6665.85,4083.82,7216.79,-551.08,-4280.57,6706.62,21174.86
5750.0343,8946.52,6664.8,4087.21,7220.17,-543.79,-4272.89,6707.24,21178.92
5750.0383,8958.01,6672.29,4099.94,7235.67,-525.05,-4256.06,6715.92,21192.12
5750.0423,8943.7,6661.27,4085.88,7216.55,-541.59,-4277.28,6699.61,21169.81
5750.0463,8940.13,6660.84,4078.67,7209.68,-555.47,-4284.29,6697.08,21162.23
5750.0503,8951.38,6672.67,4085.35,7219.84,-548.6,-4274.89,6707.14,21178.53
5750.0543,8961.92,6679.54,4097.51,7235.48,-535.63,-4257.58,6718.06,21200.13
5750.0583,8956.1,6675.15,4096.84,7231.47,-535.15,-4262.16,6709.1,21188.21
5750.0623,8953.0,6674.91,4094.46,7223.18,-540.35,-4275.27,6699.42,21169.19
5750.0663,8941.46,6664.52,4082.49,7211.02,-555.47,-4287.67,6693.32,21163.56
