TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5749.9362,256.017,-64.416,988.566,-2108.75,-3543.75,1601.25,30.4,71.44,-326.8
5749.9862,242.17,-66.734,985.333,-1015.0,-2292.5,1881.25,34.96,72.96,-338.96
5750.0362,238.327,-64.965,991.494,-393.75,-3823.75,1303.75,42.56,74.48,-316.16
5750.0863,236.802,-56.73,987.834,-411.25,-3797.5,323.75,39.52,53.2,-335.92
5750.1362,235.704,-45.75,987.895,-2003.75,-3333.75,-61.25,34.96,68.4,-323.76
5750.1862,236.924,-49.288,988.993,-3543.75,-2765.0,542.5,39.52,76.0,-316.16
5750.2362,226.371,-75.457,988.444,-3858.75,-3351.25,1916.25,44.08,74.48,-323.76
5750.2862,223.809,-78.568,991.86,-1190.0,-3473.75,1557.5,53.2,76.0,-335.92
5750.3362,222.772,-66.734,992.043,-148.75,-3858.75,498.75,39.52,51.68,-328.32
5750.3862,222.65,-39.162,993.568,-612.5,-3438.75,-52.5,31.92,65.36,-329.84
5750.4362,209.535,-52.094,990.152,-6177.5,-4690.0,936.25,36.48,62.32,-334.4
5750.4862,209.352,-92.659,993.446,-4856.25,-6151.25,1968.75,57.76,68.4,-325.28
5750.5362,221.003,-86.193,991.555,2310.0,-8461.25,630.0,31.92,69.92,-328.32
5750.5862,235.765,-61.0,988.932,1986.25,-8610.0,-1522.5,48.64,83.6,-320.72
5750.6362,248.087,-56.913,986.248,35.0,-5460.0,-4103.75,33.44,71.44,-326.8
5750.6862,252.357,-56.12,994.605,-1391.25,-761.25,-2555.0,36.48,71.44,-322.24
5750.7362,216.611,-56.669,984.479,-1627.5,-1662.5,-665.0,25.84,63.84,-337.44
5750.7862,232.288,-54.473,989.176,-1487.5,-6238.75,2633.75,56.24,66.88,-335.92
5750.8362,232.959,-54.9,993.995,-1662.5,-4217.5,3780.0,30.4,65.36,-331.36
5750.8862,225.273,-58.255,989.847,-2388.75,-4068.75,3211.25,50.16,74.48,-326.8
5750.9362,222.284,-61.793,991.616,-1601.25,-5407.5,1627.5,36.48,47.12,-322.24
5750.9862,222.284,-59.17,990.579,-1758.75,-6763.75,315.0,45.6,66.88,-328.32
5751.0362,230.397,-64.355,986.98,-1513.75,-5661.25,-210.0,36.48,57.76,-326.8
5751.0862,230.946,-61.305,990.518,-1050.0,-6431.25,-306.25,31.92,63.84,-338.96
5751.1362,236.436,-60.268,989.603,-805.0,-5512.5,498.75,25.84,66.88,-334.4
5751.1862,230.946,-50.386,988.566,-726.25,-5486.25,376.25,33.44,48.64,-337.44
5751.2362,236.436,-49.044,988.749,-2388.75,-4830.0,113.75,51.68,57.76,-335.92
5751.2862,229.909,-57.828,989.603,-2712.5,-4200.0,927.5,33.44,62.32,-338.96
5751.3362,230.885,-65.819,994.056,-2196.25,-4760.0,1855.0,36.48,66.88,-320.72
5751.3862,231.007,-61.793,990.945,-1443.75,-4357.5,2073.75,41.04,71.44,-346.56
5751.4362,229.604,-59.475,987.956,-2003.75,-5530.0,796.25,39.52,77.52,-323.76
5751.4862,233.691,-59.536,988.993,-2607.5,-5617.5,-551.25,42.56,59.28,-320.72
5751.5362,234.24,-65.636,988.627,-2205.0,-5057.5,-726.25,39.52,77.52,-319.2
5751.5862,237.595,-69.662,989.542,-1373.75,-5057.5,437.5,47.12,76.0,-322.24
5751.6362,236.497,-64.416,989.908,-595.0,-4112.5,1006.25,41.04,74.48,-322.24
5751.6862,233.386,-61.305,988.871,-980.0,-4226.25,455.0,42.56,63.84,-323.76
5751.7362,230.58,-60.085,987.712,-1268.75,-3928.75,-288.75,45.6,60.8,-319.2
5751.7862,228.567,-63.44,990.457,-1373.75,-5311.25,-297.5,42.56,72.96,-314.64
5751.8362,235.216,-58.255,990.518,-1181.25,-5468.75,210.0,41.04,71.44,-325.28
5751.8862,236.68,-56.547,988.566,-1443.75,-5276.25,796.25,24.32,48.64,-329.84
