TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6391.2862,315.065,-71.614,967.216,-1505.0,-6571.25,-2021.25,18.24,62.32,-326.8
6391.3362,319.213,-61.305,970.144,-210.0,-5993.75,-673.75,13.68,54.72,-323.76
6391.3862,318.969,-51.24,968.314,-743.75,-4112.5,-157.5,3.04,63.84,-325.28
6391.4362,305.061,-54.595,965.142,-1627.5,-6606.25,770.0,22.8,56.24,-329.84
6391.4862,310.063,-45.689,963.678,-2520.0,-9292.5,2695.0,15.2,59.28,-329.84
6391.5362,316.651,-73.383,967.643,-7603.75,-11095.0,10395.0,19.76,77.52,-329.84
6391.5862,334.341,-89.914,969.961,1155.0,-9353.75,12932.5,12.16,65.36,-325.28
6391.6362,334.219,-52.155,962.824,743.75,-8286.25,11243.75,9.12,71.44,-325.28
6391.6862,346.236,-54.961,963.861,166.25,-7227.5,5066.25,7.6,71.44,-300.96
6391.7362,346.785,-51.972,963.739,-1933.75,-5180.0,516.25,21.28,51.68,-329.84
6391.7862,339.953,-65.758,962.031,-3010.0,-3578.75,-3920.0,6.08,60.8,-311.6
6391.8362,333.182,-64.66,960.262,-2782.5,-3456.25,-5153.75,12.16,44.08,-311.6
6391.8862,329.4,-66.307,964.044,-3281.25,-3027.5,-4690.0,27.36,60.8,-340.48
6391.9363,329.461,-67.527,963.434,-2695.0,-6142.5,-2791.25,19.76,72.96,-346.56
6391.9862,329.949,-67.039,964.837,-2616.25,-5083.75,-1076.25,18.24,57.76,-326.8
6392.0363,328.424,-69.601,962.458,-1601.25,-5311.25,875.0,15.2,63.84,-322.24
6392.0862,332.572,-69.662,962.824,-822.5,-5941.25,1478.75,25.84,47.12,-304.0
6392.1362,332.816,-63.562,961.177,-1496.25,-5643.75,542.5,7.6,74.48,-308.56
6392.1862,335.744,-66.612,963.312,-1793.75,-5950.0,-52.5,18.24,54.72,-332.88
6392.2362,335.866,-64.66,964.776,-1907.5,-4952.5,-358.75,13.68,69.92,-323.76
6392.2862,334.158,-67.466,962.153,-1478.75,-4838.75,-813.75,7.6,63.84,-329.84
6392.3362,332.328,-65.453,963.312,-1181.25,-4637.5,-822.5,19.76,71.44,-322.24
6392.3862,333.182,-63.318,965.996,-1181.25,-4970.0,-831.25,9.12,68.4,-310.08
6392.4362,332.389,-56.974,960.75,-1732.5,-5495.0,-603.75,27.36,54.72,-334.4
6392.4862,342.576,-60.756,963.068,-1653.75,-4515.0,-96.25,12.16,62.32,-331.36
6392.5362,339.953,-56.974,961.726,-1968.75,-3605.0,-288.75,-1.52,76.0,-322.24
6392.5862,330.498,-60.878,960.201,-3132.5,-4278.75,-1041.25,7.6,77.52,-322.24
6392.6362,334.524,-69.113,964.044,-2528.75,-5398.75,-1233.75,13.68,57.76,-326.8
6392.6862,336.049,-70.638,962.58,-822.5,-2940.0,-52.5,10.64,72.96,-334.4
6392.7362,327.326,-61.305,963.678,-1093.75,-3158.75,481.25,-1.52,56.24,-326.8
6392.7862,332.633,-61.488,963.068,-1216.25,-2765.0,918.75,6.08,69.92,-323.76
6392.8362,324.764,-63.989,966.484,-980.0,-2695.0,1356.25,-6.08,60.8,-317.68
