TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13169.6325,54.12,-18896.44,-29705.24,-28530.79,-13170.53,-13120.32,-9076.55,674.63
13169.6365,63.66,-18886.43,-29695.56,-28513.86,-13156.27,-13105.11,-9061.05,687.31
13169.6405,81.4,-18872.93,-29682.26,-28493.46,-13137.06,-13089.9,-9045.13,707.1
13169.6445,89.84,-18867.3,-29672.53,-28489.21,-13129.67,-13080.88,-9035.54,717.35
13169.6485,93.13,-18861.49,-29665.33,-28481.77,-13123.99,-13073.45,-9026.24,729.75
13169.6525,92.79,-18856.58,-29656.51,-28474.57,-13120.37,-13067.34,-9020.23,750.59
13169.6565,89.12,-18861.06,-29665.04,-28477.96,-13124.56,-13077.07,-9033.06,741.1
13169.6605,93.84,-18862.01,-29667.71,-28473.33,-13121.94,-13076.02,-9032.68,724.94
13169.6645,97.8,-18861.44,-29664.23,-28467.32,-13120.03,-13073.35,-9029.68,721.88
13169.6685,97.08,-18859.77,-29659.89,-28466.9,-13117.36,-13071.06,-9028.1,735.52
13169.6725,95.08,-18858.34,-29660.8,-28465.7,-13114.12,-13068.06,-9025.1,735.9
13169.6765,98.51,-18856.72,-29663.66,-28458.22,-13110.97,-13064.96,-9022.81,722.93
13169.6805,102.9,-18853.95,-29659.56,-28456.02,-13108.35,-13062.62,-9020.28,728.18
13169.6845,105.43,-18855.14,-29660.8,-28453.35,-13107.78,-13065.29,-9020.85,728.08
13169.6885,98.47,-18860.15,-29665.33,-28459.74,-13117.65,-13076.26,-9029.96,725.75
13169.6925,92.27,-18857.62,-29664.28,-28469.33,-13119.99,-13075.31,-9027.77,735.38
13169.6964,94.46,-18851.28,-29661.04,-28465.56,-13115.5,-13070.82,-9023.24,748.11
13169.7004,104.24,-18848.04,-29661.95,-28454.64,-13106.2,-13065.39,-9021.0,733.66
13169.7044,112.15,-18843.32,-29656.65,-28448.59,-13099.96,-13059.67,-9014.61,732.37
13169.7084,107.72,-18840.65,-29650.55,-28453.54,-13104.73,-13060.62,-9013.61,738.86
13169.7124,108.39,-18839.31,-29651.55,-28447.58,-13099.72,-13057.28,-9011.37,745.68
13169.7164,110.58,-18840.17,-29654.6,-28449.35,-13098.91,-13057.42,-9012.94,742.67
13169.7204,111.77,-18842.03,-29655.32,-28453.16,-13103.11,-13059.47,-9015.13,733.8
13169.7244,114.68,-18843.41,-29655.75,-28453.54,-13102.82,-13061.62,-9018.09,733.04
13169.7284,113.53,-18843.84,-29653.51,-28455.45,-13103.44,-13059.67,-9016.18,745.25
13169.7324,111.68,-18841.75,-29655.65,-28453.73,-13098.53,-13054.56,-9012.32,733.33
13169.7364,115.3,-18838.69,-29652.41,-28446.82,-13095.0,-13052.7,-9009.51,736.52
13169.7404,117.25,-18838.93,-29650.88,-28449.87,-13100.72,-13054.47,-9010.03,739.05
13169.7444,118.06,-18843.8,-29652.41,-28450.16,-13105.01,-13060.05,-9014.42,737.38
13169.7484,115.92,-18846.7,-29653.27,-28453.93,-13106.3,-13063.38,-9016.75,737.95
13169.7524,115.11,-18844.13,-29651.36,-28451.88,-13101.87,-13058.76,-9013.8,741.58
13169.7564,115.59,-18843.22,-29649.12,-28446.01,-13100.72,-13058.95,-9014.94,746.97
13169.7603,121.12,-18840.32,-29646.97,-28444.77,-13099.72,-13057.19,-9012.94,744.63
13169.7643,123.64,-18840.98,-29647.54,-28444.29,-13100.34,-13058.04,-9013.32,742.15
13169.7683,129.41,-18835.83,-29639.63,-28434.38,-13091.33,-13051.32,-9007.31,751.45
13169.7723,127.41,-18833.54,-29638.96,-28431.04,-13088.28,-13048.7,-9005.02,753.07
13169.7763,127.22,-18835.83,-29644.92,-28429.46,-13087.56,-13049.46,-9004.83,744.01
13169.7803,132.47,-18836.45,-29644.92,-28430.18,-13089.66,-13050.75,-9005.83,743.34
13169.7843,135.42,-18838.36,-29642.63,-28430.32,-13090.09,-13052.27,-9006.69,745.01
13169.7883,127.65,-18842.17,-29646.73,-28436.71,-13096.14,-13057.33,-9010.75,744.72
13169.7923,122.64,-18841.55,-29650.79,-28436.85,-13096.91,-13057.42,-9011.94,743.2
13169.7963,127.74,-18836.02,-29646.92,-28430.13,-13093.81,-13053.75,-9008.27,745.2
13169.8003,133.66,-18833.83,-29641.87,-28427.22,-13092.23,-13051.8,-9006.12,748.54
13169.8043,135.61,-18834.88,-29638.82,-28426.94,-13092.09,-13050.75,-9005.79,750.3
13169.8083,129.46,-18839.31,-29642.25,-28432.9,-13095.57,-13054.09,-9007.93,750.4
13169.8123,123.79,-18841.13,-29644.68,-28432.71,-13095.48,-13054.8,-9008.27,750.83
13169.8163,125.93,-18837.36,-29642.92,-28427.46,-13091.57,-13050.51,-9003.93,752.59
13169.8203,129.27,-18837.31,-29642.78,-28427.03,-13091.66,-13049.89,-9002.78,749.35
13169.8242,131.56,-18837.03,-29638.82,-28425.36,-13092.38,-13050.75,-9003.88,750.4
13169.8282,132.42,-18832.64,-29634.05,-28425.27,-13088.56,-13045.98,-8998.78,757.6
13169.8322,128.41,-18833.11,-29638.44,-28429.7,-13089.13,-13046.89,-9002.02,758.84
13169.8362,127.98,-18836.07,-29642.39,-28429.94,-13089.85,-13046.79,-9004.26,758.93
13169.8402,128.41,-18842.32,-29647.31,-28433.33,-13093.23,-13051.23,-9006.79,745.92
13169.8442,125.98,-18846.23,-29648.5,-28437.24,-13097.24,-13054.94,-9010.79,741.77
13169.8482,120.35,-18848.52,-29649.26,-28441.53,-13099.29,-13056.52,-9012.8,750.3
13169.8522,119.16,-18849.28,-29653.03,-28442.53,-13097.72,-13056.23,-9011.51,753.36
13169.8562,119.26,-18847.94,-29654.94,-28440.86,-13095.57,-13054.42,-9011.08,749.64
13169.8602,123.64,-18846.8,-29651.98,-28435.95,-13093.33,-13052.7,-9007.41,747.25
13169.8642,122.5,-18850.9,-29653.6,-28437.47,-13096.81,-13056.47,-9010.27,743.53
13169.8682,119.45,-18854.62,-29653.55,-28440.81,-13098.77,-13058.71,-9013.46,745.87
13169.8722,112.96,-18859.48,-29657.84,-28446.82,-13102.49,-13059.57,-9015.32,745.34
13169.8762,115.16,-18860.44,-29661.47,-28441.62,-13098.34,-13057.66,-9014.46,744.72
13169.8802,121.97,-18856.67,-29655.65,-28437.14,-13094.24,-13055.76,-9010.65,751.21
13169.8842,128.7,-18855.76,-29652.5,-28431.47,-13091.14,-13052.56,-9008.6,747.82
13169.8881,128.75,-18856.96,-29650.64,-28430.13,-13088.42,-13051.61,-9007.79,749.73
13169.8921,125.5,-18853.48,-29648.26,-28430.27,-13086.99,-13047.7,-9003.69,756.79
13169.8961,127.65,-18852.9,-29648.12,-28427.94,-13085.89,-13046.5,-9001.35,754.31
13169.9001,129.03,-18854.05,-29646.59,-28431.99,-13089.47,-13048.08,-9002.97,754.98
13169.9041,131.42,-18855.34,-29646.35,-28434.38,-13091.8,-13050.51,-9005.26,753.4
13169.9081,128.03,-18860.1,-29648.78,-28437.86,-13096.05,-13053.7,-9009.93,751.69
