TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
15513.021,9525.78,-9857.99,-22269.63,-15624.29,-4589.61,-6609.92,-153.92,10354.47
15513.025,9530.69,-9852.22,-22265.15,-15623.0,-4584.5,-6605.91,-147.82,10362.48
15513.029,9533.36,-9848.17,-22266.01,-15624.43,-4580.36,-6602.48,-143.96,10368.87
15513.033,9535.36,-9844.59,-22265.48,-15619.57,-4575.83,-6597.42,-139.81,10370.45
15513.037,9539.08,-9841.73,-22262.86,-15610.08,-4572.39,-6593.94,-137.9,10370.16
15513.041,9537.84,-9846.78,-22264.86,-15608.26,-4578.21,-6599.19,-143.24,10364.68
15513.045,9533.88,-9851.17,-22270.16,-15617.18,-4582.69,-6605.77,-149.15,10360.43
15513.049,9532.02,-9850.84,-22275.07,-15622.62,-4581.31,-6606.15,-148.63,10361.72
15513.053,9530.21,-9852.94,-22280.79,-15622.05,-4582.26,-6607.1,-148.96,10360.43
15513.057,9532.83,-9853.27,-22278.36,-15614.94,-4581.17,-6605.82,-147.91,10360.34
15513.061,9536.41,-9850.93,-22271.68,-15613.13,-4577.88,-6602.72,-145.39,10362.63
15513.065,9538.79,-9846.4,-22269.82,-15614.46,-4575.92,-6599.71,-142.91,10366.35
15513.069,9542.9,-9837.96,-22268.49,-15613.65,-4568.96,-6593.99,-135.71,10374.36
15513.073,9548.24,-9830.29,-22264.05,-15608.6,-4563.19,-6587.46,-130.22,10380.75
15513.077,9550.48,-9828.71,-22255.66,-15602.21,-4562.66,-6584.22,-128.13,10382.84
15513.081,9552.15,-9832.24,-22251.7,-15601.49,-4563.86,-6585.79,-127.94,10380.98
15513.0849,9546.19,-9836.2,-22256.28,-15611.7,-4571.25,-6590.7,-132.99,10377.6
15513.0889,9543.09,-9833.91,-22262.05,-15617.9,-4572.2,-6591.51,-133.8,10379.55
15513.0929,9542.04,-9832.43,-22264.29,-15616.8,-4570.58,-6590.7,-132.51,10380.46
15513.0969,9547.38,-9830.0,-22257.76,-15605.55,-4565.48,-6586.12,-129.65,10378.98
15513.1009,9546.81,-9833.05,-22255.85,-15603.02,-4566.72,-6586.17,-130.84,10376.12
15513.1049,9544.18,-9837.2,-22260.29,-15608.5,-4569.63,-6589.79,-133.56,10374.45
15513.1089,9541.56,-9837.34,-22268.2,-15614.23,-4567.67,-6591.08,-133.47,10374.59
15513.1129,9542.85,-9834.77,-22268.25,-15612.65,-4567.29,-6589.65,-133.13,10376.84
15513.1169,9549.43,-9832.24,-22261.57,-15603.12,-4564.14,-6586.98,-129.89,10378.55
15513.1209,9552.77,-9833.15,-22256.04,-15599.59,-4564.48,-6584.98,-129.89,10379.22
15513.1249,9552.38,-9831.57,-22253.52,-15602.45,-4564.48,-6585.88,-129.7,10381.08
15513.1289,9550.62,-9830.29,-22257.76,-15608.98,-4564.24,-6587.98,-130.37,10382.56
15513.1329,9550.72,-9827.38,-22259.52,-15607.84,-4561.0,-6587.17,-128.94,10384.66
15513.1369,9551.19,-9828.23,-22255.85,-15603.35,-4563.19,-6587.36,-129.65,10383.75
15513.1409,9553.1,-9828.38,-22248.46,-15598.54,-4564.1,-6586.27,-129.7,10383.89
15513.1449,9555.96,-9823.99,-22245.08,-15597.58,-4558.37,-6582.45,-125.69,10387.37
15513.1489,9554.63,-9822.47,-22250.94,-15604.45,-4558.04,-6582.4,-125.84,10388.09
15513.1529,9553.48,-9821.46,-22255.42,-15603.97,-4557.32,-6582.26,-125.27,10388.66
15513.1569,9552.38,-9823.13,-22254.66,-15600.54,-4558.75,-6582.83,-126.79,10385.85
15513.1609,9551.81,-9826.95,-22252.09,-15600.3,-4563.38,-6587.36,-131.23,10380.7
15513.1649,9551.91,-9826.76,-22251.75,-15603.73,-4563.95,-6587.74,-131.85,10379.41
15513.1689,9551.72,-9823.8,-22254.23,-15605.45,-4560.09,-6586.6,-130.37,10382.27
15513.1729,9552.62,-9822.47,-22258.24,-15606.07,-4558.75,-6585.79,-129.41,10382.75
15513.1769,9553.39,-9822.32,-22255.76,-15601.73,-4558.9,-6584.5,-129.08,10381.75
15513.1809,9554.15,-9823.04,-22249.84,-15598.3,-4560.76,-6585.07,-129.18,10380.03
15513.1849,9555.29,-9821.85,-22246.65,-15598.59,-4559.04,-6583.55,-128.46,10382.65
15513.1889,9553.96,-9819.32,-22250.37,-15605.02,-4557.66,-6583.55,-128.79,10385.42
15513.1929,9553.77,-9818.84,-22255.52,-15607.17,-4558.13,-6585.79,-128.7,10386.61
15513.1969,9557.87,-9817.7,-22253.23,-15600.02,-4556.85,-6583.45,-125.89,10386.37
15513.2009,9563.02,-9815.84,-22246.65,-15588.95,-4554.94,-6581.16,-124.6,10385.09
15513.2049,9564.35,-9815.22,-22245.7,-15591.67,-4552.7,-6579.88,-124.36,10387.37
15513.2089,9563.35,-9813.93,-22249.51,-15600.44,-4551.84,-6580.21,-124.17,10389.47
15513.2128,9560.4,-9815.07,-22253.13,-15602.21,-4553.99,-6581.02,-125.6,10389.28
15513.2168,9561.25,-9815.5,-22250.23,-15594.2,-4552.79,-6579.97,-124.17,10389.42
15513.2208,9560.97,-9818.75,-22245.6,-15590.1,-4555.66,-6580.59,-125.55,10387.52
15513.2248,9558.35,-9820.41,-22245.27,-15594.53,-4557.9,-6582.55,-125.89,10388.28
15513.2288,9553.15,-9820.84,-22250.65,-15605.07,-4560.28,-6585.93,-127.32,10387.33
15513.2328,9549.57,-9822.56,-22255.14,-15610.74,-4562.71,-6588.65,-130.37,10386.04
15513.2368,9547.62,-9826.09,-22256.42,-15608.22,-4565.05,-6590.51,-134.42,10381.41
15513.2408,9547.28,-9829.09,-22253.47,-15606.5,-4568.67,-6592.85,-136.57,10377.41
15513.2448,9545.38,-9827.95,-22253.23,-15609.17,-4570.91,-6592.56,-136.47,10376.17
15513.2488,9543.9,-9825.61,-22255.61,-15613.94,-4570.44,-6592.99,-135.71,10377.89
15513.2528,9546.47,-9823.28,-22257.71,-15613.27,-4567.43,-6591.27,-132.42,10382.08
15513.2568,9548.71,-9823.66,-22256.42,-15607.41,-4567.05,-6590.18,-133.13,10382.08
15513.2608,9550.29,-9825.66,-22249.94,-15604.59,-4567.91,-6590.8,-134.09,10381.03
15513.2648,9550.86,-9824.56,-22248.32,-15607.79,-4567.67,-6589.37,-132.66,10380.84
15513.2688,9549.24,-9821.99,-22252.75,-15613.08,-4566.05,-6588.65,-130.84,10385.23
15513.2728,9553.34,-9815.55,-22248.8,-15609.93,-4560.14,-6583.31,-125.69,10390.66
15513.2767,9556.44,-9814.03,-22242.98,-15603.26,-4557.18,-6581.02,-123.5,10390.24
15513.2807,9560.3,-9812.93,-22237.64,-15596.82,-4555.66,-6579.92,-123.55,10389.23
15513.2847,9559.58,-9814.41,-22238.07,-15600.64,-4556.85,-6581.4,-123.64,10387.33
15513.2887,9554.53,-9815.07,-22244.79,-15607.98,-4557.66,-6582.59,-124.79,10387.61
15513.2927,9554.1,-9811.88,-22247.94,-15607.31,-4553.6,-6579.92,-122.98,10392.05
15513.2967,9556.96,-9812.36,-22246.89,-15602.07,-4554.7,-6578.78,-121.88,10390.33
15513.3007,9556.2,-9816.46,-22246.79,-15598.82,-4557.8,-6582.59,-124.65,10386.04
15513.3047,9553.1,-9818.46,-22246.79,-15600.3,-4558.56,-6584.6,-127.65,10382.65
15513.3087,9553.15,-9813.6,-22249.22,-15603.07,-4556.94,-6582.55,-126.89,10386.23
15513.3127,9555.34,-9810.5,-22252.32,-15602.4,-4553.84,-6580.64,-123.21,10389.52
15513.3167,9557.39,-9811.31,-22251.8,-15596.77,-4554.22,-6580.16,-123.45,10387.37
15513.3207,9560.78,-9810.69,-22244.55,-15591.77,-4552.84,-6578.54,-123.93,10386.18
15513.3247,9560.49,-9808.35,-22242.6,-15595.01,-4553.27,-6577.68,-122.74,10389.38
15513.3287,9561.35,-9805.39,-22243.41,-15597.87,-4549.89,-6574.82,-119.3,10395.34
15513.3327,9563.73,-9803.25,-22243.74,-15597.3,-4547.64,-6572.58,-116.54,10398.53
15513.3367,9566.26,-9800.86,-22238.35,-15591.15,-4546.02,-6570.01,-113.39,10399.63
15513.3406,9568.5,-9801.25,-22230.68,-15588.57,-4547.69,-6570.39,-112.49,10399.44
15513.3446,9565.55,-9805.01,-22232.25,-15593.15,-4551.84,-6572.82,-116.16,10397.2
15513.3486,9559.97,-9804.44,-22235.49,-15600.21,-4551.75,-6574.87,-119.88,10396.53
15513.3526,9557.44,-9805.2,-22239.64,-15600.06,-4551.22,-6577.25,-121.31,10395.34
15513.3566,9556.44,-9810.59,-22242.21,-15601.3,-4556.13,-6581.88,-124.74,10391.38
15513.3606,9556.1,-9813.98,-22239.4,-15598.87,-4558.52,-6583.93,-126.89,10385.94
15513.3646,9555.63,-9814.17,-22240.59,-15601.45,-4559.09,-6585.07,-127.27,10386.13
15513.3686,9555.87,-9810.02,-22242.88,-15604.35,-4556.27,-6583.31,-125.27,10390.43
15513.3726,9557.44,-9807.59,-22243.55,-15600.25,-4553.27,-6580.93,-123.36,10392.52
15513.3766,9562.06,-9804.77,-22235.25,-15593.29,-4550.79,-6575.68,-118.45,10396.43
15513.3806,9567.07,-9803.34,-22229.29,-15589.81,-4548.79,-6571.72,-114.39,10399.72
15513.3846,9562.45,-9806.49,-22231.68,-15595.01,-4551.03,-6576.59,-117.35,10396.24
15513.3886,9556.77,-9807.68,-22236.4,-15604.69,-4553.18,-6580.4,-121.59,10397.01
15513.3926,9554.77,-9807.59,-22241.5,-15607.26,-4555.13,-6581.02,-121.83,10398.29
15513.3966,9558.63,-9806.25,-22238.11,-15598.01,-4552.32,-6578.49,-120.5,10397.72
15513.4006,9563.3,-9805.87,-22230.82,-15592.53,-4550.7,-6576.87,-119.5,10395.62
15513.4046,9558.35,-9810.07,-22234.54,-15600.02,-4556.23,-6581.4,-124.84,10391.52
15513.4086,9554.1,-9811.02,-22238.54,-15607.31,-4557.66,-6584.45,-128.36,10391.95
15513.4126,9552.15,-9810.73,-22241.74,-15606.45,-4555.04,-6585.46,-128.6,10391.57
15513.4166,9556.91,-9807.59,-22235.73,-15594.34,-4550.27,-6580.59,-124.5,10391.0
15513.4206,9562.64,-9807.25,-22231.53,-15588.52,-4548.36,-6578.26,-122.26,10391.38
15513.4246,9561.35,-9808.88,-22234.54,-15594.06,-4552.22,-6581.78,-125.03,10389.33
15513.4286,9560.92,-9805.63,-22236.92,-15598.35,-4549.55,-6579.54,-123.64,10391.19
15513.4326,9559.16,-9804.97,-22239.12,-15600.11,-4548.69,-6579.73,-122.17,10392.09
15513.4366,9560.68,-9806.59,-22237.78,-15595.63,-4549.41,-6580.54,-123.17,10391.24
