TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5608.6837,13625.67,-3234.86,18880.13,7415.39,21926.64,12848.9,6996.2,-14308.26
5608.6877,13623.1,-3255.51,18856.67,7416.06,21929.31,12848.43,6993.29,-14316.89
5608.6917,13641.55,-3266.72,18813.66,7432.75,21950.44,12867.6,7006.79,-14318.18
5608.6957,13645.84,-3263.43,18801.21,7436.18,21953.49,12873.79,7017.9,-14315.42
5608.6997,13631.3,-3253.32,18842.79,7422.88,21938.37,12857.63,7003.93,-14313.79
5608.7037,13617.09,-3247.02,18874.93,7410.81,21923.16,12841.7,6994.77,-14313.84
5608.7077,13620.57,-3255.22,18854.52,7414.06,21927.79,12845.57,6997.4,-14319.33
5608.7117,13632.73,-3272.06,18807.13,7428.55,21942.71,12859.63,7006.79,-14333.77
5608.7157,13636.69,-3275.92,18796.49,7433.13,21946.72,12862.4,7006.6,-14334.92
5608.7197,13624.0,-3262.71,18834.4,7420.11,21929.74,12844.61,6992.53,-14330.06
5608.7237,13620.47,-3248.17,18874.12,7414.15,21924.69,12847.81,6998.44,-14308.45
5608.7277,13625.29,-3255.8,18853.81,7418.16,21933.51,12857.92,7004.6,-14303.73
5608.7317,13637.69,-3272.96,18804.98,7430.17,21947.91,12867.6,7008.74,-14318.75
5608.7357,13644.12,-3269.96,18796.73,7434.66,21953.73,12875.03,7016.23,-14308.65
5608.7397,13628.01,-3259.42,18834.02,7419.78,21932.41,12854.48,7004.93,-14311.65
5608.7437,13606.74,-3260.23,18861.87,7404.47,21914.96,12840.99,6993.29,-14312.75
5608.7477,13617.18,-3260.66,18851.71,7415.92,21926.69,12848.52,6999.16,-14318.99
5608.7517,13642.93,-3263.81,18812.47,7435.94,21950.58,12866.78,7012.51,-14325.72
5608.7557,13648.94,-3262.04,18803.17,7440.95,21959.12,12872.51,7020.76,-14324.48
5608.7597,13637.45,-3249.03,18846.13,7429.08,21940.0,12863.45,7017.57,-14307.12
5608.7637,13627.86,-3237.82,18885.66,7420.92,21930.03,12852.1,7010.03,-14306.5
5608.7677,13627.34,-3254.56,18863.44,7418.78,21928.5,12845.04,6999.4,-14333.06
5608.7717,13640.12,-3269.15,18809.32,7428.84,21942.19,12857.87,7002.26,-14344.88
5608.7757,13640.45,-3272.87,18794.87,7429.22,21941.76,12853.15,7003.74,-14355.85
5608.7797,13635.68,-3255.8,18838.55,7422.45,21936.13,12853.62,7007.41,-14321.38
5608.7837,13620.81,-3250.6,18867.64,7410.15,21920.35,12843.28,6998.44,-14314.27
5608.7877,13623.67,-3257.7,18850.66,7413.77,21924.21,12844.75,7000.49,-14325.53
5608.7917,13642.5,-3262.0,18804.98,7428.79,21944.76,12867.6,7013.51,-14323.33
5608.7957,13645.7,-3264.14,18790.06,7432.03,21948.39,12869.5,7015.32,-14324.76
5608.7997,13637.59,-3247.17,18834.4,7422.92,21936.99,12857.49,7007.89,-14319.61
5608.8037,13624.67,-3238.49,18871.02,7408.48,21921.4,12840.8,6996.25,-14320.28
5608.8077,13623.81,-3249.79,18846.08,7408.91,21921.49,12841.32,6996.63,-14328.29
5608.8116,13643.65,-3257.61,18801.36,7425.36,21942.19,12860.59,7007.89,-14333.49
5608.8156,13647.65,-3258.99,18789.39,7431.22,21947.91,12865.59,7011.94,-14332.68
5608.8196,13635.92,-3242.3,18831.59,7422.54,21933.51,12853.58,7006.22,-14327.15
5608.8236,13624.48,-3231.0,18870.07,7413.63,21917.97,12838.03,6993.01,-14334.06
5608.8276,13631.73,-3231.86,18849.52,7414.68,21923.93,12840.37,6997.16,-14331.2
5608.8316,13648.8,-3245.12,18800.69,7429.22,21942.71,12860.59,7014.18,-14324.48
