TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5753.6576,13371.99,-2264.31,20430.61,8421.9,23138.72,13879.83,8565.09,-12418.84
5753.6616,13368.08,-2243.76,20477.01,8416.8,23131.37,13873.63,8566.48,-12393.29
5753.6656,13361.36,-2232.08,20513.25,8412.98,23125.22,13869.81,8568.67,-12374.21
5753.6696,13362.27,-2243.66,20487.26,8413.84,23124.36,13867.09,8560.23,-12394.81
5753.6736,13374.33,-2257.06,20440.01,8426.95,23140.34,13880.68,8565.71,-12418.22
5753.6776,13376.71,-2261.5,20433.76,8430.48,23146.87,13888.65,8577.92,-12404.49
5753.6816,13371.52,-2239.9,20478.44,8420.99,23137.33,13881.16,8575.73,-12383.13
5753.6856,13354.92,-2236.84,20504.62,8405.21,23119.36,13861.32,8559.7,-12389.85
5753.6896,13357.26,-2247.62,20481.88,8407.78,23122.46,13864.66,8560.47,-12399.34
5753.6936,13374.71,-2256.2,20443.44,8424.14,23142.05,13881.83,8572.53,-12409.5
5753.6976,13383.96,-2249.38,20441.68,8431.39,23150.11,13889.93,8577.63,-12407.83
5753.7016,13371.14,-2238.42,20481.45,8420.52,23136.81,13877.35,8569.77,-12391.38
5753.7056,13357.45,-2234.17,20508.48,8408.26,23122.12,13864.19,8563.52,-12380.55
5753.7096,13362.36,-2240.47,20487.93,8412.51,23127.89,13870.15,8563.95,-12391.14
5753.7136,13375.52,-2255.01,20444.11,8423.38,23141.1,13877.35,8566.33,-12423.23
5753.7176,13379.53,-2257.82,20437.2,8427.81,23146.2,13883.02,8569.77,-12420.51
5753.7215,13369.75,-2243.28,20480.3,8418.94,23132.23,13870.48,8562.18,-12401.77
5753.7255,13351.59,-2242.04,20505.34,8404.64,23118.07,13858.75,8553.89,-12393.24
5753.7295,13352.92,-2251.1,20479.63,8404.4,23120.93,13863.47,8556.37,-12396.19
5753.7335,13374.28,-2260.26,20446.83,8423.0,23142.96,13882.16,8569.48,-12402.77
5753.7375,13381.44,-2253.82,20442.82,8428.96,23147.97,13887.69,8572.01,-12402.49
5753.7415,13361.65,-2247.95,20472.86,8410.88,23124.51,13866.0,8556.08,-12396.48
5753.7455,13347.06,-2247.33,20505.57,8399.44,23111.49,13858.51,8551.5,-12377.88
5753.7495,13354.59,-2250.72,20485.36,8402.78,23117.93,13859.85,8552.08,-12402.54
5753.7535,13373.61,-2257.78,20446.49,8421.23,23141.43,13882.07,8567.14,-12412.74
5753.7575,13379.15,-2260.83,20436.29,8423.95,23147.35,13891.51,8577.4,-12397.62
5753.7615,13365.08,-2248.67,20475.39,8411.69,23130.66,13872.15,8565.81,-12392.28
5753.7655,13351.73,-2240.66,20504.91,8398.58,23115.35,13854.12,8551.88,-12394.53
5753.7695,13352.2,-2252.77,20482.11,8399.87,23118.78,13857.75,8552.27,-12408.59
