TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5902.6377,926.163,-43.859,437.919,-980.0,-5346.25,17.5,-234.08,45.6,-158.08
5902.6877,931.104,-44.286,435.662,-1093.75,-5495.0,463.75,-255.36,41.04,-167.2
5902.7377,938.363,-35.563,438.163,-1172.5,-4725.0,-113.75,-232.56,42.56,-156.56
5902.7877,924.028,-40.931,439.383,-2756.25,-4042.5,-8.75,-246.24,44.08,-165.68
5902.8377,917.562,-51.667,437.004,-2292.5,-5320.0,1601.25,-241.68,62.32,-156.56
5902.8877,929.152,-58.316,434.137,218.75,-6658.75,2590.0,-228.0,60.8,-170.24
5902.9377,931.958,-48.068,432.49,551.25,-6317.5,2030.0,-238.64,57.76,-176.32
5902.9877,937.204,-39.711,434.076,-1076.25,-5687.5,1015.0,-247.76,53.2,-171.76
5903.0377,933.422,-49.349,430.233,-2878.75,-5013.75,857.5,-231.04,53.2,-161.12
5903.0877,938.912,-54.29,434.686,-1758.75,-3990.0,-113.75,-232.56,50.16,-153.52
5903.1377,924.455,-47.153,437.675,-1750.0,-3526.25,822.5,-241.68,53.2,-190.0
5903.1877,920.734,-55.083,437.98,-2003.75,-5293.75,1408.75,-243.2,50.16,-168.72
5903.2377,932.446,-55.083,445.483,-1793.75,-5941.25,595.0,-246.24,57.76,-161.12
5903.2877,928.847,-57.828,443.043,-1977.5,-5083.75,-52.5,-246.24,44.08,-158.08
5903.3377,919.697,-51.24,437.553,-1557.5,-6510.0,-796.25,-226.48,44.08,-164.16
5903.3877,930.067,-55.144,436.333,-1575.0,-7945.0,306.25,-243.2,63.84,-179.36
5903.4377,933.605,-51.789,434.32,-463.75,-7437.5,183.75,-250.8,51.68,-158.08
5903.4877,931.775,-45.811,434.442,-831.25,-7070.0,-761.25,-237.12,57.76,-164.16
5903.5377,927.505,-39.162,428.769,-1872.5,-7848.75,-2765.0,-252.32,63.84,-142.88
5903.5877,929.335,-37.82,428.342,-3027.5,-8548.75,-2353.75,-235.6,59.28,-164.16
5903.6377,935.679,-44.225,428.22,-2808.75,-9362.5,-735.0,-244.72,53.2,-156.56
5903.6877,935.435,-49.776,425.658,-2100.0,-9318.75,1277.5,-237.12,34.96,-170.24
5903.7377,939.034,-52.155,421.754,-1540.0,-9161.25,437.5,-226.48,57.76,-153.52
5903.7877,945.866,-48.434,407.175,-918.75,-8356.25,840.0,-253.84,44.08,-164.16
5903.8377,960.323,-37.332,411.14,-262.5,-6107.5,-481.25,-232.56,62.32,-165.68
5903.8877,958.249,-30.927,404.979,-1163.75,-4033.75,-332.5,-246.24,56.24,-164.16
5903.9377,930.25,-30.317,403.027,-2563.75,-3911.25,-1601.25,-224.96,41.04,-165.68
5903.9877,938.424,-37.271,409.249,-3053.75,-4987.5,-603.75,-249.28,45.6,-158.08
