TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6024.8567,14621.16,-944.28,23468.64,10255.96,25411.04,15816.5,11093.09,-10991.05
6024.8607,14629.6,-957.49,23441.99,10265.26,25421.62,15826.08,11101.96,-11013.94
6024.8647,14639.9,-969.22,23406.46,10273.6,25432.54,15837.29,11109.78,-11017.61
6024.8687,14640.19,-962.54,23417.28,10272.41,25429.87,15837.39,11109.16,-11005.98
6024.8727,14631.65,-943.04,23460.49,10264.16,25419.29,15828.33,11105.92,-10989.14
6024.8767,14618.3,-944.09,23470.36,10252.91,25406.32,15814.93,11094.76,-10991.05
6024.8807,14631.85,-952.39,23444.75,10264.35,25422.39,15827.37,11103.39,-10997.49
6024.8847,14644.58,-962.16,23411.09,10277.32,25437.41,15842.06,11113.79,-11006.93
6024.8887,14647.87,-952.96,23422.05,10280.99,25440.89,15847.16,11118.99,-10997.3
6024.8927,14631.99,-940.99,23458.44,10267.5,25423.48,15833.52,11109.73,-10990.05
6024.8967,14625.22,-939.18,23476.17,10260.96,25414.23,15824.8,11104.97,-10982.28
6024.9007,14627.46,-956.63,23438.93,10265.3,25423.91,15833.33,11110.21,-10995.58
6024.9047,14637.95,-971.75,23402.93,10274.22,25437.41,15844.78,11116.32,-11005.88
6024.9087,14642.53,-963.5,23416.43,10275.56,25436.6,15844.54,11115.55,-11001.64
6024.9127,14631.8,-946.81,23458.05,10267.55,25422.15,15831.09,11109.5,-10985.9
6024.9167,14622.4,-942.9,23471.98,10259.58,25411.89,15820.65,11104.01,-10984.18
6024.9206,14634.32,-949.62,23447.18,10268.74,25424.25,15829.57,11108.73,-10998.92
6024.9246,14646.48,-963.35,23415.9,10280.32,25438.55,15842.39,11117.41,-11009.79
6024.9286,14647.25,-955.72,23425.72,10281.37,25439.41,15847.02,11122.75,-10997.11
6024.9326,14636.09,-938.61,23467.11,10271.65,25426.15,15833.05,11116.27,-10985.19
6024.9366,14624.41,-938.51,23480.8,10263.35,25416.62,15820.55,11105.97,-10994.29
6024.9406,14629.94,-951.58,23453.14,10269.69,25421.1,15828.33,11112.93,-11006.12
6024.9446,14643.96,-962.07,23421.81,10281.47,25437.31,15844.78,11123.13,-11004.64
6024.9486,14641.62,-956.15,23424.1,10278.27,25434.45,15844.54,11119.89,-10996.87
6024.9526,14626.46,-943.52,23464.25,10267.64,25419.14,15830.18,11110.93,-10989.0
6024.9566,14617.4,-943.52,23479.99,10258.72,25409.94,15818.6,11104.01,-10991.57
6024.9606,14625.6,-955.15,23452.24,10263.97,25418.86,15822.7,11105.44,-11010.84
6024.9646,14637.28,-969.17,23420.05,10276.46,25433.78,15838.2,11117.13,-11021.95
6024.9686,14640.76,-963.12,23431.21,10281.37,25438.31,15845.01,11125.42,-11007.02
6024.9726,14629.84,-946.62,23469.16,10270.5,25425.53,15834.38,11117.51,-10984.8
6024.9766,14615.73,-948.95,23478.27,10258.29,25411.08,15820.08,11107.02,-10993.2
6024.9806,14623.12,-961.26,23454.24,10266.97,25421.43,15831.71,11113.12,-11003.21
6024.9846,14640.71,-969.46,23422.05,10280.13,25437.26,15845.44,11122.85,-11014.56
6024.9886,14645.53,-959.35,23426.49,10281.56,25438.69,15846.4,11124.18,-11004.78
6024.9926,14635.71,-943.37,23468.31,10275.03,25428.11,15835.19,11119.08,-10989.48
6024.9966,14618.26,-948.48,23481.47,10268.59,25421.05,15829.71,11114.12,-10991.72
6025.0006,14624.07,-962.54,23449.57,10272.46,25423.29,15833.67,11111.26,-11010.12
6025.0046,14640.43,-974.89,23420.24,10284.71,25440.27,15845.54,11119.8,-11020.95
6025.0086,14642.96,-963.5,23429.87,10285.57,25438.26,15842.11,11124.42,-11025.0
6025.0126,14629.51,-950.81,23467.83,10275.03,25424.77,15830.8,11118.51,-11002.16
6025.0166,14623.6,-945.33,23486.28,10265.07,25414.47,15820.12,11112.17,-10990.86
6025.0206,14629.27,-958.97,23454.38,10269.17,25419.95,15828.75,11118.6,-10999.78
6025.0246,14642.19,-970.6,23421.0,10279.8,25435.02,15842.63,11124.9,-11017.04
6025.0286,14640.24,-965.36,23429.3,10278.56,25433.69,15836.91,11122.13,-11017.32
6025.0326,14625.98,-952.05,23467.69,10267.12,25419.86,15826.23,11114.84,-10999.92
6025.0366,14618.3,-947.76,23484.66,10260.11,25411.61,15817.83,11108.11,-10995.01
6025.0406,14627.65,-957.68,23455.62,10267.64,25421.77,15826.18,11113.5,-11004.97
6025.0446,14642.86,-968.12,23421.58,10280.32,25438.84,15841.87,11124.04,-11019.28
6025.0485,14647.53,-958.92,23430.49,10283.19,25441.74,15845.11,11128.38,-11012.56
6025.0525,14628.27,-951.05,23462.82,10266.73,25420.48,15824.37,11114.55,-11009.89
6025.0565,14617.68,-948.76,23478.08,10258.91,25411.51,15817.41,11109.69,-11005.31
6025.0605,14624.36,-961.35,23449.42,10262.68,25418.09,15822.41,11112.07,-11019.66
6025.0645,14637.85,-973.42,23415.71,10277.51,25436.74,15840.48,11123.47,-11027.0
6025.0685,14639.52,-966.55,23423.01,10278.89,25437.88,15840.29,11126.23,-11020.61
6025.0725,14635.28,-940.66,23469.64,10273.12,25430.11,15834.62,11126.81,-10994.72
6025.0765,14629.18,-935.84,23487.28,10266.59,25423.91,15827.94,11120.99,-10989.38
6025.0805,14628.79,-953.67,23457.05,10269.69,25427.73,15830.33,11118.84,-11026.72
6025.0845,14640.19,-964.98,23419.62,10276.7,25437.64,15834.91,11121.23,-11033.73
6025.0885,14643.81,-957.54,23429.11,10280.18,25441.55,15845.35,11131.0,-11008.12
6025.0925,14631.99,-946.95,23469.64,10272.07,25428.82,15834.95,11125.52,-10995.91
6025.0965,14622.02,-943.95,23485.66,10263.97,25417.52,15822.94,11116.03,-11003.54
6025.1005,14632.23,-950.43,23457.82,10268.74,25427.06,15834.62,11121.08,-11004.88
6025.1045,14642.86,-965.17,23423.01,10277.42,25438.69,15843.44,11124.66,-11021.28
6025.1085,14645.77,-961.21,23434.26,10282.33,25443.51,15850.45,11132.67,-11004.26
6025.1125,14632.99,-944.66,23471.93,10269.83,25427.3,15834.86,11121.85,-10994.15
6025.1165,14617.25,-947.76,23484.38,10256.96,25412.8,15819.27,11111.98,-11002.49
6025.1205,14623.93,-960.25,23456.0,10263.25,25421.05,15822.89,11114.55,-11019.04
6025.1245,14641.0,-968.07,23425.63,10276.75,25439.12,15843.68,11127.14,-11017.09
6025.1285,14640.76,-964.69,23432.45,10274.75,25436.98,15842.82,11129.57,-11008.6
6025.1325,14629.46,-948.72,23468.4,10262.63,25422.05,15827.8,11122.42,-10994.53
6025.1365,14618.97,-945.04,23483.37,10254.0,25411.32,15816.26,11111.79,-11003.5
6025.1405,14620.35,-962.83,23454.29,10256.01,25413.18,15816.02,11111.88,-11021.71
6025.1445,14640.57,-967.36,23425.44,10271.69,25435.5,15837.48,11127.52,-11023.24
6025.1485,14637.38,-964.4,23429.25,10270.74,25432.59,15835.0,11125.71,-11018.13
6025.1525,14621.55,-953.39,23463.06,10257.15,25414.23,15817.55,11116.41,-11008.74
6025.1565,14620.45,-941.37,23488.33,10257.05,25412.85,15818.84,11120.37,-10996.2
6025.1605,14624.5,-955.68,23462.2,10262.35,25422.1,15825.89,11121.56,-11012.13
6025.1645,14637.04,-964.93,23429.73,10273.27,25435.4,15836.0,11130.05,-11027.62
6025.1685,14641.33,-956.49,23438.12,10275.41,25436.4,15838.29,11133.53,-11019.76
6025.1725,14624.5,-947.14,23470.07,10261.49,25420.14,15823.75,11124.18,-11004.93
6025.1764,14611.72,-948.86,23486.66,10248.95,25408.37,15811.06,11112.83,-11008.84
6025.1804,14617.68,-961.02,23460.1,10255.05,25414.66,15816.36,11116.22,-11023.62
6025.1844,14633.32,-969.36,23430.02,10268.26,25429.92,15831.14,11128.28,-11033.01
6025.1884,14633.56,-964.93,23433.26,10268.74,25427.2,15827.75,11128.33,-11028.53
6025.1924,14623.55,-947.38,23473.31,10262.2,25418.09,15821.89,11125.52,-11004.35
6025.1964,14611.15,-945.04,23491.05,10251.48,25407.41,15811.97,11118.7,-11000.59
6025.2004,14619.07,-955.3,23465.92,10259.2,25416.71,15821.55,11124.33,-11012.94
6025.2044,14633.75,-963.69,23433.5,10271.46,25430.16,15833.05,11131.34,-11020.28
6025.2084,14629.51,-967.74,23434.74,10271.6,25427.73,15828.61,11132.0,-11015.46
