TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
12521.3244,-667.645,-155.794,711.87,-1872.5,-4873.75,612.5,378.48,-121.6,-322.24
12521.3744,-666.852,-155.245,712.297,-1443.75,-5101.25,183.75,383.04,-133.76,-297.92
12521.4244,-661.972,-155.062,712.297,-1277.5,-5582.5,131.25,380.0,-129.2,-307.04
12521.4744,-660.691,-156.953,713.883,-936.25,-5066.25,-122.5,375.44,-120.08,-311.6
12521.5244,-660.508,-153.232,712.785,-892.5,-4488.75,-35.0,376.96,-130.72,-288.8
12521.5744,-670.634,-143.228,715.347,-2415.0,-3832.5,-218.75,396.72,-121.6,-297.92
12521.6244,-667.096,-159.942,714.31,-1295.0,-4996.25,420.0,375.44,-129.2,-290.32
12521.6744,-659.41,-153.476,709.918,-1496.25,-5066.25,-411.25,367.84,-123.12,-296.4
12521.7244,-663.558,-145.058,711.565,-1443.75,-4235.0,-271.25,384.56,-129.2,-291.84
12521.7744,-668.682,-156.709,714.005,-2432.5,-3841.25,-822.5,392.16,-155.04,-310.08
12521.8244,-663.009,-161.833,709.064,-2450.0,-3141.25,-1216.25,383.04,-126.16,-302.48
12521.8745,-663.741,-164.944,708.942,-875.0,-2940.0,-1093.75,390.64,-124.64,-302.48
12521.9244,-671.244,-158.539,708.454,-1321.25,-2660.0,-1023.75,393.68,-127.68,-310.08
12521.9745,-672.342,-155.306,707.356,-2476.25,-4077.5,-236.25,381.52,-129.2,-308.56
12522.0244,-667.218,-166.225,707.234,-1846.25,-3762.5,-507.5,398.24,-110.96,-305.52
12522.0744,-665.144,-160.247,705.099,-1802.5,-3193.75,-218.75,370.88,-123.12,-307.04
12522.1244,-674.294,-168.421,705.526,-2082.5,-3517.5,411.25,393.68,-123.12,-313.12
12522.1744,-672.403,-163.602,701.256,-1688.75,-3325.0,673.75,387.6,-133.76,-311.6
12522.2244,-681.187,-165.371,705.465,-1741.25,-3526.25,630.0,389.12,-132.24,-299.44
12522.2744,-680.089,-160.796,702.354,-2143.75,-5600.0,1015.0,386.08,-126.16,-305.52
12522.3244,-673.196,-163.846,704.916,-1102.5,-6072.5,1916.25,383.04,-127.68,-294.88
12522.3744,-673.196,-162.687,707.783,-3053.75,-5302.5,997.5,380.0,-118.56,-317.68
12522.4244,-661.789,-167.689,703.33,-533.75,-4716.25,1566.25,376.96,-121.6,-296.4
12522.4744,-661.423,-157.746,699.426,-1680.0,-3613.75,1128.75,393.68,-112.48,-302.48
12522.5244,-681.187,-161.284,707.905,-2590.0,-4488.75,1076.25,386.08,-141.36,-299.44
12522.5744,-680.333,-156.221,705.526,-2283.75,-5285.0,2388.75,378.48,-127.68,-294.88
12522.6244,-671.122,-162.382,703.025,-3325.0,-4803.75,2056.25,386.08,-123.12,-275.12
12522.6744,-680.333,-165.31,700.402,-2275.0,-4681.25,2555.0,392.16,-133.76,-302.48
12522.7244,-686.067,-163.053,702.842,-2117.5,-5985.0,1995.0,398.24,-107.92,-296.4
12522.7744,-677.405,-161.833,704.672,-1015.0,-8067.5,1260.0,384.56,-120.08,-317.68
12522.8244,-671.244,-161.04,702.72,-1041.25,-8023.75,1750.0,395.2,-126.16,-308.56
12522.8744,-668.072,-158.844,706.319,-2248.75,-7420.0,1697.5,389.12,-127.68,-296.4
12522.9244,-663.436,-166.347,713.578,-1085.0,-7148.75,1050.0,386.08,-107.92,-296.4
12522.9744,-655.994,-165.005,715.652,-411.25,-6650.0,927.5,402.8,-112.48,-310.08
12523.0244,-658.739,-155.428,715.408,-822.5,-5311.25,1566.25,376.96,-117.04,-311.6
12523.0744,-663.863,-150.975,717.97,-1172.5,-4287.5,2100.0,370.88,-136.8,-314.64
12523.1244,-669.536,-157.99,719.617,-2073.75,-4830.0,1295.0,378.48,-121.6,-302.48
12523.1744,-656.238,-154.818,714.005,-201.25,-5040.0,1216.25,375.44,-117.04,-322.24
12523.2244,-657.519,-147.62,711.931,-560.0,-4130.0,822.5,393.68,-126.16,-311.6
12523.2744,-670.146,-147.925,717.299,-1548.75,-4042.5,700.0,376.96,-135.28,-325.28
12523.3244,-664.656,-144.692,711.504,-2275.0,-4033.75,551.25,387.6,-138.32,-311.6
