TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
14359.8598,20623.16,17299.94,8660.75,34003.07,29641.2,11984.25,15659.05,6797.93
14359.8638,20702.98,17376.66,8737.71,34083.8,29721.88,12059.74,15736.25,6872.32
14359.8678,20747.66,17421.1,8782.05,34128.0,29767.9,12102.41,15780.12,6914.23
14359.8718,20693.16,17370.85,8730.22,34075.17,29713.54,12052.63,15728.81,6867.98
14359.8758,20613.82,17292.17,8652.83,33993.39,29631.62,11976.62,15652.09,6796.03
14359.8798,20617.77,17293.88,8656.55,33997.68,29637.58,11979.44,15655.71,6796.17
14359.8838,20696.12,17369.18,8730.84,34078.32,29718.5,12052.49,15730.62,6866.27
14359.8878,20740.94,17413.09,8773.28,34123.28,29762.94,12095.55,15773.87,6909.04
14359.8918,20690.35,17367.13,8725.79,34072.16,29710.63,12050.2,15727.19,6866.5
14359.8958,20609.1,17289.69,8649.97,33991.01,29628.14,11975.91,15649.27,6793.69
14359.8998,20614.58,17292.31,8654.21,33996.25,29634.29,11977.82,15652.61,6796.69
14359.9038,20694.97,17369.56,8729.36,34075.65,29715.26,12050.63,15727.52,6865.88
14359.9078,20743.42,17417.29,8777.05,34124.28,29763.23,12096.26,15775.11,6909.8
14359.9118,20698.12,17371.61,8734.32,34078.6,29715.45,12055.45,15731.19,6869.89
14359.9158,20620.78,17296.27,8658.93,33999.69,29637.2,11982.2,15656.66,6797.6
14359.9198,20626.02,17299.46,8660.6,34003.17,29641.44,11984.4,15658.9,6798.08
14359.9237,20706.37,17377.09,8735.71,34084.61,29722.84,12057.88,15733.05,6868.65
14359.9277,20750.81,17420.29,8779.0,34129.58,29767.95,12099.7,15775.63,6910.13
14359.9317,20700.36,17372.28,8732.08,34078.98,29716.92,12054.35,15729.33,6868.03
14359.9357,20620.25,17293.84,8656.88,33999.73,29635.62,11979.72,15654.71,6795.84
14359.9397,20621.06,17295.6,8658.31,34002.36,29639.39,11980.96,15657.57,6797.51
14359.9437,20700.46,17372.51,8734.42,34082.89,29721.88,12055.59,15733.63,6868.74
14359.9477,20747.9,17419.91,8780.72,34130.15,29769.14,12101.46,15780.02,6914.81
14359.9517,20697.26,17372.13,8734.13,34080.41,29718.35,12057.12,15734.15,6874.94
14359.9557,20615.39,17291.45,8656.69,33998.59,29636.1,11981.68,15655.9,6801.89
14359.9597,20615.34,17290.12,8656.41,33998.21,29636.48,11979.2,15655.19,6799.65
14359.9637,20693.88,17365.36,8732.03,34078.27,29717.16,12053.3,15731.29,6870.7
14359.9677,20740.94,17411.52,8777.81,34124.9,29764.23,12098.03,15776.06,6913.66
14359.9717,20691.92,17367.08,8731.51,34075.22,29715.54,12052.49,15729.62,6871.75
14359.9757,20610.53,17287.92,8652.64,33993.06,29633.0,11975.58,15651.9,6796.93
14359.9797,20613.15,17287.11,8652.83,33995.06,29634.19,11975.58,15651.37,6795.31
14359.9837,20693.02,17363.26,8728.79,34075.17,29714.92,12049.01,15727.24,6866.55
14359.9877,20743.28,17414.33,8776.48,34124.33,29765.28,12097.26,15775.49,6912.76
14359.9917,20699.07,17372.8,8734.61,34079.27,29719.36,12057.45,15734.15,6873.42
14359.9957,20624.35,17299.56,8661.7,34003.02,29642.73,11986.45,15661.24,6805.23
14359.9997,20627.31,17301.23,8661.46,34004.98,29645.4,11987.35,15660.81,6803.89
14360.0037,20704.41,17374.9,8733.66,34082.61,29722.98,12057.5,15733.2,6871.18
14360.0077,20753.05,17422.58,8780.81,34131.44,29771.57,12103.46,15778.78,6916.0
14360.0117,20702.98,17376.14,8734.61,34081.56,29720.74,12058.55,15733.86,6874.09
14360.0157,20619.06,17294.08,8654.88,33995.92,29634.48,11978.44,15653.99,6800.46
14360.0197,20614.82,17288.5,8649.54,33991.29,29630.24,11972.57,15649.18,6794.5
14360.0237,20690.73,17361.45,8722.93,34070.93,29709.68,12044.53,15722.61,6862.07
14360.0277,20739.46,17409.95,8770.37,34119.04,29759.32,12091.4,15770.58,6906.13
14360.0317,20693.35,17365.98,8727.12,34072.55,29711.68,12050.25,15727.52,6867.46
14360.0357,20613.15,17287.49,8648.21,33991.34,29629.52,11972.14,15649.46,6790.88
14360.0397,20612.05,17285.73,8646.01,33991.34,29629.57,11970.28,15646.6,6788.21
14360.0437,20692.54,17364.27,8725.31,34073.6,29713.21,12046.62,15724.37,6863.02
14360.0477,20744.23,17416.05,8775.43,34125.0,29765.08,12095.5,15774.44,6912.04
14360.0516,20699.22,17374.23,8732.37,34078.55,29717.93,12054.25,15731.34,6872.61
14360.0556,20619.3,17296.03,8653.83,33996.16,29635.48,11978.44,15652.8,6798.89
14360.0596,20617.92,17292.69,8651.5,33995.68,29635.62,11975.67,15651.32,6795.45
14360.0636,20693.92,17365.84,8724.64,34073.79,29713.11,12046.77,15724.47,6862.93
14360.0676,20742.99,17413.76,8773.71,34123.42,29763.13,12094.55,15771.92,6910.52
