TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
14359.9244,-662.948,-154.696,707.783,-2143.75,-4383.75,288.75,383.04,-117.04,-307.04
14359.9744,-669.902,-160.003,712.602,-1347.5,-4480.0,96.25,364.8,-104.88,-308.56
14360.0244,-670.268,-159.82,710.772,-1706.25,-5267.5,96.25,380.0,-126.16,-299.44
14360.0744,-665.327,-155.428,710.711,-1697.5,-5328.75,971.25,378.48,-121.6,-316.16
14360.1244,-664.534,-160.369,712.846,-2415.0,-5372.5,1093.75,380.0,-126.16,-308.56
14360.1744,-664.778,-164.273,712.785,-1706.25,-5153.75,673.75,376.96,-138.32,-313.12
14360.2244,-664.229,-159.576,713.456,-927.5,-5320.0,297.5,376.96,-112.48,-305.52
14360.2744,-664.961,-157.929,717.482,-1435.0,-5110.0,52.5,395.2,-121.6,-305.52
14360.3244,-662.582,-159.332,713.761,-1601.25,-5162.5,358.75,395.2,-129.2,-299.44
14360.3744,-662.948,-161.284,713.456,-1443.75,-5040.0,568.75,383.04,-132.24,-314.64
14360.4244,-662.216,-157.563,712.541,-848.75,-4751.25,770.0,378.48,-117.04,-302.48
14360.4744,-668.804,-158.112,716.567,-2616.25,-5136.25,-280.0,376.96,-141.36,-307.04
14360.5244,-656.665,-161.101,712.114,-455.0,-5530.0,586.25,386.08,-132.24,-311.6
14360.5744,-658.434,-153.171,712.358,-918.75,-5188.75,813.75,376.96,-129.2,-313.12
14360.6244,-663.375,-153.293,718.58,-2362.5,-4497.5,1093.75,381.52,-130.72,-299.44
14360.6744,-665.266,-160.796,717.177,-1881.25,-4593.75,866.25,375.44,-124.64,-296.4
14360.7244,-660.813,-163.297,712.541,-1960.0,-3762.5,17.5,398.24,-130.72,-300.96
14360.7744,-667.645,-156.587,712.175,-1190.0,-3963.75,-26.25,380.0,-124.64,-310.08
14360.8244,-667.767,-156.038,711.992,-1540.0,-4488.75,857.5,375.44,-120.08,-296.4
14360.8744,-666.913,-161.162,713.273,-2143.75,-4725.0,1128.75,372.4,-118.56,-314.64
14360.9244,-665.205,-161.04,712.907,-1435.0,-4646.25,1050.0,363.28,-129.2,-314.64
14360.9744,-666.12,-160.003,710.467,-1478.75,-4427.5,262.5,370.88,-120.08,-307.04
14361.0244,-668.072,-156.099,711.016,-1627.5,-4331.25,122.5,369.36,-121.6,-317.68
14361.0744,-665.937,-158.356,712.175,-1653.75,-4523.75,586.25,383.04,-133.76,-299.44
14361.1244,-666.608,-160.613,711.443,-1793.75,-5075.0,630.0,396.72,-136.8,-305.52
14361.1744,-666.669,-159.759,713.883,-1137.5,-5136.25,630.0,381.52,-130.72,-317.68
14361.2244,-665.876,-156.099,712.907,-778.75,-4392.5,691.25,393.68,-138.32,-308.56
14361.2744,-670.268,-164.944,716.323,-2852.5,-5407.5,-105.0,378.48,-130.72,-316.16
14361.3244,-659.227,-166.774,709.369,-490.0,-5600.0,910.0,378.48,-130.72,-316.16
14361.3744,-663.863,-156.465,714.188,-577.5,-5311.25,1120.0,389.12,-121.6,-302.48
14361.4244,-666.486,-153.72,717.421,-2135.0,-5180.0,1137.5,376.96,-130.72,-316.16
14361.4744,-660.508,-157.929,712.724,-1785.0,-4760.0,1225.0,383.04,-126.16,-296.4
14361.5244,-661.789,-163.358,714.798,-1601.25,-3937.5,761.25,384.56,-117.04,-314.64
14361.5744,-666.364,-154.452,715.53,-1347.5,-4637.5,437.5,383.04,-124.64,-308.56
14361.6244,-663.863,-156.099,714.981,-1732.5,-4742.5,761.25,392.16,-126.16,-319.2
14361.6745,-663.253,-155.977,712.663,-1890.0,-4305.0,857.5,381.52,-135.28,-310.08
14361.7244,-661.545,-158.661,712.907,-1513.75,-4200.0,761.25,392.16,-115.52,-304.0
14361.7745,-663.558,-156.038,712.541,-1452.5,-3998.75,691.25,373.92,-118.56,-311.6
14361.8244,-665.754,-156.953,710.101,-1916.25,-3841.25,700.0,366.32,-124.64,-311.6
14361.8744,-668.743,-159.332,710.711,-1793.75,-3823.75,840.0,380.0,-117.04,-314.64
14361.9244,-670.146,-158.6,710.162,-1986.25,-4191.25,358.75,366.32,-133.76,-308.56
14361.9744,-670.878,-160.735,708.21,-1855.0,-4515.0,280.0,378.48,-124.64,-304.0
14362.0244,-669.231,-158.478,707.295,-1295.0,-4996.25,315.0,369.36,-127.68,-300.96
14362.0744,-670.817,-155.489,706.929,-1137.5,-4112.5,1032.5,384.56,-132.24,-314.64
14362.1244,-678.076,-155.855,711.199,-2642.5,-4681.25,113.75,387.6,-127.68,-319.2
14362.1744,-662.826,-160.613,705.77,-1198.75,-6151.25,656.25,372.4,-132.24,-310.08
14362.2244,-664.046,-158.417,715.103,-752.5,-5565.0,507.5,398.24,-148.96,-307.04
14362.2744,-669.902,-152.561,716.079,-1618.75,-5696.25,743.75,366.32,-129.2,-307.04
14362.3244,-653.737,-152.439,711.199,-1575.0,-4786.25,997.5,372.4,-118.56,-322.24
14362.3744,-661.789,-154.574,714.737,-2511.25,-3806.25,-61.25,387.6,-120.08,-311.6
14362.4244,-666.913,-157.563,713.273,-1417.5,-4453.75,-262.5,376.96,-115.52,-316.16
14362.4744,-663.314,-154.025,713.7,-1163.75,-5092.5,105.0,387.6,-126.16,-313.12
14362.5244,-665.022,-155.855,713.334,-1653.75,-4926.25,735.0,378.48,-132.24,-307.04
14362.5744,-662.033,-157.868,713.7,-1776.25,-4733.75,1216.25,372.4,-114.0,-313.12
14362.6244,-664.229,-158.295,710.833,-1715.0,-4340.0,752.5,390.64,-126.16,-310.08
14362.6744,-668.438,-157.258,710.528,-1583.75,-4138.75,446.25,366.32,-139.84,-313.12
14362.7244,-669.536,-156.465,709.735,-1776.25,-4506.25,210.0,387.6,-123.12,-313.12
14362.7744,-669.719,-157.502,710.467,-1540.0,-4926.25,822.5,384.56,-135.28,-311.6
14362.8244,-667.645,-157.136,709.857,-1181.25,-5705.0,708.75,373.92,-132.24,-326.8
14362.8744,-665.937,-154.757,712.846,-1461.25,-5538.75,393.75,363.28,-120.08,-308.56
14362.9244,-661.179,-158.356,715.103,-1260.0,-5381.25,367.5,373.92,-129.2,-305.52
14362.9744,-662.033,-156.587,713.883,-1120.0,-5048.75,717.5,381.52,-115.52,-305.52
14363.0244,-663.436,-148.901,712.358,-1093.75,-4847.5,1128.75,373.92,-123.12,-308.56
14363.0744,-663.07,-165.981,715.469,-2135.0,-6046.25,875.0,375.44,-124.64,-307.04
14363.1244,-655.994,-153.842,715.774,-402.5,-5250.0,831.25,383.04,-126.16,-325.28
14363.1744,-658.922,-149.206,715.713,-1155.0,-4488.75,752.5,370.88,-121.6,-307.04
