TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
13012.9744,-628.849,-122.976,744.505,-1522.5,-3587.5,-105.0,367.84,-144.4,-322.24
13013.0244,-638.731,-127.429,748.958,-1776.25,-4191.25,8.75,376.96,-136.8,-320.72
13013.0744,-635.315,-126.575,748.043,-1426.25,-4453.75,113.75,358.72,-133.76,-319.2
13013.1244,-634.644,-127.063,749.507,-1303.75,-4191.25,551.25,376.96,-135.28,-323.76
13013.1744,-635.864,-124.806,747.677,-2196.25,-4033.75,708.75,383.04,-139.84,-319.2
13013.2244,-635.559,-130.662,748.043,-2266.25,-3736.25,358.75,381.52,-147.44,-326.8
13013.2744,-635.315,-130.357,745.359,-1531.25,-4103.75,288.75,381.52,-142.88,-322.24
13013.3244,-633.302,-126.514,743.346,-1102.5,-3780.0,735.0,369.36,-136.8,-320.72
13013.3744,-648.369,-123.403,748.958,-2135.0,-4961.25,122.5,367.84,-127.68,-313.12
13013.4244,-634.827,-134.993,748.897,-1260.0,-5713.75,971.25,381.52,-130.72,-331.36
13013.4744,-624.579,-126.087,741.089,-866.25,-4585.0,1321.25,358.72,-121.6,-325.28
13013.5244,-647.149,-121.085,744.078,-1680.0,-3710.0,1671.25,372.4,-144.4,-334.4
13013.5744,-643.916,-123.098,743.346,-1846.25,-5845.0,1680.0,383.04,-133.76,-328.32
13013.6244,-634.339,-123.342,745.359,-2178.75,-5512.5,612.5,383.04,-132.24,-313.12
13013.6744,-631.533,-126.209,745.908,-1286.25,-4541.25,35.0,367.84,-133.76,-323.76
13013.7244,-635.376,-124.013,746.152,-1225.0,-3780.0,-148.75,378.48,-142.88,-320.72
13013.7744,-640.378,-124.684,746.03,-1723.75,-4200.0,35.0,373.92,-139.84,-322.24
13013.8244,-633.79,-126.819,745.359,-1872.5,-4672.5,542.5,370.88,-133.76,-302.48
13013.8744,-635.132,-128.405,742.37,-1758.75,-4042.5,455.0,386.08,-135.28,-334.4
13013.9244,-643.245,-127.917,744.017,-1426.25,-4558.75,-113.75,373.92,-144.4,-316.16
13013.9744,-634.583,-129.503,742.431,-1181.25,-4917.5,-227.5,380.0,-114.0,-308.56
13014.0244,-635.742,-128.161,739.442,-682.5,-4453.75,656.25,366.32,-135.28,-316.16
13014.0744,-638.365,-118.706,736.941,-1330.0,-4270.0,1723.75,380.0,-109.44,-323.76
13014.1244,-650.87,-117.486,749.812,-2537.5,-4873.75,1251.25,370.88,-130.72,-323.76
13014.1744,-628.971,-136.823,749.08,-2310.0,-5845.0,-218.75,354.16,-141.36,-319.2
13014.2244,-621.041,-134.322,742.675,700.0,-2922.5,-1583.75,360.24,-132.24,-319.2
13014.2744,-641.903,-121.268,746.579,647.5,-2948.75,-1295.0,366.32,-141.36,-314.64
13014.3244,-645.502,-117.791,745.115,-2178.75,-4130.0,192.5,376.96,-133.76,-317.68
13014.3744,-632.509,-127.246,741.089,-4025.0,-3850.0,437.5,378.48,-136.8,-319.2
13014.4244,-631.106,-139.995,740.479,-3071.25,-2362.5,1408.75,389.12,-129.2,-323.76
13014.4744,-640.805,-133.651,738.954,-1461.25,-1557.5,1373.75,370.88,-126.16,-328.32
13014.5244,-644.892,-124.562,741.089,-1312.5,-1697.5,1715.0,357.2,-127.68,-314.64
13014.5744,-641.659,-120.841,736.453,-2677.5,-1102.5,2161.25,373.92,-124.64,-308.56
13014.6244,-643.306,-117.73,729.377,-3106.25,-192.5,2301.25,372.4,-144.4,-320.72
13014.6744,-656.055,-119.987,731.085,-5416.25,1487.5,1505.0,393.68,-133.76,-310.08
