TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
12251.5244,-641.781,-144.753,735.477,-1452.5,-5363.75,498.75,370.88,-147.44,-308.56
12251.5744,-638.853,-142.313,737.917,-1470.0,-5250.0,813.75,396.72,-141.36,-317.68
12251.6244,-640.622,-147.864,738.588,-1583.75,-4847.5,665.0,381.52,-135.28,-323.76
12251.6745,-639.28,-149.023,734.257,-1557.5,-4200.0,122.5,376.96,-130.72,-304.0
12251.7244,-648.552,-143.228,737.49,-2528.75,-4042.5,-52.5,370.88,-133.76,-302.48
12251.7744,-642.513,-156.099,735.843,-1260.0,-5503.75,262.5,380.0,-133.76,-316.16
12251.8244,-634.766,-144.326,732.61,-796.25,-5057.5,831.25,364.8,-133.76,-317.68
12251.8744,-647.576,-141.276,738.771,-1995.0,-5031.25,1128.75,383.04,-126.16,-304.0
12251.9244,-650.26,-148.962,738.771,-2117.5,-5171.25,735.0,372.4,-138.32,-320.72
12251.9744,-642.94,-152.317,736.209,-2047.5,-4690.0,157.5,375.44,-139.84,-287.28
12252.0244,-647.271,-147.742,731.878,-1207.5,-4873.75,-26.25,370.88,-138.32,-302.48
12252.0744,-644.221,-151.524,733.769,-1435.0,-5495.0,411.25,372.4,-126.16,-313.12
12252.1244,-642.208,-151.829,737.917,-1058.75,-5810.0,455.0,378.48,-141.36,-305.52
12252.1744,-635.925,-145.546,739.259,-1190.0,-5346.25,901.25,373.92,-132.24,-305.52
12252.2244,-638.304,-147.559,738.466,-1653.75,-4690.0,682.5,396.72,-135.28,-316.16
12252.2744,-639.768,-150.792,738.466,-1531.25,-4970.0,910.0,372.4,-141.36,-316.16
12252.3244,-639.036,-149.328,739.137,-1163.75,-4812.5,1198.75,376.96,-129.2,-307.04
12252.3744,-640.317,-147.803,735.416,-1225.0,-3701.25,1286.25,375.44,-133.76,-317.68
12252.4244,-648.979,-148.779,741.15,-1995.0,-5188.75,507.5,390.64,-145.92,-293.36
12252.4744,-637.145,-150.853,737.856,-358.75,-5416.25,1242.5,361.76,-141.36,-302.48
12252.5244,-638.243,-137.86,736.514,-1531.25,-4978.75,1723.75,383.04,-138.32,-313.12
12252.5744,-643.184,-139.995,743.895,-2310.0,-4777.5,1863.75,375.44,-132.24,-308.56
12252.6244,-638.365,-145.912,739.747,-2073.75,-4821.25,1233.75,378.48,-138.32,-308.56
12252.6744,-637.816,-145.851,736.087,-1225.0,-4033.75,341.25,367.84,-126.16,-296.4
12252.7244,-642.635,-142.862,735.721,-1338.75,-3946.25,-61.25,361.76,-138.32,-313.12
12252.7744,-646.722,-143.472,739.015,-1592.5,-5092.5,218.75,378.48,-129.2,-322.24
12252.8244,-642.208,-148.535,737.307,-1662.5,-5416.25,542.5,375.44,-150.48,-297.92
12252.8744,-639.158,-146.095,740.479,-1347.5,-5197.5,665.0,376.96,-127.68,-300.96
12252.9244,-639.646,-144.021,739.747,-1907.5,-4585.0,568.75,373.92,-127.68,-314.64
12252.9744,-638.67,-145.912,739.564,-2003.75,-4690.0,778.75,386.08,-136.8,-322.24
12253.0244,-640.256,-148.291,739.747,-1820.0,-4611.25,568.75,376.96,-132.24,-319.2
12253.0744,-643.489,-141.032,740.296,-761.25,-4681.25,953.75,396.72,-139.84,-314.64
12253.1244,-647.82,-144.448,740.723,-2738.75,-5521.25,-218.75,381.52,-136.8,-325.28
12253.1744,-633.302,-149.816,736.636,-315.0,-5075.0,717.5,390.64,-142.88,-296.4
12253.2244,-635.925,-137.982,739.991,-1085.0,-4873.75,1058.75,390.64,-124.64,-316.16
12253.2744,-645.685,-141.337,742.187,-2415.0,-5223.75,1435.0,357.2,-155.04,-308.56
12253.3244,-635.376,-145.729,735.782,-1872.5,-4488.75,901.25,372.4,-133.76,-302.48
12253.3744,-638.914,-144.265,738.588,-1321.25,-3946.25,367.5,366.32,-136.8,-313.12
12253.4244,-645.014,-146.339,739.015,-1890.0,-4637.5,-52.5,376.96,-139.84,-317.68
12253.4744,-644.282,-147.071,739.137,-1111.25,-5311.25,393.75,378.48,-130.72,-317.68
12253.5244,-636.535,-143.533,738.649,-1443.75,-5346.25,516.25,375.44,-121.6,-302.48
12253.5744,-637.45,-145.18,741.394,-1347.5,-4935.0,1006.25,390.64,-147.44,-299.44
12253.6244,-639.036,-141.764,740.052,-1618.75,-4340.0,630.0,378.48,-148.96,-308.56
12253.6744,-639.341,-145.363,739.442,-2056.25,-4366.25,446.25,384.56,-141.36,-307.04
12253.7244,-640.378,-147.62,738.71,-1785.0,-4480.0,262.5,372.4,-150.48,-307.04
12253.7744,-641.232,-143.533,735.233,-1207.5,-4296.25,796.25,383.04,-144.4,-299.44
12253.8244,-648.369,-152.683,743.834,-2056.25,-5547.5,35.0,378.48,-129.2,-313.12
12253.8744,-632.631,-150.609,737.612,-306.25,-5565.0,551.25,366.32,-136.8,-322.24
12253.9244,-635.742,-144.143,738.466,-1662.5,-4103.75,1032.5,383.04,-141.36,-314.64
12253.9744,-646.417,-144.082,744.627,-1688.75,-4523.75,1417.5,378.48,-142.88,-311.6
12254.0245,-636.108,-146.4,739.137,-1863.75,-4532.5,1321.25,376.96,-130.72,-304.0
12254.0744,-642.086,-144.631,736.819,-1111.25,-3692.5,1120.0,378.48,-144.4,-314.64
12254.1244,-645.99,-142.313,733.403,-1662.5,-3946.25,393.75,364.8,-155.04,-299.44
12254.1744,-647.149,-143.96,734.989,-1986.25,-4795.0,358.75,357.2,-135.28,-302.48
12254.2244,-641.72,-146.095,736.819,-1120.0,-5565.0,752.5,373.92,-133.76,-314.64
12254.2744,-643.794,-145.302,736.88,-1050.0,-5293.75,918.75,381.52,-132.24,-322.24
12254.3244,-641.964,-141.459,737.185,-1347.5,-4838.75,761.25,383.04,-141.36,-314.64
12254.3744,-640.195,-143.106,739.198,-1391.25,-4865.0,507.5,370.88,-136.8,-307.04
12254.4244,-640.988,-143.411,739.442,-1548.75,-4952.5,183.75,376.96,-138.32,-302.48
12254.4744,-647.881,-141.337,739.32,-717.5,-4777.5,630.0,376.96,-158.08,-316.16
12254.5244,-649.162,-141.276,742.065,-1951.25,-6063.75,140.0,372.4,-138.32,-316.16
12254.5744,-631.289,-140.239,737.734,-647.5,-5915.0,1093.75,396.72,-153.52,-313.12
12254.6244,-635.62,-135.542,741.455,-1916.25,-4480.0,1172.5,381.52,-130.72,-307.04
12254.6744,-642.391,-140.666,744.322,-2275.0,-4628.75,1093.75,375.44,-130.72,-313.12
12254.7244,-636.291,-143.045,739.93,-1443.75,-4217.5,236.25,386.08,-132.24,-305.52
12254.7744,-637.084,-144.143,739.137,-1233.75,-3692.5,105.0,355.68,-130.72,-320.72
12254.8244,-643.306,-140.971,739.076,-1671.25,-4077.5,-35.0,392.16,-124.64,-311.6
12254.8744,-641.964,-143.167,738.039,-1907.5,-4803.75,367.5,373.92,-135.28,-300.96
