TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4679.8028,1209.97,19140.72,8794.21,3753.71,-1.76,5056.52,-8470.73,10386.04
4679.8068,1227.05,19161.61,8845.47,3710.37,-196.22,5044.94,-8495.14,10384.51
4679.8108,1237.2,19174.48,8879.42,3664.54,-287.82,5048.94,-8525.99,10391.09
4679.8148,1231.58,19165.14,8853.1,3679.85,-154.07,5063.11,-8522.61,10396.48
4679.8188,1217.32,19147.21,8803.13,3737.16,28.61,5073.5,-8486.13,10402.16
4679.8228,1216.94,19147.16,8801.08,3756.38,4.34,5061.77,-8468.82,10392.14
4679.8268,1243.54,19176.2,8863.16,3720.62,-174.81,5062.77,-8481.93,10401.63
4679.8308,1253.41,19187.98,8892.44,3673.36,-274.99,5067.49,-8510.83,10408.07
4679.8348,1239.73,19171.29,8859.54,3689.91,-139.38,5077.08,-8507.25,10409.64
4679.8388,1224.33,19155.6,8810.19,3749.42,48.02,5082.04,-8472.54,10410.12
4679.8428,1235.34,19166.9,8820.77,3775.02,28.32,5085.33,-8447.36,10417.65
4679.8468,1264.24,19197.28,8883.38,3739.79,-158.55,5090.9,-8458.95,10432.1
4679.8508,1273.35,19207.72,8909.61,3696.49,-250.05,5100.06,-8486.37,10443.35
4679.8548,1254.32,19188.22,8872.65,3703.79,-125.93,5085.99,-8498.57,10418.7
4679.8588,1242.69,19174.48,8827.16,3761.01,52.83,5085.9,-8465.24,10413.31
4679.8628,1248.65,19181.16,8826.4,3790.9,40.05,5095.01,-8435.58,10427.86
4679.8668,1270.58,19204.48,8883.0,3754.66,-142.19,5092.34,-8452.13,10430.77
4679.8708,1279.16,19215.3,8916.47,3704.83,-245.0,5095.48,-8484.08,10436.01
4679.8748,1257.47,19194.27,8873.89,3711.65,-123.69,5101.35,-8487.18,10436.39
4679.8788,1240.11,19174.48,8823.73,3764.77,57.89,5090.43,-8461.52,10417.46
4679.8828,1245.69,19178.35,8822.92,3789.85,45.44,5086.47,-8440.3,10415.94
4679.8868,1275.3,19209.05,8887.15,3754.85,-144.1,5091.1,-8450.7,10430.58
4679.8908,1280.64,19218.02,8916.9,3707.36,-242.9,5094.34,-8482.93,10436.77
4679.8948,1255.04,19193.75,8869.94,3710.22,-121.55,5085.04,-8494.52,10418.08
4679.8988,1240.35,19173.34,8820.25,3763.63,54.6,5091.0,-8461.33,10417.99
4679.9028,1246.98,19178.63,8826.54,3788.76,40.25,5093.24,-8437.49,10424.42
4679.9068,1265.67,19201.47,8878.14,3748.27,-147.53,5082.46,-8457.14,10419.89
4679.9108,1272.82,19209.86,8905.08,3700.02,-250.58,5079.79,-8491.56,10420.28
4679.9148,1254.51,19190.98,8869.46,3704.98,-134.09,5081.56,-8498.81,10415.36
4679.9188,1231.72,19167.14,8812.24,3754.57,45.01,5080.51,-8473.59,10408.69
4679.9228,1238.49,19173.53,8814.62,3781.46,35.33,5080.84,-8451.42,10411.31
4679.9268,1257.47,19192.36,8864.45,3738.93,-159.12,5075.88,-8471.92,10415.17
4679.9307,1262.52,19197.61,8894.16,3687.19,-262.36,5082.18,-8504.58,10423.8
4679.9347,1239.25,19174.15,8858.87,3688.81,-143.86,5060.48,-8524.8,10392.0
4679.9387,1218.75,19152.07,8805.75,3742.55,34.62,5055.95,-8495.52,10383.65
4679.9427,1225.61,19158.17,8806.18,3768.73,15.83,5066.44,-8464.58,10399.01
4679.9467,1244.69,19179.87,8858.63,3729.77,-172.09,5064.06,-8481.03,10403.21
4679.9507,1254.13,19188.41,8892.2,3682.9,-268.17,5062.44,-8513.79,10404.54
4679.9547,1238.68,19172.81,8859.3,3693.91,-149.25,5068.02,-8516.84,10404.4
4679.9587,1212.88,19146.11,8795.74,3744.55,25.08,5065.01,-8491.56,10394.53
4679.9627,1219.08,19151.64,8801.08,3772.26,20.36,5070.73,-8463.19,10402.73
4679.9667,1242.69,19177.77,8859.92,3739.07,-162.36,5075.5,-8471.35,10415.79
4679.9707,1247.07,19185.02,8889.63,3681.99,-276.18,5064.39,-8514.36,10405.97
4679.9747,1227.05,19164.37,8844.62,3688.0,-155.5,5062.34,-8523.89,10397.1
4679.9787,1214.22,19148.07,8801.13,3749.28,35.67,5069.49,-8489.18,10399.87
4679.9827,1227.43,19158.79,8811.9,3777.93,23.56,5076.41,-8459.52,10409.98
4679.9867,1253.41,19187.41,8871.99,3743.6,-158.88,5080.27,-8473.06,10419.99
4679.9907,1269.53,19203.67,8911.04,3700.07,-252.29,5078.27,-8507.54,10421.18
4679.9946,1253.89,19189.26,8876.56,3711.18,-128.84,5081.13,-8508.78,10416.32
4679.9986,1234.1,19169.38,8821.15,3762.2,45.59,5084.47,-8476.45,10413.36
4680.0026,1250.03,19182.64,8832.03,3797.53,47.78,5092.38,-8446.74,10423.57
4680.0066,1272.73,19207.62,8888.2,3764.34,-133.71,5092.48,-8459.66,10431.67
4680.0106,1270.29,19208.2,8909.75,3706.55,-255.73,5086.76,-8496.76,10427.91
4680.0146,1238.63,19177.49,8859.35,3704.93,-148.2,5080.27,-8507.3,10415.75
4680.0186,1225.23,19158.41,8807.9,3763.68,45.54,5089.33,-8471.3,10418.8
4680.0226,1235.15,19164.99,8810.04,3790.81,36.0,5079.08,-8451.7,10410.69
4680.0266,1258.09,19189.55,8867.93,3752.47,-155.97,5083.23,-8466.82,10422.42
4680.0306,1263.28,19196.46,8899.21,3701.12,-262.83,5083.32,-8502.44,10425.66
4680.0346,1248.17,19180.73,8865.88,3712.51,-135.33,5081.8,-8508.02,10415.56
4680.0386,1233.53,19165.95,8817.24,3769.11,45.73,5084.23,-8475.11,10411.84
4680.0426,1234.01,19166.66,8813.05,3790.47,31.14,5079.41,-8452.37,10412.12
4680.0466,1254.22,19190.12,8865.5,3752.09,-153.16,5076.46,-8467.15,10417.7
4680.0506,1259.76,19197.99,8893.44,3705.03,-258.45,5078.7,-8500.2,10420.71
4680.0546,1245.69,19181.06,8860.64,3708.89,-145.01,5082.99,-8504.3,10419.42
