TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
619952.5375,-1502.8,7442.38,14134.22,5384.4,-1684.28,3771.45,-19131.04,3822.71
619952.5415,-1489.59,7461.26,14171.7,5386.64,-1667.64,3846.74,-19001.06,3899.53
619952.5455,-1490.59,7459.69,14174.75,5382.44,-1704.79,3838.49,-18975.83,3892.28
619952.5495,-1487.06,7462.88,14209.65,5258.99,-1944.78,3791.81,-19078.73,3850.27
619952.5535,-1506.57,7440.47,14172.46,5247.78,-1877.02,3733.4,-19193.37,3789.04
619952.5575,-1497.6,7447.53,14139.32,5390.79,-1677.08,3785.9,-19113.73,3836.82
619952.5615,-1485.4,7464.7,14168.65,5394.27,-1657.34,3849.84,-18992.24,3901.43
619952.5655,-1491.4,7459.69,14170.84,5374.77,-1715.76,3840.92,-18977.84,3895.33
619952.5695,-1490.16,7461.93,14211.08,5247.31,-1952.84,3795.43,-19087.03,3854.04
619952.5735,-1511.1,7438.09,14168.45,5240.73,-1871.49,3743.12,-19197.61,3798.39
619952.5775,-1496.32,7450.92,14140.61,5390.17,-1672.36,3790.9,-19114.78,3841.83
619952.5815,-1484.73,7466.7,14176.75,5385.07,-1670.46,3851.13,-18996.62,3903.68
619952.5855,-1493.69,7456.45,14169.98,5376.39,-1712.18,3830.86,-18982.6,3885.22
619952.5895,-1498.08,7453.16,14202.64,5245.07,-1960.75,3774.98,-19093.47,3835.39
619952.5935,-1515.15,7431.17,14162.02,5238.39,-1882.84,3732.25,-19198.71,3789.57
619952.5975,-1497.32,7448.77,14136.98,5388.31,-1678.66,3783.89,-19113.02,3835.82
619952.6014,-1478.48,7473.28,14177.04,5393.36,-1661.49,3855.28,-18985.56,3908.21
619952.6054,-1493.36,7460.02,14162.21,5380.63,-1708.32,3832.48,-18977.02,3886.27
619952.6094,-1500.08,7453.16,14193.2,5237.91,-1969.91,3771.21,-19094.99,3830.96
619952.6134,-1514.72,7434.7,14156.72,5233.62,-1886.37,3716.61,-19212.44,3772.21
619952.6174,-1493.41,7452.3,14131.98,5390.02,-1679.23,3765.49,-19133.43,3816.46
619952.6214,-1484.06,7467.51,14168.03,5382.35,-1677.61,3829.34,-19015.7,3881.6
619952.6254,-1491.88,7460.88,14163.35,5370.81,-1720.24,3811.17,-18999.77,3865.19
619952.6294,-1485.44,7467.32,14210.13,5249.55,-1956.94,3766.68,-19100.86,3826.86
619952.6334,-1498.84,7447.86,14179.71,5245.92,-1870.01,3730.82,-19206.43,3786.18
619952.6374,-1474.71,7471.99,14159.59,5401.47,-1660.73,3799.25,-19109.63,3852.18
619952.6414,-1457.12,7496.74,14200.12,5407.91,-1635.65,3886.56,-18973.07,3939.58
619952.6454,-1458.5,7494.26,14202.83,5410.24,-1663.59,3881.98,-18948.27,3935.96
619952.6494,-1464.8,7485.96,14238.65,5270.29,-1933.1,3808.17,-19066.05,3866.58
619952.6534,-1487.54,7460.4,14198.5,5255.51,-1859.38,3760.96,-19176.77,3816.94
619952.6574,-1471.57,7473.28,14166.6,5410.96,-1646.28,3816.08,-19092.66,3867.2
619952.6614,-1459.6,7491.06,14196.83,5413.2,-1639.22,3871.39,-18975.55,3923.27
619952.6654,-1469.47,7482.53,14188.1,5393.41,-1693.44,3857.47,-18963.39,3911.92
619952.6694,-1473.47,7478.76,14219.24,5262.57,-1937.1,3798.15,-19077.73,3855.42
619952.6734,-1488.16,7458.93,14184.81,5254.98,-1862.14,3743.84,-19192.75,3797.1
619952.6774,-1471.33,7473.04,14154.44,5407.24,-1660.3,3795.05,-19109.97,3846.55
619952.6814,-1464.27,7487.49,14182.14,5407.81,-1647.42,3862.24,-18985.37,3915.22
619952.6854,-1481.96,7469.94,14173.13,5389.83,-1697.92,3839.16,-18976.79,3892.66
619952.6894,-1495.7,7456.83,14198.73,5248.17,-1959.66,3770.45,-19096.66,3827.33
619952.6934,-1521.21,7427.6,14157.44,5226.18,-1898.91,3718.76,-19213.77,3772.45
619952.6974,-1501.37,7445.0,14129.83,5382.3,-1684.24,3768.59,-19130.8,3818.94
619952.7014,-1490.93,7461.45,14158.44,5388.64,-1668.88,3831.82,-19005.4,3883.84
619952.7054,-1507.14,7447.29,14143.99,5372.43,-1722.38,3816.03,-18989.85,3868.48
619952.7094,-1509.38,7444.53,14179.9,5241.68,-1973.01,3751.18,-19104.63,3806.78
619952.7134,-1512.62,7437.42,14158.3,5240.15,-1890.28,3707.08,-19213.15,3761.48
619952.7174,-1490.21,7455.54,14133.79,5399.85,-1674.6,3764.96,-19126.99,3816.75
619952.7214,-1471.14,7480.38,14174.94,5401.09,-1662.68,3842.74,-19000.87,3895.14
619952.7254,-1479.01,7472.71,14172.36,5385.83,-1700.45,3831.67,-18983.08,3886.08
619952.7293,-1471.71,7479.81,14216.0,5265.14,-1936.96,3784.08,-19084.27,3843.16
619952.7333,-1484.3,7463.03,14193.3,5255.51,-1866.87,3748.37,-19186.83,3803.25
619952.7373,-1471.71,7474.57,14164.74,5411.05,-1653.24,3802.68,-19099.19,3855.23
619952.7413,-1447.15,7504.65,14209.46,5428.51,-1622.49,3884.22,-18958.86,3937.82
619952.7453,-1446.82,7505.56,14213.37,5421.78,-1660.39,3880.12,-18930.96,3935.48
619952.7493,-1447.39,7505.61,14248.33,5291.94,-1908.11,3825.76,-19044.69,3884.94
619952.7533,-1467.66,7480.53,14209.37,5273.2,-1846.41,3763.39,-19169.62,3818.46
619952.7573,-1459.17,7487.06,14172.51,5418.97,-1640.89,3803.59,-19095.8,3855.09
619952.7613,-1446.58,7504.99,14204.55,5421.83,-1636.89,3870.15,-18973.26,3922.03
619952.7653,-1456.83,7494.98,14204.27,5398.61,-1693.06,3845.07,-18966.77,3897.0
619952.7693,-1474.19,7478.67,14225.53,5260.71,-1943.11,3777.79,-19087.17,3835.11
619952.7733,-1507.57,7442.52,14174.8,5231.76,-1895.05,3717.95,-19210.58,3772.02
619952.7773,-1493.41,7454.11,14140.37,5383.16,-1687.48,3768.68,-19131.42,3818.99
619952.7813,-1480.91,7471.99,14170.12,5387.5,-1668.79,3838.35,-19004.97,3889.18
619952.7853,-1496.98,7455.06,14155.39,5375.67,-1709.99,3818.04,-18988.09,3871.54
619952.7893,-1506.28,7444.95,14183.67,5241.11,-1973.34,3754.76,-19099.52,3813.12
