TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
619952.5957,514.962,-12.993,881.633,-2108.75,-5748.75,-175.0,-48.64,-235.6,-264.48
619952.6457,516.792,-14.579,886.269,-1295.0,-4847.5,568.75,-48.64,-234.08,-234.08
619952.6957,510.57,-11.468,884.988,-1233.75,-4830.0,603.75,-56.24,-231.04,-253.84
619952.7457,509.533,-8.235,886.33,-1295.0,-5328.75,796.25,-69.92,-234.08,-252.32
619952.7957,514.657,-11.59,886.452,-1697.5,-6081.25,280.0,-45.6,-232.56,-258.4
619952.8457,516.914,-14.091,883.829,-1618.75,-5363.75,376.25,-60.8,-218.88,-243.2
619952.8957,516.487,-10.431,880.779,-1207.5,-5180.0,568.75,-57.76,-235.6,-247.76
619952.9457,524.722,-19.642,888.038,-1645.0,-4760.0,997.5,-72.96,-221.92,-250.8
619952.9957,516.548,-10.736,885.476,-166.25,-3745.0,376.25,-56.24,-221.92,-259.92
619953.0457,508.13,-12.383,881.267,-2143.75,-4716.25,323.75,-62.32,-231.04,-238.64
619953.0957,513.498,-14.945,883.585,-1802.5,-5678.75,1391.25,-48.64,-224.96,-249.28
619953.1457,517.402,-9.882,889.197,-2187.5,-5092.5,1680.0,-51.68,-221.92,-258.4
619953.1957,512.522,-19.215,884.805,-1347.5,-4637.5,1050.0,-54.72,-220.4,-240.16
619953.2457,509.533,-11.407,883.585,-1085.0,-5591.25,910.0,-63.84,-237.12,-249.28
619953.2957,519.11,-16.287,882.853,-1365.0,-5276.25,997.5,-68.4,-228.0,-262.96
619953.3457,516.975,-17.263,882.182,-1111.25,-4970.0,1198.75,-30.4,-223.44,-247.76
619953.3957,516.792,-16.836,882.853,-1163.75,-4532.5,367.5,-60.8,-221.92,-255.36
619953.4457,511.607,-13.603,881.389,-1592.5,-4646.25,-96.25,-47.12,-228.0,-255.36
619953.4957,511.912,-16.043,883.097,-1417.5,-5827.5,726.25,-69.92,-235.6,-247.76
619953.5457,522.282,-12.2,884.439,-1032.5,-4366.25,280.0,-56.24,-229.52,-250.8
619953.5957,513.315,-13.786,881.267,-1093.75,-4637.5,35.0,-47.12,-224.96,-258.4
619953.6457,512.888,-7.93,883.524,-1706.25,-5346.25,-210.0,-56.24,-229.52,-252.32
619953.6957,517.768,-18.117,892.003,-962.5,-3298.75,-525.0,-51.68,-238.64,-253.84
619953.7457,499.651,-9.333,885.11,-1855.0,-4287.5,551.25,-36.48,-234.08,-252.32
619953.7957,503.738,-12.749,884.195,-2082.5,-5705.0,1373.75,-51.68,-228.0,-249.28
619953.8457,520.635,-16.104,891.454,-1216.25,-4996.25,1058.75,-63.84,-231.04,-238.64
619953.8957,511.058,-12.749,885.781,-2065.0,-4733.75,577.5,-57.76,-215.84,-250.8
619953.9457,510.448,-8.845,887.062,-1321.25,-6195.0,157.5,-60.8,-237.12,-250.8
619953.9957,516.06,-16.043,882.731,-1417.5,-6273.75,525.0,-44.08,-234.08,-243.2
619954.0457,516.121,-15.738,882.609,-1338.75,-5801.25,848.75,-53.2,-241.68,-253.84
619954.0957,519.598,-13.847,883.585,-1295.0,-5136.25,682.5,-56.24,-240.16,-259.92
619954.1457,516.548,-12.81,881.633,-1671.25,-5197.5,402.5,-62.32,-235.6,-240.16
619954.1957,518.439,-15.677,883.036,-1365.0,-5880.0,35.0,-71.44,-229.52,-237.12
619954.2457,521.001,-11.712,882.853,-1268.75,-4760.0,-70.0,-71.44,-223.44,-244.72
619954.2957,517.219,-12.932,881.023,-1671.25,-5232.5,-113.75,-51.68,-228.0,-249.28
619954.3457,520.025,-10.37,884.378,-2187.5,-4847.5,341.25,-38.0,-240.16,-247.76
619954.3957,525.088,-22.448,889.746,-1058.75,-3578.75,201.25,-56.24,-231.04,-240.16
619954.4457,504.531,-8.113,883.158,-1890.0,-3500.0,367.5,-34.96,-226.48,-244.72
619954.4958,508.313,-15.006,884.195,-1618.75,-5442.5,743.75,-44.08,-221.92,-250.8
619954.5457,520.879,-15.067,886.208,-1706.25,-4663.75,393.75,-56.24,-234.08,-238.64
619954.5957,508.496,-15.25,886.818,-1417.5,-4016.25,-61.25,-48.64,-211.28,-247.76
