TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
620165.4627,146.34,10033.89,13953.97,6063.84,-388.96,4784.68,-17206.19,5654.53
620165.4667,146.44,10033.99,13987.11,5957.94,-643.11,4742.24,-17298.8,5617.67
620165.4707,135.09,10017.54,13961.6,5945.02,-566.24,4703.9,-17397.36,5575.47
620165.4747,146.15,10026.74,13931.99,6073.43,-347.09,4740.81,-17331.17,5607.46
620165.4787,158.6,10046.44,13970.66,6081.53,-343.99,4802.9,-17217.73,5669.88
620165.4827,146.2,10035.61,13959.79,6068.18,-383.62,4788.59,-17205.57,5657.86
620165.4867,144.91,10033.99,13988.97,5964.57,-640.92,4734.37,-17306.28,5609.13
620165.4907,129.65,10015.49,13958.88,5937.1,-589.47,4681.25,-17417.96,5552.39
620165.4947,143.0,10026.36,13929.32,6068.9,-358.44,4713.58,-17356.97,5581.81
620165.4987,163.41,10051.92,13969.14,6083.87,-345.18,4784.87,-17235.38,5653.67
620165.5027,160.98,10047.72,13971.04,6074.72,-382.85,4779.58,-17214.2,5649.14
620165.5067,158.79,10047.91,14005.95,5966.95,-640.96,4736.71,-17306.14,5611.61
620165.5107,135.18,10020.3,13965.51,5939.87,-575.64,4684.73,-17418.15,5556.97
620165.5147,139.76,10024.69,13925.84,6070.33,-353.53,4717.4,-17356.11,5584.81
620165.5187,153.92,10044.43,13962.7,6072.52,-359.39,4785.82,-17238.0,5654.67
620165.5227,138.57,10027.03,13948.54,6059.55,-392.25,4771.47,-17220.4,5640.65
620165.5266,129.94,10018.4,13972.43,5950.59,-653.36,4722.17,-17311.91,5596.54
620165.5306,112.25,9996.61,13937.76,5926.8,-595.19,4681.3,-17415.81,5552.91
620165.5346,126.65,10009.19,13900.19,6062.79,-359.73,4725.41,-17347.53,5593.01
620165.5386,140.91,10029.22,13934.18,6072.33,-351.95,4780.44,-17234.14,5649.0
620165.5426,129.37,10017.68,13928.7,6058.17,-397.49,4757.12,-17222.79,5626.68
620165.5466,126.74,10015.06,13965.51,5948.69,-663.38,4710.25,-17316.01,5584.24
620165.5506,110.05,9994.84,13934.57,5920.55,-603.53,4667.47,-17419.96,5538.65
620165.5546,119.02,10001.33,13895.08,6050.25,-368.02,4704.95,-17358.73,5573.08
620165.5586,128.79,10016.49,13926.22,6053.83,-372.84,4768.8,-17248.35,5635.79
620165.5626,117.54,10006.19,13927.6,6036.76,-412.04,4752.35,-17236.14,5622.24
620165.5666,115.54,10003.23,13961.41,5933.0,-666.43,4704.09,-17327.84,5579.04
620165.5706,101.52,9984.92,13935.04,5906.06,-615.12,4656.03,-17433.03,5527.16
620165.5746,115.2,9997.18,13908.82,6038.24,-384.04,4695.23,-17369.94,5562.69
620165.5786,129.46,10017.35,13945.68,6051.97,-368.5,4770.47,-17246.87,5638.74
620165.5826,126.27,10011.86,13947.54,6043.63,-401.35,4765.65,-17221.02,5634.64
620165.5866,124.12,10011.05,13980.29,5940.2,-661.56,4721.12,-17311.19,5595.92
620165.5906,102.14,9984.78,13947.39,5908.73,-614.26,4665.61,-17427.45,5537.37
620165.5946,96.94,9978.01,13895.61,6032.61,-390.1,4687.45,-17378.28,5553.68
620165.5986,109.24,9995.41,13926.7,6046.25,-381.23,4751.59,-17259.55,5618.86
620165.6026,106.72,9993.13,13926.56,6034.18,-417.57,4752.54,-17231.08,5622.34
620165.6066,112.58,9999.94,13961.89,5942.54,-656.41,4713.06,-17313.2,5587.72
620165.6106,95.13,9977.25,13935.95,5916.5,-605.2,4669.33,-17416.67,5541.18
620165.6146,101.23,9981.68,13899.38,6042.39,-382.8,4705.38,-17360.83,5573.32
620165.6186,116.87,10003.28,13934.04,6056.69,-369.74,4775.43,-17243.48,5644.7
620165.6226,112.25,9998.04,13933.37,6050.06,-398.68,4769.56,-17219.07,5640.98
620165.6266,104.43,9991.07,13952.97,5944.16,-661.71,4720.74,-17311.38,5596.11
620165.6306,91.12,9974.15,13927.37,5911.78,-617.69,4675.77,-17416.24,5547.29
620165.6346,104.9,9986.4,13890.79,6049.97,-378.37,4704.19,-17357.07,5570.84
