TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
620165.4957,529.602,36.783,873.886,-1163.75,-6300.0,-87.5,-47.12,-240.16,-237.12
620165.5457,534.238,30.378,873.093,-1496.25,-5425.0,157.5,-53.2,-240.16,-234.08
620165.5957,527.894,28.182,874.679,-1233.75,-4418.75,43.75,-47.12,-243.2,-232.56
620165.6457,524.844,32.94,876.509,-1093.75,-4558.75,0.0,-63.84,-241.68,-247.76
620165.6957,525.881,37.454,876.692,-1470.0,-5337.5,-551.25,-62.32,-243.2,-232.56
620165.7457,533.445,33.794,876.692,-1776.25,-5862.5,-586.25,-54.72,-226.48,-228.0
620165.7957,535.092,32.33,874.801,-1671.25,-5530.0,17.5,-60.8,-234.08,-237.12
620165.8457,531.615,31.171,873.52,-665.0,-5810.0,647.5,-54.72,-240.16,-235.6
620165.8957,534.604,43.188,869.494,-1102.5,-4821.25,595.0,-62.32,-238.64,-250.8
620165.9457,537.532,28.609,876.57,-1907.5,-4576.25,498.75,-71.44,-250.8,-247.76
620165.9957,527.467,39.833,875.167,-1715.0,-3701.25,8.75,-38.0,-229.52,-231.04
620166.0457,521.001,32.33,873.764,-2196.25,-4471.25,96.25,-50.16,-247.76,-253.84
620166.0957,528.809,31.415,876.021,-1828.75,-5880.0,1102.5,-45.6,-234.08,-250.8
620166.1457,532.286,30.256,876.265,-1163.75,-4830.0,708.75,-63.84,-244.72,-244.72
620166.1957,522.587,33.489,875.655,-1146.25,-5040.0,507.5,-39.52,-232.56,-249.28
620166.2457,524.478,36.783,874.618,-1653.75,-6527.5,131.25,-54.72,-243.2,-238.64
620166.2957,532.225,31.659,874.618,-1890.0,-6343.75,-166.25,-45.6,-229.52,-229.52
620166.3457,535.641,29.28,875.167,-1251.25,-5617.5,708.75,-66.88,-247.76,-224.96
620166.3957,531.859,37.027,870.409,-1163.75,-5477.5,577.5,-60.8,-234.08,-229.52
620166.4457,534.421,35.502,869.921,-1645.0,-5687.5,840.0,-69.92,-246.24,-247.76
620166.4957,533.201,31.171,870.592,-1715.0,-5661.25,498.75,-38.0,-237.12,-250.8
620166.5459,536.678,30.805,871.141,-1321.25,-5687.5,148.75,-65.36,-252.32,-243.2
620166.5957,536.8,32.452,871.812,-1426.25,-5232.5,498.75,-59.28,-234.08,-238.64
620166.6457,532.53,33.55,870.836,-1846.25,-4541.25,341.25,-69.92,-226.48,-250.8
620166.6957,533.445,32.94,872.544,-1828.75,-4497.5,778.75,-45.6,-252.32,-243.2
620166.7457,542.107,24.339,875.716,-1233.75,-4418.75,761.25,-57.76,-247.76,-247.76
620166.7957,524.905,40.26,873.032,-1680.0,-4130.0,402.5,-59.28,-255.36,-240.16
620166.8457,526.796,28.548,870.592,-1881.25,-4698.75,332.5,-65.36,-241.68,-246.24
620166.8957,534.787,29.707,874.618,-1697.5,-5293.75,892.5,-48.64,-256.88,-237.12
620166.9457,534.238,30.744,876.204,-1505.0,-4427.5,1120.0,-56.24,-237.12,-244.72
620166.9957,526.796,32.635,873.703,-1251.25,-5398.75,507.5,-59.28,-237.12,-238.64
620167.0457,527.345,34.648,874.679,-1680.0,-6160.0,341.25,-45.6,-244.72,-237.12
620167.0957,535.153,31.903,872.361,-1846.25,-5775.0,271.25,-74.48,-223.44,-231.04
620167.1457,532.652,31.354,872.605,-988.75,-5302.5,595.0,-65.36,-246.24,-249.28
620167.1957,533.506,35.319,872.422,-1242.5,-5031.25,1225.0,-59.28,-256.88,-231.04
620167.2457,531.31,33.306,871.019,-1671.25,-5521.25,770.0,-48.64,-250.8,-243.2
620167.2957,533.323,30.134,869.921,-1443.75,-5705.0,332.5,-45.6,-244.72,-228.0
620167.3457,536.556,32.025,871.08,-1356.25,-5372.5,113.75,-59.28,-238.64,-229.52
620167.3957,537.715,34.831,870.653,-1610.0,-4856.25,367.5,-47.12,-249.28,-252.32
620167.4457,532.591,32.147,871.446,-1680.0,-5153.75,752.5,-48.64,-240.16,-238.64
620167.4957,538.508,32.513,873.276,-1793.75,-5197.5,866.25,-62.32,-241.68,-246.24
620167.5457,535.031,37.698,875.411,-385.0,-3920.0,-341.25,-59.28,-228.0,-229.52
620167.5957,525.271,38.308,870.836,-1977.5,-4506.25,122.5,-57.76,-238.64,-247.76
620167.6457,532.713,29.768,873.154,-1505.0,-5320.0,1671.25,-51.68,-250.8,-238.64
620167.6957,532.957,28.426,872.3,-542.5,-3981.25,1750.0,-60.8,-232.56,-241.68
620167.7457,529.48,35.075,875.411,-1190.0,-4733.75,332.5,-65.36,-240.16,-228.0
