TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
620435.7457,481.473,31.781,900.726,-1487.5,-4943.75,1767.5,-44.08,-229.52,-250.8
620435.7957,483.12,35.441,898.713,-2126.25,-4970.0,1610.0,-60.8,-246.24,-238.64
620435.8457,488.793,27.877,905.972,-1120.0,-3412.5,595.0,-50.16,-237.12,-228.0
620435.8957,463.478,31.476,895.907,-2467.5,-3351.25,1242.5,-44.08,-252.32,-249.28
620435.9457,474.763,25.437,900.421,-2056.25,-5232.5,2231.25,-48.64,-241.68,-252.32
620435.9957,484.889,27.084,905.301,-1260.0,-3701.25,2773.75,-41.04,-235.6,-244.72
620436.0457,473.787,23.729,907.314,-1268.75,-3263.75,2537.5,-50.16,-244.72,-259.92
620436.0957,472.384,25.986,901.275,-358.75,-3998.75,2546.25,-57.76,-238.64,-235.6
620436.1457,475.251,30.561,905.972,-1566.25,-4042.5,2117.5,-41.04,-247.76,-241.68
620436.1957,474.031,26.108,906.399,-1960.0,-4261.25,2327.5,-50.16,-244.72,-243.2
620436.2457,472.384,22.997,906.033,-1260.0,-5486.25,1662.5,-50.16,-235.6,-231.04
620436.2957,475.434,25.071,899.811,-1960.0,-5031.25,1032.5,-47.12,-231.04,-234.08
620436.3457,475.556,20.435,901.458,-1592.5,-4357.5,367.5,-44.08,-240.16,-246.24
620436.3957,481.168,8.845,909.205,-805.0,-3552.5,140.0,-47.12,-226.48,-244.72
620436.4459,472.079,27.694,910.059,-1120.0,-3115.0,175.0,-48.64,-240.16,-244.72
620436.4957,457.5,20.801,900.787,-2117.5,-4751.25,8.75,-56.24,-229.52,-249.28
620436.5458,474.885,20.008,911.096,-1216.25,-5425.0,-122.5,-62.32,-237.12,-229.52
620436.5957,473.299,22.692,909.205,-1767.5,-4830.0,-525.0,-60.8,-241.68,-241.68
620436.6457,464.637,25.437,904.874,-2178.75,-5591.25,-708.75,-50.16,-244.72,-238.64
620436.6957,469.761,19.276,903.044,-1820.0,-6238.75,-507.5,-48.64,-232.56,-250.8
620436.7457,477.813,25.193,904.508,-1277.5,-5661.25,-612.5,-50.16,-258.4,-231.04
