TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
620895.533,1100.25,14611.34,11445.76,5942.77,771.76,5104.49,-13575.75,8113.91
620895.537,1115.75,14627.17,11501.74,5858.14,446.46,5084.09,-13629.34,8101.27
620895.541,1113.08,14623.12,11509.9,5805.64,418.85,5060.96,-13707.02,8078.39
620895.545,1117.99,14627.65,11479.86,5879.31,677.78,5094.15,-13669.78,8105.71
620895.549,1126.15,14638.43,11473.32,5945.25,836.56,5145.22,-13569.6,8156.35
620895.553,1132.06,14643.48,11472.04,5974.63,813.68,5148.7,-13532.12,8160.97
620895.557,1154.9,14667.04,11532.98,5904.34,502.3,5135.3,-13581.66,8153.49
620895.561,1149.08,14659.93,11536.55,5840.92,455.9,5105.45,-13668.54,8123.73
620895.565,1141.21,14649.06,11494.21,5898.81,698.71,5123.04,-13646.08,8135.65
620895.569,1135.11,14645.63,11472.7,5957.84,852.97,5170.49,-13554.81,8180.29
620895.573,1131.58,14642.43,11463.55,5975.68,814.91,5160.28,-13530.11,8171.7
620895.577,1146.27,14657.88,11519.24,5889.85,481.27,5131.39,-13592.58,8151.25
620895.581,1133.73,14643.77,11521.44,5822.42,435.64,5092.67,-13688.33,8112.0
620895.585,1124.29,14632.7,11479.81,5881.17,682.02,5102.3,-13674.5,8114.15
620895.589,1129.72,14639.14,11473.94,5941.73,832.22,5148.08,-13582.33,8157.06
620895.593,1131.25,14639.81,11469.94,5967.52,807.33,5143.07,-13551.9,8154.77
620895.5969,1140.55,14652.49,11519.2,5884.93,484.42,5115.94,-13608.98,8135.22
620895.6009,1133.49,14643.58,11524.82,5822.9,435.78,5085.9,-13694.81,8105.14
620895.6049,1124.29,14631.85,11483.34,5879.36,672.05,5090.48,-13676.26,8103.04
620895.6089,1113.41,14623.41,11457.92,5931.33,819.49,5125.05,-13583.8,8135.46
620895.6129,1115.13,14626.08,11454.15,5962.42,806.71,5127.86,-13545.47,8139.04
620895.6169,1136.3,14647.91,11518.86,5884.55,475.03,5115.13,-13595.44,8134.18
620895.6209,1133.73,14643.0,11527.49,5822.71,433.4,5088.71,-13681.03,8107.9
620895.6249,1134.2,14643.48,11491.25,5890.61,690.75,5106.64,-13657.86,8118.77
620895.6289,1141.5,14652.64,11485.29,5952.88,840.9,5146.79,-13563.92,8156.06
620895.6329,1138.88,14649.68,11477.76,5978.16,817.68,5145.26,-13533.21,8156.3
620895.6369,1149.85,14660.46,11528.97,5897.81,492.19,5124.24,-13587.14,8142.81
620895.6409,1138.5,14646.01,11527.73,5830.05,439.6,5091.62,-13679.08,8109.81
620895.6449,1128.96,14635.52,11486.34,5887.41,676.82,5100.87,-13664.49,8113.58
620895.6489,1128.34,14638.62,11473.8,5944.35,832.13,5143.21,-13572.27,8155.35
620895.6529,1126.67,14635.47,11465.5,5967.52,815.11,5143.4,-13538.31,8156.21
620895.6569,1137.3,14646.63,11514.57,5884.27,484.13,5119.9,-13595.06,8141.28
620895.6609,1127.05,14636.9,11519.81,5811.41,414.9,5088.43,-13687.14,8109.67
620895.6649,1121.81,14629.32,11479.9,5873.97,667.48,5102.64,-13668.78,8116.58
