TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
620895.5957,440.725,-1.83,925.553,-1286.25,-5267.5,805.0,-25.84,-224.96,-244.72
620895.6457,441.762,-1.098,921.771,-1076.25,-5888.75,682.5,-42.56,-217.36,-261.44
620895.6957,445.178,1.159,921.649,-1890.0,-6125.0,481.25,-39.52,-223.44,-262.96
620895.7457,451.156,-3.599,925.004,-446.25,-3928.75,-385.0,-30.4,-226.48,-261.44
620895.7957,434.503,-3.05,917.196,-2493.75,-4480.0,822.5,-39.52,-228.0,-253.84
620895.8457,441.701,-8.113,920.917,-1557.5,-5372.5,1548.75,-28.88,-228.0,-264.48
620895.8957,440.908,-4.331,925.248,-1312.5,-4515.0,708.75,-27.36,-221.92,-241.68
620895.9457,435.418,-3.538,923.357,-1583.75,-5040.0,-70.0,-34.96,-221.92,-241.68
620895.9957,441.213,-0.671,921.039,-1855.0,-5617.5,-455.0,-33.44,-240.16,-247.76
620896.0457,441.64,-3.477,923.296,-1303.75,-4725.0,-227.5,-25.84,-221.92,-256.88
620896.0957,440.481,-0.061,919.453,-1260.0,-4891.25,323.75,-31.92,-235.6,-249.28
620896.1457,439.505,-0.549,920.185,-1723.75,-5390.0,945.0,-31.92,-212.8,-247.76
620896.1957,444.08,-2.074,920.185,-1417.5,-5057.5,533.75,-25.84,-232.56,-259.92
620896.2457,442.921,0.427,918.233,-1802.5,-4725.0,420.0,-22.8,-228.0,-256.88
620896.2957,440.542,-1.098,919.88,-1557.5,-4375.0,525.0,-31.92,-240.16,-237.12
620896.3457,443.104,-4.331,922.32,-1671.25,-4471.25,1032.5,-33.44,-229.52,-255.36
620896.3957,446.581,-7.625,924.028,-2187.5,-4296.25,883.75,-22.8,-223.44,-250.8
620896.4457,433.893,6.344,921.832,-1365.0,-3718.75,105.0,-33.44,-223.44,-258.4
620896.4957,429.135,-1.342,921.893,-2546.25,-3911.25,393.75,-31.92,-229.52,-250.8
620896.5457,436.76,-9.821,923.723,-1697.5,-4996.25,1172.5,-38.0,-235.6,-246.24
620896.5957,437.248,-4.575,927.871,-971.25,-5057.5,813.75,-38.0,-221.92,-253.84
620896.6457,434.076,-7.808,923.479,-1505.0,-5591.25,175.0,-38.0,-226.48,-259.92
620896.6957,437.553,-2.928,920.917,-1898.75,-5976.25,-253.75,-30.4,-231.04,-261.44
620896.7457,441.274,-6.954,924.272,-1032.5,-5416.25,-175.0,-45.6,-231.04,-244.72
620896.7957,438.468,-2.989,927.871,-1163.75,-5722.5,700.0,-30.4,-228.0,-247.76
620896.8457,440.542,0.122,920.917,-1601.25,-5836.25,1067.5,-38.0,-224.96,-249.28
620896.8959,443.47,-1.952,917.745,-1575.0,-5433.75,525.0,-36.48,-217.36,-272.08
620896.9457,442.006,-1.769,922.259,-1505.0,-4943.75,78.75,-42.56,-231.04,-259.92
620896.9958,440.908,-1.098,920.002,-1365.0,-4760.0,332.5,-41.04,-226.48,-249.28
620897.0457,438.529,-6.649,925.187,-1767.5,-4698.75,656.25,-39.52,-228.0,-246.24
620897.0957,443.653,-2.379,920.612,-2178.75,-5092.5,1286.25,-33.44,-232.56,-249.28
620897.1457,444.812,-8.113,927.261,-525.0,-3771.25,-183.75,-16.72,-229.52,-255.36
620897.1957,434.198,4.392,922.564,-2773.75,-4550.0,393.75,-34.96,-231.04,-246.24
620897.2457,434.137,-8.967,919.209,-1890.0,-5302.5,1111.25,-42.56,-209.76,-250.8
620897.2957,441.396,-5.124,924.333,-971.25,-4908.75,1198.75,-48.64,-218.88,-261.44
620897.3457,436.699,-4.819,919.514,-1583.75,-5425.0,962.5,-33.44,-224.96,-246.24
620897.3957,437.98,-2.257,921.954,-1347.5,-5591.25,-131.25,-30.4,-226.48,-255.36
620897.4457,442.555,-8.296,919.941,-1618.75,-5267.5,-157.5,-21.28,-221.92,-249.28
620897.4957,439.688,-4.514,921.649,-1233.75,-4838.75,603.75,-39.52,-223.44,-259.92
620897.5457,440.42,-2.013,924.15,-1566.25,-5136.25,1006.25,-39.52,-212.8,-250.8
620897.5957,440.237,-5.49,921.771,-1785.0,-4751.25,988.75,-28.88,-217.36,-252.32
620897.6457,441.823,-6.771,921.771,-1400.0,-4891.25,227.5,-44.08,-231.04,-258.4
620897.6957,442.128,-3.965,923.479,-1163.75,-5153.75,-122.5,-47.12,-217.36,-237.12
620897.7457,441.64,0.671,922.32,-1977.5,-4366.25,-148.75,-48.64,-229.52,-249.28
620897.7957,438.834,-7.259,922.93,-1181.25,-5005.0,437.5,-36.48,-238.64,-234.08
620897.8457,446.825,-7.015,926.59,-2003.75,-5153.75,1067.5,-34.96,-223.44,-258.4
620897.8957,443.104,-3.416,926.834,-271.25,-3850.0,-201.25,-31.92,-238.64,-250.8
620897.9457,426.817,-2.928,918.843,-2380.0,-4768.75,787.5,-34.96,-215.84,-258.4
620897.9957,442.006,-9.089,924.821,-1872.5,-5591.25,953.75,-31.92,-244.72,-250.8
620898.0457,441.396,-6.954,924.943,-1268.75,-5188.75,1137.5,-24.32,-212.8,-253.84
620898.0957,439.017,-8.479,921.71,-1531.25,-5853.75,551.25,-36.48,-240.16,-264.48
620898.1457,442.128,-3.904,922.625,-1732.5,-5547.5,236.25,-30.4,-215.84,-237.12
620898.1957,440.786,-6.832,918.721,-1172.5,-5075.0,-140.0,-31.92,-229.52,-234.08
620898.2457,443.531,-2.013,921.954,-1198.75,-5285.0,78.75,-28.88,-220.4,-243.2
620898.2957,443.592,-0.793,923.54,-1610.0,-5372.5,691.25,-28.88,-235.6,-252.32
620898.3457,446.032,-6.771,920.734,-1207.5,-5565.0,673.75,-33.44,-240.16,-232.56
620898.3957,447.069,-2.135,920.124,-1041.25,-5153.75,131.25,-42.56,-231.04,-261.44
620898.4457,446.825,1.525,918.416,-1260.0,-4340.0,-26.25,-34.96,-226.48,-241.68
620898.4957,441.884,-2.623,918.538,-1715.0,-4471.25,8.75,-45.6,-228.0,-243.2
620898.5457,439.383,5.307,919.819,-1636.25,-4611.25,306.25,-30.4,-231.04,-256.88
620898.5957,445.788,-10.797,924.821,-700.0,-3543.75,-105.0,-16.72,-229.52,-246.24
620898.6457,433.893,3.782,921.405,-2336.25,-3587.5,525.0,-39.52,-241.68,-256.88
620898.6957,430.355,-6.588,922.32,-1977.5,-4803.75,997.5,-33.44,-215.84,-252.32
620898.7457,439.871,-3.538,925.248,-1198.75,-4261.25,988.75,-36.48,-224.96,-250.8
620898.7957,436.821,0.244,923.784,-2065.0,-4620.0,577.5,-39.52,-220.4,-246.24
620898.8457,434.991,-3.294,923.479,-1715.0,-4952.5,131.25,-25.84,-226.48,-250.8
620898.8957,439.81,-7.93,923.601,-1426.25,-5171.25,26.25,-34.96,-234.08,-243.2
620898.9457,437.858,-1.952,924.516,-1356.25,-4803.75,525.0,-34.96,-223.44,-249.28
620898.9957,437.37,-2.867,924.211,-1408.75,-5311.25,1006.25,-24.32,-215.84,-261.44
620899.0459,440.359,-2.501,922.747,-1548.75,-5486.25,945.0,-41.04,-235.6,-255.36
620899.0957,440.176,-3.599,922.625,-1601.25,-4742.5,140.0,-39.52,-226.48,-252.32
620899.1457,436.272,-4.453,922.991,-1443.75,-5136.25,-113.75,-38.0,-229.52,-244.72
620899.1957,436.821,-3.721,921.832,-1741.25,-5092.5,542.5,-21.28,-221.92,-258.4
620899.2457,438.773,-3.05,921.71,-1496.25,-5556.25,910.0,-54.72,-247.76,-247.76
620899.2957,446.52,-9.516,925.004,-656.25,-4655.0,498.75,-19.76,-220.4,-249.28
620899.3457,434.381,7.991,922.198,-1181.25,-4217.5,-306.25,-36.48,-240.16,-256.88
620899.3957,433.222,-7.442,921.222,-2213.75,-4655.0,638.75,-34.96,-238.64,-243.2
620899.4457,437.126,-7.015,920.795,-1408.75,-5451.25,1478.75,-42.56,-229.52,-243.2
620899.4957,437.37,0.915,927.81,-1041.25,-4795.0,1120.0,-28.88,-232.56,-255.36
620899.5457,435.906,-3.416,924.455,-1050.0,-5468.75,341.25,-45.6,-231.04,-255.36
620899.5957,437.126,-3.294,925.614,-1811.25,-5127.5,-297.5,-39.52,-223.44,-235.6
620899.6457,438.773,-4.819,922.076,-1242.5,-5302.5,-148.75,-42.56,-229.52,-255.36
620899.6957,441.518,-0.854,922.32,-1058.75,-5468.75,883.75,-24.32,-226.48,-255.36
620899.7457,439.261,-2.867,921.1,-1548.75,-4751.25,1050.0,-45.6,-243.2,-255.36
620899.7957,439.322,-2.257,923.357,-1452.5,-4926.25,367.5,-18.24,-232.56,-250.8
620899.8457,440.481,-1.464,920.795,-1697.5,-4812.5,-271.25,-47.12,-237.12,-258.4
620899.8957,440.664,-1.281,922.503,-1645.0,-4751.25,148.75,-33.44,-232.56,-258.4
620899.9457,439.871,-2.623,921.771,-1233.75,-4891.25,656.25,-24.32,-232.56,-253.84
620899.9957,440.542,-0.122,922.93,-1758.75,-5197.5,1303.75,-19.76,-231.04,-252.32
620900.0457,438.529,-1.891,925.98,-218.75,-4042.5,-87.5,-30.4,-215.84,-246.24
620900.0957,431.88,6.527,922.015,-2520.0,-4908.75,113.75,-30.4,-217.36,-253.84
620900.1457,436.211,-7.747,924.272,-1732.5,-5390.0,866.25,-41.04,-224.96,-249.28
620900.1957,440.115,-5.002,926.529,-971.25,-4777.5,1032.5,-24.32,-240.16,-249.28
620900.2457,433.405,-1.708,926.834,-2100.0,-5635.0,1295.0,-44.08,-241.68,-244.72
620900.2957,437.492,-3.843,918.965,-1785.0,-6440.0,288.75,-34.96,-237.12,-241.68
620900.3457,444.69,-7.015,922.991,-1575.0,-5538.75,-17.5,-39.52,-243.2,-252.32
620900.3957,441.579,-3.904,921.1,-1373.75,-5145.0,481.25,-41.04,-237.12,-256.88
620900.4457,442.311,-4.27,923.418,-1627.5,-5416.25,1050.0,-48.64,-234.08,-256.88
620900.4957,443.592,-6.71,921.1,-1618.75,-5512.5,603.75,-38.0,-231.04,-249.28
620900.5457,443.47,-3.904,923.479,-1242.5,-5136.25,-52.5,-22.8,-231.04,-238.64
620900.5957,444.507,-2.745,921.222,-1443.75,-5083.75,-271.25,-24.32,-240.16,-255.36
620900.6457,444.141,-3.477,919.331,-1408.75,-4313.75,280.0,-28.88,-234.08,-256.88
620900.6957,440.603,-1.83,921.527,-1295.0,-4663.75,420.0,-27.36,-229.52,-253.84
620900.7457,444.69,-3.477,921.222,-2100.0,-5258.75,481.25,-33.44,-211.28,-261.44
620900.7957,442.067,0.183,921.832,-735.0,-3937.5,87.5,-41.04,-234.08,-255.36
620900.8457,432.063,-4.209,918.416,-1767.5,-4672.5,1102.5,-18.24,-229.52,-256.88
620900.8957,439.322,-4.575,926.285,-1487.5,-4856.25,1680.0,-33.44,-246.24,-262.96
620900.9457,438.407,-1.891,927.261,-1426.25,-4462.5,761.25,-28.88,-234.08,-244.72
620900.9957,433.161,-6.466,921.771,-1540.0,-5346.25,-122.5,-36.48,-221.92,-258.4
620901.0457,440.969,-2.623,920.307,-1793.75,-5311.25,-472.5,-30.4,-237.12,-247.76
620901.0959,440.115,-3.172,921.466,-1023.75,-5206.25,-490.0,-42.56,-226.48,-261.44
620901.1457,439.322,0.976,923.906,-1146.25,-5573.75,332.5,-45.6,-241.68,-249.28
620901.1958,442.128,-1.769,920.429,-1793.75,-5766.25,1067.5,-42.56,-234.08,-247.76
620901.2457,446.032,-2.379,919.575,-1373.75,-5162.5,840.0,-39.52,-224.96,-243.2
620901.2957,445.91,-3.721,921.222,-1513.75,-4812.5,166.25,-33.44,-229.52,-264.48
620901.3457,438.285,-2.074,921.466,-2003.75,-4532.5,385.0,-56.24,-243.2,-249.28
620901.3957,444.507,-4.148,922.381,-1662.5,-5075.0,953.75,-33.44,-223.44,-235.6
620901.4457,447.374,-7.93,922.137,-2511.25,-4821.25,1566.25,-41.04,-228.0,-256.88
620901.4957,440.298,6.71,922.32,-358.75,-3578.75,612.5,-30.4,-221.92,-250.8
620901.5457,433.283,0.732,922.991,-2896.25,-3640.0,542.5,-33.44,-241.68,-244.72
620901.5957,433.527,-10.248,923.174,-1688.75,-4742.5,490.0,-31.92,-223.44,-256.88
620901.6457,438.651,-8.601,925.553,-1137.5,-5075.0,525.0,-47.12,-215.84,-256.88
620901.6957,432.429,-3.294,926.773,-1688.75,-5153.75,297.5,-36.48,-231.04,-247.76
620901.7457,438.773,-5.795,921.466,-1741.25,-5363.75,253.75,-34.96,-235.6,-247.76
620901.7957,439.017,-8.845,922.503,-1128.75,-4970.0,-105.0,-34.96,-231.04,-259.92
620901.8457,437.675,-3.843,923.052,-875.0,-5136.25,201.25,-39.52,-224.96,-247.76
620901.8957,438.468,0.183,923.662,-1190.0,-5608.75,271.25,-25.84,-226.48,-247.76
620901.9457,444.629,-1.342,922.869,-1566.25,-5477.5,262.5,-39.52,-235.6,-256.88
620901.9957,440.176,-3.965,919.88,-1303.75,-5136.25,52.5,-42.56,-247.76,-267.52
620902.0457,441.518,0.061,923.052,-1636.25,-4611.25,166.25,-51.68,-212.8,-243.2
620902.0957,442.25,-5.551,923.967,-1172.5,-4812.5,288.75,-47.12,-229.52,-252.32
620902.1457,445.056,-4.819,922.747,-1811.25,-4707.5,866.25,-39.52,-221.92,-237.12
620902.1957,440.725,1.037,923.662,-341.25,-3990.0,-201.25,-41.04,-224.96,-262.96
620902.2457,433.649,-2.074,923.662,-2738.75,-4471.25,638.75,-34.96,-224.96,-255.36
620902.2957,434.198,-9.821,922.442,-1653.75,-5215.0,1111.25,-45.6,-238.64,-256.88
620902.3457,441.152,-4.941,924.272,-1058.75,-5057.5,1032.5,-31.92,-226.48,-256.88
620902.3957,437.004,-6.527,922.686,-1531.25,-5468.75,533.75,-42.56,-228.0,-241.68
620902.4457,437.553,-3.233,921.649,-1662.5,-6002.5,-157.5,-18.24,-232.56,-256.88
620902.4957,442.067,-5.612,919.026,-1356.25,-5556.25,-227.5,-47.12,-231.04,-253.84
620902.5457,441.884,1.22,922.198,-1128.75,-5468.75,437.5,-44.08,-244.72,-223.44
620902.5957,443.165,0.61,921.466,-1566.25,-5425.0,1050.0,-36.48,-232.56,-256.88
620902.6457,442.128,-2.013,920.795,-1592.5,-4760.0,875.0,-30.4,-229.52,-262.96
620902.6957,438.285,-3.416,921.771,-1627.5,-4480.0,288.75,-41.04,-232.56,-246.24
620902.7457,439.322,0.915,923.601,-1925.0,-4663.75,297.5,-42.56,-232.56,-256.88
620902.7957,439.505,-7.32,921.771,-1426.25,-4812.5,472.5,-47.12,-232.56,-255.36
620902.8457,443.958,-5.063,921.283,-1706.25,-5355.0,1732.5,-28.88,-238.64,-235.6
620902.8957,440.298,3.05,922.93,-560.0,-3780.0,376.25,-45.6,-240.16,-261.44
620902.9457,430.965,0.427,920.002,-2651.25,-4226.25,245.0,-30.4,-243.2,-247.76
620902.9957,435.906,-7.625,922.381,-1697.5,-5556.25,402.5,-39.52,-226.48,-253.84
620903.0457,440.725,-4.026,926.895,-1198.75,-5101.25,105.0,-33.44,-232.56,-244.72
620903.0957,435.235,-3.599,920.978,-988.75,-5678.75,761.25,-27.36,-229.52,-246.24
620903.1457,441.884,-1.647,922.442,-1540.0,-5775.0,428.75,-42.56,-218.88,-249.28
620903.1957,442.738,-5.673,922.32,-1076.25,-5118.75,-551.25,-25.84,-224.96,-246.24
620903.2459,440.298,0.976,924.333,-1111.25,-4978.75,-245.0,-33.44,-229.52,-240.16
620903.2957,439.993,-0.854,919.514,-1382.5,-5407.5,323.75,-41.04,-229.52,-250.8
620903.3458,445.849,-1.281,922.747,-1321.25,-5346.25,1015.0,-33.44,-234.08,-250.8
620903.3957,445.971,-1.647,921.283,-1085.0,-5031.25,577.5,-27.36,-240.16,-243.2
620903.4457,443.897,-0.305,918.782,-1417.5,-4795.0,350.0,-38.0,-221.92,-247.76
620903.4957,440.664,4.087,919.819,-1461.25,-4725.0,-105.0,-38.0,-220.4,-249.28
620903.5457,447.13,-12.932,924.272,-1522.5,-4331.25,306.25,-28.88,-232.56,-258.4
620903.5957,442.555,8.113,922.137,-551.25,-3307.5,341.25,-38.0,-228.0,-250.8
620903.6457,428.037,-6.832,920.185,-2712.5,-4278.75,1583.75,-36.48,-214.32,-232.56
620903.6957,439.932,-5.368,925.492,-1417.5,-4900.0,1181.25,-41.04,-240.16,-240.16
620903.7457,435.906,-0.793,927.383,-1662.5,-4593.75,446.25,-27.36,-234.08,-264.48
620903.7957,436.882,-6.527,921.527,-1251.25,-5775.0,210.0,-38.0,-224.96,-247.76
620903.8457,439.871,-3.965,922.442,-1916.25,-5390.0,525.0,-30.4,-223.44,-256.88
620903.8957,438.956,-3.111,924.516,-962.5,-4908.75,288.75,-27.36,-235.6,-238.64
620903.9457,437.126,-1.769,926.468,-1312.5,-5503.75,446.25,-38.0,-224.96,-262.96
620903.9957,442.128,-2.745,924.15,-1426.25,-5635.0,560.0,-36.48,-240.16,-243.2
620904.0457,441.579,-1.281,919.209,-1452.5,-4900.0,288.75,-31.92,-220.4,-256.88
620904.0957,440.115,-1.098,936.106,-1671.25,-4427.5,402.5,-47.12,-244.72,-250.8
620904.1457,439.871,-3.233,922.686,-1723.75,-4620.0,315.0,-19.76,-234.08,-259.92
620904.1957,441.091,-0.061,925.126,-2100.0,-4751.25,568.75,-38.0,-235.6,-249.28
620904.2457,442.067,-12.139,925.187,-752.5,-4156.25,157.5,-39.52,-231.04,-253.84
620904.2957,431.392,6.893,923.967,-2371.25,-4366.25,752.5,-33.44,-223.44,-243.2
620904.3457,431.209,-9.15,922.076,-1610.0,-5363.75,1531.25,-42.56,-232.56,-246.24
620904.3957,439.261,-6.466,924.76,-1067.5,-4952.5,883.75,-36.48,-237.12,-250.8
620904.4457,434.808,-3.111,923.174,-1566.25,-4943.75,271.25,-50.16,-223.44,-256.88
620904.4957,433.893,-2.013,921.832,-1076.25,-5600.0,70.0,-34.96,-228.0,-259.92
620904.5457,439.444,-4.88,922.381,-1391.25,-5398.75,192.5,-33.44,-217.36,-250.8
620904.5957,440.847,-3.233,922.259,-1032.5,-5101.25,770.0,-42.56,-226.48,-258.4
620904.6457,438.712,1.952,922.503,-1382.5,-5118.75,490.0,-44.08,-223.44,-249.28
620904.6957,441.762,0.183,920.917,-1645.0,-5075.0,157.5,-36.48,-218.88,-253.84
620904.7457,440.603,-4.087,923.601,-1478.75,-4830.0,472.5,-34.96,-232.56,-264.48
620904.7957,439.2,-0.732,922.747,-1470.0,-4777.5,551.25,-36.48,-223.44,-244.72
620904.8457,439.688,-4.941,924.821,-1347.5,-5197.5,892.5,-48.64,-237.12,-243.2
620904.8957,439.139,0.793,920.978,-1417.5,-5346.25,525.0,-33.44,-215.84,-247.76
620904.9457,442.25,-3.904,922.808,-402.5,-3902.5,-560.0,-39.52,-215.84,-267.52
620904.9957,431.209,2.074,921.405,-2747.5,-4418.75,385.0,-33.44,-215.84,-250.8
620905.0457,433.771,-7.198,922.198,-1671.25,-5250.0,1225.0,-50.16,-244.72,-241.68
620905.0957,442.494,-3.294,926.834,-875.0,-5013.75,910.0,-42.56,-238.64,-246.24
620905.1457,435.052,0.427,926.834,-2047.5,-4803.75,227.5,-28.88,-237.12,-259.92
620905.1957,437.187,-2.806,922.686,-1898.75,-5696.25,-367.5,-36.48,-223.44,-253.84
620905.2457,439.017,-3.355,919.819,-1470.0,-5013.75,-61.25,-34.96,-229.52,-258.4
620905.2957,439.261,-1.647,924.272,-1233.75,-5197.5,551.25,-28.88,-237.12,-255.36
620905.3457,443.409,3.477,923.601,-1863.75,-5206.25,708.75,-39.52,-217.36,-241.68
620905.3959,441.274,-1.525,923.052,-2353.75,-4558.75,227.5,-19.76,-228.0,-259.92
620905.4457,435.845,-5.185,922.442,-1723.75,-4987.5,201.25,-51.68,-235.6,-250.8
620905.4958,439.871,0.671,922.076,-1610.0,-5206.25,210.0,-25.84,-238.64,-247.76
620905.5457,437.98,2.562,921.893,-2388.75,-5057.5,516.25,-36.48,-241.68,-255.36
620905.5957,434.93,-1.22,916.342,-1925.0,-5652.5,665.0,-33.44,-218.88,-261.44
620905.6457,445.727,-9.882,923.723,-700.0,-4357.5,105.0,-38.0,-231.04,-261.44
620905.6957,436.516,7.076,925.126,-1540.0,-4156.25,463.75,-38.0,-246.24,-238.64
620905.7457,431.819,-9.638,921.527,-2205.0,-5381.25,1312.5,-31.92,-231.04,-244.72
620905.7957,441.335,-8.479,925.736,-1688.75,-5276.25,1163.75,-36.48,-221.92,-269.04
620905.8457,436.882,-3.965,924.028,-2310.0,-5022.5,630.0,-42.56,-229.52,-253.84
620905.8957,441.762,-6.649,922.991,-1907.5,-5258.75,-113.75,-36.48,-224.96,-262.96
620905.9457,444.507,-11.407,922.442,-1583.75,-4908.75,61.25,-24.32,-232.56,-253.84
620905.9957,440.359,-5.612,922.381,-1032.5,-4690.0,-26.25,-53.2,-217.36,-258.4
620906.0457,437.675,-1.769,925.248,-1478.75,-4996.25,183.75,-41.04,-232.56,-241.68
620906.0957,435.845,-7.381,923.357,-1793.75,-5530.0,148.75,-28.88,-232.56,-259.92
620906.1457,440.603,-5.368,923.784,-1260.0,-5460.0,-17.5,-24.32,-234.08,-247.76
620906.1957,442.067,-1.403,923.54,-962.5,-5171.25,70.0,-45.6,-234.08,-247.76
620906.2457,441.945,-2.44,922.503,-1373.75,-5302.5,236.25,-28.88,-234.08,-241.68
620906.2957,438.163,-12.688,923.784,-2257.5,-5223.75,717.5,-30.4,-246.24,-253.84
620906.3457,443.714,-10.797,924.333,-481.25,-4445.0,-498.75,-27.36,-232.56,-244.72
620906.3957,430.111,4.087,920.368,-2607.5,-4296.25,262.5,-39.52,-217.36,-259.92
620906.4457,432.917,-11.346,920.307,-1697.5,-5573.75,1137.5,-21.28,-217.36,-244.72
620906.4957,438.651,-3.172,925.858,-1128.75,-4567.5,857.5,-28.88,-231.04,-241.68
620906.5457,434.869,-4.636,921.71,-1373.75,-5696.25,472.5,-21.28,-237.12,-241.68
620906.5957,438.956,-3.782,922.991,-1513.75,-5696.25,-367.5,-31.92,-220.4,-262.96
620906.6457,441.091,-7.93,922.747,-1163.75,-5022.5,-533.75,-28.88,-232.56,-240.16
620906.6957,441.396,-1.83,923.54,-857.5,-5328.75,96.25,-24.32,-226.48,-252.32
