TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2758.7697,20608.0,11272.15,23490.57,28111.13,2543.78,19110.35,996.92,24675.8
2758.7737,20605.38,11249.45,23465.68,28087.29,2524.52,19089.51,976.28,24651.91
2758.7777,20616.1,11303.81,23508.5,28108.55,2587.03,19137.05,1063.87,24681.38
2758.7817,20623.97,11357.5,23558.57,28138.35,2640.3,19183.16,1138.97,24723.34
2758.7857,20623.11,11345.72,23554.14,28139.31,2620.03,19174.01,1109.41,24729.54
2758.7897,20613.63,11278.68,23494.87,28103.31,2546.69,19114.83,1004.17,24683.62
2758.7937,20611.19,11258.56,23471.41,28082.95,2527.57,19092.71,980.42,24660.35
2758.7977,20616.15,11310.53,23515.99,28098.4,2576.4,19133.14,1064.78,24692.01
2758.8017,20617.58,11362.27,23562.05,28126.2,2622.65,19174.29,1132.35,24720.48
2758.8057,20605.42,11342.43,23550.32,28118.76,2594.66,19156.7,1097.63,24728.68
2758.8097,20592.36,11273.0,23493.91,28081.85,2520.7,19096.04,998.12,24691.78
2758.8137,20588.35,11250.64,23473.31,28059.25,2501.3,19076.59,978.23,24671.37
2758.8177,20598.8,11303.57,23520.0,28081.9,2563.67,19126.23,1066.64,24705.37
2758.8217,20610.14,11359.65,23573.69,28121.05,2626.56,19180.68,1147.32,24751.57
2758.8257,20607.19,11342.72,23561.53,28121.38,2604.72,19165.38,1111.32,24751.38
2758.8297,20596.94,11270.81,23495.72,28091.39,2533.39,19102.1,1003.41,24702.03
2758.8337,20597.89,11250.02,23473.07,28074.79,2517.51,19083.79,982.9,24676.76
2758.8377,20609.33,11303.47,23518.66,28102.12,2582.26,19133.62,1071.26,24708.66
2758.8417,20620.06,11357.69,23567.35,28138.69,2641.01,19184.78,1147.17,24754.1
2758.8457,20621.21,11343.24,23557.33,28145.46,2625.66,19175.87,1110.22,24747.76
2758.8497,20611.43,11272.62,23492.43,28111.08,2549.6,19109.92,995.68,24691.78
2758.8537,20611.96,11258.98,23473.12,28095.39,2536.77,19095.57,980.14,24670.32
2758.8577,20616.63,11307.81,23513.84,28112.13,2588.75,19134.71,1061.63,24695.97
2758.8617,20618.35,11356.07,23556.62,28138.83,2635.19,19177.2,1129.72,24730.73
2758.8657,20610.24,11338.43,23541.21,28131.77,2609.4,19160.65,1088.81,24718.05
2758.8697,20594.74,11261.75,23472.98,28087.14,2526.43,19091.66,971.03,24654.82
2758.8737,20594.17,11243.73,23451.47,28065.59,2510.31,19074.16,954.58,24635.03
2758.8777,20601.94,11297.61,23495.82,28084.95,2566.43,19119.46,1042.46,24672.65
2758.8817,20605.04,11349.87,23545.41,28104.55,2611.11,19161.37,1115.8,24718.53
2758.8857,20600.27,11335.8,23540.07,28097.3,2590.66,19150.16,1083.66,24719.58
2758.8897,20589.97,11268.33,23480.42,28061.2,2518.8,19091.04,981.38,24671.51
2758.8937,20587.49,11245.92,23456.91,28041.37,2498.67,19070.58,958.73,24650.86
2758.8976,20593.17,11297.08,23501.64,28058.01,2552.7,19111.97,1042.03,24684.38
2758.9016,20594.17,11348.44,23554.14,28081.85,2600.15,19155.22,1120.28,24728.97
2758.9056,20591.45,11337.38,23550.18,28087.09,2584.17,19149.97,1095.06,24738.84
2758.9096,20582.77,11269.14,23492.67,28052.24,2513.22,19092.09,994.16,24701.41
2758.9136,20578.77,11247.35,23470.6,28033.74,2493.76,19071.58,977.75,24680.19
