TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2074.3388,16797.5,8988.52,20147.14,24670.75,-1322.27,22738.89,990.77,20471.53
2074.3428,16806.65,9076.26,20219.23,24711.8,-1204.97,22807.74,1177.79,20533.47
2074.3468,16805.6,9105.25,20245.22,24729.3,-1176.88,22829.68,1215.36,20563.22
2074.3508,16796.73,9033.59,20187.81,24699.26,-1281.55,22772.22,1039.36,20518.45
2074.3548,16793.49,8963.01,20127.11,24659.54,-1380.97,22713.95,897.69,20459.37
2074.3588,16806.37,8994.15,20151.33,24667.74,-1325.32,22737.7,991.82,20479.4
2074.3628,16822.82,9082.89,20231.06,24713.57,-1196.67,22814.66,1188.28,20550.68
2074.3668,16830.49,9116.56,20265.87,24745.8,-1154.14,22848.13,1240.25,20590.21
2074.3708,16822.58,9044.36,20204.45,24722.72,-1260.04,22793.34,1058.48,20547.34
2074.3748,16820.58,8971.41,20139.7,24685.0,-1348.83,22737.27,916.2,20486.4
2074.3788,16833.69,9007.41,20171.69,24692.87,-1285.79,22768.31,1027.63,20509.05
2074.3828,16846.9,9093.33,20244.79,24734.02,-1165.06,22837.69,1211.55,20578.39
2074.3868,16851.57,9128.62,20279.08,24760.3,-1121.43,22871.12,1261.52,20626.02
2074.3908,16842.51,9055.81,20218.52,24729.64,-1229.05,22816.37,1079.51,20585.3
2074.3948,16835.07,8980.51,20151.09,24692.35,-1326.47,22758.92,936.65,20525.31
2074.3988,16837.65,9010.27,20171.88,24694.02,-1275.06,22775.84,1030.11,20523.03
2074.4027,16846.04,9094.1,20240.45,24732.97,-1162.1,22840.6,1203.63,20568.66
2074.4067,16846.47,9125.28,20272.59,24756.58,-1128.53,22869.59,1252.41,20610.29
2074.4107,16826.11,9045.27,20205.74,24716.33,-1247.93,22802.02,1063.2,20556.5
2074.4147,16815.62,8969.69,20137.26,24675.32,-1345.92,22739.94,913.57,20483.88
2074.4187,16814.04,8996.58,20154.1,24671.51,-1298.0,22753.24,1003.89,20480.16
2074.4227,16816.9,9078.79,20223.05,24699.79,-1191.09,22811.51,1185.56,20533.18
2074.4267,16816.09,9106.3,20249.8,24724.2,-1165.01,22833.4,1218.51,20563.84
