TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4521.4812,-446.52,-157.075,877.79,-1758.75,-5206.25,708.75,370.88,60.8,-121.6
4521.5312,-444.995,-157.99,874.496,-1732.5,-4628.75,481.25,358.72,65.36,-120.08
4521.5812,-447.374,-158.234,876.631,-1837.5,-4322.5,131.25,354.16,77.52,-130.72
4521.6312,-450.607,-159.332,875.777,-1828.75,-4453.75,157.5,345.04,80.56,-120.08
4521.6812,-451.339,-157.807,877.79,-1575.0,-4943.75,420.0,367.84,72.96,-132.24
4521.7312,-446.154,-155.184,875.167,-1452.5,-4812.5,1006.25,361.76,72.96,-133.76
4521.7812,-450.851,-160.308,879.071,-1496.25,-4926.25,1041.25,360.24,71.44,-124.64
4521.8312,-446.886,-157.685,876.57,-1085.0,-5153.75,918.75,338.96,68.4,-123.12
4521.8812,-453.84,-157.746,878.461,-1172.5,-4217.5,1146.25,355.68,86.64,-109.44
4521.9312,-461.953,-150.304,878.095,-2065.0,-5643.75,752.5,363.28,72.96,-132.24
4521.9812,-437.736,-158.112,872.91,-516.25,-6842.5,1006.25,358.72,57.76,-118.56
4522.0312,-444.568,-155.245,881.267,-1093.75,-5136.25,1277.5,352.64,79.04,-139.84
4522.0812,-450.546,-153.171,884.439,-1478.75,-5013.75,813.75,349.6,77.52,-126.16
4522.1312,-439.444,-154.452,879.071,-1750.0,-4786.25,595.0,358.72,89.68,-115.52
4522.1812,-447.923,-148.108,878.034,-2082.5,-6676.25,201.25,352.64,65.36,-132.24
4522.2312,-446.032,-158.478,879.193,-1540.0,-5083.75,498.75,364.8,76.0,-120.08
4522.2812,-445.3,-154.269,876.875,-1330.0,-4261.25,87.5,352.64,60.8,-135.28
4522.3312,-451.644,-155.611,879.315,-1487.5,-4445.0,-245.0,351.12,76.0,-121.6
4522.3812,-446.459,-153.72,878.339,-1268.75,-5267.5,131.25,358.72,60.8,-136.8
4522.4312,-443.409,-153.171,876.936,-1688.75,-4760.0,192.5,349.6,72.96,-121.6
4522.4812,-444.507,-154.879,879.254,-1828.75,-4488.75,805.0,348.08,69.92,-120.08
4522.5312,-447.069,-156.404,877.363,-1601.25,-4751.25,840.0,360.24,77.52,-133.76
4522.5812,-447.374,-155.245,878.034,-1645.0,-4742.5,227.5,348.08,60.8,-126.16
4522.6312,-447.801,-155.062,878.644,-1723.75,-4506.25,-43.75,360.24,77.52,-138.32
4522.6812,-446.276,-155.916,876.631,-1190.0,-4970.0,490.0,335.92,65.36,-118.56
4522.7312,-446.886,-153.354,876.265,-1408.75,-4672.5,883.75,348.08,69.92,-121.6
4522.7812,-454.938,-158.051,882.487,-770.0,-4690.0,1373.75,352.64,68.4,-133.76
4522.8312,-453.962,-150.182,880.718,-2668.75,-5993.75,-175.0,363.28,63.84,-132.24
4522.8812,-438.834,-161.406,876.448,-831.25,-6265.0,297.5,358.72,60.8,-127.68
4522.9312,-442.189,-153.11,879.254,-612.5,-4961.25,1137.5,370.88,76.0,-103.36
4522.9812,-447.435,-150.365,880.84,-1286.25,-5320.0,1461.25,357.2,69.92,-129.2
4523.0312,-440.176,-152.622,879.254,-1391.25,-5565.0,1111.25,351.12,71.44,-138.32
4523.0812,-445.605,-155.672,880.474,-2038.75,-4882.5,350.0,332.88,71.44,-136.8
4523.1314,-445.91,-155.611,879.986,-1408.75,-5066.25,140.0,351.12,80.56,-123.12
4523.1812,-445.788,-152.805,881.816,-1662.5,-5083.75,236.25,355.68,69.92,-135.28
4523.2313,-442.311,-152.317,881.633,-1741.25,-5241.25,682.5,346.56,62.32,-120.08
4523.2812,-440.054,-153.354,883.524,-1461.25,-5136.25,805.0,351.12,74.48,-132.24
4523.3312,-444.324,-154.574,880.047,-1531.25,-4471.25,560.0,349.6,72.96,-121.6
