TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1109.6812,-237.229,-81.313,970.449,-3220.0,-3893.75,-306.25,305.52,16.72,-208.24
1109.7312,-241.255,-75.274,967.887,-1986.25,-2703.75,533.75,307.04,33.44,-214.32
1109.7812,-248.27,-75.823,969.473,-2030.0,-3482.5,875.0,300.96,41.04,-211.28
1109.8312,-250.466,-76.555,967.216,-2721.25,-3762.5,157.5,308.56,41.04,-211.28
1109.8812,-249.063,-79.422,967.826,-2126.25,-3946.25,-175.0,314.64,28.88,-203.68
1109.9312,-249.429,-80.093,970.571,-2240.0,-4567.5,-157.5,310.08,31.92,-220.4
1109.9812,-245.098,-79.727,970.266,-2415.0,-4523.75,358.75,310.08,51.68,-226.48
1110.0312,-249.917,-84.363,970.327,-2108.75,-4235.0,621.25,293.36,27.36,-215.84
1110.0812,-249.856,-83.631,969.473,-2056.25,-4392.5,297.5,307.04,39.52,-218.88
1110.1312,-250.893,-84.973,968.497,-1925.0,-4812.5,376.25,302.48,34.96,-211.28
1110.1812,-251.259,-78.446,969.839,-1793.75,-4401.25,1015.0,314.64,36.48,-208.24
1110.2312,-255.102,-82.716,968.314,-1767.5,-5048.75,1216.25,300.96,27.36,-209.76
1110.2812,-244.732,-77.897,969.168,-2502.5,-4742.5,787.5,290.32,28.88,-215.84
1110.3312,-250.405,-83.448,967.033,-2826.25,-4532.5,533.75,305.52,45.6,-214.32
1110.3812,-250.832,-80.398,968.497,-3517.5,-4305.0,875.0,305.52,30.4,-221.92
1110.4312,-255.834,-85.766,973.133,-2292.5,-4795.0,1505.0,316.16,27.36,-205.2
1110.4812,-251.503,-87.047,967.521,-2791.25,-5932.5,332.5,294.88,30.4,-214.32
1110.5312,-247.782,-90.829,968.619,-2572.5,-5416.25,1242.5,308.56,31.92,-206.72
1110.5812,-251.747,-92.903,970.51,-2030.0,-5328.75,743.75,313.12,28.88,-211.28
1110.6312,-247.843,-87.657,970.754,-1426.25,-5416.25,472.5,297.92,44.08,-202.16
1110.6812,-244.061,-89.182,970.51,-647.5,-5521.25,551.25,307.04,39.52,-221.92
1110.7312,-245.037,-80.581,969.229,-1400.0,-5293.75,595.0,291.84,45.6,-221.92
1110.7812,-241.438,-89.609,968.253,-1627.5,-4768.75,271.25,282.72,28.88,-215.84
1110.8312,-244.244,-87.84,967.46,-1592.5,-4357.5,-43.75,305.52,28.88,-200.64
1110.8812,-248.575,-89.243,968.314,-1662.5,-4173.75,332.5,307.04,41.04,-208.24
1110.9312,-248.88,-88.877,969.534,-1268.75,-4112.5,875.0,314.64,28.88,-218.88
1110.9813,-250.771,-87.047,969.412,-1041.25,-4698.75,1382.5,302.48,36.48,-202.16
1111.0312,-252.784,-84.912,967.216,-1111.25,-5005.0,1023.75,299.44,36.48,-215.84
1111.0812,-248.514,-87.474,970.876,-1251.25,-5066.25,315.0,305.52,25.84,-214.32
1111.1312,-247.477,-83.875,968.131,-1050.0,-5092.5,411.25,311.6,34.96,-211.28
1111.1812,-251.381,-84.546,969.107,-1347.5,-4987.5,577.5,305.52,41.04,-228.0
1111.2312,-247.843,-88.999,968.436,-840.0,-5127.5,1137.5,302.48,25.84,-218.88
1111.2812,-251.137,-78.446,975.146,-1522.5,-5670.0,288.75,325.28,22.8,-229.52
1111.3312,-240.157,-86.254,967.643,-1356.25,-5005.0,463.75,302.48,27.36,-217.36
1111.3812,-245.586,-82.106,969.961,-1540.0,-3885.0,1085.0,302.48,25.84,-215.84
1111.4312,-247.416,-83.204,968.375,-1487.5,-4978.75,761.25,308.56,24.32,-226.48
1111.4812,-244.915,-83.509,969.229,-1452.5,-4830.0,192.5,313.12,18.24,-211.28
1111.5312,-252.479,-82.167,968.558,-1513.75,-4611.25,113.75,300.96,36.48,-212.8
1111.5812,-249.063,-83.082,968.558,-1417.5,-5871.25,105.0,314.64,30.4,-223.44
1111.6312,-244.427,-81.069,968.375,-1548.75,-5206.25,586.25,310.08,28.88,-212.8
1111.6812,-251.32,-86.742,968.802,-1443.75,-5241.25,463.75,300.96,31.92,-208.24
1111.7312,-244.122,-83.57,969.412,-1067.5,-5792.5,708.75,308.56,28.88,-203.68
1111.7812,-244.671,-85.095,966.911,-1260.0,-5136.25,621.25,308.56,41.04,-217.36
1111.8312,-253.577,-84.241,970.571,-988.75,-5775.0,551.25,304.0,33.44,-215.84
1111.8812,-248.941,-81.13,969.534,-1120.0,-6282.5,778.75,311.6,33.44,-224.96
