TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
7528.6496,36349.01,32856.75,33843.14,34186.94,28830.44,38648.66,37755.64,32035.64
7528.6536,36330.85,32828.38,33835.46,34153.42,28815.75,38620.43,37740.24,32031.35
7528.6576,36303.91,32810.12,33808.38,34135.63,28790.29,38595.25,37713.77,32002.41
7528.6616,36320.74,32832.2,33836.08,34157.42,28808.07,38610.22,37727.79,32025.58
7528.6656,36341.58,32845.88,33858.64,34170.3,28831.34,38624.63,37747.1,32045.03
7528.6696,36363.56,32859.52,33874.66,34195.62,28853.61,38667.21,37780.62,32064.63
7528.6736,36352.21,32855.32,33859.78,34190.56,28841.26,38651.09,37764.12,32054.62
7528.6776,36301.81,32800.82,33815.67,34134.2,28790.53,38602.31,37708.53,32007.89
7528.6816,36304.86,32803.49,33824.11,34117.37,28799.49,38582.52,37708.0,32012.99
7528.6856,36343.01,32842.35,33855.49,34169.34,28834.49,38621.24,37743.86,32048.61
7528.6896,36363.75,32852.46,33879.67,34177.83,28857.76,38635.78,37761.45,32071.5
7528.6936,36338.76,32833.1,33855.49,34152.89,28831.29,38619.43,37743.29,32047.56
7528.6976,36318.83,32820.94,33835.94,34140.54,28810.5,38600.02,37723.02,32032.06
7528.7016,36329.7,32835.49,33840.09,34165.2,28820.95,38620.91,37735.9,32045.08
7528.7056,36348.73,32852.84,33861.59,34184.94,28836.4,38642.98,37756.11,32059.96
7528.7096,36364.94,32868.58,33881.24,34198.48,28853.66,38657.91,37773.09,32076.17
7528.7135,36349.4,32848.17,33866.93,34171.16,28841.93,38637.6,37757.07,32065.16
7528.7175,36312.49,32814.17,33831.41,34130.67,28803.54,38593.96,37714.63,32026.58
7528.7215,36305.38,32810.74,33819.63,34126.57,28793.0,38585.24,37703.38,32012.18
7528.7255,36337.57,32835.87,33853.96,34174.59,28829.01,38637.31,37743.14,32048.13
7528.7295,36368.09,32861.9,33896.83,34200.72,28864.2,38666.06,37776.9,32089.86
7528.7335,36342.91,32838.97,33866.22,34156.61,28839.5,38622.53,37748.48,32064.11
7528.7375,36316.97,32825.81,33828.36,34158.95,28802.92,38616.85,37722.78,32021.86
7528.7415,36314.59,32814.7,33838.61,34141.78,28804.64,38605.79,37721.35,32027.58
7528.7455,36319.07,32815.6,33821.11,34138.73,28804.93,38601.4,37721.78,32019.52
7528.7495,36346.25,32839.92,33861.55,34158.66,28838.83,38621.1,37748.06,32068.4
7528.7535,36339.53,32834.15,33855.06,34143.59,28834.3,38612.08,37736.47,32059.48
7528.7575,36322.41,32823.04,33817.01,34140.45,28808.64,38614.95,37726.84,32014.42
7528.7615,36330.85,32846.84,33820.59,34169.34,28804.45,38646.13,37739.19,32009.27
7528.7655,36343.05,32853.23,33841.42,34177.69,28823.0,38641.98,37745.62,32031.21
7528.7695,36343.82,32843.64,33854.73,34178.5,28832.25,38632.64,37750.3,32047.66
7528.7735,36324.51,32824.09,33840.37,34157.23,28813.99,38622.67,37732.8,32032.78
7528.7774,36296.71,32794.0,33812.19,34119.18,28787.62,38584.86,37701.71,32006.08
7528.7814,36296.61,32792.48,33824.5,34119.71,28790.43,38574.6,37699.42,32015.23
7528.7854,36329.08,32822.57,33856.92,34153.18,28825.19,38606.84,37736.8,32050.18
7528.7894,36349.83,32844.4,33872.04,34171.54,28844.26,38630.2,37762.22,32069.5
7528.7934,36351.35,32857.57,33854.97,34184.32,28836.06,38643.75,37765.22,32056.0
7528.7974,36331.71,32834.82,33839.13,34162.05,28816.32,38617.04,37741.62,32040.98
7528.8014,36328.89,32820.23,33853.92,34144.31,28822.23,38607.55,37738.66,32054.81
7528.8054,36359.36,32850.79,33894.3,34161.62,28853.94,38627.58,37770.9,32086.81
7528.8094,36371.28,32865.34,33900.41,34197.76,28861.48,38659.43,37790.21,32099.06
7528.8134,36351.83,32857.95,33869.7,34187.32,28837.83,38641.22,37763.65,32067.78
7528.8174,36325.13,32831.58,33833.13,34157.71,28811.98,38612.7,37732.56,32035.78
7528.8214,36320.64,32824.9,33830.6,34150.03,28806.5,38610.46,37734.8,32035.69
7528.8254,36346.39,32843.26,33857.02,34171.25,28831.39,38638.5,37763.12,32060.29
7528.8294,36369.38,32864.91,33890.54,34189.47,28859.9,38653.19,37780.91,32088.9
7528.8334,36365.23,32859.28,33893.78,34178.17,28856.85,38647.99,37777.05,32094.39
7528.8374,36326.51,32827.67,33838.09,34144.79,28813.22,38611.37,37736.85,32042.65
7528.8413,36323.36,32826.81,33829.84,34153.42,28804.11,38617.28,37735.18,32027.01
7528.8453,36350.78,32848.51,33863.93,34179.83,28833.73,38648.13,37766.37,32060.67
7528.8493,36373.29,32865.48,33898.31,34188.47,28861.72,38663.82,37784.25,32091.43
7528.8533,36349.11,32843.78,33872.8,34172.35,28840.59,38647.75,37766.89,32074.98
7528.8573,36303.67,32804.16,33805.66,34101.39,28791.91,38569.5,37708.72,32017.66
7528.8613,36317.07,32819.28,33810.1,34127.14,28797.82,38597.73,37722.5,32012.08
