TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8053.3725,797.27,-74.908,648.674,-796.25,-4051.25,-227.5,-183.92,48.64,-237.12
8053.4225,800.015,-62.952,650.626,-157.5,-4121.25,-1706.25,-180.88,60.8,-214.32
8053.4725,792.451,-48.922,651.297,-1181.25,-3395.0,-2590.0,-180.88,60.8,-234.08
8053.5225,789.157,-44.469,650.199,-1741.25,-4200.0,-2922.5,-171.76,54.72,-229.52
8053.5725,794.464,-47.763,652.761,-2555.0,-3701.25,-2065.0,-179.36,68.4,-237.12
8053.6225,794.647,-44.53,652.334,-1811.25,-4095.0,-175.0,-174.8,51.68,-221.92
8053.6725,793.976,-43.798,654.164,-1295.0,-3106.25,822.5,-185.44,59.28,-234.08
8053.7225,797.331,-45.75,655.079,-1688.75,-2187.5,3053.75,-186.96,71.44,-217.36
8053.7725,791.475,-50.569,654.347,-962.5,-2528.75,3325.0,-190.0,60.8,-231.04
8053.8225,797.819,-56.364,657.397,-533.75,-1260.0,3272.5,-183.92,69.92,-224.96
8053.8725,793.854,-54.351,664.29,-1128.75,1076.25,1426.25,-200.64,45.6,-226.48
8053.9225,781.471,-54.778,667.767,-813.75,1277.5,-752.5,-179.36,66.88,-221.92
8053.9725,757.803,-49.837,668.743,-1461.25,-1496.25,-2257.5,-191.52,42.56,-246.24
8054.0227,763.842,-56.364,678.625,-2205.0,-1942.5,-3255.0,-170.24,74.48,-252.32
8054.0725,768.539,-45.628,676.551,-1050.0,-3990.0,-2012.5,-173.28,60.8,-244.72
8054.1226,776.042,-42.09,681.431,-988.75,-4497.5,-1198.75,-167.2,60.8,-243.2
8054.1725,774.395,-37.942,681.065,-1907.5,-2922.5,-840.0,-176.32,65.36,-231.04
8054.2225,762.195,-42.456,679.784,-2423.75,-2511.25,-288.75,-179.36,59.28,-246.24
8054.2726,762.988,-50.935,682.712,-1968.75,-4226.25,-70.0,-190.0,42.56,-244.72
8054.3225,763.415,-48.617,683.993,-875.0,-5381.25,-131.25,-193.04,60.8,-235.6
8054.3725,763.964,-44.286,680.577,-1636.25,-5906.25,-35.0,-179.36,57.76,-237.12
8054.4225,775.249,-39.955,679.845,-2222.5,-5258.75,-612.5,-171.76,57.76,-238.64
