TimeStamp,Code
7343.1691,sw_10
7349.1801,sw_20
7353.2131,sw_11
7359.236,sw_20
7363.2903,sw_10
7369.2885,sw_20
7373.3725,sw_10
7379.3829,sw_20
7383.4325,sw_11
7389.4528,sw_20
7394.9384,sw_11
7400.932,sw_20
7404.9944,sw_10
7411.0074,sw_20
7415.0474,sw_10
7421.0624,sw_20
7425.1186,sw_11
7431.1192,sw_20
7435.1734,sw_10
7441.2028,sw_20
7446.587,sw_11
7452.6088,sw_20
7456.6566,sw_10
7462.6705,sw_20
7466.7259,sw_10
7472.738,sw_20
7476.7733,sw_10
7482.816,sw_20
7486.8587,sw_10
7492.8612,sw_20
7502.1373,sw_10
7508.1409,sw_20
7512.1824,sw_10
7518.208,sw_20
7522.2578,sw_10
7528.2689,sw_20
7532.3131,sw_10
7538.3006,sw_20
7542.3742,sw_11
7548.3872,sw_20
7553.7297,sw_10
7559.7429,sw_20
7563.7863,sw_10
7569.8107,sw_20
7573.8518,sw_11
7579.8629,sw_20
7583.9107,sw_10
7589.9081,sw_20
7593.9629,sw_10
7599.991,sw_20
