TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
7330.7893,-911.584,-49.227,-325.191,-822.5,-5416.25,953.75,503.12,-103.36,18.24
7330.8393,-899.933,-45.201,-328.363,-997.5,-4751.25,665.0,492.48,-106.4,7.6
7330.8893,-910.364,-40.199,-326.411,-1881.25,-4270.0,638.75,478.8,-103.36,4.56
7330.9393,-919.758,-52.216,-325.74,-708.75,-5512.5,323.75,501.6,-109.44,18.24
7330.9895,-906.399,-51.972,-323.361,-1190.0,-5652.5,726.25,497.04,-104.88,3.04
7331.0393,-905.545,-43.737,-322.507,-1067.5,-5118.75,787.5,477.28,-109.44,13.68
7331.0893,-913.719,-44.835,-325.13,-1776.25,-5101.25,735.0,490.96,-94.24,1.52
7331.1393,-913.902,-46.36,-324.032,-1662.5,-5022.5,166.25,500.08,-98.8,10.64
7331.1893,-901.458,-43.676,-325.679,-2598.75,-3937.5,971.25,480.32,-100.32,15.2
7331.2393,-915.915,-50.142,-328.79,-1522.5,-3753.75,17.5,489.44,-100.32,1.52
7331.2893,-906.338,-50.447,-324.337,-1006.25,-4733.75,691.25,481.84,-88.16,-10.64
7331.3393,-908.046,-50.813,-323.178,-358.75,-3823.75,1058.75,474.24,-104.88,3.04
7331.3893,-913.353,-44.774,-325.252,-1890.0,-4838.75,428.75,494.0,-110.96,15.2
7331.4393,-906.826,-49.349,-324.703,-1426.25,-3753.75,770.0,498.56,-94.24,-6.08
7331.4893,-912.316,-47.336,-326.716,-1811.25,-4803.75,621.25,497.04,-101.84,16.72
7331.5393,-905.545,-48.983,-328.058,-1076.25,-4935.0,1172.5,494.0,-98.8,15.2
7331.5893,-908.9,-43.981,-328.302,-980.0,-4943.75,1330.0,500.08,-101.84,18.24
7331.6393,-904.63,-45.628,-329.583,-1758.75,-4270.0,997.5,504.64,-80.56,13.68
7331.6893,-910.12,-43.066,-327.387,-1925.0,-3981.25,717.5,506.16,-98.8,1.52
7331.7393,-907.924,-45.872,-327.753,-1566.25,-3876.25,866.25,515.28,-88.16,9.12
7331.7893,-911.828,-49.41,-330.132,-560.0,-4243.75,586.25,495.52,-97.28,9.12
7331.8393,-907.253,-41.541,-328.363,-1995.0,-5608.75,26.25,507.68,-106.4,16.72
7331.8893,-913.17,-44.225,-327.875,-428.75,-5495.0,236.25,512.24,-91.2,-9.12
7331.9393,-904.63,-51.118,-326.777,-988.75,-5013.75,463.75,492.48,-97.28,4.56
7331.9893,-906.033,-46.238,-323.91,-840.0,-4252.5,341.25,512.24,-95.76,-1.52
7332.0393,-911.889,-49.227,-324.642,-1531.25,-4602.5,498.75,507.68,-97.28,15.2
7332.0893,-904.203,-50.63,-326.411,-1662.5,-4226.25,218.75,512.24,-112.48,6.08
7332.1394,-904.691,-45.506,-331.291,-1636.25,-4147.5,717.5,503.12,-101.84,15.2
7332.1893,-910.425,-47.946,-330.132,-446.25,-4716.25,1365.0,504.64,-100.32,12.16
7332.2393,-911.157,-54.168,-331.169,-831.25,-5600.0,1715.0,506.16,-97.28,15.2
7332.2893,-908.29,-46.36,-324.032,-603.75,-6536.25,857.5,513.76,-106.4,7.6
7332.3393,-904.63,-37.759,-317.81,-2082.5,-6597.5,1225.0,497.04,-89.68,-1.52
7332.3893,-916.22,-39.955,-316.773,-2695.0,-6763.75,306.25,506.16,-85.12,28.88
7332.4393,-915.0,-53.497,-312.076,-1855.0,-6912.5,796.25,501.6,-114.0,12.16
7332.4893,-909.327,-60.512,-317.81,1128.75,-5110.0,2213.75,503.12,-106.4,-1.52
7332.5393,-903.166,-32.208,-327.204,1023.75,-1172.5,2957.5,490.96,-104.88,6.08
7332.5893,-909.144,-41.846,-329.827,-1155.0,-1636.25,1417.5,504.64,-100.32,16.72
7332.6393,-908.412,-41.602,-326.838,-910.0,-3430.0,1391.25,504.64,-97.28,19.76
7332.6893,-909.815,-43.859,-327.753,-1146.25,-5512.5,481.25,500.08,-98.8,6.08
7332.7393,-907.497,-47.397,-327.143,-78.75,-5950.0,-105.0,494.0,-101.84,-4.56
7332.7893,-899.262,-36.539,-326.472,-761.25,-4375.0,743.75,503.12,-103.36,-7.6
7332.8393,-915.122,-50.691,-322.873,-682.5,-5565.0,-402.5,515.28,-107.92,7.6
7332.8893,-905.85,-44.652,-322.69,-2222.5,-4593.75,-297.5,510.72,-109.44,10.64
7332.9393,-909.388,-52.948,-317.81,-875.0,-5162.5,-210.0,498.56,-103.36,6.08
7332.9893,-907.924,-47.885,-321.958,-1382.5,-4803.75,542.5,498.56,-107.92,7.6
7333.0393,-917.928,-47.275,-321.47,-980.0,-5460.0,761.25,498.56,-112.48,10.64
7333.0893,-903.654,-44.835,-321.165,-1242.5,-4830.0,1251.25,500.08,-107.92,7.6
7333.1393,-909.266,-56.181,-322.385,-533.75,-3193.75,726.25,475.76,-97.28,-4.56
7333.1895,-910.242,-43.31,-324.093,-1015.0,-4803.75,700.0,498.56,-97.28,18.24
7333.2393,-906.826,-45.14,-327.387,-1032.5,-4095.0,743.75,498.56,-110.96,4.56
7333.2893,-910.425,-46.97,-321.226,-665.0,-4865.0,542.5,495.52,-106.4,4.56
7333.3393,-909.022,-43.554,-321.897,-1653.75,-4515.0,673.75,492.48,-95.76,15.2
7333.3893,-907.07,-45.445,-323.666,-1242.5,-4970.0,875.0,507.68,-106.4,6.08
7333.4393,-909.998,-45.323,-323.605,-1968.75,-4637.5,463.75,494.0,-100.32,4.56
7333.4893,-908.656,-45.933,-325.191,-3053.75,-4663.75,385.0,492.48,-110.96,6.08
7333.5393,-910.73,-49.288,-324.886,-2275.0,-3876.25,603.75,486.4,-100.32,-9.12
7333.5893,-908.168,-46.848,-325.13,-1627.5,-4208.75,778.75,501.6,-98.8,-15.2
7333.6393,-907.558,-47.885,-324.581,-1811.25,-4628.75,175.0,509.2,-94.24,7.6
7333.6893,-908.107,-47.702,-324.642,-1750.0,-4226.25,-376.25,503.12,-101.84,3.04
7333.7393,-904.996,-48.129,-326.106,-2301.25,-4383.75,-227.5,509.2,-85.12,9.12
7333.7893,-910.852,-50.996,-322.751,-2423.75,-5372.5,866.25,498.56,-103.36,12.16
7333.8393,-905.118,-45.445,-323.361,-1925.0,-5512.5,831.25,509.2,-97.28,13.68
7333.8893,-914.695,-50.264,-320.799,-1321.25,-5040.0,262.5,512.24,-92.72,4.56
7333.9393,-910.486,-47.336,-316.529,-1417.5,-5958.75,262.5,503.12,-94.24,9.12
7333.9893,-912.255,-48.8,-318.725,-1776.25,-4725.0,866.25,497.04,-103.36,6.08
7334.0393,-902.434,-48.861,-321.653,-1986.25,-3972.5,1155.0,518.32,-92.72,12.16
7334.0893,-898.225,-49.715,-323.971,-2957.5,-2441.25,1023.75,507.68,-88.16,1.52
7334.1393,-911.767,-46.299,-328.363,-1715.0,-1435.0,831.25,504.64,-100.32,-6.08
7334.1893,-913.841,-47.458,-326.472,-1890.0,-2528.75,1295.0,509.2,-82.08,12.16
7334.2393,-904.752,-37.698,-329.339,-2187.5,-4436.25,822.5,516.8,-101.84,4.56
7334.2893,-904.447,-48.373,-328.119,-1321.25,-4830.0,717.5,509.2,-94.24,-3.04
7334.3394,-909.388,-42.944,-327.448,-2065.0,-5985.0,350.0,516.8,-94.24,7.6
7334.3893,-910.608,-45.933,-324.825,-1907.5,-6457.5,-35.0,497.04,-98.8,3.04
7334.4393,-906.582,-45.689,-325.191,-1697.5,-6536.25,166.25,513.76,-106.4,10.64
7334.4893,-910.669,-45.872,-323.239,-1618.75,-6002.5,813.75,500.08,-107.92,12.16
7334.5393,-905.728,-46.238,-322.507,-1207.5,-5188.75,700.0,504.64,-110.96,7.6
7334.5893,-915.793,-47.641,-319.945,-297.5,-5241.25,122.5,504.64,-95.76,3.04
7334.6393,-908.717,-54.046,-316.468,446.25,-5048.75,1338.75,487.92,-83.6,4.56
7334.6893,-907.131,-46.909,-319.213,1058.75,-5556.25,1032.5,506.16,-104.88,13.68
7334.7393,-906.643,-42.212,-321.226,-717.5,-4978.75,385.0,497.04,-100.32,-4.56
7334.7893,-917.928,-42.883,-319.03,-1312.5,-6055.0,-245.0,490.96,-118.56,10.64
7334.8393,-907.131,-49.837,-319.03,-1881.25,-5941.25,446.25,495.52,-107.92,15.2
7334.8893,-905.972,-53.436,-316.224,-1102.5,-4436.25,761.25,500.08,-112.48,1.52
7334.9393,-914.817,-52.277,-318.176,-1522.5,-4611.25,1435.0,504.64,-95.76,16.72
7334.9893,-915.427,-49.532,-320.372,-1925.0,-5180.0,1050.0,490.96,-95.76,3.04
7335.0393,-905.057,-53.802,-319.091,-2721.25,-4690.0,883.75,509.2,-100.32,-4.56
7335.0893,-913.902,-49.532,-319.64,-621.25,-4243.75,665.0,497.04,-112.48,12.16
7335.1393,-907.314,-49.593,-320.189,-1916.25,-4182.5,1006.25,494.0,-89.68,4.56
7335.1893,-911.767,-46.055,-318.725,-1890.0,-4445.0,1128.75,497.04,-94.24,3.04
7335.2393,-910.547,-49.105,-321.409,-2222.5,-4803.75,682.5,503.12,-98.8,4.56
7335.2893,-908.717,-44.408,-320.677,-2292.5,-5005.0,1050.0,492.48,-98.8,21.28
7335.3393,-908.29,-45.445,-317.627,-796.25,-5617.5,1172.5,489.44,-83.6,3.04
7335.3894,-910.669,-50.02,-319.64,-1286.25,-4655.0,840.0,506.16,-95.76,-7.6
7335.4393,-909.327,-48.129,-318.664,-2065.0,-4585.0,1128.75,506.16,-88.16,-3.04
7335.4893,-911.401,-45.079,-317.261,-1750.0,-4760.0,603.75,507.68,-82.08,9.12
7335.5393,-908.046,-45.933,-319.762,-1653.75,-4620.0,367.5,509.2,-91.2,12.16
7335.5893,-907.497,-46.726,-318.359,-1610.0,-4751.25,227.5,504.64,-104.88,-9.12
7335.6393,-912.682,-47.336,-322.812,-2563.75,-4672.5,1041.25,495.52,-89.68,18.24
7335.6893,-916.281,-44.042,-320.006,-1680.0,-6160.0,323.75,521.36,-88.16,9.12
7335.7393,-910.303,-51.118,-315.797,-1785.0,-5066.25,358.75,510.72,-106.4,13.68
7335.7893,-913.963,-46.726,-315.797,-1750.0,-4550.0,227.5,490.96,-91.2,-4.56
7335.8393,-913.902,-53.497,-319.518,-743.75,-5565.0,682.5,500.08,-104.88,-10.64
7335.8893,-912.56,-47.763,-314.333,-988.75,-5433.75,796.25,519.84,-109.44,3.04
7335.9393,-908.9,-60.268,-317.444,-166.25,-4978.75,2310.0,490.96,-82.08,19.76
7335.9893,-913.536,-63.074,-318.176,4786.25,-5827.5,5162.5,486.4,-100.32,-1.52
7336.0393,-913.414,-75.762,-318.969,14323.75,-6475.0,12390.0,507.68,-101.84,-1.52
7336.0893,-925.37,-93.208,-303.963,34956.25,-7848.75,30082.5,497.04,-85.12,-3.04
7336.1393,-878.4,-40.443,-344.101,48597.5,-7577.5,39418.75,507.68,-115.52,16.72
7336.1893,-941.352,-2.013,-313.479,56936.25,-2782.5,46628.75,492.48,-112.48,9.12
7336.2393,-886.879,-69.601,-303.109,81051.25,-8557.5,55606.25,495.52,-145.92,25.84
7336.2893,-892.247,22.021,-330.254,86056.25,-7052.5,65887.5,487.92,-153.52,27.36
7336.3393,-912.682,60.512,-335.927,98253.75,-9380.0,68635.0,490.96,-153.52,39.52
7336.3893,-920.368,187.941,-345.87,88497.5,-15435.0,58362.5,457.52,-177.84,41.04
7336.4393,-868.884,177.998,-323.544,53322.5,-7542.5,38683.75,468.16,-174.8,57.76
7336.4893,-899.201,178.425,-334.097,34790.0,-4856.25,23038.75,448.4,-180.88,65.36
7336.5394,-899.018,168.665,-331.779,20658.75,-5381.25,15365.0,448.4,-190.0,62.32
7336.5893,-896.883,148.84,-330.62,6037.5,-3438.75,7621.25,449.92,-194.56,62.32
7336.6393,-899.506,146.034,-331.413,411.25,-2817.5,2598.75,440.8,-194.56,69.92
7336.6893,-893.833,133.285,-333.548,-1277.5,-3088.75,245.0,445.36,-182.4,65.36
7336.7393,-898.042,127.917,-332.206,-2161.25,-4410.0,796.25,440.8,-174.8,66.88
7336.7893,-895.48,114.68,-328.668,280.0,-5118.75,2318.75,425.6,-180.88,69.92
7336.8393,-893.04,145.363,-334.768,70.0,-5591.25,1697.5,428.64,-176.32,77.52
7336.8893,-888.709,124.379,-332.023,1303.75,-2703.75,1146.25,449.92,-188.48,63.84
7336.9393,-902.19,142.923,-336.537,1513.75,-3062.5,2721.25,425.6,-197.6,79.04
7336.9893,-886.696,130.54,-336.72,-603.75,-2537.5,630.0,431.68,-174.8,80.56
7337.0393,-896.151,138.287,-336.293,-1286.25,-3447.5,1041.25,446.88,-180.88,66.88
7337.0893,-885.598,133.59,-343.735,-2415.0,-4620.0,297.5,440.8,-193.04,72.96
7337.1393,-894.199,136.518,-337.086,-2625.0,-4707.5,621.25,452.96,-174.8,79.04
7337.1893,-890.295,129.747,-342.82,-1592.5,-4628.75,1181.25,449.92,-185.44,69.92
7337.2393,-892.918,138.226,-341.173,-1855.0,-4830.0,507.5,439.28,-177.84,80.56
7337.2893,-895.236,137.006,-339.953,-1303.75,-5346.25,743.75,465.12,-182.4,83.6
7337.3393,-888.526,135.115,-338.611,-2677.5,-5320.0,-122.5,465.12,-174.8,71.44
7337.3893,-893.894,139.08,-336.903,-3850.0,-5512.5,-1312.5,445.36,-188.48,72.96
7337.4393,-890.905,139.385,-336.842,-5092.5,-5232.5,-2537.5,466.64,-182.4,71.44
7337.4893,-898.896,118.706,-334.646,-2887.5,-6011.25,-560.0,463.6,-174.8,80.56
7337.5393,-893.589,139.568,-332.389,-3325.0,-6877.5,551.25,454.48,-180.88,68.4
7337.5895,-885.476,123.891,-327.387,-1583.75,-5241.25,358.75,456.0,-171.76,68.4
7337.6393,-896.578,127.734,-329.888,-376.25,-4856.25,1776.25,446.88,-171.76,71.44
7337.6893,-898.652,139.263,-333.487,-1321.25,-5398.75,936.25,463.6,-188.48,59.28
7337.7393,-888.038,131.699,-332.267,-1417.5,-4532.5,17.5,451.44,-176.32,77.52
7337.7893,-901.58,146.522,-330.986,-5713.75,-4567.5,-4873.75,451.44,-180.88,77.52
7337.8393,-914.085,199.897,-322.385,-15373.75,-8347.5,-22706.25,445.36,-179.36,66.88
7337.8893,-887.855,255.712,-350.018,-58940.0,-12057.5,-80351.25,465.12,-190.0,66.88
7337.9393,-889.685,192.028,-342.393,-96241.25,-6868.75,-115132.5,481.84,-148.96,51.68
7337.9893,-851.682,-97.6,-359.351,-132273.75,-5696.25,-119341.25,494.0,-129.2,47.12
7338.0393,-914.512,-276.391,-323.239,-65843.75,918.75,-40311.25,501.6,-95.76,33.44
7338.0893,-969.656,-212.768,-313.845,-24088.75,-6168.75,14420.0,498.56,-94.24,44.08
7338.1393,-918.721,-23.729,-294.752,-12145.0,-16808.75,26652.5,500.08,-106.4,21.28
7338.1893,-823.134,-30.134,-342.271,-23126.25,-4882.5,-16432.5,500.08,-118.56,27.36
7338.2393,-908.351,8.723,-325.557,-44143.75,-2353.75,-42455.0,500.08,-112.48,18.24
7338.2893,-929.457,-145.729,-299.754,-37721.25,-7612.5,-42035.0,500.08,-94.24,10.64
7338.3393,-908.839,-120.109,-314.638,-27413.75,-4795.0,-24351.25,521.36,-91.2,15.2
7338.3893,-933.91,-144.387,-309.087,-13361.25,-7726.25,-1977.5,506.16,-77.52,12.16
7338.4393,-913.109,-104.493,-311.405,192.5,-9231.25,9458.75,507.68,-95.76,1.52
7338.4893,-905.24,-84.546,-310.429,-2668.75,-6930.0,11558.75,509.2,-103.36,15.2
7338.5393,-916.22,-62.037,-301.706,-10876.25,-7542.5,11445.0,512.24,-97.28,21.28
7338.5893,-914.695,-58.377,-295.606,1977.5,-10062.5,12880.0,500.08,-98.8,1.52
7338.6393,-915.61,-59.231,-296.704,2152.5,-11593.75,11742.5,510.72,-115.52,4.56
7338.6893,-919.636,-38.491,-286.334,1076.25,-9485.0,4471.25,487.92,-120.08,-3.04
7338.7394,-916.403,-30.805,-283.406,-857.5,-8023.75,166.25,518.32,-117.04,1.52
7338.7893,-927.871,-41.358,-281.942,-2458.75,-7525.0,-3333.75,506.16,-104.88,-4.56
7338.8393,-927.017,-50.264,-276.879,-3841.25,-7726.25,-2721.25,501.6,-98.8,4.56
7338.8893,-924.394,-61.793,-275.476,-1968.75,-8058.75,-262.5,513.76,-104.88,-6.08
7338.9393,-923.967,-57.706,-276.025,17.5,-7498.75,1015.0,519.84,-106.4,-6.08
7338.9893,-929.518,-48.068,-270.047,-1023.75,-6650.0,857.5,503.12,-103.36,-15.2
7339.0393,-922.808,-55.327,-267.485,-1566.25,-5976.25,148.75,498.56,-103.36,-7.6
7339.0893,-919.941,-55.022,-269.559,-1522.5,-5302.5,105.0,501.6,-110.96,-4.56
7339.1393,-926.224,-52.399,-270.962,-2135.0,-4165.0,717.5,518.32,-94.24,-9.12
7339.1893,-922.32,-50.447,-273.951,-2607.5,-3605.0,297.5,518.32,-88.16,-9.12
7339.2393,-923.784,-46.604,-276.94,-5740.0,-2187.5,-822.5,510.72,-114.0,-7.6
7339.2893,-927.688,-56.73,-280.539,-6405.0,-3386.25,-1715.0,522.88,-95.76,1.52
7339.3393,-920.734,-61.61,-278.709,-5950.0,-3412.5,-1181.25,506.16,-106.4,-4.56
7339.3893,-924.699,-59.17,-272.853,-2651.25,-4086.25,35.0,497.04,-112.48,-4.56
7339.4393,-929.823,-61.793,-280.417,-2808.75,-5591.25,883.75,504.64,-107.92,7.6
7339.4893,-926.102,-51.85,-273.524,-2563.75,-5425.0,1636.25,497.04,-101.84,-10.64
7339.5393,-928.847,-54.473,-261.202,-1216.25,-6020.0,5197.5,503.12,-104.88,3.04
7339.5893,-922.747,-54.717,-275.415,516.25,-5188.75,5153.75,497.04,-104.88,-4.56
