TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2718.0096,10505.73,-7615.42,-6246.76,-17687.18,-17687.28,-20254.33,-27617.51,5508.61
2718.0136,10491.28,-7660.58,-6335.21,-17754.27,-17691.09,-20314.03,-28007.56,5483.2
2718.0176,10615.25,-7559.78,-6245.95,-17678.17,-17548.28,-20185.81,-28140.55,5607.18
2718.0216,10680.49,-7466.75,-6129.12,-17577.84,-17481.62,-20092.49,-27838.28,5665.97
2718.0256,10606.96,-7500.12,-6140.28,-17580.08,-17570.26,-20153.95,-27524.52,5597.54
2718.0296,10521.84,-7603.79,-6229.97,-17687.13,-17679.26,-20223.38,-27600.15,5539.61
2718.0336,10538.25,-7621.34,-6279.47,-17722.89,-17646.7,-20221.09,-27941.37,5572.51
2718.0376,10631.94,-7533.22,-6238.6,-17633.92,-17517.33,-20177.37,-28139.26,5616.38
2718.0416,10671.81,-7477.38,-6154.82,-17596.58,-17504.84,-20137.12,-27881.91,5631.16
2718.0456,10574.72,-7541.18,-6189.78,-17644.46,-17632.44,-20226.91,-27586.22,5538.61
2718.0496,10469.87,-7659.96,-6291.34,-17758.9,-17761.42,-20303.82,-27669.58,5471.04
2718.0536,10503.77,-7653.9,-6323.15,-17750.93,-17683.51,-20276.26,-27983.62,5504.42
2718.0576,10606.91,-7576.18,-6247.9,-17699.77,-17570.12,-20169.5,-28152.18,5613.14
2718.0616,10655.45,-7505.37,-6154.01,-17629.53,-17538.5,-20114.42,-27882.96,5649.38
2718.0656,10577.63,-7542.32,-6176.66,-17644.65,-17627.43,-20193.63,-27570.06,5567.22
2718.0696,10494.66,-7634.02,-6261.4,-17720.65,-17711.21,-20250.99,-27637.1,5515.1
2718.0735,10528.9,-7632.02,-6297.35,-17723.75,-17646.17,-20238.97,-27952.91,5547.86
2718.0775,10639.95,-7542.37,-6227.3,-17659.95,-17518.95,-20144.75,-28111.89,5637.07
2718.0815,10693.84,-7464.46,-6128.07,-17578.08,-17479.37,-20078.38,-27838.76,5676.27
2718.0855,10636.71,-7478.24,-6126.45,-17553.14,-17533.26,-20119.86,-27500.35,5623.63
2718.0895,10544.87,-7571.17,-6223.39,-17632.44,-17625.05,-20212.46,-27582.17,5552.1
2718.0935,10541.87,-7615.42,-6290.67,-17709.92,-17639.07,-20233.92,-27935.22,5555.06
2718.0975,10644.68,-7539.46,-6222.49,-17666.72,-17530.2,-20139.74,-28118.14,5652.81
2718.1015,10697.03,-7467.94,-6128.98,-17595.48,-17497.73,-20086.1,-27848.63,5674.17
2718.1055,10630.42,-7496.64,-6131.36,-17595.63,-17574.84,-20142.41,-27511.79,5605.46
2718.1095,10515.88,-7602.93,-6252.43,-17678.22,-17672.83,-20284.51,-27631.76,5505.75
2718.1135,10534.76,-7623.29,-6298.69,-17715.31,-17639.93,-20266.2,-27955.49,5532.46
2718.1175,10651.07,-7532.74,-6217.15,-17648.99,-17511.51,-20146.99,-28109.84,5645.66
2718.1215,10712.82,-7444.19,-6114.96,-17554.29,-17452.62,-20076.42,-27830.89,5686.47
2718.1255,10639.62,-7478.43,-6125.31,-17558.15,-17539.6,-20131.54,-27512.32,5621.0
2718.1295,10538.25,-7590.1,-6221.87,-17661.53,-17651.89,-20211.51,-27592.57,5555.44
2718.1335,10554.22,-7604.89,-6272.84,-17683.7,-17612.32,-20211.6,-27925.02,5575.8
2718.1375,10638.33,-7539.18,-6238.89,-17642.69,-17510.94,-20171.74,-28122.0,5618.0
2718.1415,10687.78,-7466.56,-6149.58,-17565.2,-17466.26,-20118.81,-27857.02,5648.61
2718.1455,10618.26,-7505.32,-6145.95,-17585.85,-17562.11,-20150.0,-27527.81,5603.27
2718.1495,10514.31,-7620.29,-6243.09,-17698.15,-17679.22,-20226.1,-27602.29,5528.02
2718.1535,10519.17,-7656.96,-6296.44,-17758.8,-17671.21,-20227.67,-27945.24,5554.1
2718.1575,10617.83,-7571.32,-6246.42,-17684.56,-17549.71,-20176.7,-28143.74,5613.71
2718.1615,10674.05,-7483.58,-6149.72,-17590.33,-17505.12,-20124.39,-27877.67,5642.94
2718.1655,10612.68,-7519.25,-6140.95,-17621.23,-17606.79,-20162.68,-27541.93,5597.31
2718.1695,10510.78,-7619.24,-6247.47,-17703.87,-17696.19,-20262.29,-27619.32,5511.48
2718.1735,10518.84,-7641.75,-6306.84,-17737.34,-17662.53,-20265.49,-27952.15,5519.15
2718.1775,10625.17,-7560.44,-6243.9,-17683.6,-17544.56,-20176.99,-28132.97,5607.18
2718.1815,10662.03,-7502.32,-6168.94,-17630.77,-17531.54,-20133.78,-27892.45,5632.69
2718.1855,10582.21,-7543.14,-6189.11,-17644.12,-17624.95,-20194.39,-27573.87,5559.11
2718.1895,10486.41,-7641.84,-6287.29,-17723.75,-17708.64,-20275.17,-27637.91,5485.96
2718.1935,10495.23,-7670.59,-6343.41,-17775.39,-17695.0,-20280.65,-27978.47,5499.89
2718.1975,10592.84,-7595.97,-6287.86,-17724.37,-17585.9,-20204.12,-28166.97,5579.62
2718.2015,10643.2,-7516.43,-6199.69,-17640.64,-17535.59,-20154.38,-27909.19,5609.32
2718.2055,10578.2,-7545.81,-6197.98,-17647.79,-17617.51,-20194.34,-27572.83,5556.15
2718.2095,10469.01,-7660.1,-6301.83,-17743.92,-17726.8,-20284.89,-27649.6,5476.62
2718.2135,10484.46,-7672.98,-6350.76,-17762.62,-17685.18,-20274.45,-27972.08,5495.74
2718.2175,10578.3,-7596.54,-6303.74,-17702.53,-17566.54,-20212.94,-28168.35,5556.01
2718.2215,10616.97,-7529.69,-6230.78,-17632.77,-17530.01,-20189.34,-27934.08,5573.75
2718.2255,10551.55,-7558.39,-6230.4,-17637.02,-17619.04,-20233.97,-27603.96,5520.87
2718.2295,10441.07,-7686.33,-6325.44,-17772.15,-17772.87,-20311.69,-27684.02,5454.59
2718.2335,10456.61,-7704.12,-6371.59,-17811.25,-17739.01,-20299.15,-28003.22,5476.28
2718.2375,10585.45,-7598.02,-6280.23,-17719.65,-17581.37,-20176.37,-28158.48,5596.21
2718.2415,10645.3,-7511.66,-6183.39,-17625.24,-17525.06,-20132.11,-27910.43,5634.02
2718.2455,10578.44,-7549.91,-6186.82,-17638.26,-17621.57,-20182.61,-27575.21,5563.21
2718.2495,10492.47,-7636.02,-6273.51,-17704.39,-17695.0,-20250.66,-27620.7,5502.94
2718.2535,10481.45,-7676.27,-6360.1,-17765.81,-17687.99,-20309.4,-27980.62,5470.56
2718.2575,10596.75,-7588.82,-6284.09,-17704.35,-17566.25,-20200.97,-28157.81,5584.15
2718.2615,10676.29,-7481.53,-6165.6,-17594.2,-17482.66,-20112.99,-27879.24,5646.18
2718.2654,10619.36,-7493.54,-6161.64,-17573.17,-17537.64,-20165.4,-27545.17,5580.14
2718.2694,10512.64,-7616.66,-6255.96,-17690.85,-17679.36,-20241.88,-27612.64,5514.72
2718.2734,10522.65,-7646.47,-6305.5,-17739.25,-17660.52,-20226.67,-27934.84,5528.74
2718.2774,10607.91,-7573.08,-6272.32,-17680.74,-17540.03,-20194.91,-28155.85,5586.29
2718.2814,10652.69,-7507.61,-6193.97,-17615.51,-17514.99,-20164.06,-27925.26,5616.14
2718.2854,10600.85,-7526.26,-6178.14,-17613.27,-17585.04,-20183.47,-27572.44,5564.21
2718.2894,10503.91,-7630.87,-6258.3,-17709.69,-17689.04,-20245.41,-27625.56,5514.53
2718.2934,10521.37,-7647.56,-6308.13,-17737.06,-17650.22,-20227.34,-27927.69,5531.69
2718.2974,10620.45,-7552.0,-6264.54,-17638.07,-17505.84,-20185.33,-28143.17,5596.69
2718.3014,10660.36,-7482.62,-6193.59,-17573.55,-17473.89,-20179.37,-27921.35,5605.51
2718.3054,10585.02,-7535.79,-6192.26,-17617.18,-17584.85,-20202.88,-27588.42,5557.49
2718.3094,10475.92,-7653.52,-6292.15,-17728.76,-17701.15,-20285.18,-27647.59,5490.97
2718.3134,10512.97,-7654.29,-6313.42,-17755.89,-17661.43,-20244.27,-27943.19,5554.1
2718.3174,10621.55,-7570.7,-6247.71,-17680.5,-17539.26,-20156.0,-28131.06,5635.69
2718.3214,10660.65,-7504.42,-6176.81,-17612.41,-17506.65,-20134.5,-27910.19,5622.34
2718.3254,10598.23,-7529.93,-6173.52,-17621.09,-17586.47,-20184.04,-27573.68,5563.31
2718.3294,10501.1,-7627.68,-6266.31,-17699.77,-17681.79,-20274.12,-27627.95,5492.4
2718.3334,10522.94,-7641.27,-6306.6,-17727.85,-17647.79,-20261.81,-27943.23,5521.87
2718.3374,10639.72,-7547.47,-6233.03,-17656.38,-17513.71,-20157.01,-28119.66,5622.63
2718.3414,10729.22,-7421.64,-6113.01,-17497.97,-17399.36,-20062.93,-27833.42,5683.14
2718.3454,10678.91,-7432.65,-6102.61,-17486.81,-17449.29,-20101.88,-27487.19,5639.36
2718.3494,10544.25,-7593.49,-6216.0,-17664.43,-17642.12,-20199.4,-27578.4,5564.79
2718.3534,10513.26,-7669.21,-6304.74,-17776.92,-17692.85,-20247.37,-27949.29,5528.26
2718.3574,10600.47,-7597.5,-6269.93,-17725.9,-17577.36,-20194.44,-28161.77,5581.67
2718.3614,10655.07,-7496.64,-6201.55,-17595.53,-17480.9,-20187.33,-27934.41,5585.58
2718.3654,10583.35,-7526.73,-6215.57,-17597.25,-17561.96,-20246.17,-27611.26,5516.43
2718.3694,10489.66,-7640.12,-6282.66,-17710.97,-17705.49,-20282.03,-27648.98,5486.68
2718.3734,10502.48,-7674.03,-6317.85,-17770.53,-17698.48,-20245.89,-27958.06,5537.18
2718.3774,10577.39,-7625.63,-6293.25,-17761.28,-17610.17,-20210.7,-28190.76,5569.74
2718.3814,10637.52,-7530.98,-6207.99,-17645.5,-17536.17,-20163.73,-27948.38,5596.78
2718.3854,10576.68,-7564.31,-6201.32,-17659.43,-17630.01,-20194.29,-27611.45,5562.59
2718.3894,10455.18,-7675.65,-6326.06,-17756.56,-17738.54,-20340.78,-27680.5,5441.0
2718.3933,10450.22,-7708.26,-6390.29,-17796.71,-17718.36,-20358.37,-28012.23,5434.32
