TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1289.397,-39881.09,-42940.91,-40458.25,-50496.63,-46966.61,-44971.28,-68530.38,-29048.26
1289.401,-39871.98,-42939.1,-40474.32,-50513.94,-46962.6,-44966.51,-68572.82,-29039.58
1289.405,-39861.3,-42922.45,-40454.68,-50496.87,-46940.05,-44961.08,-68568.57,-29048.3
1289.409,-39856.82,-42912.2,-40419.49,-50462.35,-46924.22,-44954.97,-68521.17,-29049.59
1289.413,-39864.83,-42921.02,-40421.44,-50455.91,-46929.03,-44957.21,-68483.55,-29055.69
1289.417,-39872.51,-42929.65,-40463.12,-50475.41,-46941.33,-44982.25,-68511.97,-29079.06
1289.421,-39863.02,-42922.69,-40478.57,-50483.8,-46933.13,-44984.2,-68559.32,-29072.1
1289.425,-39851.0,-42910.58,-40453.39,-50469.12,-46917.16,-44969.75,-68555.32,-29069.28
1289.429,-39852.77,-42914.16,-40417.49,-50456.63,-46920.83,-44947.58,-68512.26,-29049.02
1289.433,-39862.35,-42922.93,-40421.11,-50452.1,-46930.27,-44945.58,-68484.89,-29042.2
1289.437,-39855.15,-42911.34,-40445.86,-50450.38,-46912.25,-44953.07,-68494.76,-29043.82
1289.441,-39852.72,-42910.77,-40470.32,-50471.5,-46910.15,-44971.33,-68545.54,-29058.41
1289.445,-39852.34,-42915.21,-40452.2,-50476.41,-46924.93,-44958.17,-68558.7,-29056.65
1289.449,-39851.86,-42919.64,-40411.52,-50468.55,-46934.47,-44930.84,-68514.78,-29034.81
1289.453,-39853.86,-42915.44,-40412.81,-50455.0,-46926.46,-44940.0,-68478.97,-29025.37
1289.457,-39875.27,-42942.1,-40462.93,-50494.53,-46959.69,-44977.53,-68522.03,-29042.77
1289.4609,-39864.74,-42934.14,-40473.23,-50505.36,-46953.3,-44979.63,-68562.61,-29040.15
1289.4649,-39854.58,-42917.5,-40456.11,-50486.05,-46933.28,-44964.51,-68566.43,-29037.62
1289.4689,-39850.53,-42906.86,-40417.53,-50453.57,-46916.49,-44944.29,-68510.64,-29031.95
1289.4729,-39873.65,-42925.17,-40435.56,-50463.01,-46936.57,-44968.13,-68493.9,-29061.42
1289.4769,-39884.43,-42936.9,-40475.47,-50490.81,-46945.72,-44988.45,-68527.09,-29075.05
1289.4809,-39869.17,-42925.12,-40484.91,-50503.31,-46938.09,-44979.91,-68566.52,-29062.61
1289.4849,-39860.49,-42918.26,-40463.93,-50485.19,-46923.55,-44974.52,-68565.38,-29070.57
1289.4889,-39850.91,-42910.68,-40414.29,-50458.1,-46910.2,-44934.47,-68503.48,-29034.81
1289.4929,-39850.91,-42910.91,-40400.99,-50448.61,-46908.0,-44907.58,-68460.33,-28998.09
1289.4969,-39875.8,-42936.04,-40465.22,-50485.95,-46949.25,-44971.14,-68520.98,-29054.93
1289.5009,-39866.26,-42922.36,-40485.82,-50483.71,-46936.8,-44991.02,-68562.42,-29075.48
1289.5049,-39858.11,-42913.92,-40457.02,-50479.18,-46928.84,-44974.9,-68568.62,-29058.79
1289.5089,-39863.59,-42920.98,-40424.92,-50478.04,-46926.98,-44957.69,-68520.17,-29055.07
1289.5129,-39882.95,-42931.66,-40444.62,-50467.07,-46930.41,-44978.34,-68500.0,-29079.97
1289.5169,-39886.05,-42928.51,-40484.24,-50463.01,-46912.96,-45003.04,-68521.7,-29090.84
1289.5209,-39902.26,-42963.37,-40516.1,-50539.26,-46984.15,-45007.85,-68601.33,-29077.01
1289.5248,-39906.03,-42970.47,-40505.37,-50558.05,-46993.79,-45004.04,-68611.73,-29091.36
1289.5288,-39921.72,-42981.68,-40487.53,-50545.75,-46991.64,-45019.49,-68581.64,-29121.4
1289.5328,-39933.64,-42987.73,-40497.88,-50532.44,-46989.21,-45035.89,-68551.88,-29133.8
1289.5368,-39945.18,-43000.42,-40535.31,-50556.0,-47007.66,-45049.05,-68582.64,-29139.33
1289.5408,-39943.89,-43010.38,-40554.91,-50589.66,-47034.46,-45043.04,-68631.9,-29135.52
1289.5448,-39959.39,-43022.59,-40558.68,-50599.06,-47045.81,-45066.79,-68667.04,-29161.36
1289.5488,-39980.37,-43041.9,-40541.46,-50599.29,-47055.11,-45073.99,-68644.34,-29151.54
1289.5528,-39990.53,-43053.16,-40541.32,-50605.02,-47066.22,-45068.89,-68610.87,-29146.87
1289.5568,-40006.21,-43062.74,-40600.3,-50619.66,-47077.95,-45107.7,-68649.01,-29203.94
1289.5608,-40001.4,-43058.78,-40618.76,-50630.0,-47074.28,-45120.24,-68695.89,-29218.34
1289.5648,-40015.85,-43070.18,-40620.52,-50638.25,-47091.35,-45149.28,-68728.6,-29249.77
1289.5688,-40023.86,-43070.66,-40594.49,-50628.0,-47085.2,-45144.9,-68691.5,-29244.52
1289.5728,-40018.71,-43070.94,-40573.17,-50610.64,-47070.13,-45105.18,-68637.86,-29191.97
1289.5768,-40020.9,-43081.77,-40599.06,-50623.57,-47081.81,-45103.17,-68659.12,-29172.47
1289.5808,-40009.17,-43066.13,-40622.81,-50630.48,-47071.84,-45113.38,-68698.37,-29192.5
1289.5848,-40001.3,-43044.62,-40618.28,-50600.73,-47040.56,-45138.17,-68704.33,-29248.48
1289.5888,-40013.37,-43063.65,-40582.76,-50604.44,-47079.09,-45122.82,-68682.77,-29225.64
1289.5928,-40037.02,-43085.29,-40597.3,-50613.5,-47095.69,-45138.94,-68664.46,-29237.37
1289.5968,-40047.79,-43099.84,-40632.63,-50652.37,-47118.14,-45155.39,-68699.32,-29239.42
1289.6008,-40021.28,-43085.87,-40622.33,-50674.16,-47117.05,-45125.82,-68726.02,-29203.9
1289.6048,-39982.18,-43045.05,-40569.64,-50628.57,-47068.41,-45088.92,-68700.23,-29172.85
1289.6088,-39975.79,-43038.04,-40529.45,-50597.15,-47053.53,-45057.3,-68637.57,-29159.26
1289.6128,-39971.36,-43029.12,-40521.91,-50573.4,-47039.61,-45048.29,-68590.79,-29151.35
1289.6168,-39967.11,-43017.2,-40556.01,-50561.53,-47029.5,-45075.95,-68614.63,-29157.5
