TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2285.7312,3717.85,7186.89,15725.57,3474.28,-1936.96,-3423.79,-14456.46,24679.28
2285.7352,3608.47,7036.31,15604.02,3311.78,-2121.4,-3544.09,-14516.74,24520.4
2285.7392,3527.45,6974.36,15533.59,3240.73,-2181.15,-3606.89,-14580.59,24474.48
2285.7432,3597.64,7087.37,15609.93,3348.73,-2041.58,-3525.73,-14552.69,24598.65
2285.7472,3712.7,7215.83,15725.38,3475.14,-1900.29,-3415.49,-14481.59,24725.06
2285.7512,3723.14,7185.36,15728.24,3453.3,-1948.88,-3412.25,-14451.7,24700.6
2285.7552,3615.19,7045.56,15609.31,3339.96,-2101.52,-3540.9,-14506.2,24522.07
2285.7592,3533.41,6987.24,15539.7,3280.26,-2152.63,-3602.31,-14567.47,24479.25
2285.7632,3583.62,7069.59,15599.25,3327.47,-2060.03,-3532.22,-14567.42,24603.89
2285.7672,3720.43,7221.89,15739.01,3486.3,-1891.47,-3391.36,-14471.39,24763.83
2285.7712,3706.84,7180.93,15707.64,3452.59,-1960.56,-3453.92,-14477.97,24631.46
2285.7752,3603.41,7041.36,15593.15,3316.55,-2124.93,-3561.12,-14528.56,24489.36
2285.7792,3544.66,7005.41,15551.0,3287.65,-2151.35,-3586.58,-14559.7,24491.22
2285.7832,3614.86,7115.03,15630.91,3385.02,-2021.27,-3515.15,-14538.39,24604.85
2285.7872,3722.76,7235.48,15738.11,3498.7,-1886.7,-3419.45,-14478.35,24698.74
2285.7912,3732.35,7199.48,15738.82,3463.17,-1945.59,-3407.81,-14451.46,24685.62
2285.7951,3626.3,7052.18,15617.04,3311.59,-2120.78,-3527.26,-14511.11,24533.04
2285.7991,3545.48,6993.1,15544.99,3260.42,-2170.85,-3605.56,-14578.06,24468.33
2285.8031,3610.61,7103.44,15617.28,3377.96,-2028.8,-3533.75,-14555.03,24577.57
2285.8071,3721.0,7230.19,15727.86,3492.12,-1890.23,-3421.97,-14485.03,24693.02
2285.8111,3729.06,7191.8,15728.9,3459.26,-1948.69,-3421.74,-14462.28,24667.27
2285.8151,3604.79,7035.78,15587.38,3316.26,-2132.32,-3568.55,-14538.81,24474.24
2285.8191,3519.49,6973.51,15510.37,3248.74,-2187.78,-3631.07,-14601.85,24426.51
2285.8231,3581.38,7079.7,15582.32,3358.13,-2050.45,-3556.59,-14579.63,24540.38
2285.8271,3702.45,7213.97,15706.25,3487.06,-1901.39,-3432.56,-14499.05,24669.79
2285.8311,3712.37,7190.13,15704.44,3464.89,-1951.03,-3427.89,-14467.29,24643.9
2285.8351,3606.03,7047.27,15586.9,3336.48,-2114.77,-3536.65,-14520.17,24508.05
2285.8391,3536.51,6994.63,15528.59,3282.83,-2157.16,-3599.6,-14574.15,24463.13
2285.8431,3598.55,7098.01,15597.87,3376.48,-2031.85,-3544.81,-14562.75,24555.54
2285.8471,3717.28,7229.47,15717.03,3510.67,-1879.64,-3416.97,-14485.17,24689.44
2285.8511,3733.25,7206.35,15726.71,3485.25,-1925.13,-3396.37,-14445.88,24687.25
2285.8551,3635.45,7076.69,15613.27,3361.75,-2081.11,-3503.18,-14491.89,24542.95
2285.8591,3561.21,7023.14,15544.61,3295.85,-2135.42,-3571.56,-14551.5,24484.35
2285.8631,3615.9,7124.19,15607.5,3367.57,-2018.02,-3519.96,-14541.96,24569.47
2285.8671,3736.54,7257.41,15730.53,3546.24,-1852.23,-3407.67,-14461.28,24687.72
2285.8711,3755.33,7230.19,15734.01,3529.36,-1896.43,-3387.5,-14421.42,24679.33
2285.8751,3642.7,7075.69,15608.12,3357.6,-2085.88,-3505.8,-14485.27,24535.37
2285.8791,3561.07,7014.32,15533.26,3284.98,-2142.67,-3575.28,-14546.92,24478.87
2285.8831,3623.2,7118.13,15595.72,3384.3,-2013.35,-3518.2,-14532.85,24567.61
